name,id,lon,lat,rad,tmin,duration,caldb,irf,emin,emax,zenith
Inner region,000000,-60.0000, -0.9743,  5.0000,666038040.0000,1800.0000,prod3b-v2,South_z40_50h,0.030,199.0,43.41
Inner region,000001,-57.6663,  0.9743,  5.0000,666039960.0000,1800.0000,prod3b-v2,South_z40_50h,0.030,199.0,41.24
Inner region,000002,-55.3327, -0.9743,  5.0000,666041880.0000,1800.0000,prod3b-v2,South_z40_50h,0.030,199.0,42.06
Inner region,000003,-59.3332, -0.9743,  5.0000,666210600.0000,1800.0000,prod3b-v2,South_z40_50h,0.030,199.0,43.61
Inner region,000004,-56.9996,  0.9743,  5.0000,666212520.0000,1800.0000,prod3b-v2,South_z40_50h,0.030,199.0,41.37
Inner region,000005,-54.6659, -0.9743,  5.0000,666214440.0000,1800.0000,prod3b-v2,South_z40_50h,0.030,199.0,42.15
Inner region,000006,-52.3322,  0.9743,  5.0000,666216360.0000,1800.0000,prod3b-v2,South_z40_50h,0.030,199.0,39.42
Inner region,000007,-49.9986, -0.9743,  5.0000,666218280.0000,1800.0000,prod3b-v2,South_z40_50h,0.030,199.0,40.21
Inner region,000008,-47.6649,  0.9743,  5.0000,666220200.0000,1800.0000,prod3b-v2,South_z40_50h,0.030,199.0,37.09
Inner region,000009,-45.3312, -0.9743,  5.0000,666222120.0000,1800.0000,prod3b-v2,South_z40_50h,0.030,199.0,37.73
Inner region,000010,-59.6666,  0.9743,  5.0000,666383400.0000,1800.0000,prod3b-v2,South_z40_50h,0.030,199.0,41.41
Inner region,000011,-57.3329, -0.9743,  5.0000,666385320.0000,1800.0000,prod3b-v2,South_z40_50h,0.030,199.0,42.24
Inner region,000012,-54.9993,  0.9743,  5.0000,666387240.0000,1800.0000,prod3b-v2,South_z40_50h,0.030,199.0,39.79
Inner region,000013,-52.6656, -0.9743,  5.0000,666389160.0000,1800.0000,prod3b-v2,South_z40_50h,0.030,199.0,40.73
Inner region,000014,-50.3319,  0.9743,  5.0000,666391080.0000,1800.0000,prod3b-v2,South_z40_50h,0.030,199.0,37.86
Inner region,000015,-47.9983, -0.9743,  5.0000,666393000.0000,1800.0000,prod3b-v2,South_z40_50h,0.030,199.0,38.71
Inner region,000016,-45.6646,  0.9743,  5.0000,666394920.0000,1800.0000,prod3b-v2,South_z40_50h,0.030,199.0,35.60
