                 System #        1
     Galactic longitude l   -10.66
      Galactic latitude b     0.00
           distance (kpc)    13.86
    orbital period (days)    3.975
    arg. periastron (deg)  215.815
        inclination (deg)   78.521
             eccentricity    0.203
 neutron star mass (Msol)     1.40
         star mass (Msol)    30.00
       star radius (Rsol)    10.00
     star temperature (K) 33000.00
--------------------------------
orbital phase   flux > 1 TeV (ph cm-2 s-1)   (mCrab)
     0.0003             1.647E-19            9.033E-06
     0.0007             1.636E-19            8.976E-06
     0.0023             1.590E-19            8.724E-06
     0.0031             1.569E-19            8.607E-06
     0.0043             1.535E-19            8.421E-06
     0.0055             1.503E-19            8.246E-06
     0.0063             1.481E-19            8.123E-06
     0.0079             1.439E-19            7.893E-06
     0.0083             1.427E-19            7.830E-06
     0.0103             1.376E-19            7.547E-06
     0.0103             1.375E-19            7.543E-06
     0.0123             1.324E-19            7.261E-06
     0.0127             1.314E-19            7.209E-06
     0.0143             1.273E-19            6.985E-06
     0.0151             1.254E-19            6.880E-06
     0.0163             1.224E-19            6.715E-06
     0.0175             1.196E-19            6.558E-06
     0.0183             1.176E-19            6.450E-06
     0.0199             1.138E-19            6.244E-06
     0.0203             1.129E-19            6.191E-06
     0.0223             1.083E-19            5.939E-06
     0.0223             1.082E-19            5.938E-06
     0.0243             1.037E-19            5.690E-06
     0.0247             1.029E-19            5.642E-06
     0.0263             9.933E-20            5.449E-06
     0.0271             9.759E-20            5.353E-06
     0.0283             9.503E-20            5.213E-06
     0.0296             9.249E-20            5.073E-06
     0.0303             9.084E-20            4.983E-06
     0.0320             8.754E-20            4.802E-06
     0.0323             8.675E-20            4.759E-06
     0.0343             8.278E-20            4.541E-06
     0.0344             8.274E-20            4.539E-06
     0.0363             7.891E-20            4.329E-06
     0.0368             7.810E-20            4.284E-06
     0.0383             7.515E-20            4.122E-06
     0.0392             7.362E-20            4.038E-06
     0.0403             7.150E-20            3.922E-06
     0.0416             6.929E-20            3.801E-06
     0.0423             6.795E-20            3.728E-06
     0.0440             6.512E-20            3.572E-06
     0.0443             6.452E-20            3.539E-06
     0.0463             6.119E-20            3.356E-06
     0.0464             6.111E-20            3.352E-06
     0.0483             5.796E-20            3.180E-06
     0.0488             5.725E-20            3.140E-06
     0.0503             5.485E-20            3.009E-06
     0.0512             5.355E-20            2.937E-06
     0.0523             5.184E-20            2.844E-06
     0.0536             5.000E-20            2.743E-06
     0.0543             4.894E-20            2.684E-06
     0.0560             4.660E-20            2.556E-06
     0.0563             4.614E-20            2.531E-06
     0.0583             4.344E-20            2.383E-06
     0.0584             4.335E-20            2.378E-06
     0.0603             4.085E-20            2.241E-06
     0.0608             4.026E-20            2.208E-06
     0.0623             3.836E-20            2.104E-06
     0.0632             3.731E-20            2.047E-06
     0.0643             3.597E-20            1.973E-06
     0.0656             3.450E-20            1.893E-06
     0.0663             3.368E-20            1.848E-06
     0.0680             3.184E-20            1.747E-06
     0.0683             3.149E-20            1.728E-06
     0.0703             2.940E-20            1.613E-06
     0.0704             2.933E-20            1.609E-06
     0.0723             2.740E-20            1.503E-06
     0.0728             2.694E-20            1.478E-06
     0.0743             2.549E-20            1.399E-06
     0.0752             2.470E-20            1.355E-06
     0.0763             2.368E-20            1.299E-06
     0.0776             2.258E-20            1.239E-06
     0.0783             2.196E-20            1.205E-06
     0.0800             2.060E-20            1.130E-06
     0.0803             2.032E-20            1.115E-06
     0.0823             1.877E-20            1.030E-06
     0.0824             1.873E-20            1.028E-06
     0.0843             1.731E-20            9.496E-07
     0.0848             1.700E-20            9.323E-07
     0.0863             1.593E-20            8.737E-07
     0.0872             1.537E-20            8.433E-07
     0.0883             1.463E-20            8.023E-07
