                 System #      101
     Galactic longitude l    23.66
      Galactic latitude b     0.00
           distance (kpc)    15.43
    orbital period (days)  203.293
    arg. periastron (deg)  199.268
        inclination (deg)    6.128
             eccentricity    0.863
 neutron star mass (Msol)     1.40
         star mass (Msol)    30.00
       star radius (Rsol)    10.00
     star temperature (K) 33000.00
--------------------------------
orbital phase   flux > 1 TeV (ph cm-2 s-1)   (mCrab)
     0.0014             1.604E-17            8.801E-04
     0.0024             1.604E-17            8.797E-04
     0.0034             1.603E-17            8.794E-04
     0.0054             1.602E-17            8.787E-04
     0.0061             1.602E-17            8.785E-04
     0.0074             1.601E-17            8.781E-04
     0.0094             1.600E-17            8.775E-04
     0.0098             1.599E-17            8.774E-04
     0.0114             1.599E-17            8.769E-04
     0.0134             1.597E-17            8.763E-04
     0.0134             1.597E-17            8.763E-04
     0.0154             1.596E-17            8.757E-04
     0.0171             1.596E-17            8.752E-04
     0.0174             1.595E-17            8.752E-04
     0.0194             1.594E-17            8.746E-04
     0.0208             1.594E-17            8.743E-04
     0.0214             1.594E-17            8.741E-04
     0.0234             1.593E-17            8.736E-04
     0.0245             1.592E-17            8.734E-04
     0.0254             1.592E-17            8.731E-04
     0.0274             1.591E-17            8.727E-04
     0.0281             1.591E-17            8.725E-04
     0.0294             1.590E-17            8.722E-04
     0.0314             1.589E-17            8.718E-04
     0.0318             1.589E-17            8.717E-04
     0.0334             1.589E-17            8.714E-04
     0.0354             1.588E-17            8.710E-04
     0.0355             1.588E-17            8.710E-04
     0.0374             1.587E-17            8.706E-04
     0.0392             1.587E-17            8.703E-04
     0.0394             1.587E-17            8.703E-04
     0.0414             1.586E-17            8.699E-04
     0.0429             1.585E-17            8.697E-04
     0.0434             1.585E-17            8.696E-04
     0.0454             1.585E-17            8.693E-04
     0.0467             1.584E-17            8.691E-04
     0.0474             1.584E-17            8.690E-04
     0.0494             1.584E-17            8.688E-04
     0.0504             1.584E-17            8.686E-04
     0.0514             1.583E-17            8.685E-04
     0.0534             1.583E-17            8.683E-04
     0.0541             1.583E-17            8.682E-04
     0.0554             1.582E-17            8.681E-04
     0.0574             1.582E-17            8.679E-04
     0.0578             1.582E-17            8.678E-04
     0.0594             1.582E-17            8.677E-04
     0.0614             1.581E-17            8.675E-04
     0.0615             1.581E-17            8.675E-04
     0.0634             1.581E-17            8.674E-04
     0.0652             1.581E-17            8.672E-04
     0.0654             1.581E-17            8.672E-04
     0.0674             1.581E-17            8.671E-04
     0.0690             1.581E-17            8.670E-04
     0.0694             1.581E-17            8.670E-04
     0.0714             1.580E-17            8.669E-04
     0.0727             1.580E-17            8.669E-04
     0.0734             1.580E-17            8.669E-04
     0.0754             1.580E-17            8.668E-04
     0.0764             1.580E-17            8.668E-04
     0.0774             1.580E-17            8.668E-04
     0.0794             1.580E-17            8.668E-04
     0.0801             1.580E-17            8.668E-04
     0.0814             1.580E-17            8.668E-04
     0.0834             1.580E-17            8.668E-04
     0.0838             1.580E-17            8.668E-04
     0.0854             1.580E-17            8.668E-04
     0.0874             1.580E-17            8.669E-04
     0.0876             1.580E-17            8.669E-04
     0.0894             1.580E-17            8.670E-04
