                 System #      103
     Galactic longitude l    13.50
      Galactic latitude b     0.00
           distance (kpc)     4.52
    orbital period (days) 1476.128
    arg. periastron (deg)  437.173
        inclination (deg)   55.549
             eccentricity    0.478
 neutron star mass (Msol)     1.40
         star mass (Msol)    30.00
       star radius (Rsol)    10.00
     star temperature (K) 33000.00
--------------------------------
orbital phase   flux > 1 TeV (ph cm-2 s-1)   (mCrab)
     0.0014             2.378E-17            1.304E-03
     0.0015             2.377E-17            1.304E-03
     0.0034             2.351E-17            1.290E-03
     0.0035             2.349E-17            1.289E-03
     0.0054             2.324E-17            1.275E-03
     0.0056             2.322E-17            1.274E-03
     0.0074             2.298E-17            1.261E-03
     0.0077             2.295E-17            1.259E-03
     0.0094             2.273E-17            1.247E-03
     0.0098             2.268E-17            1.244E-03
     0.0114             2.248E-17            1.233E-03
     0.0119             2.241E-17            1.230E-03
     0.0134             2.223E-17            1.219E-03
     0.0140             2.215E-17            1.215E-03
     0.0154             2.198E-17            1.206E-03
     0.0161             2.190E-17            1.201E-03
     0.0174             2.174E-17            1.193E-03
     0.0183             2.164E-17            1.187E-03
     0.0194             2.151E-17            1.180E-03
     0.0204             2.139E-17            1.173E-03
     0.0214             2.127E-17            1.167E-03
     0.0226             2.114E-17            1.160E-03
     0.0234             2.104E-17            1.154E-03
     0.0247             2.089E-17            1.146E-03
     0.0254             2.082E-17            1.142E-03
     0.0269             2.065E-17            1.133E-03
     0.0274             2.060E-17            1.130E-03
     0.0291             2.041E-17            1.120E-03
     0.0294             2.038E-17            1.118E-03
     0.0313             2.017E-17            1.106E-03
     0.0314             2.016E-17            1.106E-03
     0.0334             1.995E-17            1.094E-03
     0.0336             1.994E-17            1.094E-03
     0.0354             1.974E-17            1.083E-03
     0.0358             1.970E-17            1.081E-03
     0.0374             1.954E-17            1.072E-03
     0.0380             1.947E-17            1.068E-03
     0.0394             1.934E-17            1.061E-03
     0.0403             1.925E-17            1.056E-03
     0.0414             1.914E-17            1.050E-03
     0.0425             1.902E-17            1.044E-03
     0.0434             1.894E-17            1.039E-03
