                 System #      104
     Galactic longitude l    65.84
      Galactic latitude b     0.00
           distance (kpc)     4.20
    orbital period (days) 5411.083
    arg. periastron (deg)  479.391
        inclination (deg)  134.748
             eccentricity    0.940
 neutron star mass (Msol)     1.40
         star mass (Msol)    30.00
       star radius (Rsol)    10.00
     star temperature (K) 33000.00
--------------------------------
orbital phase   flux > 1 TeV (ph cm-2 s-1)   (mCrab)
     0.0006             1.326E-17            7.275E-04
     0.0011             1.327E-17            7.280E-04
     0.0026             1.330E-17            7.295E-04
     0.0046             1.334E-17            7.316E-04
     0.0046             1.334E-17            7.317E-04
     0.0066             1.338E-17            7.337E-04
     0.0082             1.341E-17            7.355E-04
     0.0086             1.342E-17            7.359E-04
     0.0106             1.345E-17            7.381E-04
     0.0118             1.348E-17            7.394E-04
     0.0126             1.350E-17            7.403E-04
     0.0146             1.354E-17            7.425E-04
     0.0153             1.355E-17            7.434E-04
     0.0166             1.358E-17            7.448E-04
     0.0186             1.362E-17            7.471E-04
     0.0188             1.363E-17            7.474E-04
     0.0206             1.366E-17            7.495E-04
     0.0223             1.370E-17            7.516E-04
     0.0226             1.371E-17            7.518E-04
     0.0246             1.375E-17            7.543E-04
     0.0258             1.378E-17            7.558E-04
     0.0266             1.379E-17            7.567E-04
     0.0286             1.384E-17            7.592E-04
     0.0293             1.386E-17            7.602E-04
     0.0306             1.389E-17            7.617E-04
     0.0326             1.393E-17            7.643E-04
     0.0328             1.394E-17            7.646E-04
     0.0346             1.398E-17            7.669E-04
     0.0362             1.402E-17            7.691E-04
     0.0366             1.403E-17            7.695E-04
     0.0386             1.408E-17            7.722E-04
     0.0397             1.411E-17            7.737E-04
     0.0406             1.413E-17            7.749E-04
     0.0426             1.418E-17            7.777E-04
     0.0431             1.419E-17            7.785E-04
     0.0446             1.423E-17            7.805E-04
     0.0465             1.428E-17            7.833E-04
     0.0466             1.428E-17            7.833E-04
     0.0486             1.433E-17            7.862E-04
     0.0499             1.437E-17            7.882E-04
     0.0506             1.439E-17            7.891E-04
     0.0526             1.444E-17            7.921E-04
     0.0533             1.446E-17            7.932E-04
     0.0546             1.450E-17            7.951E-04
     0.0566             1.455E-17            7.982E-04
     0.0566             1.455E-17            7.984E-04
     0.0586             1.461E-17            8.013E-04
     0.0600             1.465E-17            8.036E-04
     0.0606             1.467E-17            8.045E-04
     0.0626             1.472E-17            8.077E-04
     0.0633             1.475E-17            8.090E-04
     0.0646             1.478E-17            8.110E-04
     0.0666             1.484E-17            8.143E-04
     0.0666             1.485E-17            8.144E-04
     0.0686             1.491E-17            8.177E-04
     0.0699             1.495E-17            8.200E-04
     0.0706             1.497E-17            8.211E-04
     0.0726             1.503E-17            8.246E-04
     0.0732             1.505E-17            8.258E-04
     0.0746             1.510E-17            8.282E-04
     0.0765             1.516E-17            8.316E-04
     0.0766             1.516E-17            8.318E-04
     0.0786             1.523E-17            8.355E-04
     0.0797             1.527E-17            8.376E-04
     0.0806             1.530E-17            8.392E-04
     0.0826             1.537E-17            8.430E-04
     0.0829             1.538E-17            8.437E-04
     0.0846             1.544E-17            8.468E-04
     0.0861             1.549E-17            8.499E-04
     0.0866             1.551E-17            8.507E-04
     0.0886             1.558E-17            8.547E-04
     0.0893             1.561E-17            8.562E-04
     0.0906             1.566E-17            8.587E-04
     0.0925             1.573E-17            8.627E-04
     0.0926             1.573E-17            8.629E-04
     0.0946             1.581E-17            8.671E-04
     0.0956             1.585E-17            8.694E-04
     0.0966             1.588E-17            8.713E-04
     0.0986             1.596E-17            8.757E-04
     0.0988             1.597E-17            8.761E-04
     0.1006             1.604E-17            8.800E-04
     0.1019             1.610E-17            8.830E-04
     0.1026             1.612E-17            8.845E-04
     0.1046             1.621E-17            8.891E-04
     0.1050             1.623E-17            8.900E-04
     0.1066             1.629E-17            8.937E-04
     0.1080             1.636E-17            8.972E-04
     0.1086             1.638E-17            8.984E-04
