                 System #      105
     Galactic longitude l   -71.20
      Galactic latitude b     0.00
           distance (kpc)     5.59
    orbital period (days) 1763.416
    arg. periastron (deg)  414.510
        inclination (deg)   54.599
             eccentricity    0.777
 neutron star mass (Msol)     1.40
         star mass (Msol)    30.00
       star radius (Rsol)    10.00
     star temperature (K) 33000.00
--------------------------------
orbital phase   flux > 1 TeV (ph cm-2 s-1)   (mCrab)
     0.0015             1.221E-17            6.697E-04
     0.0017             1.221E-17            6.697E-04
     0.0037             1.221E-17            6.696E-04
     0.0046             1.221E-17            6.696E-04
     0.0057             1.221E-17            6.696E-04
     0.0077             1.221E-17            6.696E-04
     0.0077             1.221E-17            6.696E-04
     0.0097             1.221E-17            6.695E-04
     0.0108             1.221E-17            6.696E-04
     0.0117             1.221E-17            6.696E-04
     0.0137             1.221E-17            6.696E-04
     0.0139             1.221E-17            6.696E-04
     0.0157             1.221E-17            6.697E-04
     0.0170             1.221E-17            6.697E-04
     0.0177             1.221E-17            6.698E-04
     0.0197             1.221E-17            6.699E-04
     0.0200             1.221E-17            6.699E-04
     0.0217             1.222E-17            6.701E-04
     0.0230             1.222E-17            6.702E-04
     0.0237             1.222E-17            6.703E-04
     0.0257             1.222E-17            6.705E-04
     0.0260             1.222E-17            6.705E-04
     0.0277             1.223E-17            6.707E-04
     0.0290             1.223E-17            6.709E-04
     0.0297             1.223E-17            6.710E-04
     0.0317             1.224E-17            6.713E-04
     0.0320             1.224E-17            6.714E-04
     0.0337             1.224E-17            6.717E-04
     0.0350             1.225E-17            6.719E-04
     0.0357             1.225E-17            6.720E-04
     0.0377             1.226E-17            6.725E-04
     0.0379             1.226E-17            6.725E-04
     0.0397             1.227E-17            6.729E-04
     0.0409             1.227E-17            6.732E-04
     0.0417             1.228E-17            6.734E-04
     0.0437             1.229E-17            6.740E-04
     0.0438             1.229E-17            6.740E-04
     0.0457             1.230E-17            6.745E-04
     0.0467             1.230E-17            6.748E-04
     0.0477             1.231E-17            6.751E-04
     0.0496             1.232E-17            6.757E-04
     0.0497             1.232E-17            6.758E-04
     0.0517             1.233E-17            6.765E-04
     0.0525             1.234E-17            6.767E-04
     0.0537             1.235E-17            6.772E-04
     0.0553             1.236E-17            6.778E-04
     0.0557             1.236E-17            6.780E-04
     0.0577             1.237E-17            6.787E-04
     0.0582             1.238E-17            6.790E-04
     0.0597             1.239E-17            6.796E-04
     0.0610             1.240E-17            6.802E-04
     0.0617             1.241E-17            6.805E-04
     0.0637             1.242E-17            6.814E-04
     0.0638             1.242E-17            6.815E-04
     0.0657             1.244E-17            6.824E-04
     0.0666             1.245E-17            6.829E-04
     0.0677             1.246E-17            6.835E-04
     0.0694             1.248E-17            6.844E-04
     0.0697             1.248E-17            6.846E-04
     0.0717             1.250E-17            6.858E-04
     0.0721             1.251E-17            6.861E-04
     0.0737             1.252E-17            6.870E-04
     0.0749             1.254E-17            6.878E-04
     0.0757             1.255E-17            6.883E-04
     0.0776             1.257E-17            6.896E-04
     0.0777             1.257E-17            6.897E-04
     0.0797             1.260E-17            6.911E-04
     0.0803             1.261E-17            6.916E-04
     0.0817             1.263E-17            6.926E-04
     0.0830             1.264E-17            6.936E-04
     0.0837             1.265E-17            6.942E-04
     0.0856             1.268E-17            6.958E-04
     0.0857             1.268E-17            6.958E-04
     0.0877             1.272E-17            6.975E-04
     0.0883             1.273E-17            6.980E-04
     0.0897             1.275E-17            6.993E-04
     0.0909             1.277E-17            7.004E-04
     0.0917             1.278E-17            7.011E-04
     0.0935             1.281E-17            7.029E-04
     0.0937             1.282E-17            7.030E-04
     0.0957             1.285E-17            7.050E-04
     0.0961             1.286E-17            7.055E-04
     0.0977             1.289E-17            7.071E-04
     0.0987             1.291E-17            7.083E-04
     0.0997             1.293E-17            7.093E-04
     0.1013             1.296E-17            7.112E-04
     0.1017             1.297E-17            7.116E-04
     0.1037             1.302E-17            7.140E-04
     0.1038             1.302E-17            7.142E-04
     0.1057             1.306E-17            7.165E-04
     0.1064             1.308E-17            7.174E-04
     0.1077             1.311E-17            7.191E-04
     0.1089             1.314E-17            7.207E-04
     0.1097             1.316E-17            7.218E-04
     0.1113             1.320E-17            7.242E-04
     0.1117             1.321E-17            7.246E-04
     0.1137             1.326E-17            7.276E-04
     0.1138             1.327E-17            7.278E-04
     0.1157             1.332E-17            7.307E-04
     0.1163             1.334E-17            7.317E-04
     0.1177             1.338E-17            7.339E-04
     0.1187             1.341E-17            7.357E-04
     0.1197             1.344E-17            7.373E-04
     0.1211             1.349E-17            7.398E-04
     0.1217             1.350E-17            7.408E-04
     0.1235             1.357E-17            7.442E-04
     0.1237             1.357E-17            7.445E-04
     0.1257             1.364E-17            7.483E-04
     0.1259             1.365E-17            7.488E-04
