                 System #      106
     Galactic longitude l    64.98
      Galactic latitude b     0.00
           distance (kpc)    10.69
    orbital period (days)   41.068
    arg. periastron (deg)  415.148
        inclination (deg)   74.239
             eccentricity    0.119
 neutron star mass (Msol)     1.40
         star mass (Msol)    30.00
       star radius (Rsol)    10.00
     star temperature (K) 33000.00
--------------------------------
orbital phase   flux > 1 TeV (ph cm-2 s-1)   (mCrab)
     0.0006             2.486E-17            1.364E-03
     0.0006             2.487E-17            1.364E-03
     0.0026             2.587E-17            1.419E-03
     0.0027             2.592E-17            1.422E-03
     0.0046             2.689E-17            1.475E-03
     0.0048             2.700E-17            1.481E-03
     0.0066             2.794E-17            1.532E-03
     0.0070             2.811E-17            1.542E-03
     0.0086             2.900E-17            1.591E-03
     0.0091             2.925E-17            1.605E-03
     0.0106             3.010E-17            1.651E-03
     0.0112             3.042E-17            1.668E-03
     0.0126             3.121E-17            1.712E-03
     0.0133             3.160E-17            1.733E-03
     0.0146             3.235E-17            1.775E-03
     0.0154             3.281E-17            1.800E-03
     0.0166             3.351E-17            1.838E-03
     0.0175             3.404E-17            1.867E-03
     0.0186             3.468E-17            1.903E-03
     0.0196             3.528E-17            1.936E-03
     0.0206             3.588E-17            1.968E-03
     0.0217             3.655E-17            2.005E-03
     0.0226             3.709E-17            2.034E-03
     0.0238             3.783E-17            2.075E-03
     0.0246             3.831E-17            2.102E-03
     0.0259             3.912E-17            2.146E-03
     0.0266             3.955E-17            2.170E-03
     0.0280             4.043E-17            2.218E-03
     0.0286             4.080E-17            2.238E-03
     0.0301             4.175E-17            2.290E-03
     0.0306             4.207E-17            2.308E-03
     0.0322             4.308E-17            2.363E-03
     0.0326             4.335E-17            2.378E-03
     0.0343             4.442E-17            2.437E-03
     0.0346             4.463E-17            2.448E-03
     0.0364             4.577E-17            2.511E-03
     0.0366             4.593E-17            2.519E-03
     0.0385             4.713E-17            2.585E-03
     0.0386             4.723E-17            2.591E-03
     0.0405             4.849E-17            2.660E-03
     0.0406             4.855E-17            2.663E-03
     0.0426             4.985E-17            2.734E-03
     0.0426             4.986E-17            2.735E-03
