                 System #       11
     Galactic longitude l    32.39
      Galactic latitude b     0.00
           distance (kpc)     9.26
    orbital period (days)    3.353
    arg. periastron (deg)  410.490
        inclination (deg)  107.472
             eccentricity    0.278
 neutron star mass (Msol)     1.40
         star mass (Msol)    30.00
       star radius (Rsol)    10.00
     star temperature (K) 33000.00
--------------------------------
orbital phase   flux > 1 TeV (ph cm-2 s-1)   (mCrab)
     0.0002             4.157E-13            2.281E+01
     0.0016             4.102E-13            2.250E+01
     0.0022             4.077E-13            2.236E+01
     0.0041             4.002E-13            2.195E+01
     0.0042             3.997E-13            2.193E+01
     0.0062             3.917E-13            2.148E+01
     0.0066             3.902E-13            2.140E+01
     0.0082             3.837E-13            2.105E+01
     0.0091             3.802E-13            2.086E+01
     0.0102             3.757E-13            2.061E+01
     0.0116             3.704E-13            2.032E+01
     0.0122             3.678E-13            2.018E+01
     0.0141             3.605E-13            1.978E+01
     0.0142             3.599E-13            1.974E+01
     0.0162             3.521E-13            1.932E+01
     0.0166             3.509E-13            1.925E+01
     0.0182             3.444E-13            1.889E+01
     0.0190             3.413E-13            1.872E+01
     0.0202             3.367E-13            1.847E+01
     0.0215             3.319E-13            1.820E+01
     0.0222             3.291E-13            1.806E+01
     0.0240             3.226E-13            1.770E+01
     0.0242             3.217E-13            1.764E+01
     0.0262             3.143E-13            1.724E+01
     0.0265             3.135E-13            1.720E+01
     0.0282             3.071E-13            1.684E+01
     0.0289             3.046E-13            1.671E+01
     0.0302             3.000E-13            1.645E+01
     0.0314             2.960E-13            1.624E+01
     0.0322             2.930E-13            1.607E+01
     0.0338             2.875E-13            1.577E+01
     0.0342             2.861E-13            1.570E+01
     0.0362             2.795E-13            1.533E+01
     0.0363             2.793E-13            1.532E+01
     0.0382             2.730E-13            1.497E+01
     0.0387             2.713E-13            1.488E+01
     0.0402             2.666E-13            1.463E+01
     0.0412             2.637E-13            1.447E+01
     0.0422             2.605E-13            1.429E+01
     0.0436             2.564E-13            1.406E+01
     0.0442             2.546E-13            1.396E+01
     0.0461             2.493E-13            1.367E+01
     0.0462             2.488E-13            1.365E+01
     0.0482             2.433E-13            1.334E+01
     0.0485             2.426E-13            1.331E+01
     0.0502             2.379E-13            1.305E+01
     0.0509             2.362E-13            1.296E+01
     0.0522             2.329E-13            1.277E+01
     0.0533             2.302E-13            1.263E+01
     0.0542             2.280E-13            1.251E+01
     0.0557             2.245E-13            1.231E+01
     0.0562             2.234E-13            1.225E+01
     0.0582             2.192E-13            1.202E+01
     0.0582             2.190E-13            1.201E+01
     0.0602             2.149E-13            1.179E+01
     0.0606             2.143E-13            1.175E+01
     0.0622             2.111E-13            1.158E+01
     0.0630             2.097E-13            1.150E+01
     0.0642             2.075E-13            1.138E+01
     0.0654             2.056E-13            1.128E+01
     0.0662             2.042E-13            1.120E+01
     0.0678             2.019E-13            1.107E+01
     0.0682             2.012E-13            1.104E+01
     0.0702             1.986E-13            1.089E+01
     0.0702             1.985E-13            1.089E+01
     0.0722             1.961E-13            1.075E+01
     0.0725             1.957E-13            1.074E+01
     0.0742             1.939E-13            1.064E+01
     0.0749             1.933E-13            1.060E+01
     0.0762             1.921E-13            1.054E+01
     0.0773             1.913E-13            1.049E+01
     0.0782             1.906E-13            1.045E+01
     0.0797             1.897E-13            1.041E+01
     0.0802             1.894E-13            1.039E+01
     0.0820             1.886E-13            1.034E+01
     0.0822             1.885E-13            1.034E+01
     0.0842             1.880E-13            1.031E+01
     0.0844             1.879E-13            1.031E+01
     0.0862             1.877E-13            1.030E+01
     0.0867             1.877E-13            1.030E+01
     0.0882             1.878E-13            1.030E+01
     0.0891             1.880E-13            1.031E+01
     0.0902             1.883E-13            1.033E+01
     0.0914             1.887E-13            1.035E+01
     0.0922             1.890E-13            1.037E+01
     0.0938             1.899E-13            1.041E+01
     0.0942             1.902E-13            1.043E+01
     0.0961             1.915E-13            1.050E+01
     0.0962             1.916E-13            1.051E+01
     0.0982             1.934E-13            1.061E+01
     0.0984             1.936E-13            1.062E+01
     0.1002             1.956E-13            1.073E+01
     0.1007             1.962E-13            1.076E+01
     0.1022             1.981E-13            1.087E+01
     0.1030             1.992E-13            1.093E+01
     0.1042             2.010E-13            1.103E+01
     0.1053             2.028E-13            1.112E+01
     0.1062             2.042E-13            1.120E+01
     0.1076             2.067E-13            1.134E+01
     0.1082             2.078E-13            1.140E+01
     0.1099             2.112E-13            1.158E+01
     0.1102             2.118E-13            1.162E+01
     0.1122             2.161E-13            1.185E+01
     0.1122             2.161E-13            1.185E+01
     0.1142             2.207E-13            1.211E+01
     0.1145             2.214E-13            1.214E+01
     0.1162             2.257E-13            1.238E+01
     0.1168             2.272E-13            1.246E+01
     0.1182             2.311E-13            1.268E+01
     0.1191             2.334E-13            1.280E+01
     0.1202             2.368E-13            1.299E+01
     0.1213             2.401E-13            1.317E+01
     0.1222             2.429E-13            1.332E+01
     0.1236             2.472E-13            1.356E+01
     0.1242             2.492E-13            1.367E+01
     0.1258             2.547E-13            1.397E+01
     0.1262             2.560E-13            1.404E+01
     0.1281             2.625E-13            1.440E+01
     0.1282             2.631E-13            1.443E+01
     0.1302             2.704E-13            1.483E+01
     0.1303             2.708E-13            1.485E+01
     0.1322             2.781E-13            1.526E+01
     0.1326             2.794E-13            1.533E+01
     0.1342             2.861E-13            1.569E+01
     0.1348             2.884E-13            1.582E+01
     0.1362             2.944E-13            1.615E+01
     0.1370             2.977E-13            1.633E+01
     0.1382             3.029E-13            1.662E+01
     0.1392             3.072E-13            1.685E+01
     0.1402             3.117E-13            1.710E+01
     0.1414             3.171E-13            1.739E+01
     0.1422             3.207E-13            1.759E+01
     0.1436             3.272E-13            1.795E+01
     0.1442             3.300E-13            1.810E+01
     0.1458             3.376E-13            1.852E+01
     0.1462             3.395E-13            1.862E+01
     0.1480             3.481E-13            1.910E+01
     0.1482             3.492E-13            1.915E+01
     0.1502             3.588E-13            1.968E+01
     0.1502             3.590E-13            1.969E+01
     0.1522             3.690E-13            2.024E+01
     0.1524             3.697E-13            2.028E+01
     0.1542             3.791E-13            2.079E+01
     0.1545             3.806E-13            2.088E+01
     0.1562             3.893E-13            2.135E+01
     0.1567             3.917E-13            2.149E+01
     0.1582             3.996E-13            2.192E+01
     0.1589             4.028E-13            2.209E+01
     0.1602             4.099E-13            2.248E+01
     0.1610             4.139E-13            2.270E+01
     0.1622             4.203E-13            2.306E+01
     0.1631             4.250E-13            2.332E+01
     0.1642             4.307E-13            2.362E+01
     0.1653             4.361E-13            2.392E+01
     0.1662             4.410E-13            2.419E+01
     0.1674             4.471E-13            2.452E+01
     0.1682             4.513E-13            2.476E+01
     0.1695             4.579E-13            2.512E+01
     0.1702             4.615E-13            2.532E+01
     0.1716             4.687E-13            2.571E+01
     0.1722             4.717E-13            2.587E+01
     0.1738             4.793E-13            2.629E+01
     0.1742             4.817E-13            2.642E+01
     0.1759             4.896E-13            2.686E+01
     0.1762             4.915E-13            2.696E+01
     0.1779             4.998E-13            2.742E+01
     0.1782             5.012E-13            2.749E+01
     0.1800             5.098E-13            2.796E+01
     0.1802             5.107E-13            2.801E+01
     0.1821             5.194E-13            2.849E+01
     0.1822             5.199E-13            2.852E+01
     0.1842             5.287E-13            2.900E+01
     0.1842             5.289E-13            2.901E+01
     0.1862             5.376E-13            2.949E+01
     0.1863             5.377E-13            2.950E+01
     0.1882             5.461E-13            2.996E+01
     0.1883             5.464E-13            2.998E+01
     0.1902             5.542E-13            3.040E+01
     0.1904             5.547E-13            3.043E+01
     0.1922             5.619E-13            3.082E+01
     0.1924             5.626E-13            3.086E+01
     0.1942             5.694E-13            3.123E+01
     0.1944             5.701E-13            3.128E+01
     0.1962             5.764E-13            3.162E+01
     0.1965             5.773E-13            3.167E+01
     0.1982             5.830E-13            3.198E+01
     0.1985             5.839E-13            3.203E+01
     0.2002             5.893E-13            3.232E+01
     0.2005             5.901E-13            3.237E+01
     0.2022             5.950E-13            3.264E+01
     0.2025             5.959E-13            3.269E+01
     0.2042             6.004E-13            3.294E+01
     0.2045             6.012E-13            3.298E+01
     0.2062             6.053E-13            3.320E+01
     0.2065             6.060E-13            3.324E+01
     0.2082             6.097E-13            3.344E+01
     0.2085             6.103E-13            3.348E+01
     0.2102             6.136E-13            3.366E+01
     0.2105             6.141E-13            3.369E+01
     0.2122             6.171E-13            3.385E+01
     0.2125             6.175E-13            3.387E+01
     0.2142             6.200E-13            3.401E+01
     0.2144             6.203E-13            3.403E+01
     0.2162             6.224E-13            3.414E+01
     0.2164             6.226E-13            3.415E+01
     0.2182             6.243E-13            3.425E+01
     0.2184             6.244E-13            3.425E+01
     0.2202             6.257E-13            3.432E+01
     0.2203             6.258E-13            3.433E+01
     0.2222             6.266E-13            3.437E+01
     0.2223             6.266E-13            3.437E+01
     0.2242             6.269E-13            3.439E+01
     0.2242             6.269E-13            3.439E+01
     0.2261             6.267E-13            3.438E+01
     0.2262             6.266E-13            3.437E+01
     0.2280             6.260E-13            3.434E+01
     0.2282             6.259E-13            3.433E+01
     0.2299             6.248E-13            3.427E+01
     0.2302             6.246E-13            3.426E+01
     0.2319             6.232E-13            3.418E+01
     0.2322             6.228E-13            3.416E+01
     0.2338             6.210E-13            3.407E+01
     0.2342             6.204E-13            3.403E+01
     0.2356             6.184E-13            3.392E+01
     0.2362             6.174E-13            3.387E+01
     0.2375             6.153E-13            3.375E+01
     0.2382             6.140E-13            3.368E+01
     0.2394             6.117E-13            3.356E+01
     0.2402             6.100E-13            3.346E+01
     0.2413             6.077E-13            3.334E+01
     0.2422             6.055E-13            3.322E+01
     0.2431             6.033E-13            3.309E+01
     0.2442             6.005E-13            3.294E+01
     0.2450             5.984E-13            3.283E+01
     0.2462             5.950E-13            3.264E+01
     0.2469             5.932E-13            3.254E+01
     0.2482             5.889E-13            3.231E+01
     0.2487             5.875E-13            3.223E+01
     0.2502             5.824E-13            3.195E+01
     0.2505             5.814E-13            3.189E+01
     0.2522             5.755E-13            3.157E+01
     0.2524             5.750E-13            3.154E+01
     0.2542             5.682E-13            3.117E+01
     0.2542             5.680E-13            3.116E+01
     0.2560             5.610E-13            3.077E+01
     0.2562             5.601E-13            3.073E+01
     0.2578             5.536E-13            3.037E+01
     0.2582             5.519E-13            3.027E+01
     0.2596             5.458E-13            2.994E+01
     0.2602             5.431E-13            2.979E+01
     0.2614             5.377E-13            2.949E+01
     0.2622             5.339E-13            2.929E+01
     0.2632             5.293E-13            2.904E+01
     0.2642             5.245E-13            2.877E+01
