                 System #      111
     Galactic longitude l    45.77
      Galactic latitude b     0.00
           distance (kpc)     4.01
    orbital period (days)    1.218
    arg. periastron (deg)  380.208
        inclination (deg)   85.234
             eccentricity    0.000
 neutron star mass (Msol)     1.40
         star mass (Msol)    30.00
       star radius (Rsol)    10.00
     star temperature (K) 33000.00
--------------------------------
orbital phase   flux > 1 TeV (ph cm-2 s-1)   (mCrab)
     0.0020             1.225E-14            6.722E-01
     0.0020             1.225E-14            6.721E-01
     0.0040             1.200E-14            6.580E-01
     0.0040             1.199E-14            6.579E-01
     0.0060             1.173E-14            6.436E-01
     0.0060             1.173E-14            6.436E-01
     0.0080             1.147E-14            6.290E-01
     0.0080             1.147E-14            6.290E-01
     0.0100             1.120E-14            6.143E-01
     0.0100             1.120E-14            6.142E-01
     0.0120             1.093E-14            5.994E-01
     0.0120             1.092E-14            5.993E-01
     0.0140             1.065E-14            5.844E-01
     0.0140             1.065E-14            5.843E-01
     0.0160             1.038E-14            5.693E-01
     0.0160             1.038E-14            5.692E-01
     0.0180             1.010E-14            5.543E-01
     0.0180             1.010E-14            5.542E-01
     0.0200             9.829E-15            5.392E-01
     0.0200             9.827E-15            5.391E-01
     0.0220             9.555E-15            5.241E-01
     0.0220             9.553E-15            5.240E-01
     0.0240             9.282E-15            5.092E-01
     0.0240             9.280E-15            5.091E-01
     0.0260             9.011E-15            4.943E-01
     0.0260             9.009E-15            4.942E-01
     0.0280             8.742E-15            4.795E-01
     0.0280             8.740E-15            4.794E-01
     0.0300             8.475E-15            4.649E-01
     0.0300             8.473E-15            4.648E-01
     0.0320             8.211E-15            4.504E-01
     0.0320             8.209E-15            4.503E-01
     0.0340             7.950E-15            4.361E-01
     0.0340             7.948E-15            4.360E-01
     0.0360             7.692E-15            4.220E-01
     0.0360             7.691E-15            4.219E-01
     0.0380             7.438E-15            4.080E-01
     0.0380             7.437E-15            4.079E-01
     0.0400             7.189E-15            3.943E-01
     0.0400             7.187E-15            3.942E-01
     0.0420             6.943E-15            3.808E-01
     0.0420             6.941E-15            3.807E-01
     0.0440             6.701E-15            3.676E-01
     0.0440             6.700E-15            3.675E-01
     0.0460             6.464E-15            3.546E-01
     0.0460             6.463E-15            3.545E-01
     0.0480             6.232E-15            3.418E-01
     0.0480             6.230E-15            3.418E-01
     0.0500             6.004E-15            3.293E-01
     0.0500             6.002E-15            3.292E-01
     0.0520             5.780E-15            3.171E-01
     0.0520             5.779E-15            3.170E-01
     0.0540             5.562E-15            3.051E-01
     0.0540             5.561E-15            3.050E-01
     0.0560             5.349E-15            2.934E-01
     0.0560             5.347E-15            2.933E-01
     0.0580             5.141E-15            2.820E-01
     0.0580             5.139E-15            2.819E-01
     0.0600             4.937E-15            2.708E-01
     0.0600             4.936E-15            2.708E-01
     0.0620             4.739E-15            2.599E-01
     0.0620             4.738E-15            2.599E-01
     0.0640             4.545E-15            2.493E-01
     0.0640             4.544E-15            2.493E-01
     0.0660             4.357E-15            2.390E-01
     0.0660             4.356E-15            2.389E-01
     0.0680             4.174E-15            2.289E-01
     0.0680             4.172E-15            2.289E-01
     0.0700             3.995E-15            2.192E-01
     0.0700             3.994E-15            2.191E-01
     0.0720             3.822E-15            2.096E-01
     0.0720             3.821E-15            2.096E-01
     0.0740             3.653E-15            2.004E-01
     0.0740             3.652E-15            2.003E-01
     0.0760             3.490E-15            1.914E-01
     0.0760             3.489E-15            1.914E-01
     0.0780             3.331E-15            1.827E-01
     0.0780             3.330E-15            1.827E-01
     0.0800             3.177E-15            1.743E-01
     0.0800             3.176E-15            1.742E-01
     0.0820             3.028E-15            1.661E-01
     0.0820             3.027E-15            1.661E-01
     0.0840             2.884E-15            1.582E-01
     0.0840             2.883E-15            1.581E-01
     0.0860             2.744E-15            1.505E-01
     0.0860             2.743E-15            1.505E-01
     0.0880             2.609E-15            1.431E-01
     0.0880             2.608E-15            1.431E-01
     0.0900             2.478E-15            1.360E-01
     0.0900             2.478E-15            1.359E-01
     0.0920             2.353E-15            1.290E-01
     0.0920             2.352E-15            1.290E-01
     0.0940             2.231E-15            1.224E-01
     0.0940             2.230E-15            1.223E-01
     0.0960             2.114E-15            1.159E-01
     0.0960             2.113E-15            1.159E-01
     0.0980             2.001E-15            1.098E-01
     0.0980             2.000E-15            1.097E-01
     0.1000             1.892E-15            1.038E-01
     0.1000             1.891E-15            1.038E-01
     0.1020             1.788E-15            9.806E-02
     0.1020             1.787E-15            9.803E-02
     0.1040             1.687E-15            9.255E-02
     0.1040             1.687E-15            9.252E-02
     0.1060             1.591E-15            8.727E-02
     0.1060             1.590E-15            8.723E-02
     0.1080             1.498E-15            8.220E-02
     0.1080             1.498E-15            8.217E-02
     0.1100             1.410E-15            7.734E-02
     0.1100             1.409E-15            7.731E-02
     0.1120             1.325E-15            7.268E-02
     0.1120             1.325E-15            7.266E-02
     0.1140             1.244E-15            6.824E-02
     0.1140             1.243E-15            6.821E-02
     0.1160             1.167E-15            6.399E-02
     0.1160             1.166E-15            6.396E-02
