                 System #      115
     Galactic longitude l    15.23
      Galactic latitude b     0.00
           distance (kpc)    11.46
    orbital period (days)   72.688
    arg. periastron (deg)  497.527
        inclination (deg)  132.310
             eccentricity    0.319
 neutron star mass (Msol)     1.40
         star mass (Msol)    30.00
       star radius (Rsol)    10.00
     star temperature (K) 33000.00
--------------------------------
orbital phase   flux > 1 TeV (ph cm-2 s-1)   (mCrab)
     0.0002             5.003E-16            2.744E-02
     0.0017             5.014E-16            2.750E-02
     0.0022             5.018E-16            2.753E-02
     0.0040             5.032E-16            2.760E-02
     0.0042             5.034E-16            2.761E-02
     0.0062             5.049E-16            2.770E-02
     0.0064             5.050E-16            2.770E-02
     0.0082             5.065E-16            2.778E-02
     0.0088             5.069E-16            2.780E-02
     0.0102             5.080E-16            2.787E-02
     0.0111             5.087E-16            2.790E-02
     0.0122             5.095E-16            2.795E-02
     0.0134             5.104E-16            2.800E-02
     0.0142             5.110E-16            2.803E-02
     0.0158             5.122E-16            2.809E-02
     0.0162             5.125E-16            2.811E-02
     0.0181             5.139E-16            2.819E-02
     0.0182             5.140E-16            2.819E-02
     0.0202             5.155E-16            2.828E-02
     0.0204             5.156E-16            2.828E-02
     0.0222             5.169E-16            2.836E-02
     0.0227             5.173E-16            2.838E-02
     0.0242             5.184E-16            2.844E-02
     0.0250             5.189E-16            2.847E-02
     0.0262             5.198E-16            2.851E-02
     0.0273             5.206E-16            2.856E-02
     0.0282             5.212E-16            2.859E-02
     0.0296             5.222E-16            2.864E-02
     0.0302             5.226E-16            2.867E-02
     0.0319             5.238E-16            2.873E-02
     0.0322             5.240E-16            2.874E-02
     0.0342             5.253E-16            2.882E-02
     0.0342             5.254E-16            2.882E-02
     0.0362             5.267E-16            2.889E-02
     0.0364             5.269E-16            2.890E-02
     0.0382             5.280E-16            2.897E-02
     0.0387             5.283E-16            2.898E-02
     0.0402             5.294E-16            2.904E-02
     0.0410             5.298E-16            2.906E-02
     0.0422             5.306E-16            2.911E-02
     0.0432             5.312E-16            2.914E-02
     0.0442             5.319E-16            2.918E-02
     0.0454             5.327E-16            2.922E-02
     0.0462             5.331E-16            2.925E-02
     0.0477             5.340E-16            2.929E-02
     0.0482             5.344E-16            2.931E-02
     0.0499             5.353E-16            2.937E-02
     0.0502             5.355E-16            2.938E-02
     0.0521             5.366E-16            2.944E-02
     0.0522             5.367E-16            2.944E-02
     0.0542             5.378E-16            2.950E-02
     0.0543             5.379E-16            2.951E-02
     0.0562             5.389E-16            2.956E-02
     0.0565             5.391E-16            2.957E-02
     0.0582             5.400E-16            2.962E-02
     0.0587             5.403E-16            2.964E-02
     0.0602             5.411E-16            2.968E-02
     0.0609             5.414E-16            2.970E-02
     0.0622             5.421E-16            2.974E-02
     0.0631             5.425E-16            2.976E-02
     0.0642             5.430E-16            2.979E-02
     0.0652             5.435E-16            2.981E-02
     0.0662             5.440E-16            2.984E-02
     0.0674             5.445E-16            2.987E-02
     0.0682             5.449E-16            2.989E-02
     0.0696             5.454E-16            2.992E-02
     0.0702             5.457E-16            2.994E-02
     0.0717             5.463E-16            2.997E-02
     0.0722             5.466E-16            2.998E-02
     0.0738             5.472E-16            3.002E-02
     0.0742             5.473E-16            3.002E-02
     0.0760             5.480E-16            3.006E-02
     0.0762             5.481E-16            3.006E-02
     0.0781             5.487E-16            3.010E-02
     0.0782             5.488E-16            3.010E-02
     0.0802             5.494E-16            3.014E-02
     0.0802             5.494E-16            3.014E-02
     0.0822             5.500E-16            3.017E-02
     0.0823             5.500E-16            3.017E-02
     0.0842             5.505E-16            3.020E-02
     0.0844             5.506E-16            3.020E-02
     0.0862             5.510E-16            3.023E-02
     0.0865             5.511E-16            3.023E-02
     0.0882             5.514E-16            3.025E-02
     0.0886             5.515E-16            3.025E-02
     0.0902             5.518E-16            3.027E-02
     0.0907             5.519E-16            3.027E-02
     0.0922             5.521E-16            3.029E-02
     0.0927             5.522E-16            3.029E-02
     0.0942             5.524E-16            3.030E-02
     0.0948             5.524E-16            3.030E-02
     0.0962             5.525E-16            3.031E-02
     0.0969             5.526E-16            3.031E-02
     0.0982             5.527E-16            3.032E-02
     0.0989             5.527E-16            3.032E-02
