                 System #      117
     Galactic longitude l     9.48
      Galactic latitude b     0.00
           distance (kpc)    15.23
    orbital period (days)  435.111
    arg. periastron (deg)  305.445
        inclination (deg)  108.608
             eccentricity    0.644
 neutron star mass (Msol)     1.40
         star mass (Msol)    30.00
       star radius (Rsol)    10.00
     star temperature (K) 33000.00
--------------------------------
orbital phase   flux > 1 TeV (ph cm-2 s-1)   (mCrab)
     0.0002             2.188E-18            1.200E-04
     0.0012             2.190E-18            1.201E-04
     0.0022             2.192E-18            1.202E-04
     0.0041             2.195E-18            1.204E-04
     0.0042             2.195E-18            1.204E-04
     0.0062             2.199E-18            1.206E-04
     0.0070             2.200E-18            1.207E-04
     0.0082             2.202E-18            1.208E-04
     0.0100             2.205E-18            1.209E-04
     0.0102             2.205E-18            1.210E-04
     0.0122             2.208E-18            1.211E-04
     0.0130             2.209E-18            1.212E-04
     0.0142             2.211E-18            1.213E-04
     0.0159             2.214E-18            1.214E-04
     0.0162             2.214E-18            1.215E-04
     0.0182             2.217E-18            1.216E-04
     0.0189             2.218E-18            1.217E-04
     0.0202             2.220E-18            1.218E-04
     0.0219             2.223E-18            1.219E-04
     0.0222             2.223E-18            1.220E-04
     0.0242             2.226E-18            1.221E-04
     0.0249             2.227E-18            1.222E-04
     0.0262             2.229E-18            1.223E-04
     0.0279             2.231E-18            1.224E-04
     0.0282             2.232E-18            1.224E-04
     0.0302             2.234E-18            1.226E-04
     0.0310             2.235E-18            1.226E-04
     0.0322             2.237E-18            1.227E-04
     0.0340             2.239E-18            1.228E-04
     0.0342             2.240E-18            1.228E-04
     0.0362             2.242E-18            1.230E-04
     0.0371             2.243E-18            1.230E-04
     0.0382             2.245E-18            1.231E-04
     0.0401             2.247E-18            1.233E-04
     0.0402             2.247E-18            1.233E-04
     0.0422             2.249E-18            1.234E-04
     0.0432             2.251E-18            1.235E-04
     0.0442             2.252E-18            1.235E-04
     0.0462             2.254E-18            1.237E-04
     0.0463             2.254E-18            1.237E-04
