                 System #      118
     Galactic longitude l     0.66
      Galactic latitude b     0.00
           distance (kpc)    16.38
    orbital period (days)   63.244
    arg. periastron (deg)  427.378
        inclination (deg)   67.958
             eccentricity    0.343
 neutron star mass (Msol)     1.40
         star mass (Msol)    30.00
       star radius (Rsol)    10.00
     star temperature (K) 33000.00
--------------------------------
orbital phase   flux > 1 TeV (ph cm-2 s-1)   (mCrab)
     0.0015             1.735E-15            9.516E-02
     0.0015             1.735E-15            9.516E-02
     0.0035             1.722E-15            9.449E-02
     0.0042             1.719E-15            9.429E-02
     0.0055             1.711E-15            9.387E-02
     0.0068             1.705E-15            9.351E-02
     0.0075             1.701E-15            9.330E-02
     0.0094             1.692E-15            9.282E-02
     0.0095             1.691E-15            9.279E-02
     0.0115             1.683E-15            9.232E-02
     0.0120             1.681E-15            9.222E-02
     0.0135             1.676E-15            9.191E-02
     0.0146             1.672E-15            9.171E-02
     0.0155             1.669E-15            9.156E-02
     0.0172             1.664E-15            9.130E-02
     0.0175             1.664E-15            9.126E-02
     0.0195             1.659E-15            9.102E-02
     0.0198             1.659E-15            9.099E-02
     0.0215             1.656E-15            9.083E-02
     0.0224             1.655E-15            9.077E-02
     0.0235             1.654E-15            9.071E-02
     0.0250             1.653E-15            9.065E-02
     0.0255             1.652E-15            9.064E-02
     0.0275             1.652E-15            9.063E-02
     0.0276             1.652E-15            9.063E-02
     0.0295             1.653E-15            9.068E-02
     0.0302             1.654E-15            9.071E-02
     0.0315             1.655E-15            9.079E-02
     0.0328             1.657E-15            9.089E-02
     0.0335             1.658E-15            9.096E-02
     0.0354             1.662E-15            9.117E-02
     0.0355             1.662E-15            9.119E-02
     0.0375             1.668E-15            9.149E-02
     0.0379             1.669E-15            9.155E-02
     0.0395             1.674E-15            9.184E-02
     0.0405             1.678E-15            9.204E-02
     0.0415             1.682E-15            9.227E-02
     0.0431             1.689E-15            9.263E-02
     0.0435             1.691E-15            9.275E-02
     0.0455             1.701E-15            9.331E-02
     0.0456             1.701E-15            9.333E-02
     0.0475             1.712E-15            9.393E-02
     0.0482             1.716E-15            9.414E-02
     0.0495             1.725E-15            9.462E-02
     0.0507             1.733E-15            9.506E-02
     0.0515             1.739E-15            9.538E-02
     0.0532             1.752E-15            9.608E-02
     0.0535             1.754E-15            9.620E-02
     0.0555             1.770E-15            9.709E-02
     0.0558             1.772E-15            9.721E-02
     0.0575             1.787E-15            9.805E-02
     0.0583             1.795E-15            9.845E-02
     0.0595             1.806E-15            9.909E-02
     0.0608             1.819E-15            9.981E-02
     0.0615             1.827E-15            1.002E-01
     0.0634             1.846E-15            1.013E-01
     0.0635             1.848E-15            1.014E-01
     0.0655             1.871E-15            1.026E-01
     0.0659             1.875E-15            1.028E-01
     0.0675             1.895E-15            1.039E-01
     0.0684             1.906E-15            1.045E-01
     0.0695             1.920E-15            1.053E-01
     0.0709             1.939E-15            1.063E-01
     0.0715             1.947E-15            1.068E-01
     0.0734             1.973E-15            1.082E-01
     0.0735             1.976E-15            1.084E-01
     0.0755             2.005E-15            1.100E-01
     0.0759             2.010E-15            1.103E-01
     0.0775             2.036E-15            1.117E-01
     0.0784             2.049E-15            1.124E-01
     0.0795             2.068E-15            1.134E-01
     0.0808             2.090E-15            1.146E-01
     0.0815             2.102E-15            1.153E-01
     0.0833             2.133E-15            1.170E-01
     0.0835             2.137E-15            1.172E-01
     0.0855             2.173E-15            1.192E-01
     0.0858             2.178E-15            1.195E-01
     0.0875             2.211E-15            1.213E-01
     0.0882             2.225E-15            1.221E-01
     0.0895             2.251E-15            1.235E-01
     0.0907             2.274E-15            1.248E-01
     0.0915             2.292E-15            1.257E-01
     0.0931             2.325E-15            1.276E-01
     0.0935             2.334E-15            1.280E-01
     0.0955             2.378E-15            1.304E-01
     0.0956             2.379E-15            1.305E-01
     0.0975             2.423E-15            1.329E-01
     0.0980             2.434E-15            1.335E-01
     0.0995             2.469E-15            1.354E-01
     0.1004             2.491E-15            1.366E-01
     0.1015             2.517E-15            1.381E-01
     0.1029             2.550E-15            1.399E-01
     0.1035             2.567E-15            1.408E-01
     0.1053             2.611E-15            1.432E-01
     0.1055             2.618E-15            1.436E-01
     0.1075             2.670E-15            1.465E-01
     0.1077             2.674E-15            1.467E-01
     0.1095             2.724E-15            1.494E-01
     0.1101             2.739E-15            1.503E-01
     0.1115             2.780E-15            1.525E-01
     0.1125             2.806E-15            1.539E-01
     0.1135             2.837E-15            1.556E-01
     0.1148             2.875E-15            1.577E-01
     0.1155             2.895E-15            1.588E-01
     0.1172             2.946E-15            1.616E-01
     0.1175             2.955E-15            1.621E-01
     0.1195             3.016E-15            1.654E-01
     0.1196             3.018E-15            1.656E-01
     0.1215             3.079E-15            1.689E-01
     0.1220             3.093E-15            1.696E-01
     0.1235             3.143E-15            1.724E-01
     0.1243             3.169E-15            1.738E-01
     0.1255             3.209E-15            1.760E-01
     0.1267             3.247E-15            1.781E-01
     0.1275             3.276E-15            1.797E-01
     0.1290             3.326E-15            1.825E-01
     0.1295             3.344E-15            1.835E-01
     0.1313             3.408E-15            1.870E-01
     0.1315             3.415E-15            1.873E-01
     0.1335             3.486E-15            1.912E-01
     0.1337             3.491E-15            1.915E-01
     0.1355             3.559E-15            1.952E-01
     0.1360             3.576E-15            1.962E-01
     0.1375             3.634E-15            1.993E-01
     0.1383             3.663E-15            2.009E-01
     0.1395             3.710E-15            2.035E-01
     0.1406             3.751E-15            2.058E-01
     0.1415             3.787E-15            2.077E-01
     0.1429             3.841E-15            2.107E-01
     0.1435             3.866E-15            2.121E-01
     0.1452             3.932E-15            2.157E-01
     0.1455             3.946E-15            2.165E-01
     0.1475             4.025E-15            2.208E-01
     0.1475             4.028E-15            2.209E-01
     0.1495             4.111E-15            2.255E-01
     0.1497             4.119E-15            2.260E-01
     0.1515             4.195E-15            2.301E-01
