                 System #      119
     Galactic longitude l   -51.86
      Galactic latitude b     0.00
           distance (kpc)    12.96
    orbital period (days)    1.613
    arg. periastron (deg)  205.938
        inclination (deg)  124.765
             eccentricity    0.000
 neutron star mass (Msol)     1.40
         star mass (Msol)    30.00
       star radius (Rsol)    10.00
     star temperature (K) 33000.00
--------------------------------
orbital phase   flux > 1 TeV (ph cm-2 s-1)   (mCrab)
     0.0001             6.669E-17            3.658E-03
     0.0002             6.663E-17            3.655E-03
     0.0021             5.818E-17            3.191E-03
     0.0022             5.813E-17            3.189E-03
     0.0041             5.068E-17            2.780E-03
     0.0042             5.064E-17            2.778E-03
     0.0061             4.410E-17            2.419E-03
     0.0062             4.406E-17            2.417E-03
     0.0081             3.832E-17            2.102E-03
     0.0082             3.828E-17            2.100E-03
     0.0101             3.325E-17            1.824E-03
     0.0102             3.322E-17            1.822E-03
     0.0121             2.882E-17            1.581E-03
     0.0122             2.880E-17            1.580E-03
     0.0141             2.496E-17            1.369E-03
     0.0142             2.494E-17            1.368E-03
     0.0161             2.159E-17            1.184E-03
     0.0162             2.157E-17            1.183E-03
     0.0181             1.866E-17            1.024E-03
     0.0182             1.864E-17            1.023E-03
     0.0201             1.612E-17            8.841E-04
     0.0202             1.610E-17            8.833E-04
     0.0221             1.391E-17            7.630E-04
     0.0222             1.390E-17            7.622E-04
     0.0241             1.200E-17            6.580E-04
     0.0242             1.198E-17            6.574E-04
     0.0261             1.034E-17            5.673E-04
     0.0262             1.033E-17            5.668E-04
     0.0281             8.913E-18            4.889E-04
     0.0282             8.904E-18            4.884E-04
     0.0301             7.679E-18            4.213E-04
     0.0302             7.672E-18            4.209E-04
     0.0321             6.617E-18            3.630E-04
     0.0322             6.611E-18            3.626E-04
     0.0341             5.702E-18            3.128E-04
     0.0342             5.697E-18            3.125E-04
     0.0361             4.915E-18            2.696E-04
     0.0362             4.910E-18            2.693E-04
     0.0381             4.238E-18            2.325E-04
     0.0382             4.234E-18            2.323E-04
     0.0401             3.658E-18            2.006E-04
     0.0402             3.654E-18            2.005E-04
     0.0421             3.159E-18            1.733E-04
     0.0422             3.156E-18            1.731E-04
     0.0441             2.732E-18            1.498E-04
     0.0442             2.729E-18            1.497E-04
     0.0461             2.365E-18            1.297E-04
     0.0462             2.363E-18            1.296E-04
     0.0481             2.051E-18            1.125E-04
     0.0482             2.049E-18            1.124E-04
     0.0501             1.781E-18            9.772E-05
     0.0502             1.780E-18            9.763E-05
     0.0521             1.551E-18            8.506E-05
     0.0522             1.549E-18            8.499E-05
     0.0541             1.353E-18            7.421E-05
     0.0542             1.352E-18            7.415E-05
     0.0561             1.183E-18            6.491E-05
     0.0562             1.182E-18            6.486E-05
     0.0581             1.038E-18            5.694E-05
     0.0582             1.037E-18            5.689E-05
     0.0601             9.133E-19            5.010E-05
     0.0602             9.126E-19            5.006E-05
     0.0621             8.063E-19            4.423E-05
     0.0622             8.057E-19            4.420E-05
     0.0641             7.145E-19            3.920E-05
     0.0642             7.140E-19            3.917E-05
     0.0661             6.357E-19            3.487E-05
     0.0662             6.352E-19            3.485E-05
     0.0681             5.680E-19            3.116E-05
     0.0682             5.676E-19            3.113E-05
     0.0701             5.098E-19            2.796E-05
     0.0702             5.095E-19            2.795E-05
     0.0721             4.598E-19            2.522E-05
     0.0722             4.595E-19            2.521E-05
     0.0741             4.168E-19            2.286E-05
