                 System #       12
     Galactic longitude l   105.77
      Galactic latitude b     0.00
           distance (kpc)     8.21
    orbital period (days)  151.947
    arg. periastron (deg)  297.012
        inclination (deg)  112.327
             eccentricity    0.722
 neutron star mass (Msol)     1.40
         star mass (Msol)    30.00
       star radius (Rsol)    10.00
     star temperature (K) 33000.00
--------------------------------
orbital phase   flux > 1 TeV (ph cm-2 s-1)   (mCrab)
     0.0018             9.102E-17            4.993E-03
     0.0020             9.107E-17            4.996E-03
     0.0038             9.148E-17            5.018E-03
     0.0044             9.163E-17            5.026E-03
     0.0058             9.195E-17            5.044E-03
     0.0068             9.219E-17            5.057E-03
     0.0078             9.242E-17            5.070E-03
     0.0092             9.275E-17            5.088E-03
     0.0098             9.290E-17            5.096E-03
     0.0115             9.333E-17            5.119E-03
     0.0118             9.339E-17            5.123E-03
     0.0138             9.389E-17            5.150E-03
     0.0139             9.391E-17            5.151E-03
     0.0158             9.440E-17            5.178E-03
     0.0162             9.450E-17            5.184E-03
     0.0178             9.492E-17            5.207E-03
     0.0185             9.509E-17            5.216E-03
     0.0198             9.544E-17            5.236E-03
     0.0208             9.570E-17            5.249E-03
     0.0218             9.598E-17            5.265E-03
     0.0230             9.631E-17            5.283E-03
     0.0238             9.652E-17            5.295E-03
     0.0253             9.693E-17            5.317E-03
     0.0258             9.708E-17            5.325E-03
     0.0275             9.755E-17            5.351E-03
     0.0278             9.764E-17            5.356E-03
     0.0297             9.819E-17            5.386E-03
     0.0298             9.822E-17            5.388E-03
     0.0318             9.881E-17            5.420E-03
     0.0319             9.883E-17            5.421E-03
     0.0338             9.940E-17            5.453E-03
     0.0341             9.948E-17            5.457E-03
     0.0358             1.000E-16            5.486E-03
     0.0362             1.001E-16            5.493E-03
     0.0378             1.006E-16            5.520E-03
     0.0384             1.008E-16            5.529E-03
     0.0398             1.013E-16            5.555E-03
     0.0405             1.015E-16            5.566E-03
     0.0418             1.019E-16            5.590E-03
     0.0426             1.022E-16            5.604E-03
     0.0438             1.026E-16            5.626E-03
     0.0447             1.028E-16            5.641E-03
     0.0458             1.032E-16            5.663E-03
     0.0467             1.035E-16            5.680E-03
     0.0478             1.039E-16            5.700E-03
     0.0488             1.042E-16            5.718E-03
     0.0498             1.046E-16            5.738E-03
     0.0508             1.050E-16            5.757E-03
     0.0518             1.053E-16            5.777E-03
     0.0528             1.057E-16            5.797E-03
     0.0538             1.060E-16            5.817E-03
     0.0548             1.064E-16            5.837E-03
     0.0558             1.068E-16            5.858E-03
     0.0568             1.071E-16            5.877E-03
     0.0578             1.075E-16            5.899E-03
     0.0587             1.079E-16            5.918E-03
     0.0598             1.083E-16            5.941E-03
     0.0606             1.086E-16            5.959E-03
     0.0618             1.091E-16            5.985E-03
     0.0626             1.094E-16            6.001E-03
     0.0638             1.099E-16            6.029E-03
     0.0645             1.102E-16            6.043E-03
     0.0658             1.107E-16            6.074E-03
     0.0663             1.109E-16            6.086E-03
     0.0678             1.116E-16            6.120E-03
     0.0682             1.117E-16            6.129E-03
     0.0698             1.124E-16            6.166E-03
     0.0701             1.125E-16            6.172E-03
     0.0718             1.133E-16            6.214E-03
     0.0719             1.133E-16            6.216E-03
     0.0737             1.141E-16            6.260E-03
     0.0738             1.142E-16            6.263E-03
     0.0755             1.149E-16            6.305E-03
     0.0758             1.151E-16            6.313E-03
     0.0773             1.158E-16            6.350E-03
     0.0778             1.160E-16            6.364E-03
     0.0790             1.166E-16            6.396E-03
     0.0798             1.170E-16            6.417E-03
     0.0808             1.174E-16            6.442E-03
     0.0818             1.179E-16            6.470E-03
     0.0825             1.183E-16            6.488E-03
     0.0838             1.189E-16            6.524E-03
     0.0842             1.191E-16            6.534E-03
     0.0858             1.200E-16            6.580E-03
     0.0859             1.200E-16            6.581E-03
     0.0875             1.208E-16            6.629E-03
     0.0878             1.210E-16            6.637E-03
     0.0892             1.217E-16            6.676E-03
     0.0898             1.221E-16            6.695E-03
     0.0908             1.226E-16            6.724E-03
     0.0918             1.231E-16            6.754E-03
     0.0924             1.235E-16            6.773E-03
     0.0938             1.242E-16            6.815E-03
     0.0940             1.244E-16            6.821E-03
     0.0956             1.252E-16            6.870E-03
     0.0958             1.254E-16            6.877E-03
     0.0972             1.261E-16            6.919E-03
     0.0978             1.265E-16            6.940E-03
     0.0987             1.270E-16            6.968E-03
     0.0998             1.277E-16            7.004E-03
     0.1002             1.279E-16            7.018E-03
     0.1017             1.288E-16            7.068E-03
     0.1018             1.289E-16            7.070E-03
     0.1032             1.298E-16            7.117E-03
     0.1038             1.301E-16            7.137E-03
     0.1047             1.307E-16            7.167E-03
     0.1058             1.313E-16            7.205E-03
     0.1062             1.316E-16            7.217E-03
     0.1076             1.325E-16            7.268E-03
     0.1078             1.326E-16            7.275E-03
     0.1090             1.334E-16            7.317E-03
     0.1098             1.339E-16            7.345E-03
     0.1104             1.343E-16            7.367E-03
     0.1118             1.352E-16            7.416E-03
     0.1118             1.352E-16            7.417E-03
     0.1132             1.361E-16            7.467E-03
     0.1138             1.365E-16            7.489E-03
     0.1146             1.370E-16            7.517E-03
     0.1158             1.379E-16            7.562E-03
     0.1159             1.379E-16            7.566E-03
     0.1173             1.388E-16            7.616E-03
     0.1178             1.392E-16            7.636E-03
     0.1186             1.397E-16            7.664E-03
     0.1198             1.406E-16            7.711E-03
     0.1199             1.406E-16            7.713E-03
     0.1211             1.415E-16            7.761E-03
     0.1218             1.419E-16            7.786E-03
     0.1224             1.423E-16            7.808E-03
     0.1237             1.432E-16            7.855E-03
     0.1238             1.433E-16            7.861E-03
     0.1249             1.440E-16            7.901E-03
     0.1258             1.447E-16            7.935E-03
     0.1261             1.449E-16            7.946E-03
     0.1273             1.457E-16            7.991E-03
     0.1278             1.460E-16            8.009E-03
     0.1285             1.465E-16            8.034E-03
     0.1297             1.472E-16            8.076E-03
     0.1298             1.473E-16            8.082E-03
     0.1308             1.480E-16            8.117E-03
     0.1318             1.486E-16            8.152E-03
     0.1320             1.487E-16            8.157E-03
     0.1331             1.494E-16            8.195E-03
     0.1338             1.498E-16            8.220E-03
     0.1342             1.501E-16            8.232E-03
     0.1353             1.507E-16            8.268E-03
     0.1358             1.510E-16            8.283E-03
     0.1364             1.513E-16            8.301E-03
     0.1375             1.519E-16            8.332E-03
     0.1378             1.521E-16            8.342E-03
     0.1385             1.524E-16            8.362E-03
     0.1396             1.529E-16            8.388E-03
     0.1398             1.530E-16            8.394E-03
     0.1406             1.534E-16            8.413E-03
     0.1416             1.538E-16            8.435E-03
     0.1418             1.538E-16            8.439E-03
     0.1426             1.541E-16            8.453E-03
     0.1436             1.544E-16            8.469E-03
     0.1438             1.544E-16            8.471E-03
     0.1446             1.546E-16            8.481E-03
     0.1456             1.548E-16            8.490E-03
     0.1458             1.548E-16            8.491E-03
     0.1465             1.549E-16            8.495E-03
     0.1475             1.549E-16            8.496E-03
     0.1478             1.549E-16            8.495E-03
     0.1484             1.548E-16            8.492E-03
     0.1493             1.547E-16            8.484E-03
     0.1498             1.545E-16            8.477E-03
     0.1502             1.544E-16            8.471E-03
     0.1511             1.541E-16            8.453E-03
     0.1518             1.538E-16            8.434E-03
     0.1520             1.537E-16            8.429E-03
     0.1528             1.531E-16            8.399E-03
     0.1537             1.525E-16            8.364E-03
     0.1538             1.524E-16            8.359E-03
     0.1546             1.517E-16            8.321E-03
     0.1554             1.508E-16            8.272E-03
     0.1558             1.503E-16            8.244E-03
