                 System #      124
     Galactic longitude l   -20.13
      Galactic latitude b     0.00
           distance (kpc)     8.31
    orbital period (days)    9.456
    arg. periastron (deg)  332.311
        inclination (deg)  137.876
             eccentricity    0.376
 neutron star mass (Msol)     1.40
         star mass (Msol)    30.00
       star radius (Rsol)    10.00
     star temperature (K) 33000.00
--------------------------------
orbital phase   flux > 1 TeV (ph cm-2 s-1)   (mCrab)
     0.0002             3.097E-16            1.699E-02
     0.0020             3.087E-16            1.694E-02
     0.0020             3.087E-16            1.693E-02
     0.0038             3.077E-16            1.688E-02
     0.0040             3.076E-16            1.687E-02
     0.0056             3.067E-16            1.682E-02
     0.0060             3.064E-16            1.681E-02
     0.0074             3.056E-16            1.676E-02
     0.0080             3.053E-16            1.674E-02
     0.0092             3.045E-16            1.671E-02
     0.0100             3.041E-16            1.668E-02
     0.0110             3.035E-16            1.665E-02
     0.0120             3.029E-16            1.661E-02
     0.0127             3.024E-16            1.659E-02
     0.0140             3.017E-16            1.655E-02
     0.0145             3.014E-16            1.653E-02
     0.0160             3.004E-16            1.648E-02
     0.0162             3.003E-16            1.647E-02
     0.0180             2.992E-16            1.641E-02
     0.0180             2.992E-16            1.641E-02
     0.0197             2.981E-16            1.635E-02
     0.0200             2.980E-16            1.634E-02
     0.0214             2.971E-16            1.630E-02
     0.0220             2.967E-16            1.628E-02
     0.0231             2.960E-16            1.624E-02
     0.0240             2.954E-16            1.621E-02
     0.0248             2.949E-16            1.618E-02
     0.0260             2.942E-16            1.614E-02
     0.0265             2.938E-16            1.612E-02
     0.0280             2.929E-16            1.607E-02
     0.0282             2.927E-16            1.606E-02
     0.0299             2.917E-16            1.600E-02
     0.0300             2.916E-16            1.600E-02
     0.0315             2.906E-16            1.594E-02
     0.0320             2.903E-16            1.593E-02
     0.0332             2.896E-16            1.588E-02
     0.0340             2.890E-16            1.586E-02
     0.0348             2.885E-16            1.583E-02
     0.0360             2.878E-16            1.579E-02
     0.0365             2.875E-16            1.577E-02
