                 System #      125
     Galactic longitude l    42.16
      Galactic latitude b     0.00
           distance (kpc)    11.30
    orbital period (days)    2.611
    arg. periastron (deg)  255.639
        inclination (deg)  112.201
             eccentricity    0.107
 neutron star mass (Msol)     1.40
         star mass (Msol)    30.00
       star radius (Rsol)    10.00
     star temperature (K) 33000.00
--------------------------------
orbital phase   flux > 1 TeV (ph cm-2 s-1)   (mCrab)
     0.0000             4.130E-21            2.266E-07
     0.0002             4.109E-21            2.254E-07
     0.0022             3.867E-21            2.121E-07
     0.0022             3.861E-21            2.118E-07
     0.0042             3.688E-21            2.023E-07
     0.0044             3.669E-21            2.012E-07
     0.0062             3.565E-21            1.956E-07
     0.0066             3.544E-21            1.944E-07
     0.0082             3.495E-21            1.917E-07
     0.0088             3.482E-21            1.910E-07
     0.0102             3.474E-21            1.905E-07
     0.0110             3.480E-21            1.909E-07
     0.0122             3.501E-21            1.920E-07
     0.0132             3.537E-21            1.940E-07
     0.0142             3.578E-21            1.963E-07
     0.0154             3.656E-21            2.006E-07
     0.0162             3.708E-21            2.034E-07
     0.0177             3.843E-21            2.108E-07
     0.0182             3.895E-21            2.137E-07
     0.0199             4.105E-21            2.252E-07
     0.0202             4.147E-21            2.275E-07
     0.0221             4.455E-21            2.444E-07
     0.0222             4.472E-21            2.453E-07
     0.0242             4.884E-21            2.679E-07
     0.0243             4.909E-21            2.693E-07
     0.0262             5.399E-21            2.961E-07
     0.0265             5.488E-21            3.011E-07
     0.0282             6.037E-21            3.311E-07
     0.0287             6.221E-21            3.413E-07
     0.0302             6.824E-21            3.743E-07
     0.0309             7.144E-21            3.919E-07
     0.0322             7.794E-21            4.276E-07
     0.0331             8.303E-21            4.555E-07
     0.0342             8.989E-21            4.931E-07
     0.0353             9.760E-21            5.354E-07
     0.0362             1.046E-20            5.738E-07
     0.0374             1.159E-20            6.358E-07
     0.0382             1.227E-20            6.733E-07
     0.0396             1.389E-20            7.621E-07
     0.0402             1.451E-20            7.960E-07
     0.0418             1.679E-20            9.213E-07
     0.0422             1.728E-20            9.477E-07
     0.0440             2.046E-20            1.122E-06
     0.0442             2.070E-20            1.135E-06
     0.0462             2.493E-20            1.368E-06
     0.0462             2.508E-20            1.376E-06
     0.0482             3.018E-20            1.655E-06
     0.0484             3.092E-20            1.696E-06
     0.0502             3.668E-20            2.012E-06
     0.0506             3.831E-20            2.101E-06
     0.0522             4.475E-20            2.455E-06
     0.0528             4.765E-20            2.614E-06
     0.0542             5.476E-20            3.004E-06
     0.0550             5.947E-20            3.262E-06
     0.0562             6.717E-20            3.685E-06
     0.0571             7.440E-20            4.081E-06
     0.0582             8.256E-20            4.529E-06
     0.0593             9.326E-20            5.115E-06
     0.0602             1.016E-19            5.574E-06
     0.0615             1.170E-19            6.420E-06
     0.0622             1.252E-19            6.866E-06
     0.0637             1.470E-19            8.061E-06
     0.0642             1.543E-19            8.463E-06
     0.0659             1.845E-19            1.012E-05
     0.0662             1.902E-19            1.043E-05
     0.0680             2.316E-19            1.271E-05
     0.0682             2.344E-19            1.286E-05
     0.0702             2.886E-19            1.583E-05
     0.0702             2.905E-19            1.594E-05
     0.0722             3.551E-19            1.948E-05
     0.0724             3.639E-19            1.996E-05
     0.0742             4.365E-19            2.394E-05
