                 System #      126
     Galactic longitude l    -8.55
      Galactic latitude b     0.00
           distance (kpc)    14.19
    orbital period (days)    4.629
    arg. periastron (deg)  205.606
        inclination (deg)   33.876
             eccentricity    0.105
 neutron star mass (Msol)     1.40
         star mass (Msol)    30.00
       star radius (Rsol)    10.00
     star temperature (K) 33000.00
--------------------------------
orbital phase   flux > 1 TeV (ph cm-2 s-1)   (mCrab)
     0.0010             7.843E-17            4.302E-03
     0.0017             7.881E-17            4.323E-03
     0.0030             7.950E-17            4.361E-03
     0.0035             7.978E-17            4.376E-03
     0.0050             8.057E-17            4.420E-03
     0.0053             8.074E-17            4.429E-03
     0.0070             8.164E-17            4.478E-03
     0.0071             8.169E-17            4.481E-03
     0.0088             8.264E-17            4.533E-03
     0.0090             8.270E-17            4.537E-03
     0.0106             8.359E-17            4.585E-03
     0.0110             8.376E-17            4.595E-03
     0.0124             8.454E-17            4.637E-03
     0.0130             8.482E-17            4.653E-03
     0.0142             8.548E-17            4.689E-03
     0.0150             8.587E-17            4.710E-03
     0.0160             8.642E-17            4.740E-03
     0.0170             8.691E-17            4.767E-03
     0.0178             8.735E-17            4.792E-03
     0.0190             8.795E-17            4.824E-03
     0.0196             8.828E-17            4.842E-03
     0.0210             8.898E-17            4.881E-03
     0.0214             8.920E-17            4.893E-03
     0.0230             9.000E-17            4.937E-03
     0.0232             9.011E-17            4.943E-03
     0.0250             9.101E-17            4.992E-03
     0.0250             9.102E-17            4.993E-03
     0.0268             9.193E-17            5.043E-03
     0.0270             9.203E-17            5.048E-03
     0.0286             9.282E-17            5.092E-03
     0.0290             9.303E-17            5.103E-03
     0.0303             9.371E-17            5.141E-03
     0.0310             9.402E-17            5.157E-03
     0.0321             9.459E-17            5.189E-03
     0.0330             9.500E-17            5.211E-03
     0.0339             9.547E-17            5.237E-03
     0.0350             9.597E-17            5.264E-03
     0.0357             9.633E-17            5.284E-03
     0.0370             9.693E-17            5.317E-03
     0.0375             9.719E-17            5.331E-03
     0.0390             9.788E-17            5.369E-03
     0.0393             9.804E-17            5.378E-03
     0.0410             9.882E-17            5.421E-03
     0.0411             9.888E-17            5.424E-03
     0.0429             9.971E-17            5.470E-03
     0.0430             9.975E-17            5.472E-03
     0.0447             1.005E-16            5.515E-03
     0.0450             1.007E-16            5.522E-03
     0.0465             1.013E-16            5.559E-03
     0.0470             1.016E-16            5.572E-03
     0.0483             1.021E-16            5.603E-03
     0.0490             1.025E-16            5.620E-03
     0.0501             1.029E-16            5.647E-03
     0.0510             1.033E-16            5.668E-03
     0.0519             1.037E-16            5.690E-03
     0.0530             1.042E-16            5.716E-03
     0.0536             1.045E-16            5.732E-03
     0.0550             1.051E-16            5.763E-03
     0.0554             1.053E-16            5.774E-03
     0.0570             1.059E-16            5.809E-03
     0.0572             1.060E-16            5.815E-03
     0.0590             1.067E-16            5.854E-03
     0.0590             1.067E-16            5.856E-03
     0.0608             1.075E-16            5.895E-03
     0.0610             1.075E-16            5.898E-03
     0.0626             1.082E-16            5.935E-03
     0.0630             1.083E-16            5.942E-03
     0.0644             1.089E-16            5.973E-03
     0.0650             1.091E-16            5.984E-03
     0.0662             1.096E-16            6.011E-03
     0.0670             1.099E-16            6.026E-03
     0.0680             1.103E-16            6.048E-03
     0.0690             1.106E-16            6.067E-03
     0.0698             1.109E-16            6.085E-03
     0.0710             1.113E-16            6.108E-03
     0.0716             1.116E-16            6.121E-03
     0.0730             1.121E-16            6.147E-03
     0.0734             1.122E-16            6.156E-03
     0.0750             1.128E-16            6.185E-03
     0.0752             1.129E-16            6.191E-03
     0.0770             1.134E-16            6.223E-03
     0.0770             1.135E-16            6.224E-03
     0.0788             1.141E-16            6.258E-03
     0.0790             1.141E-16            6.260E-03
     0.0806             1.147E-16            6.290E-03
     0.0810             1.148E-16            6.296E-03
     0.0825             1.152E-16            6.322E-03
     0.0830             1.154E-16            6.331E-03
     0.0843             1.158E-16            6.353E-03
     0.0850             1.160E-16            6.365E-03
     0.0861             1.164E-16            6.383E-03
     0.0870             1.166E-16            6.398E-03
     0.0879             1.169E-16            6.413E-03
     0.0890             1.172E-16            6.430E-03
     0.0897             1.174E-16            6.442E-03
     0.0910             1.178E-16            6.461E-03
     0.0915             1.179E-16            6.470E-03
