                 System #      128
     Galactic longitude l   -23.95
      Galactic latitude b     0.00
           distance (kpc)     6.82
    orbital period (days)  262.531
    arg. periastron (deg)  283.679
        inclination (deg)   18.022
             eccentricity    0.590
 neutron star mass (Msol)     1.40
         star mass (Msol)    30.00
       star radius (Rsol)    10.00
     star temperature (K) 33000.00
--------------------------------
orbital phase   flux > 1 TeV (ph cm-2 s-1)   (mCrab)
     0.0019             3.341E-17            1.833E-03
     0.0024             3.343E-17            1.834E-03
     0.0039             3.349E-17            1.837E-03
     0.0052             3.353E-17            1.840E-03
     0.0059             3.356E-17            1.841E-03
     0.0079             3.364E-17            1.845E-03
     0.0080             3.364E-17            1.845E-03
     0.0099             3.372E-17            1.849E-03
     0.0107             3.375E-17            1.851E-03
     0.0119             3.380E-17            1.854E-03
     0.0135             3.386E-17            1.857E-03
     0.0139             3.388E-17            1.858E-03
     0.0159             3.396E-17            1.863E-03
     0.0163             3.397E-17            1.863E-03
     0.0179             3.404E-17            1.867E-03
     0.0190             3.409E-17            1.870E-03
     0.0199             3.412E-17            1.872E-03
     0.0217             3.420E-17            1.876E-03
     0.0219             3.421E-17            1.877E-03
     0.0239             3.430E-17            1.881E-03
     0.0245             3.432E-17            1.883E-03
     0.0259             3.438E-17            1.886E-03
     0.0272             3.444E-17            1.889E-03
     0.0279             3.447E-17            1.891E-03
     0.0299             3.456E-17            1.896E-03
     0.0299             3.456E-17            1.896E-03
     0.0319             3.466E-17            1.901E-03
     0.0326             3.469E-17            1.903E-03
     0.0339             3.475E-17            1.906E-03
     0.0352             3.481E-17            1.910E-03
     0.0359             3.485E-17            1.911E-03
     0.0379             3.494E-17            1.917E-03
     0.0379             3.494E-17            1.917E-03
     0.0399             3.504E-17            1.922E-03
     0.0405             3.507E-17            1.924E-03
     0.0419             3.514E-17            1.928E-03
     0.0432             3.520E-17            1.931E-03
     0.0439             3.524E-17            1.933E-03
     0.0458             3.534E-17            1.939E-03
     0.0459             3.534E-17            1.939E-03
     0.0479             3.545E-17            1.945E-03
     0.0484             3.548E-17            1.946E-03
     0.0499             3.555E-17            1.950E-03
     0.0510             3.561E-17            1.954E-03
     0.0519             3.566E-17            1.956E-03
     0.0536             3.576E-17            1.961E-03
     0.0539             3.577E-17            1.962E-03
     0.0559             3.588E-17            1.968E-03
     0.0562             3.590E-17            1.969E-03
     0.0579             3.600E-17            1.975E-03
     0.0587             3.605E-17            1.977E-03
     0.0599             3.611E-17            1.981E-03
     0.0613             3.619E-17            1.985E-03
     0.0619             3.623E-17            1.987E-03
     0.0638             3.634E-17            1.994E-03
     0.0639             3.635E-17            1.994E-03
     0.0659             3.647E-17            2.001E-03
     0.0663             3.650E-17            2.002E-03
     0.0679             3.659E-17            2.007E-03
     0.0689             3.665E-17            2.010E-03
     0.0699             3.672E-17            2.014E-03
     0.0714             3.681E-17            2.019E-03
     0.0719             3.684E-17            2.021E-03
     0.0738             3.697E-17            2.028E-03
     0.0739             3.697E-17            2.028E-03
     0.0759             3.710E-17            2.035E-03
     0.0763             3.713E-17            2.037E-03
     0.0779             3.724E-17            2.043E-03
     0.0788             3.729E-17            2.046E-03
     0.0799             3.737E-17            2.050E-03
     0.0812             3.746E-17            2.055E-03
     0.0819             3.751E-17            2.058E-03
     0.0836             3.763E-17            2.064E-03
     0.0839             3.765E-17            2.065E-03
     0.0859             3.779E-17            2.073E-03
     0.0860             3.780E-17            2.074E-03
     0.0879             3.794E-17            2.081E-03
     0.0884             3.797E-17            2.083E-03
     0.0899             3.808E-17            2.089E-03
     0.0908             3.815E-17            2.093E-03
     0.0919             3.823E-17            2.097E-03
     0.0932             3.833E-17            2.103E-03
     0.0939             3.838E-17            2.106E-03
     0.0956             3.851E-17            2.112E-03
     0.0959             3.854E-17            2.114E-03
     0.0979             3.869E-17            2.123E-03
     0.0979             3.870E-17            2.123E-03
     0.0999             3.885E-17            2.131E-03
     0.1002             3.888E-17            2.133E-03
     0.1019             3.902E-17            2.140E-03
     0.1025             3.907E-17            2.143E-03
     0.1039             3.918E-17            2.149E-03
     0.1048             3.926E-17            2.154E-03
     0.1059             3.935E-17            2.159E-03
     0.1071             3.945E-17            2.164E-03
     0.1079             3.952E-17            2.168E-03
     0.1094             3.965E-17            2.175E-03
     0.1099             3.970E-17            2.177E-03
     0.1117             3.985E-17            2.186E-03
     0.1119             3.987E-17            2.187E-03
     0.1139             4.005E-17            2.197E-03
     0.1139             4.005E-17            2.197E-03
     0.1159             4.024E-17            2.207E-03
     0.1161             4.026E-17            2.208E-03
     0.1179             4.042E-17            2.217E-03
     0.1183             4.046E-17            2.220E-03
     0.1199             4.061E-17            2.228E-03
     0.1205             4.067E-17            2.231E-03
     0.1219             4.080E-17            2.238E-03
     0.1227             4.088E-17            2.243E-03
     0.1239             4.100E-17            2.249E-03
     0.1249             4.110E-17            2.254E-03
     0.1259             4.120E-17            2.260E-03
     0.1270             4.132E-17            2.266E-03
     0.1279             4.140E-17            2.271E-03
     0.1292             4.154E-17            2.279E-03
     0.1299             4.161E-17            2.283E-03
     0.1313             4.176E-17            2.291E-03
     0.1319             4.182E-17            2.294E-03
     0.1334             4.199E-17            2.303E-03
     0.1339             4.204E-17            2.306E-03
     0.1355             4.221E-17            2.316E-03
     0.1359             4.226E-17            2.318E-03
     0.1376             4.245E-17            2.328E-03
     0.1379             4.248E-17            2.330E-03
     0.1397             4.268E-17            2.341E-03
     0.1399             4.271E-17            2.343E-03
     0.1417             4.292E-17            2.354E-03
     0.1419             4.294E-17            2.355E-03
     0.1438             4.316E-17            2.367E-03
     0.1439             4.317E-17            2.368E-03
     0.1458             4.340E-17            2.381E-03
     0.1459             4.341E-17            2.381E-03
     0.1478             4.364E-17            2.394E-03
     0.1479             4.366E-17            2.395E-03
     0.1498             4.389E-17            2.408E-03
     0.1499             4.391E-17            2.409E-03
     0.1518             4.414E-17            2.421E-03
     0.1519             4.416E-17            2.423E-03
     0.1537             4.440E-17            2.435E-03
     0.1539             4.442E-17            2.437E-03
     0.1557             4.465E-17            2.449E-03
     0.1559             4.469E-17            2.451E-03
     0.1576             4.491E-17            2.464E-03
     0.1579             4.495E-17            2.466E-03
     0.1595             4.518E-17            2.478E-03
     0.1599             4.523E-17            2.481E-03
     0.1614             4.544E-17            2.493E-03
     0.1619             4.551E-17            2.496E-03
     0.1633             4.571E-17            2.507E-03
     0.1639             4.579E-17            2.512E-03
     0.1652             4.598E-17            2.522E-03
     0.1659             4.609E-17            2.528E-03
     0.1670             4.625E-17            2.537E-03
     0.1679             4.638E-17            2.544E-03
     0.1689             4.653E-17            2.552E-03
     0.1699             4.668E-17            2.561E-03
     0.1707             4.681E-17            2.568E-03
     0.1719             4.699E-17            2.578E-03
     0.1725             4.709E-17            2.583E-03
     0.1739             4.731E-17            2.595E-03
     0.1743             4.738E-17            2.599E-03
     0.1759             4.763E-17            2.613E-03
     0.1761             4.766E-17            2.615E-03
     0.1779             4.795E-17            2.631E-03
     0.1779             4.796E-17            2.631E-03
     0.1796             4.825E-17            2.647E-03
     0.1799             4.829E-17            2.649E-03
     0.1814             4.854E-17            2.663E-03
     0.1819             4.863E-17            2.668E-03
     0.1831             4.884E-17            2.679E-03
     0.1839             4.898E-17            2.687E-03
     0.1848             4.914E-17            2.696E-03
     0.1859             4.934E-17            2.706E-03
     0.1865             4.945E-17            2.713E-03
     0.1879             4.970E-17            2.726E-03
     0.1882             4.976E-17            2.729E-03
     0.1899             5.007E-17            2.746E-03
     0.1899             5.007E-17            2.747E-03
     0.1915             5.038E-17            2.764E-03
     0.1919             5.045E-17            2.767E-03
     0.1932             5.069E-17            2.781E-03
     0.1939             5.083E-17            2.788E-03
     0.1948             5.101E-17            2.798E-03
     0.1959             5.123E-17            2.810E-03
     0.1964             5.133E-17            2.816E-03
     0.1979             5.163E-17            2.832E-03
     0.1980             5.165E-17            2.833E-03
     0.1996             5.198E-17            2.851E-03
     0.1999             5.204E-17            2.855E-03
     0.2012             5.231E-17            2.869E-03
     0.2019             5.246E-17            2.878E-03
     0.2027             5.264E-17            2.887E-03
     0.2039             5.289E-17            2.901E-03
     0.2043             5.297E-17            2.906E-03
     0.2058             5.330E-17            2.924E-03
     0.2059             5.332E-17            2.925E-03
     0.2073             5.364E-17            2.942E-03
     0.2079             5.377E-17            2.949E-03
     0.2088             5.398E-17            2.961E-03
     0.2099             5.422E-17            2.974E-03
     0.2103             5.432E-17            2.980E-03
     0.2118             5.466E-17            2.999E-03
     0.2119             5.469E-17            3.000E-03
     0.2133             5.501E-17            3.018E-03
     0.2139             5.516E-17            3.026E-03
     0.2147             5.536E-17            3.037E-03
     0.2159             5.564E-17            3.052E-03
     0.2162             5.571E-17            3.056E-03
     0.2176             5.606E-17            3.075E-03
     0.2179             5.613E-17            3.079E-03
     0.2190             5.641E-17            3.094E-03
     0.2199             5.664E-17            3.107E-03
     0.2204             5.676E-17            3.114E-03
     0.2218             5.712E-17            3.133E-03
     0.2219             5.715E-17            3.135E-03
     0.2232             5.747E-17            3.153E-03
     0.2239             5.767E-17            3.163E-03
