                 System #      129
     Galactic longitude l   -17.98
      Galactic latitude b     0.00
           distance (kpc)    17.61
    orbital period (days)  224.882
    arg. periastron (deg)  513.508
        inclination (deg)    4.814
             eccentricity    0.373
 neutron star mass (Msol)     1.40
         star mass (Msol)    30.00
       star radius (Rsol)    10.00
     star temperature (K) 33000.00
--------------------------------
orbital phase   flux > 1 TeV (ph cm-2 s-1)   (mCrab)
     0.0000             2.046E-18            1.122E-04
     0.0020             2.052E-18            1.126E-04
     0.0021             2.052E-18            1.126E-04
     0.0040             2.058E-18            1.129E-04
     0.0045             2.059E-18            1.130E-04
     0.0060             2.064E-18            1.132E-04
     0.0068             2.066E-18            1.133E-04
     0.0080             2.070E-18            1.135E-04
     0.0092             2.073E-18            1.137E-04
     0.0100             2.076E-18            1.139E-04
     0.0115             2.081E-18            1.141E-04
     0.0120             2.082E-18            1.142E-04
     0.0138             2.088E-18            1.145E-04
     0.0140             2.088E-18            1.146E-04
     0.0160             2.095E-18            1.149E-04
     0.0161             2.095E-18            1.149E-04
     0.0180             2.101E-18            1.153E-04
     0.0184             2.103E-18            1.153E-04
     0.0200             2.108E-18            1.156E-04
     0.0207             2.110E-18            1.157E-04
     0.0220             2.114E-18            1.160E-04
     0.0230             2.118E-18            1.162E-04
     0.0240             2.121E-18            1.163E-04
     0.0253             2.125E-18            1.166E-04
     0.0260             2.128E-18            1.167E-04
     0.0276             2.133E-18            1.170E-04
     0.0280             2.135E-18            1.171E-04
     0.0298             2.141E-18            1.174E-04
     0.0300             2.142E-18            1.175E-04
     0.0320             2.149E-18            1.179E-04
     0.0321             2.149E-18            1.179E-04
     0.0340             2.156E-18            1.183E-04
     0.0343             2.157E-18            1.183E-04
     0.0360             2.163E-18            1.187E-04
     0.0366             2.165E-18            1.188E-04
     0.0380             2.170E-18            1.191E-04
     0.0388             2.173E-18            1.192E-04
     0.0400             2.178E-18            1.195E-04
     0.0410             2.181E-18            1.197E-04
     0.0420             2.185E-18            1.199E-04
     0.0432             2.190E-18            1.201E-04
     0.0440             2.193E-18            1.203E-04
     0.0454             2.198E-18            1.206E-04
     0.0460             2.201E-18            1.207E-04
     0.0476             2.207E-18            1.210E-04
     0.0480             2.208E-18            1.211E-04
     0.0498             2.215E-18            1.215E-04
     0.0500             2.216E-18            1.216E-04
     0.0520             2.224E-18            1.220E-04
     0.0520             2.224E-18            1.220E-04
     0.0540             2.232E-18            1.225E-04
     0.0541             2.233E-18            1.225E-04
     0.0560             2.240E-18            1.229E-04
     0.0563             2.242E-18            1.230E-04
     0.0580             2.249E-18            1.234E-04
     0.0584             2.250E-18            1.234E-04
     0.0600             2.257E-18            1.238E-04
     0.0606             2.259E-18            1.239E-04
     0.0620             2.266E-18            1.243E-04
     0.0627             2.269E-18            1.244E-04
     0.0640             2.274E-18            1.248E-04
     0.0648             2.278E-18            1.249E-04
     0.0660             2.283E-18            1.252E-04
     0.0669             2.287E-18            1.254E-04
     0.0680             2.292E-18            1.257E-04
     0.0690             2.296E-18            1.260E-04
     0.0700             2.301E-18            1.262E-04
     0.0711             2.306E-18            1.265E-04
     0.0720             2.310E-18            1.267E-04
     0.0732             2.315E-18            1.270E-04
     0.0740             2.319E-18            1.272E-04
     0.0753             2.325E-18            1.275E-04
     0.0760             2.328E-18            1.277E-04
     0.0773             2.334E-18            1.280E-04
     0.0780             2.338E-18            1.282E-04
     0.0794             2.344E-18            1.286E-04
     0.0800             2.347E-18            1.288E-04
     0.0814             2.354E-18            1.291E-04
     0.0820             2.357E-18            1.293E-04
     0.0834             2.364E-18            1.297E-04
     0.0840             2.367E-18            1.298E-04
     0.0855             2.374E-18            1.302E-04
     0.0860             2.376E-18            1.304E-04
     0.0875             2.384E-18            1.308E-04
     0.0880             2.386E-18            1.309E-04
