                 System #      134
     Galactic longitude l    57.58
      Galactic latitude b     0.00
           distance (kpc)    11.57
    orbital period (days) 5166.860
    arg. periastron (deg)  334.030
        inclination (deg)  155.312
             eccentricity    0.313
 neutron star mass (Msol)     1.40
         star mass (Msol)    30.00
       star radius (Rsol)    10.00
     star temperature (K) 33000.00
--------------------------------
orbital phase   flux > 1 TeV (ph cm-2 s-1)   (mCrab)
     0.0014             4.896E-17            2.686E-03
     0.0014             4.896E-17            2.686E-03
     0.0034             4.881E-17            2.677E-03
     0.0036             4.879E-17            2.676E-03
     0.0054             4.866E-17            2.669E-03
     0.0059             4.863E-17            2.667E-03
     0.0074             4.851E-17            2.661E-03
     0.0081             4.846E-17            2.658E-03
     0.0094             4.837E-17            2.653E-03
     0.0104             4.830E-17            2.649E-03
     0.0114             4.822E-17            2.645E-03
     0.0127             4.813E-17            2.640E-03
     0.0134             4.808E-17            2.637E-03
     0.0149             4.797E-17            2.631E-03
     0.0154             4.794E-17            2.630E-03
     0.0172             4.781E-17            2.623E-03
     0.0174             4.780E-17            2.622E-03
     0.0194             4.766E-17            2.614E-03
     0.0195             4.765E-17            2.614E-03
     0.0214             4.752E-17            2.607E-03
     0.0218             4.750E-17            2.605E-03
     0.0234             4.739E-17            2.599E-03
     0.0241             4.734E-17            2.597E-03
     0.0254             4.725E-17            2.592E-03
     0.0264             4.718E-17            2.588E-03
     0.0274             4.712E-17            2.585E-03
     0.0288             4.703E-17            2.580E-03
     0.0294             4.699E-17            2.577E-03
     0.0311             4.688E-17            2.571E-03
     0.0314             4.686E-17            2.570E-03
     0.0334             4.673E-17            2.563E-03
     0.0334             4.673E-17            2.563E-03
     0.0354             4.660E-17            2.556E-03
     0.0357             4.658E-17            2.555E-03
     0.0374             4.647E-17            2.549E-03
     0.0381             4.643E-17            2.547E-03
     0.0394             4.635E-17            2.542E-03
     0.0404             4.628E-17            2.539E-03
     0.0414             4.622E-17            2.536E-03
     0.0428             4.614E-17            2.531E-03
     0.0434             4.610E-17            2.529E-03
     0.0452             4.599E-17            2.523E-03
     0.0454             4.598E-17            2.522E-03
     0.0474             4.586E-17            2.515E-03
     0.0475             4.585E-17            2.515E-03
     0.0494             4.574E-17            2.509E-03
     0.0499             4.571E-17            2.507E-03
     0.0514             4.562E-17            2.502E-03
     0.0523             4.557E-17            2.500E-03
     0.0534             4.550E-17            2.496E-03
     0.0547             4.543E-17            2.492E-03
     0.0554             4.539E-17            2.490E-03
     0.0571             4.529E-17            2.484E-03
     0.0574             4.527E-17            2.483E-03
     0.0594             4.516E-17            2.477E-03
     0.0595             4.515E-17            2.477E-03
     0.0614             4.504E-17            2.471E-03
     0.0619             4.502E-17            2.469E-03
     0.0634             4.493E-17            2.465E-03
     0.0643             4.488E-17            2.462E-03
     0.0654             4.482E-17            2.459E-03
     0.0667             4.475E-17            2.455E-03
     0.0674             4.471E-17            2.453E-03
     0.0692             4.462E-17            2.448E-03
     0.0694             4.461E-17            2.447E-03
     0.0714             4.450E-17            2.441E-03
     0.0716             4.449E-17            2.441E-03
     0.0734             4.439E-17            2.435E-03
     0.0740             4.436E-17            2.433E-03
     0.0754             4.429E-17            2.429E-03
     0.0765             4.423E-17            2.426E-03
     0.0774             4.419E-17            2.424E-03
     0.0789             4.411E-17            2.420E-03
     0.0794             4.408E-17            2.418E-03
     0.0814             4.398E-17            2.413E-03
     0.0814             4.398E-17            2.413E-03
     0.0834             4.388E-17            2.407E-03
     0.0838             4.386E-17            2.406E-03
     0.0854             4.378E-17            2.402E-03
     0.0863             4.374E-17            2.399E-03
     0.0874             4.368E-17            2.396E-03
     0.0888             4.362E-17            2.393E-03
     0.0894             4.359E-17            2.391E-03
     0.0912             4.350E-17            2.386E-03
     0.0914             4.349E-17            2.386E-03
     0.0934             4.340E-17            2.380E-03
     0.0937             4.338E-17            2.380E-03
     0.0954             4.330E-17            2.375E-03
     0.0962             4.327E-17            2.373E-03
     0.0974             4.321E-17            2.370E-03
     0.0987             4.315E-17            2.367E-03
     0.0994             4.312E-17            2.365E-03
     0.1012             4.304E-17            2.361E-03
     0.1014             4.303E-17            2.360E-03
     0.1034             4.294E-17            2.355E-03
     0.1037             4.292E-17            2.355E-03
     0.1054             4.285E-17            2.350E-03
     0.1062             4.281E-17            2.348E-03
     0.1074             4.276E-17            2.345E-03
     0.1087             4.270E-17            2.342E-03
     0.1094             4.267E-17            2.341E-03
     0.1112             4.259E-17            2.336E-03
     0.1114             4.258E-17            2.336E-03
     0.1134             4.250E-17            2.331E-03
     0.1137             4.249E-17            2.331E-03
     0.1154             4.241E-17            2.327E-03
     0.1162             4.238E-17            2.325E-03
     0.1174             4.233E-17            2.322E-03
     0.1188             4.227E-17            2.319E-03
     0.1194             4.225E-17            2.317E-03
     0.1213             4.217E-17            2.313E-03
     0.1214             4.217E-17            2.313E-03
     0.1234             4.208E-17            2.309E-03
     0.1238             4.207E-17            2.308E-03
     0.1254             4.200E-17            2.304E-03
     0.1264             4.197E-17            2.302E-03
     0.1274             4.193E-17            2.300E-03
     0.1289             4.187E-17            2.297E-03
     0.1294             4.185E-17            2.296E-03
     0.1314             4.177E-17            2.291E-03
     0.1315             4.177E-17            2.291E-03
