                 System #      135
     Galactic longitude l     7.99
      Galactic latitude b     0.00
           distance (kpc)     3.83
    orbital period (days)  109.583
    arg. periastron (deg)  228.499
        inclination (deg)  130.327
             eccentricity    0.400
 neutron star mass (Msol)     1.40
         star mass (Msol)    30.00
       star radius (Rsol)    10.00
     star temperature (K) 33000.00
--------------------------------
orbital phase   flux > 1 TeV (ph cm-2 s-1)   (mCrab)
     0.0012             5.026E-15            2.757E-01
     0.0020             5.024E-15            2.756E-01
     0.0032             5.020E-15            2.754E-01
     0.0047             5.016E-15            2.752E-01
     0.0052             5.014E-15            2.751E-01
     0.0072             5.009E-15            2.747E-01
     0.0074             5.008E-15            2.747E-01
     0.0092             5.003E-15            2.744E-01
     0.0102             5.000E-15            2.743E-01
     0.0112             4.997E-15            2.741E-01
     0.0129             4.992E-15            2.738E-01
     0.0132             4.991E-15            2.738E-01
     0.0152             4.985E-15            2.735E-01
     0.0156             4.984E-15            2.734E-01
     0.0172             4.979E-15            2.731E-01
     0.0184             4.976E-15            2.730E-01
     0.0192             4.974E-15            2.728E-01
     0.0211             4.968E-15            2.725E-01
     0.0212             4.968E-15            2.725E-01
     0.0232             4.962E-15            2.722E-01
     0.0238             4.961E-15            2.721E-01
     0.0252             4.956E-15            2.719E-01
     0.0265             4.953E-15            2.717E-01
     0.0272             4.951E-15            2.716E-01
     0.0292             4.945E-15            2.713E-01
     0.0292             4.945E-15            2.713E-01
     0.0312             4.940E-15            2.710E-01
     0.0319             4.938E-15            2.709E-01
     0.0332             4.934E-15            2.707E-01
     0.0346             4.930E-15            2.705E-01
     0.0352             4.929E-15            2.704E-01
     0.0372             4.923E-15            2.701E-01
     0.0373             4.923E-15            2.701E-01
     0.0392             4.918E-15            2.698E-01
     0.0400             4.916E-15            2.697E-01
     0.0412             4.913E-15            2.695E-01
     0.0427             4.909E-15            2.693E-01
     0.0432             4.907E-15            2.692E-01
     0.0452             4.902E-15            2.689E-01
     0.0454             4.902E-15            2.689E-01
     0.0472             4.897E-15            2.686E-01
     0.0480             4.895E-15            2.685E-01
     0.0492             4.892E-15            2.683E-01
     0.0507             4.888E-15            2.681E-01
     0.0512             4.887E-15            2.681E-01
     0.0532             4.882E-15            2.678E-01
     0.0534             4.882E-15            2.678E-01
     0.0552             4.877E-15            2.675E-01
     0.0560             4.875E-15            2.674E-01
     0.0572             4.872E-15            2.673E-01
     0.0587             4.869E-15            2.671E-01
     0.0592             4.867E-15            2.670E-01
     0.0612             4.863E-15            2.667E-01
     0.0613             4.863E-15            2.667E-01
     0.0632             4.858E-15            2.665E-01
     0.0640             4.857E-15            2.664E-01
     0.0652             4.854E-15            2.663E-01
     0.0666             4.851E-15            2.661E-01
     0.0672             4.850E-15            2.660E-01
     0.0692             4.845E-15            2.658E-01
     0.0692             4.845E-15            2.658E-01
     0.0712             4.841E-15            2.656E-01
     0.0718             4.840E-15            2.655E-01
     0.0732             4.837E-15            2.653E-01
     0.0745             4.835E-15            2.652E-01
     0.0752             4.833E-15            2.651E-01
     0.0771             4.830E-15            2.649E-01
     0.0772             4.830E-15            2.649E-01
     0.0792             4.826E-15            2.647E-01
     0.0797             4.825E-15            2.647E-01
     0.0812             4.822E-15            2.645E-01
     0.0823             4.821E-15            2.644E-01
     0.0832             4.819E-15            2.643E-01
     0.0848             4.817E-15            2.642E-01
     0.0852             4.816E-15            2.642E-01
     0.0872             4.813E-15            2.640E-01
     0.0874             4.813E-15            2.640E-01
     0.0892             4.810E-15            2.639E-01
     0.0900             4.809E-15            2.638E-01
     0.0912             4.807E-15            2.637E-01
     0.0926             4.806E-15            2.636E-01
     0.0932             4.805E-15            2.636E-01
     0.0951             4.803E-15            2.634E-01
     0.0952             4.802E-15            2.634E-01
     0.0972             4.800E-15            2.633E-01
     0.0977             4.800E-15            2.633E-01
     0.0992             4.798E-15            2.632E-01
     0.1002             4.798E-15            2.632E-01
     0.1012             4.797E-15            2.631E-01
     0.1027             4.795E-15            2.631E-01
     0.1032             4.795E-15            2.630E-01
     0.1052             4.794E-15            2.630E-01
     0.1053             4.794E-15            2.630E-01
     0.1072             4.793E-15            2.629E-01
     0.1078             4.792E-15            2.629E-01
     0.1092             4.792E-15            2.629E-01
     0.1103             4.792E-15            2.628E-01
     0.1112             4.791E-15            2.628E-01
     0.1128             4.791E-15            2.628E-01
     0.1132             4.791E-15            2.628E-01
     0.1152             4.791E-15            2.628E-01
     0.1153             4.791E-15            2.628E-01
     0.1172             4.791E-15            2.628E-01
     0.1178             4.791E-15            2.628E-01
     0.1192             4.792E-15            2.629E-01
     0.1203             4.792E-15            2.629E-01
     0.1212             4.793E-15            2.629E-01
     0.1228             4.794E-15            2.629E-01
     0.1232             4.794E-15            2.630E-01
     0.1252             4.795E-15            2.630E-01
     0.1252             4.795E-15            2.630E-01
     0.1272             4.797E-15            2.631E-01
     0.1277             4.798E-15            2.632E-01
     0.1292             4.799E-15            2.633E-01
     0.1301             4.800E-15            2.633E-01
     0.1312             4.802E-15            2.634E-01
     0.1326             4.804E-15            2.635E-01
     0.1332             4.805E-15            2.636E-01
     0.1350             4.807E-15            2.637E-01
     0.1352             4.808E-15            2.637E-01
     0.1372             4.811E-15            2.639E-01
     0.1374             4.812E-15            2.640E-01
     0.1392             4.816E-15            2.642E-01
     0.1398             4.817E-15            2.642E-01
     0.1412             4.820E-15            2.644E-01
     0.1423             4.822E-15            2.645E-01
     0.1432             4.825E-15            2.647E-01
     0.1447             4.828E-15            2.649E-01
     0.1452             4.830E-15            2.650E-01
     0.1470             4.835E-15            2.652E-01
     0.1472             4.836E-15            2.653E-01
     0.1492             4.842E-15            2.656E-01
     0.1494             4.842E-15            2.656E-01
     0.1512             4.849E-15            2.660E-01
     0.1518             4.850E-15            2.661E-01
     0.1532             4.856E-15            2.664E-01
     0.1542             4.859E-15            2.665E-01
     0.1552             4.863E-15            2.668E-01
     0.1565             4.868E-15            2.671E-01
     0.1572             4.871E-15            2.672E-01
     0.1589             4.878E-15            2.676E-01
     0.1592             4.880E-15            2.677E-01
     0.1612             4.889E-15            2.682E-01
     0.1612             4.889E-15            2.682E-01
     0.1632             4.899E-15            2.687E-01
     0.1635             4.900E-15            2.688E-01
     0.1652             4.909E-15            2.693E-01
     0.1658             4.912E-15            2.695E-01
     0.1672             4.920E-15            2.699E-01
     0.1681             4.925E-15            2.702E-01
     0.1692             4.931E-15            2.705E-01
     0.1704             4.938E-15            2.709E-01
     0.1712             4.943E-15            2.712E-01
     0.1727             4.953E-15            2.717E-01
     0.1732             4.956E-15            2.719E-01
     0.1750             4.968E-15            2.725E-01
     0.1752             4.969E-15            2.726E-01
     0.1772             4.983E-15            2.733E-01
     0.1773             4.983E-15            2.734E-01
     0.1792             4.998E-15            2.741E-01
     0.1795             5.000E-15            2.743E-01
     0.1812             5.013E-15            2.750E-01
     0.1818             5.017E-15            2.752E-01
     0.1832             5.029E-15            2.759E-01
     0.1840             5.035E-15            2.762E-01
     0.1852             5.045E-15            2.768E-01
     0.1863             5.054E-15            2.772E-01
     0.1872             5.063E-15            2.777E-01
     0.1885             5.074E-15            2.783E-01
     0.1892             5.080E-15            2.787E-01
     0.1907             5.094E-15            2.794E-01
     0.1912             5.099E-15            2.797E-01
     0.1929             5.115E-15            2.806E-01
     0.1932             5.119E-15            2.808E-01
     0.1951             5.137E-15            2.818E-01
     0.1952             5.139E-15            2.819E-01
     0.1972             5.160E-15            2.830E-01
     0.1973             5.160E-15            2.830E-01
     0.1992             5.181E-15            2.842E-01
     0.1995             5.184E-15            2.843E-01
     0.2012             5.204E-15            2.854E-01
     0.2016             5.208E-15            2.857E-01
     0.2032             5.227E-15            2.867E-01
     0.2038             5.233E-15            2.871E-01
     0.2052             5.251E-15            2.880E-01
     0.2059             5.259E-15            2.885E-01
     0.2072             5.276E-15            2.894E-01
     0.2081             5.286E-15            2.900E-01
     0.2092             5.301E-15            2.908E-01
     0.2102             5.314E-15            2.915E-01
     0.2112             5.328E-15            2.923E-01
     0.2123             5.342E-15            2.930E-01
     0.2132             5.355E-15            2.938E-01
     0.2144             5.371E-15            2.946E-01
     0.2152             5.383E-15            2.953E-01
     0.2165             5.402E-15            2.963E-01
     0.2172             5.413E-15            2.969E-01
     0.2186             5.432E-15            2.980E-01
     0.2192             5.442E-15            2.985E-01
     0.2207             5.464E-15            2.997E-01
     0.2212             5.473E-15            3.002E-01
     0.2227             5.496E-15            3.015E-01
     0.2232             5.505E-15            3.020E-01
     0.2248             5.530E-15            3.033E-01
     0.2252             5.537E-15            3.038E-01
     0.2268             5.564E-15            3.052E-01
     0.2272             5.571E-15            3.056E-01
     0.2289             5.599E-15            3.071E-01
     0.2292             5.605E-15            3.075E-01
     0.2309             5.634E-15            3.091E-01
     0.2312             5.641E-15            3.094E-01
     0.2329             5.671E-15            3.111E-01
     0.2332             5.677E-15            3.114E-01
     0.2349             5.708E-15            3.131E-01
     0.2352             5.714E-15            3.134E-01
     0.2369             5.746E-15            3.152E-01
     0.2372             5.752E-15            3.155E-01
     0.2389             5.784E-15            3.173E-01
     0.2392             5.791E-15            3.177E-01
     0.2409             5.823E-15            3.194E-01
     0.2412             5.831E-15            3.199E-01
     0.2428             5.863E-15            3.216E-01
     0.2432             5.872E-15            3.221E-01
     0.2448             5.904E-15            3.239E-01
     0.2452             5.914E-15            3.244E-01
     0.2467             5.946E-15            3.261E-01
     0.2472             5.957E-15            3.268E-01
     0.2487             5.988E-15            3.284E-01
     0.2492             6.001E-15            3.292E-01
     0.2506             6.030E-15            3.308E-01
     0.2512             6.045E-15            3.316E-01
     0.2525             6.074E-15            3.332E-01
     0.2532             6.091E-15            3.341E-01
     0.2544             6.118E-15            3.356E-01
     0.2552             6.138E-15            3.367E-01
