                 System #      138
     Galactic longitude l    -2.52
      Galactic latitude b     0.00
           distance (kpc)     6.77
    orbital period (days) 1371.314
    arg. periastron (deg)  272.681
        inclination (deg)   90.865
             eccentricity    0.634
 neutron star mass (Msol)     1.40
         star mass (Msol)    30.00
       star radius (Rsol)    10.00
     star temperature (K) 33000.00
--------------------------------
orbital phase   flux > 1 TeV (ph cm-2 s-1)   (mCrab)
     0.0008             3.301E-14            1.811E+00
     0.0010             3.299E-14            1.810E+00
     0.0022             3.288E-14            1.803E+00
     0.0028             3.283E-14            1.801E+00
     0.0034             3.276E-14            1.797E+00
     0.0047             3.263E-14            1.790E+00
     0.0048             3.262E-14            1.790E+00
     0.0059             3.250E-14            1.783E+00
     0.0068             3.241E-14            1.778E+00
     0.0071             3.237E-14            1.775E+00
     0.0084             3.222E-14            1.768E+00
     0.0088             3.218E-14            1.765E+00
     0.0097             3.208E-14            1.760E+00
     0.0108             3.195E-14            1.753E+00
     0.0110             3.193E-14            1.751E+00
     0.0123             3.177E-14            1.743E+00
     0.0128             3.171E-14            1.739E+00
     0.0136             3.161E-14            1.734E+00
     0.0148             3.146E-14            1.726E+00
     0.0149             3.145E-14            1.725E+00
     0.0162             3.128E-14            1.716E+00
     0.0168             3.122E-14            1.712E+00
     0.0176             3.111E-14            1.707E+00
     0.0188             3.096E-14            1.699E+00
     0.0190             3.094E-14            1.697E+00
     0.0203             3.076E-14            1.687E+00
     0.0208             3.071E-14            1.685E+00
     0.0217             3.058E-14            1.678E+00
     0.0228             3.046E-14            1.671E+00
     0.0232             3.041E-14            1.668E+00
     0.0246             3.022E-14            1.658E+00
     0.0248             3.020E-14            1.657E+00
     0.0260             3.004E-14            1.648E+00
     0.0268             2.995E-14            1.643E+00
     0.0275             2.986E-14            1.638E+00
     0.0288             2.970E-14            1.629E+00
     0.0289             2.967E-14            1.628E+00
     0.0304             2.949E-14            1.617E+00
     0.0308             2.944E-14            1.615E+00
     0.0319             2.930E-14            1.607E+00
     0.0328             2.920E-14            1.602E+00
     0.0334             2.911E-14            1.597E+00
     0.0348             2.895E-14            1.588E+00
     0.0350             2.892E-14            1.587E+00
     0.0365             2.873E-14            1.576E+00
     0.0368             2.870E-14            1.574E+00
     0.0381             2.854E-14            1.566E+00
     0.0388             2.846E-14            1.561E+00
     0.0396             2.836E-14            1.555E+00
     0.0408             2.822E-14            1.548E+00
     0.0412             2.817E-14            1.545E+00
     0.0428             2.798E-14            1.535E+00
     0.0428             2.798E-14            1.535E+00
     0.0444             2.779E-14            1.524E+00
     0.0448             2.775E-14            1.522E+00
     0.0461             2.760E-14            1.514E+00
     0.0468             2.752E-14            1.510E+00
     0.0477             2.741E-14            1.504E+00
     0.0488             2.729E-14            1.497E+00
     0.0494             2.722E-14            1.493E+00
     0.0508             2.707E-14            1.485E+00
     0.0510             2.704E-14            1.483E+00
     0.0527             2.685E-14            1.473E+00
     0.0528             2.685E-14            1.473E+00
     0.0544             2.666E-14            1.463E+00
     0.0548             2.663E-14            1.461E+00
     0.0562             2.648E-14            1.452E+00
     0.0568             2.642E-14            1.449E+00
     0.0579             2.629E-14            1.442E+00
     0.0588             2.621E-14            1.437E+00
     0.0597             2.611E-14            1.432E+00
     0.0608             2.600E-14            1.426E+00
     0.0614             2.593E-14            1.422E+00
     0.0628             2.579E-14            1.415E+00
     0.0632             2.575E-14            1.412E+00
     0.0648             2.559E-14            1.404E+00
     0.0650             2.557E-14            1.402E+00
     0.0668             2.540E-14            1.393E+00
     0.0668             2.539E-14            1.393E+00
     0.0687             2.521E-14            1.383E+00
     0.0688             2.520E-14            1.382E+00
     0.0705             2.503E-14            1.373E+00
     0.0708             2.501E-14            1.372E+00
     0.0724             2.486E-14            1.363E+00
     0.0728             2.482E-14            1.362E+00
     0.0743             2.468E-14            1.354E+00
     0.0748             2.464E-14            1.351E+00
     0.0762             2.451E-14            1.344E+00
     0.0768             2.445E-14            1.341E+00
     0.0781             2.433E-14            1.335E+00
     0.0788             2.427E-14            1.332E+00
     0.0800             2.416E-14            1.325E+00
     0.0808             2.410E-14            1.322E+00
     0.0819             2.399E-14            1.316E+00
     0.0828             2.392E-14            1.312E+00
     0.0839             2.383E-14            1.307E+00
     0.0848             2.375E-14            1.303E+00
     0.0859             2.366E-14            1.298E+00
     0.0868             2.359E-14            1.294E+00
     0.0879             2.349E-14            1.289E+00
     0.0888             2.342E-14            1.285E+00
     0.0899             2.333E-14            1.280E+00
     0.0908             2.326E-14            1.276E+00
     0.0919             2.316E-14            1.271E+00
     0.0928             2.310E-14            1.267E+00
     0.0940             2.300E-14            1.262E+00
     0.0948             2.294E-14            1.258E+00
     0.0960             2.284E-14            1.253E+00
     0.0968             2.278E-14            1.250E+00
     0.0981             2.268E-14            1.244E+00
     0.0988             2.263E-14            1.241E+00
     0.1002             2.252E-14            1.236E+00
     0.1008             2.248E-14            1.233E+00
     0.1023             2.237E-14            1.227E+00
     0.1028             2.233E-14            1.225E+00
     0.1044             2.221E-14            1.218E+00
     0.1048             2.219E-14            1.217E+00
     0.1065             2.206E-14            1.210E+00
     0.1068             2.204E-14            1.209E+00
     0.1087             2.191E-14            1.202E+00
     0.1088             2.190E-14            1.201E+00
     0.1108             2.176E-14            1.194E+00
     0.1108             2.175E-14            1.193E+00
     0.1128             2.162E-14            1.186E+00
     0.1130             2.160E-14            1.185E+00
     0.1148             2.149E-14            1.179E+00
     0.1152             2.146E-14            1.177E+00
     0.1168             2.135E-14            1.171E+00
     0.1174             2.131E-14            1.169E+00
     0.1188             2.122E-14            1.164E+00
     0.1197             2.116E-14            1.161E+00
     0.1208             2.109E-14            1.157E+00
     0.1219             2.102E-14            1.153E+00
     0.1228             2.096E-14            1.150E+00
     0.1242             2.087E-14            1.145E+00
     0.1248             2.084E-14            1.143E+00
     0.1265             2.073E-14            1.137E+00
     0.1268             2.071E-14            1.136E+00
     0.1287             2.059E-14            1.129E+00
     0.1288             2.059E-14            1.129E+00
     0.1308             2.047E-14            1.123E+00
     0.1311             2.045E-14            1.122E+00
     0.1328             2.035E-14            1.116E+00
     0.1334             2.031E-14            1.114E+00
     0.1348             2.023E-14            1.110E+00
     0.1357             2.017E-14            1.107E+00
     0.1368             2.011E-14            1.103E+00
     0.1381             2.004E-14            1.099E+00
     0.1388             2.000E-14            1.097E+00
     0.1404             1.990E-14            1.092E+00
     0.1408             1.988E-14            1.091E+00
     0.1428             1.977E-14            1.084E+00
     0.1428             1.977E-14            1.084E+00
     0.1448             1.966E-14            1.078E+00
     0.1452             1.963E-14            1.077E+00
