                 System #      139
     Galactic longitude l    14.86
      Galactic latitude b     0.00
           distance (kpc)    11.38
    orbital period (days) 2344.460
    arg. periastron (deg)  291.327
        inclination (deg)   50.459
             eccentricity    0.634
 neutron star mass (Msol)     1.40
         star mass (Msol)    30.00
       star radius (Rsol)    10.00
     star temperature (K) 33000.00
--------------------------------
orbital phase   flux > 1 TeV (ph cm-2 s-1)   (mCrab)
     0.0015             1.413E-18            7.754E-05
     0.0026             1.415E-18            7.762E-05
     0.0035             1.416E-18            7.769E-05
     0.0055             1.419E-18            7.784E-05
     0.0055             1.419E-18            7.784E-05
     0.0075             1.422E-18            7.800E-05
     0.0084             1.423E-18            7.807E-05
     0.0095             1.425E-18            7.816E-05
     0.0113             1.428E-18            7.831E-05
     0.0115             1.428E-18            7.832E-05
     0.0135             1.431E-18            7.849E-05
     0.0142             1.432E-18            7.854E-05
     0.0155             1.434E-18            7.865E-05
     0.0171             1.436E-18            7.879E-05
     0.0175             1.437E-18            7.882E-05
     0.0195             1.440E-18            7.899E-05
     0.0199             1.441E-18            7.903E-05
     0.0215             1.443E-18            7.917E-05
     0.0228             1.445E-18            7.928E-05
     0.0235             1.446E-18            7.935E-05
     0.0255             1.450E-18            7.953E-05
     0.0256             1.450E-18            7.954E-05
     0.0275             1.453E-18            7.971E-05
     0.0284             1.455E-18            7.980E-05
     0.0295             1.457E-18            7.990E-05
     0.0313             1.460E-18            8.007E-05
     0.0315             1.460E-18            8.009E-05
     0.0335             1.464E-18            8.028E-05
     0.0341             1.465E-18            8.034E-05
     0.0355             1.467E-18            8.048E-05
     0.0368             1.470E-18            8.061E-05
     0.0375             1.471E-18            8.068E-05
     0.0395             1.474E-18            8.088E-05
     0.0396             1.475E-18            8.089E-05
     0.0415             1.478E-18            8.108E-05
     0.0424             1.480E-18            8.118E-05
     0.0435             1.482E-18            8.129E-05
     0.0451             1.485E-18            8.146E-05
     0.0455             1.486E-18            8.150E-05
     0.0475             1.490E-18            8.171E-05
     0.0479             1.490E-18            8.176E-05
     0.0495             1.494E-18            8.193E-05
     0.0506             1.496E-18            8.206E-05
     0.0515             1.498E-18            8.215E-05
     0.0533             1.501E-18            8.236E-05
