                 System #       14
     Galactic longitude l     2.80
      Galactic latitude b     0.00
           distance (kpc)    19.36
    orbital period (days) 1492.307
    arg. periastron (deg)  186.817
        inclination (deg)   71.986
             eccentricity    0.700
 neutron star mass (Msol)     1.40
         star mass (Msol)    30.00
       star radius (Rsol)    10.00
     star temperature (K) 33000.00
--------------------------------
orbital phase   flux > 1 TeV (ph cm-2 s-1)   (mCrab)
     0.0009             5.007E-17            2.747E-03
     0.0010             5.009E-17            2.747E-03
     0.0029             5.028E-17            2.758E-03
     0.0039             5.038E-17            2.764E-03
     0.0049             5.049E-17            2.770E-03
     0.0067             5.068E-17            2.780E-03
     0.0069             5.071E-17            2.782E-03
     0.0089             5.093E-17            2.794E-03
     0.0094             5.099E-17            2.797E-03
     0.0109             5.115E-17            2.806E-03
     0.0122             5.130E-17            2.814E-03
     0.0129             5.138E-17            2.818E-03
     0.0149             5.160E-17            2.831E-03
     0.0150             5.161E-17            2.831E-03
     0.0169             5.184E-17            2.843E-03
     0.0177             5.193E-17            2.848E-03
     0.0189             5.207E-17            2.856E-03
     0.0204             5.225E-17            2.866E-03
     0.0209             5.231E-17            2.869E-03
     0.0229             5.255E-17            2.882E-03
     0.0232             5.258E-17            2.884E-03
     0.0249             5.279E-17            2.896E-03
     0.0259             5.291E-17            2.902E-03
     0.0269             5.304E-17            2.909E-03
     0.0285             5.324E-17            2.921E-03
     0.0289             5.329E-17            2.923E-03
     0.0309             5.354E-17            2.937E-03
     0.0312             5.358E-17            2.939E-03
     0.0329             5.380E-17            2.951E-03
     0.0339             5.393E-17            2.958E-03
     0.0349             5.407E-17            2.966E-03
     0.0365             5.427E-17            2.977E-03
     0.0369             5.433E-17            2.980E-03
     0.0389             5.460E-17            2.995E-03
     0.0391             5.463E-17            2.997E-03
     0.0409             5.488E-17            3.010E-03
     0.0417             5.499E-17            3.016E-03
     0.0429             5.515E-17            3.025E-03
     0.0443             5.535E-17            3.036E-03
     0.0449             5.544E-17            3.041E-03
     0.0469             5.571E-17            3.056E-03
     0.0469             5.572E-17            3.057E-03
     0.0489             5.601E-17            3.073E-03
     0.0494             5.609E-17            3.077E-03
     0.0509             5.631E-17            3.089E-03
     0.0520             5.646E-17            3.097E-03
     0.0529             5.661E-17            3.105E-03
     0.0545             5.684E-17            3.118E-03
     0.0549             5.691E-17            3.122E-03
     0.0569             5.722E-17            3.139E-03
     0.0570             5.723E-17            3.139E-03
     0.0589             5.753E-17            3.156E-03
     0.0595             5.762E-17            3.161E-03
     0.0609             5.785E-17            3.173E-03
     0.0620             5.801E-17            3.182E-03
     0.0629             5.817E-17            3.191E-03
     0.0644             5.841E-17            3.204E-03
     0.0649             5.850E-17            3.209E-03
     0.0669             5.882E-17            3.226E-03
     0.0669             5.883E-17            3.227E-03
     0.0689             5.916E-17            3.245E-03
     0.0693             5.922E-17            3.249E-03
     0.0709             5.951E-17            3.264E-03
     0.0717             5.964E-17            3.271E-03
     0.0729             5.985E-17            3.283E-03
     0.0741             6.005E-17            3.294E-03
     0.0749             6.020E-17            3.302E-03
     0.0764             6.048E-17            3.317E-03
     0.0769             6.056E-17            3.322E-03
     0.0788             6.090E-17            3.341E-03
     0.0789             6.092E-17            3.342E-03
     0.0809             6.129E-17            3.362E-03
     0.0811             6.133E-17            3.364E-03
     0.0829             6.166E-17            3.383E-03
     0.0835             6.177E-17            3.388E-03
     0.0849             6.204E-17            3.403E-03
     0.0858             6.220E-17            3.412E-03
     0.0869             6.243E-17            3.424E-03
     0.0881             6.265E-17            3.436E-03
     0.0889             6.282E-17            3.446E-03
     0.0903             6.309E-17            3.461E-03
     0.0909             6.321E-17            3.467E-03
     0.0926             6.354E-17            3.486E-03
     0.0929             6.361E-17            3.490E-03
     0.0948             6.400E-17            3.511E-03
     0.0949             6.402E-17            3.512E-03
     0.0969             6.443E-17            3.534E-03
     0.0970             6.446E-17            3.536E-03
     0.0989             6.485E-17            3.557E-03
     0.0992             6.492E-17            3.561E-03
     0.1009             6.528E-17            3.581E-03
     0.1014             6.538E-17            3.586E-03
     0.1029             6.571E-17            3.604E-03
     0.1036             6.585E-17            3.612E-03
     0.1049             6.614E-17            3.628E-03
     0.1057             6.632E-17            3.638E-03
     0.1069             6.658E-17            3.652E-03
     0.1079             6.679E-17            3.664E-03
     0.1089             6.703E-17            3.677E-03
     0.1100             6.727E-17            3.690E-03
     0.1109             6.748E-17            3.702E-03
     0.1121             6.775E-17            3.716E-03
     0.1129             6.794E-17            3.727E-03
     0.1142             6.823E-17            3.743E-03
     0.1149             6.841E-17            3.752E-03
     0.1162             6.871E-17            3.769E-03
     0.1169             6.888E-17            3.778E-03
     0.1183             6.919E-17            3.796E-03
     0.1189             6.935E-17            3.804E-03
     0.1203             6.968E-17            3.822E-03
     0.1209             6.983E-17            3.831E-03
     0.1223             7.016E-17            3.849E-03
     0.1229             7.031E-17            3.857E-03
     0.1243             7.065E-17            3.875E-03
     0.1249             7.080E-17            3.884E-03
     0.1263             7.113E-17            3.902E-03
     0.1269             7.130E-17            3.911E-03
     0.1282             7.162E-17            3.928E-03
     0.1289             7.179E-17            3.938E-03
     0.1301             7.210E-17            3.955E-03
     0.1309             7.229E-17            3.965E-03
     0.1321             7.258E-17            3.981E-03
     0.1329             7.279E-17            3.993E-03
     0.1340             7.306E-17            4.008E-03
     0.1349             7.330E-17            4.021E-03
     0.1359             7.353E-17            4.034E-03
     0.1369             7.380E-17            4.048E-03
     0.1377             7.401E-17            4.060E-03
     0.1389             7.431E-17            4.076E-03
     0.1396             7.447E-17            4.085E-03
     0.1409             7.481E-17            4.104E-03
     0.1414             7.494E-17            4.111E-03
     0.1429             7.532E-17            4.131E-03
     0.1432             7.539E-17            4.136E-03
     0.1449             7.582E-17            4.159E-03
     0.1450             7.584E-17            4.160E-03
     0.1468             7.629E-17            4.185E-03
     0.1469             7.631E-17            4.186E-03
     0.1486             7.672E-17            4.208E-03
     0.1489             7.680E-17            4.213E-03
     0.1503             7.714E-17            4.232E-03
     0.1509             7.729E-17            4.240E-03
     0.1520             7.755E-17            4.254E-03
     0.1529             7.776E-17            4.266E-03
     0.1538             7.795E-17            4.276E-03
     0.1549             7.822E-17            4.291E-03
     0.1554             7.834E-17            4.297E-03
     0.1569             7.867E-17            4.315E-03
     0.1571             7.871E-17            4.318E-03
     0.1588             7.907E-17            4.337E-03
     0.1589             7.910E-17            4.339E-03
     0.1604             7.941E-17            4.356E-03
     0.1609             7.951E-17            4.361E-03
     0.1621             7.973E-17            4.373E-03
     0.1629             7.989E-17            4.382E-03
     0.1637             8.003E-17            4.390E-03
     0.1649             8.025E-17            4.402E-03
     0.1653             8.030E-17            4.405E-03
     0.1668             8.056E-17            4.419E-03
     0.1669             8.057E-17            4.420E-03
     0.1684             8.079E-17            4.432E-03
     0.1689             8.086E-17            4.435E-03
     0.1699             8.099E-17            4.443E-03
     0.1709             8.110E-17            4.449E-03
     0.1715             8.116E-17            4.452E-03
     0.1729             8.130E-17            4.459E-03
     0.1730             8.130E-17            4.460E-03
     0.1745             8.141E-17            4.466E-03
     0.1749             8.144E-17            4.467E-03
     0.1759             8.148E-17            4.470E-03
     0.1769             8.152E-17            4.472E-03
     0.1774             8.153E-17            4.472E-03
     0.1788             8.153E-17            4.472E-03
     0.1789             8.153E-17            4.472E-03
     0.1803             8.150E-17            4.470E-03
     0.1809             8.147E-17            4.469E-03
     0.1817             8.142E-17            4.466E-03
     0.1829             8.133E-17            4.461E-03
     0.1831             8.132E-17            4.461E-03
     0.1845             8.117E-17            4.453E-03
     0.1849             8.111E-17            4.449E-03
     0.1858             8.099E-17            4.442E-03
     0.1869             8.081E-17            4.433E-03
     0.1872             8.077E-17            4.430E-03
     0.1885             8.051E-17            4.417E-03
     0.1889             8.043E-17            4.412E-03
     0.1898             8.023E-17            4.401E-03
     0.1909             7.997E-17            4.387E-03
     0.1911             7.992E-17            4.384E-03
     0.1924             7.959E-17            4.366E-03
     0.1929             7.946E-17            4.359E-03
     0.1937             7.925E-17            4.347E-03
     0.1949             7.891E-17            4.328E-03
     0.1949             7.890E-17            4.328E-03
     0.1962             7.855E-17            4.309E-03
     0.1969             7.836E-17            4.298E-03
     0.1974             7.822E-17            4.291E-03
     0.1986             7.792E-17            4.274E-03
     0.1989             7.786E-17            4.271E-03
     0.1998             7.766E-17            4.260E-03
     0.2009             7.747E-17            4.250E-03
     0.2010             7.746E-17            4.249E-03
     0.2022             7.733E-17            4.242E-03
     0.2029             7.729E-17            4.240E-03
     0.2033             7.728E-17            4.239E-03
     0.2045             7.734E-17            4.243E-03
     0.2049             7.740E-17            4.246E-03
     0.2056             7.752E-17            4.252E-03
     0.2067             7.783E-17            4.270E-03
     0.2069             7.790E-17            4.273E-03
     0.2078             7.829E-17            4.295E-03
     0.2089             7.890E-17            4.328E-03
     0.2089             7.891E-17            4.328E-03
     0.2100             7.968E-17            4.371E-03
     0.2109             8.050E-17            4.416E-03
     0.2110             8.062E-17            4.423E-03
     0.2121             8.174E-17            4.484E-03
     0.2129             8.275E-17            4.539E-03
     0.2131             8.303E-17            4.554E-03
     0.2142             8.448E-17            4.634E-03
     0.2149             8.568E-17            4.700E-03
     0.2152             8.610E-17            4.723E-03
     0.2162             8.787E-17            4.820E-03
     0.2169             8.932E-17            4.899E-03
     0.2172             8.978E-17            4.925E-03
     0.2181             9.183E-17            5.037E-03
     0.2189             9.361E-17            5.135E-03
     0.2191             9.400E-17            5.156E-03
     0.2200             9.628E-17            5.282E-03
     0.2209             9.852E-17            5.405E-03
     0.2210             9.867E-17            5.413E-03
     0.2219             1.011E-16            5.548E-03
     0.2228             1.037E-16            5.688E-03
     0.2229             1.040E-16            5.704E-03
     0.2237             1.063E-16            5.832E-03
     0.2246             1.090E-16            5.978E-03
     0.2249             1.099E-16            6.028E-03
     0.2255             1.117E-16            6.127E-03
     0.2264             1.145E-16            6.278E-03
     0.2269             1.162E-16            6.374E-03
     0.2272             1.172E-16            6.431E-03
     0.2281             1.200E-16            6.585E-03
     0.2289             1.228E-16            6.737E-03
     0.2289             1.229E-16            6.739E-03
     0.2298             1.257E-16            6.894E-03
     0.2306             1.285E-16            7.049E-03
