                 System #      140
     Galactic longitude l    26.13
      Galactic latitude b     0.00
           distance (kpc)     9.90
    orbital period (days)   80.723
    arg. periastron (deg)  453.274
        inclination (deg)   45.307
             eccentricity    0.692
 neutron star mass (Msol)     1.40
         star mass (Msol)    30.00
       star radius (Rsol)    10.00
     star temperature (K) 33000.00
--------------------------------
orbital phase   flux > 1 TeV (ph cm-2 s-1)   (mCrab)
     0.0008             8.425E-17            4.621E-03
     0.0013             8.429E-17            4.624E-03
     0.0028             8.446E-17            4.633E-03
     0.0045             8.464E-17            4.643E-03
     0.0048             8.467E-17            4.645E-03
     0.0068             8.489E-17            4.657E-03
     0.0078             8.500E-17            4.663E-03
     0.0088             8.511E-17            4.669E-03
     0.0108             8.534E-17            4.681E-03
     0.0110             8.537E-17            4.683E-03
     0.0128             8.557E-17            4.694E-03
     0.0143             8.575E-17            4.704E-03
     0.0148             8.581E-17            4.707E-03
     0.0168             8.605E-17            4.720E-03
     0.0175             8.613E-17            4.725E-03
     0.0188             8.629E-17            4.734E-03
     0.0207             8.653E-17            4.747E-03
     0.0208             8.654E-17            4.747E-03
     0.0228             8.680E-17            4.761E-03
     0.0240             8.695E-17            4.769E-03
     0.0248             8.706E-17            4.776E-03
     0.0268             8.732E-17            4.790E-03
     0.0272             8.737E-17            4.792E-03
     0.0288             8.759E-17            4.804E-03
     0.0304             8.779E-17            4.816E-03
     0.0308             8.786E-17            4.819E-03
     0.0328             8.813E-17            4.834E-03
     0.0336             8.824E-17            4.840E-03
     0.0348             8.841E-17            4.850E-03
     0.0367             8.869E-17            4.865E-03
     0.0368             8.870E-17            4.866E-03
     0.0388             8.899E-17            4.882E-03
     0.0399             8.915E-17            4.890E-03
     0.0408             8.929E-17            4.898E-03
     0.0428             8.959E-17            4.914E-03
     0.0431             8.963E-17            4.917E-03
     0.0448             8.990E-17            4.931E-03
     0.0462             9.012E-17            4.943E-03
     0.0468             9.021E-17            4.949E-03
     0.0488             9.053E-17            4.966E-03
     0.0494             9.062E-17            4.971E-03
     0.0508             9.086E-17            4.984E-03
     0.0525             9.114E-17            4.999E-03
     0.0528             9.119E-17            5.002E-03
     0.0548             9.152E-17            5.020E-03
     0.0556             9.166E-17            5.028E-03
     0.0568             9.186E-17            5.039E-03
     0.0587             9.220E-17            5.057E-03
     0.0588             9.221E-17            5.058E-03
     0.0608             9.256E-17            5.077E-03
     0.0619             9.275E-17            5.088E-03
     0.0628             9.292E-17            5.097E-03
     0.0648             9.328E-17            5.117E-03
     0.0649             9.331E-17            5.118E-03
     0.0668             9.365E-17            5.137E-03
     0.0680             9.388E-17            5.150E-03
     0.0688             9.403E-17            5.158E-03
     0.0708             9.441E-17            5.179E-03
     0.0711             9.447E-17            5.182E-03
     0.0728             9.480E-17            5.200E-03
     0.0742             9.507E-17            5.215E-03
     0.0748             9.520E-17            5.222E-03
     0.0768             9.560E-17            5.244E-03
     0.0772             9.568E-17            5.249E-03
     0.0788             9.601E-17            5.267E-03
     0.0802             9.631E-17            5.283E-03
     0.0808             9.643E-17            5.290E-03
     0.0828             9.686E-17            5.313E-03
     0.0833             9.695E-17            5.318E-03
     0.0848             9.729E-17            5.337E-03
     0.0863             9.761E-17            5.354E-03
     0.0868             9.773E-17            5.361E-03
     0.0888             9.817E-17            5.385E-03
     0.0893             9.828E-17            5.391E-03
     0.0908             9.863E-17            5.410E-03
     0.0923             9.897E-17            5.429E-03
     0.0928             9.909E-17            5.435E-03
     0.0948             9.956E-17            5.461E-03
     0.0953             9.966E-17            5.467E-03
     0.0968             1.000E-16            5.487E-03
     0.0982             1.004E-16            5.506E-03
     0.0988             1.005E-16            5.514E-03
     0.1008             1.010E-16            5.541E-03
     0.1012             1.011E-16            5.546E-03
     0.1028             1.015E-16            5.569E-03
     0.1041             1.018E-16            5.587E-03
     0.1048             1.020E-16            5.597E-03
     0.1068             1.025E-16            5.625E-03
     0.1071             1.026E-16            5.629E-03
     0.1088             1.031E-16            5.654E-03
     0.1100             1.034E-16            5.671E-03
     0.1108             1.036E-16            5.683E-03
     0.1128             1.042E-16            5.713E-03
     0.1129             1.042E-16            5.714E-03
     0.1148             1.047E-16            5.744E-03
     0.1158             1.050E-16            5.758E-03
     0.1168             1.053E-16            5.775E-03
     0.1186             1.058E-16            5.803E-03
     0.1188             1.058E-16            5.806E-03
     0.1208             1.064E-16            5.838E-03
     0.1215             1.066E-16            5.850E-03
     0.1228             1.070E-16            5.871E-03
     0.1243             1.075E-16            5.897E-03
     0.1248             1.076E-16            5.905E-03
     0.1268             1.083E-16            5.938E-03
     0.1272             1.084E-16            5.944E-03
     0.1288             1.089E-16            5.973E-03
     0.1300             1.093E-16            5.993E-03
     0.1308             1.095E-16            6.008E-03
     0.1328             1.102E-16            6.043E-03
     0.1328             1.102E-16            6.043E-03
     0.1348             1.108E-16            6.079E-03
     0.1356             1.111E-16            6.094E-03
     0.1368             1.115E-16            6.116E-03
     0.1384             1.120E-16            6.145E-03
     0.1388             1.122E-16            6.154E-03
     0.1408             1.129E-16            6.192E-03
