                 System #      141
     Galactic longitude l     8.37
      Galactic latitude b     0.00
           distance (kpc)    11.68
    orbital period (days)   38.255
    arg. periastron (deg)  471.972
        inclination (deg)  139.042
             eccentricity    0.466
 neutron star mass (Msol)     1.40
         star mass (Msol)    30.00
       star radius (Rsol)    10.00
     star temperature (K) 33000.00
--------------------------------
orbital phase   flux > 1 TeV (ph cm-2 s-1)   (mCrab)
     0.0014             8.891E-16            4.877E-02
     0.0018             8.876E-16            4.869E-02
     0.0034             8.820E-16            4.838E-02
     0.0039             8.802E-16            4.828E-02
     0.0054             8.750E-16            4.800E-02
     0.0060             8.729E-16            4.788E-02
     0.0074             8.682E-16            4.762E-02
     0.0082             8.656E-16            4.748E-02
     0.0094             8.614E-16            4.725E-02
     0.0103             8.584E-16            4.709E-02
     0.0114             8.548E-16            4.689E-02
     0.0125             8.512E-16            4.669E-02
     0.0134             8.482E-16            4.653E-02
     0.0147             8.442E-16            4.631E-02
     0.0154             8.418E-16            4.618E-02
     0.0168             8.373E-16            4.593E-02
     0.0174             8.355E-16            4.583E-02
     0.0190             8.306E-16            4.556E-02
     0.0194             8.294E-16            4.549E-02
     0.0212             8.238E-16            4.519E-02
     0.0214             8.233E-16            4.516E-02
     0.0234             8.173E-16            4.483E-02
     0.0234             8.172E-16            4.483E-02
     0.0254             8.115E-16            4.451E-02
     0.0257             8.107E-16            4.447E-02
     0.0274             8.057E-16            4.420E-02
     0.0279             8.043E-16            4.412E-02
     0.0294             8.001E-16            4.389E-02
     0.0302             7.980E-16            4.377E-02
     0.0314             7.945E-16            4.358E-02
     0.0324             7.918E-16            4.343E-02
     0.0334             7.891E-16            4.329E-02
     0.0347             7.857E-16            4.310E-02
     0.0354             7.838E-16            4.299E-02
     0.0370             7.797E-16            4.277E-02
     0.0374             7.786E-16            4.271E-02
     0.0393             7.739E-16            4.245E-02
     0.0394             7.735E-16            4.243E-02
     0.0414             7.684E-16            4.215E-02
     0.0416             7.680E-16            4.213E-02
     0.0434             7.635E-16            4.188E-02
     0.0439             7.623E-16            4.182E-02
     0.0454             7.587E-16            4.162E-02
     0.0462             7.568E-16            4.151E-02
     0.0474             7.539E-16            4.136E-02
     0.0485             7.513E-16            4.121E-02
     0.0494             7.493E-16            4.110E-02
     0.0509             7.459E-16            4.092E-02
     0.0514             7.447E-16            4.085E-02
     0.0533             7.406E-16            4.063E-02
     0.0534             7.403E-16            4.061E-02
     0.0554             7.359E-16            4.037E-02
     0.0556             7.354E-16            4.034E-02
     0.0574             7.316E-16            4.013E-02
     0.0580             7.303E-16            4.006E-02
     0.0594             7.274E-16            3.990E-02
     0.0604             7.254E-16            3.979E-02
     0.0614             7.233E-16            3.967E-02
     0.0628             7.205E-16            3.952E-02
     0.0634             7.192E-16            3.945E-02
     0.0652             7.157E-16            3.926E-02
