                 System #      146
     Galactic longitude l    58.32
      Galactic latitude b     0.00
           distance (kpc)     9.25
    orbital period (days)    1.517
    arg. periastron (deg)  372.373
        inclination (deg)  153.121
             eccentricity    0.000
 neutron star mass (Msol)     1.40
         star mass (Msol)    30.00
       star radius (Rsol)    10.00
     star temperature (K) 33000.00
--------------------------------
orbital phase   flux > 1 TeV (ph cm-2 s-1)   (mCrab)
     0.0015             9.159E-16            5.024E-02
     0.0015             9.160E-16            5.024E-02
     0.0035             9.258E-16            5.078E-02
     0.0035             9.259E-16            5.079E-02
     0.0055             9.365E-16            5.137E-02
     0.0055             9.366E-16            5.138E-02
     0.0075             9.480E-16            5.200E-02
     0.0075             9.481E-16            5.201E-02
     0.0095             9.604E-16            5.268E-02
     0.0095             9.605E-16            5.269E-02
     0.0115             9.736E-16            5.341E-02
     0.0115             9.737E-16            5.341E-02
     0.0135             9.877E-16            5.418E-02
     0.0135             9.878E-16            5.419E-02
     0.0155             1.003E-15            5.501E-02
     0.0155             1.003E-15            5.501E-02
     0.0175             1.019E-15            5.588E-02
     0.0175             1.019E-15            5.589E-02
     0.0195             1.036E-15            5.681E-02
     0.0195             1.036E-15            5.681E-02
     0.0215             1.053E-15            5.779E-02
     0.0215             1.054E-15            5.779E-02
     0.0235             1.072E-15            5.883E-02
     0.0235             1.073E-15            5.883E-02
     0.0255             1.092E-15            5.992E-02
     0.0255             1.092E-15            5.993E-02
     0.0275             1.113E-15            6.107E-02
     0.0275             1.113E-15            6.108E-02
     0.0295             1.135E-15            6.229E-02
     0.0295             1.136E-15            6.229E-02
     0.0315             1.159E-15            6.356E-02
     0.0315             1.159E-15            6.357E-02
     0.0335             1.183E-15            6.490E-02
     0.0335             1.183E-15            6.491E-02
     0.0355             1.209E-15            6.631E-02
     0.0355             1.209E-15            6.632E-02
     0.0375             1.236E-15            6.779E-02
     0.0375             1.236E-15            6.780E-02
     0.0395             1.264E-15            6.934E-02
     0.0395             1.264E-15            6.935E-02
     0.0415             1.294E-15            7.096E-02
     0.0415             1.294E-15            7.097E-02
     0.0435             1.325E-15            7.266E-02
     0.0435             1.325E-15            7.267E-02
     0.0455             1.357E-15            7.443E-02
     0.0455             1.357E-15            7.445E-02
     0.0475             1.391E-15            7.629E-02
     0.0475             1.391E-15            7.630E-02
     0.0495             1.426E-15            7.824E-02
     0.0495             1.426E-15            7.825E-02
     0.0515             1.463E-15            8.027E-02
     0.0515             1.463E-15            8.028E-02
     0.0535             1.502E-15            8.238E-02
     0.0535             1.502E-15            8.240E-02
     0.0555             1.542E-15            8.460E-02
     0.0555             1.542E-15            8.461E-02
     0.0575             1.584E-15            8.691E-02
     0.0575             1.585E-15            8.692E-02
     0.0595             1.628E-15            8.931E-02
     0.0595             1.628E-15            8.933E-02
     0.0615             1.674E-15            9.183E-02
     0.0615             1.674E-15            9.184E-02
     0.0635             1.722E-15            9.445E-02
     0.0635             1.722E-15            9.446E-02
     0.0655             1.772E-15            9.718E-02
     0.0655             1.772E-15            9.719E-02
     0.0675             1.823E-15            1.000E-01
     0.0675             1.824E-15            1.000E-01
     0.0695             1.877E-15            1.030E-01
     0.0695             1.878E-15            1.030E-01
     0.0715             1.934E-15            1.061E-01
     0.0715             1.934E-15            1.061E-01
     0.0735             1.992E-15            1.093E-01
     0.0735             1.992E-15            1.093E-01
     0.0755             2.053E-15            1.126E-01
     0.0755             2.053E-15            1.126E-01
     0.0775             2.116E-15            1.161E-01
     0.0775             2.117E-15            1.161E-01
     0.0795             2.182E-15            1.197E-01
     0.0795             2.183E-15            1.197E-01
     0.0815             2.251E-15            1.235E-01
     0.0815             2.251E-15            1.235E-01
     0.0835             2.322E-15            1.274E-01
     0.0835             2.322E-15            1.274E-01
     0.0855             2.396E-15            1.314E-01
     0.0855             2.396E-15            1.314E-01
     0.0875             2.473E-15            1.356E-01
     0.0875             2.473E-15            1.357E-01
     0.0895             2.553E-15            1.400E-01
     0.0895             2.553E-15            1.400E-01
     0.0915             2.636E-15            1.446E-01
     0.0915             2.636E-15            1.446E-01
     0.0935             2.722E-15            1.493E-01
     0.0935             2.722E-15            1.493E-01
     0.0955             2.811E-15            1.542E-01
     0.0955             2.812E-15            1.542E-01
     0.0975             2.904E-15            1.593E-01
     0.0975             2.904E-15            1.593E-01
     0.0995             3.000E-15            1.646E-01
     0.0995             3.001E-15            1.646E-01
     0.1015             3.100E-15            1.700E-01
     0.1015             3.100E-15            1.701E-01
     0.1035             3.203E-15            1.757E-01
     0.1035             3.204E-15            1.757E-01
     0.1055             3.311E-15            1.816E-01
     0.1055             3.311E-15            1.816E-01
     0.1075             3.422E-15            1.877E-01
     0.1075             3.422E-15            1.877E-01
     0.1095             3.537E-15            1.940E-01
     0.1095             3.538E-15            1.941E-01
     0.1115             3.656E-15            2.006E-01
     0.1115             3.657E-15            2.006E-01
     0.1135             3.780E-15            2.073E-01
     0.1135             3.781E-15            2.074E-01
     0.1155             3.908E-15            2.144E-01
     0.1155             3.909E-15            2.144E-01
     0.1175             4.040E-15            2.216E-01
     0.1175             4.041E-15            2.217E-01
     0.1195             4.177E-15            2.291E-01
     0.1195             4.178E-15            2.292E-01
     0.1215             4.319E-15            2.369E-01
     0.1215             4.320E-15            2.370E-01
     0.1235             4.466E-15            2.450E-01
     0.1235             4.466E-15            2.450E-01
     0.1255             4.617E-15            2.533E-01
     0.1255             4.618E-15            2.533E-01
     0.1275             4.774E-15            2.619E-01
     0.1275             4.775E-15            2.619E-01
     0.1295             4.936E-15            2.707E-01
     0.1295             4.937E-15            2.708E-01
     0.1315             5.103E-15            2.799E-01
     0.1315             5.104E-15            2.800E-01
     0.1335             5.276E-15            2.894E-01
     0.1335             5.277E-15            2.894E-01
     0.1355             5.454E-15            2.992E-01
     0.1355             5.455E-15            2.992E-01
     0.1375             5.638E-15            3.093E-01
     0.1375             5.639E-15            3.093E-01
     0.1395             5.828E-15            3.197E-01
     0.1395             5.829E-15            3.198E-01
     0.1415             6.024E-15            3.304E-01
     0.1415             6.025E-15            3.305E-01
     0.1435             6.226E-15            3.415E-01
     0.1435             6.227E-15            3.416E-01
     0.1455             6.434E-15            3.529E-01
     0.1455             6.435E-15            3.530E-01
     0.1475             6.649E-15            3.647E-01
     0.1475             6.650E-15            3.648E-01
     0.1495             6.870E-15            3.768E-01
     0.1495             6.871E-15            3.769E-01
     0.1515             7.098E-15            3.893E-01
     0.1515             7.099E-15            3.894E-01
     0.1535             7.332E-15            4.022E-01
     0.1535             7.334E-15            4.023E-01
     0.1555             7.574E-15            4.155E-01
     0.1555             7.575E-15            4.155E-01
     0.1575             7.822E-15            4.291E-01
     0.1575             7.824E-15            4.292E-01
     0.1595             8.078E-15            4.431E-01
     0.1595             8.080E-15            4.432E-01
     0.1615             8.341E-15            4.575E-01
     0.1615             8.343E-15            4.576E-01
     0.1635             8.611E-15            4.724E-01
     0.1635             8.613E-15            4.725E-01
     0.1655             8.889E-15            4.876E-01
     0.1655             8.891E-15            4.877E-01
     0.1675             9.175E-15            5.033E-01
     0.1675             9.177E-15            5.034E-01
     0.1695             9.468E-15            5.194E-01
     0.1695             9.470E-15            5.195E-01
     0.1715             9.769E-15            5.359E-01
     0.1715             9.771E-15            5.360E-01
     0.1735             1.008E-14            5.528E-01
     0.1735             1.008E-14            5.529E-01
     0.1755             1.040E-14            5.702E-01
     0.1755             1.040E-14            5.703E-01
     0.1775             1.072E-14            5.881E-01
     0.1775             1.072E-14            5.882E-01
     0.1795             1.105E-14            6.064E-01
     0.1795             1.106E-14            6.065E-01
     0.1815             1.140E-14            6.252E-01
     0.1815             1.140E-14            6.253E-01
     0.1835             1.175E-14            6.444E-01
     0.1835             1.175E-14            6.445E-01
     0.1855             1.211E-14            6.641E-01
     0.1855             1.211E-14            6.642E-01
     0.1875             1.247E-14            6.843E-01
     0.1875             1.248E-14            6.844E-01
     0.1895             1.285E-14            7.049E-01
     0.1895             1.285E-14            7.051E-01
     0.1915             1.324E-14            7.261E-01
     0.1915             1.324E-14            7.262E-01
     0.1935             1.363E-14            7.477E-01
     0.1935             1.363E-14            7.479E-01
     0.1955             1.403E-14            7.699E-01
     0.1955             1.404E-14            7.700E-01
     0.1975             1.445E-14            7.925E-01
     0.1975             1.445E-14            7.926E-01
     0.1995             1.487E-14            8.156E-01
     0.1995             1.487E-14            8.158E-01
     0.2015             1.530E-14            8.393E-01
     0.2015             1.530E-14            8.394E-01
     0.2035             1.574E-14            8.634E-01
     0.2035             1.574E-14            8.636E-01
     0.2055             1.619E-14            8.881E-01
     0.2055             1.619E-14            8.882E-01
     0.2075             1.665E-14            9.133E-01
     0.2075             1.665E-14            9.134E-01
     0.2095             1.712E-14            9.390E-01
     0.2095             1.712E-14            9.391E-01
     0.2115             1.760E-14            9.652E-01
     0.2115             1.760E-14            9.653E-01
     0.2135             1.808E-14            9.919E-01
     0.2135             1.809E-14            9.921E-01
     0.2155             1.858E-14            1.019E+00
     0.2155             1.858E-14            1.019E+00
     0.2175             1.909E-14            1.047E+00
     0.2175             1.909E-14            1.047E+00
     0.2195             1.960E-14            1.075E+00
     0.2195             1.960E-14            1.075E+00
     0.2215             2.013E-14            1.104E+00
     0.2215             2.013E-14            1.104E+00
     0.2235             2.066E-14            1.133E+00
     0.2235             2.067E-14            1.134E+00
     0.2255             2.121E-14            1.163E+00
     0.2255             2.121E-14            1.163E+00
     0.2275             2.176E-14            1.194E+00
     0.2275             2.176E-14            1.194E+00
     0.2295             2.232E-14            1.225E+00
     0.2295             2.233E-14            1.225E+00
     0.2315             2.290E-14            1.256E+00
     0.2315             2.290E-14            1.256E+00
     0.2335             2.348E-14            1.288E+00
     0.2335             2.348E-14            1.288E+00
     0.2355             2.407E-14            1.320E+00
     0.2355             2.408E-14            1.321E+00
     0.2375             2.467E-14            1.353E+00
     0.2375             2.468E-14            1.354E+00
     0.2395             2.528E-14            1.387E+00
     0.2395             2.529E-14            1.387E+00
     0.2415             2.590E-14            1.421E+00
     0.2415             2.591E-14            1.421E+00
     0.2435             2.653E-14            1.455E+00
     0.2435             2.654E-14            1.456E+00
     0.2455             2.717E-14            1.490E+00
     0.2455             2.717E-14            1.491E+00
     0.2475             2.782E-14            1.526E+00
     0.2475             2.782E-14            1.526E+00
     0.2495             2.847E-14            1.562E+00
     0.2495             2.848E-14            1.562E+00
     0.2515             2.914E-14            1.598E+00
     0.2515             2.914E-14            1.599E+00
     0.2535             2.981E-14            1.635E+00
     0.2535             2.982E-14            1.636E+00
     0.2555             3.050E-14            1.673E+00
     0.2555             3.050E-14            1.673E+00
     0.2575             3.119E-14            1.711E+00
     0.2575             3.119E-14            1.711E+00
     0.2595             3.189E-14            1.749E+00
     0.2595             3.189E-14            1.749E+00
     0.2615             3.259E-14            1.788E+00
     0.2615             3.260E-14            1.788E+00
     0.2635             3.331E-14            1.827E+00
     0.2635             3.331E-14            1.827E+00
     0.2655             3.403E-14            1.867E+00
     0.2655             3.404E-14            1.867E+00
     0.2675             3.477E-14            1.907E+00
     0.2675             3.477E-14            1.907E+00
     0.2695             3.550E-14            1.948E+00
     0.2695             3.551E-14            1.948E+00
     0.2715             3.625E-14            1.989E+00
     0.2715             3.626E-14            1.989E+00
     0.2735             3.700E-14            2.030E+00
     0.2735             3.701E-14            2.030E+00
     0.2755             3.777E-14            2.072E+00
     0.2755             3.777E-14            2.072E+00
     0.2775             3.854E-14            2.114E+00
     0.2775             3.854E-14            2.114E+00
     0.2795             3.931E-14            2.156E+00
     0.2795             3.932E-14            2.157E+00
     0.2815             4.009E-14            2.199E+00
     0.2815             4.010E-14            2.200E+00
     0.2835             4.088E-14            2.243E+00
     0.2835             4.089E-14            2.243E+00
     0.2855             4.168E-14            2.286E+00
     0.2855             4.168E-14            2.286E+00
     0.2875             4.248E-14            2.330E+00
     0.2875             4.248E-14            2.330E+00
     0.2895             4.328E-14            2.374E+00
     0.2895             4.329E-14            2.375E+00
     0.2915             4.409E-14            2.419E+00
     0.2915             4.410E-14            2.419E+00
     0.2935             4.491E-14            2.464E+00
     0.2935             4.492E-14            2.464E+00
     0.2955             4.573E-14            2.509E+00
     0.2955             4.574E-14            2.509E+00
     0.2975             4.656E-14            2.554E+00
     0.2975             4.657E-14            2.554E+00
     0.2995             4.739E-14            2.600E+00
     0.2995             4.740E-14            2.600E+00
     0.3015             4.823E-14            2.646E+00
     0.3015             4.823E-14            2.646E+00
     0.3035             4.907E-14            2.692E+00
     0.3035             4.907E-14            2.692E+00
     0.3055             4.991E-14            2.738E+00
     0.3055             4.992E-14            2.738E+00
     0.3075             5.076E-14            2.784E+00
     0.3075             5.076E-14            2.785E+00
     0.3095             5.161E-14            2.831E+00
     0.3095             5.161E-14            2.831E+00
     0.3115             5.246E-14            2.878E+00
     0.3115             5.247E-14            2.878E+00
     0.3135             5.331E-14            2.925E+00
     0.3135             5.332E-14            2.925E+00
     0.3155             5.417E-14            2.972E+00
     0.3155             5.418E-14            2.972E+00
     0.3175             5.504E-14            3.019E+00
     0.3175             5.504E-14            3.019E+00
     0.3195             5.590E-14            3.066E+00
     0.3195             5.590E-14            3.067E+00
     0.3215             5.676E-14            3.113E+00
     0.3215             5.676E-14            3.114E+00
     0.3235             5.762E-14            3.161E+00
     0.3235             5.763E-14            3.161E+00
     0.3255             5.849E-14            3.208E+00
     0.3255             5.849E-14            3.209E+00
     0.3275             5.935E-14            3.256E+00
     0.3275             5.936E-14            3.256E+00
     0.3295             6.022E-14            3.303E+00
     0.3295             6.022E-14            3.304E+00
     0.3315             6.108E-14            3.351E+00
     0.3315             6.109E-14            3.351E+00
     0.3335             6.195E-14            3.398E+00
     0.3335             6.195E-14            3.398E+00
     0.3355             6.281E-14            3.445E+00
     0.3355             6.281E-14            3.446E+00
     0.3375             6.367E-14            3.493E+00
     0.3375             6.368E-14            3.493E+00
     0.3395             6.453E-14            3.540E+00
     0.3395             6.454E-14            3.540E+00
     0.3415             6.539E-14            3.587E+00
     0.3415             6.540E-14            3.587E+00
     0.3435             6.625E-14            3.634E+00
     0.3435             6.625E-14            3.634E+00
     0.3455             6.710E-14            3.681E+00
     0.3455             6.711E-14            3.681E+00
     0.3475             6.795E-14            3.727E+00
     0.3475             6.796E-14            3.728E+00
     0.3495             6.880E-14            3.774E+00
     0.3495             6.880E-14            3.774E+00
     0.3515             6.964E-14            3.820E+00
     0.3515             6.964E-14            3.820E+00
     0.3535             7.048E-14            3.866E+00
     0.3535             7.048E-14            3.866E+00
     0.3555             7.131E-14            3.912E+00
     0.3555             7.131E-14            3.912E+00
     0.3575             7.214E-14            3.957E+00
     0.3575             7.214E-14            3.957E+00
     0.3595             7.296E-14            4.002E+00
     0.3595             7.297E-14            4.003E+00
     0.3615             7.378E-14            4.047E+00
     0.3615             7.379E-14            4.048E+00
     0.3635             7.459E-14            4.092E+00
     0.3635             7.460E-14            4.092E+00
     0.3655             7.540E-14            4.136E+00
     0.3655             7.541E-14            4.136E+00
     0.3675             7.620E-14            4.180E+00
     0.3675             7.621E-14            4.180E+00
     0.3695             7.699E-14            4.224E+00
     0.3695             7.700E-14            4.224E+00
     0.3715             7.778E-14            4.267E+00
     0.3715             7.779E-14            4.267E+00
     0.3735             7.855E-14            4.309E+00
     0.3735             7.856E-14            4.309E+00
     0.3755             7.932E-14            4.351E+00
     0.3755             7.933E-14            4.351E+00
     0.3775             8.008E-14            4.393E+00
     0.3775             8.008E-14            4.393E+00
     0.3795             8.083E-14            4.434E+00
     0.3795             8.084E-14            4.434E+00
     0.3815             8.157E-14            4.475E+00
     0.3815             8.158E-14            4.475E+00
     0.3835             8.230E-14            4.515E+00
     0.3835             8.231E-14            4.515E+00
     0.3855             8.302E-14            4.554E+00
     0.3855             8.303E-14            4.554E+00
     0.3875             8.373E-14            4.593E+00
     0.3875             8.374E-14            4.593E+00
     0.3895             8.443E-14            4.632E+00
     0.3895             8.444E-14            4.632E+00
     0.3915             8.512E-14            4.669E+00
     0.3915             8.513E-14            4.670E+00
     0.3935             8.580E-14            4.707E+00
     0.3935             8.581E-14            4.707E+00
     0.3955             8.647E-14            4.743E+00
     0.3955             8.647E-14            4.743E+00
     0.3975             8.712E-14            4.779E+00
     0.3975             8.713E-14            4.779E+00
     0.3995             8.777E-14            4.814E+00
     0.3995             8.777E-14            4.815E+00
     0.4015             8.839E-14            4.849E+00
     0.4015             8.840E-14            4.849E+00
     0.4035             8.901E-14            4.883E+00
     0.4035             8.902E-14            4.883E+00
     0.4055             8.962E-14            4.916E+00
     0.4055             8.962E-14            4.916E+00
     0.4075             9.020E-14            4.948E+00
     0.4075             9.021E-14            4.948E+00
     0.4095             9.078E-14            4.980E+00
     0.4095             9.078E-14            4.980E+00
     0.4115             9.134E-14            5.010E+00
     0.4115             9.134E-14            5.010E+00
     0.4135             9.188E-14            5.040E+00
     0.4135             9.189E-14            5.040E+00
     0.4155             9.242E-14            5.070E+00
     0.4155             9.242E-14            5.070E+00
     0.4175             9.294E-14            5.098E+00
     0.4175             9.294E-14            5.098E+00
     0.4195             9.344E-14            5.126E+00
     0.4195             9.344E-14            5.126E+00
     0.4215             9.393E-14            5.152E+00
     0.4215             9.393E-14            5.152E+00
     0.4235             9.440E-14            5.178E+00
     0.4235             9.440E-14            5.178E+00
     0.4255             9.485E-14            5.203E+00
     0.4255             9.485E-14            5.203E+00
     0.4275             9.529E-14            5.227E+00
     0.4275             9.529E-14            5.227E+00
     0.4295             9.571E-14            5.250E+00
     0.4295             9.572E-14            5.250E+00
     0.4315             9.612E-14            5.273E+00
     0.4315             9.612E-14            5.273E+00
     0.4335             9.651E-14            5.294E+00
     0.4335             9.651E-14            5.294E+00
     0.4355             9.688E-14            5.314E+00
     0.4355             9.688E-14            5.314E+00
     0.4375             9.723E-14            5.334E+00
     0.4375             9.723E-14            5.334E+00
     0.4395             9.757E-14            5.352E+00
     0.4395             9.757E-14            5.352E+00
     0.4415             9.789E-14            5.370E+00
     0.4415             9.789E-14            5.370E+00
     0.4435             9.819E-14            5.386E+00
     0.4435             9.819E-14            5.386E+00
     0.4455             9.848E-14            5.402E+00
     0.4455             9.848E-14            5.402E+00
     0.4475             9.874E-14            5.416E+00
     0.4475             9.874E-14            5.417E+00
     0.4495             9.899E-14            5.430E+00
     0.4495             9.899E-14            5.430E+00
     0.4515             9.922E-14            5.443E+00
     0.4515             9.922E-14            5.443E+00
     0.4535             9.943E-14            5.454E+00
     0.4535             9.943E-14            5.454E+00
     0.4555             9.963E-14            5.465E+00
     0.4555             9.963E-14            5.465E+00
     0.4575             9.980E-14            5.475E+00
     0.4575             9.980E-14            5.475E+00
     0.4595             9.996E-14            5.483E+00
     0.4595             9.996E-14            5.483E+00
     0.4615             1.001E-13            5.491E+00
     0.4615             1.001E-13            5.491E+00
     0.4635             1.002E-13            5.497E+00
     0.4635             1.002E-13            5.497E+00
     0.4655             1.003E-13            5.503E+00
     0.4655             1.003E-13            5.503E+00
     0.4675             1.004E-13            5.507E+00
     0.4675             1.004E-13            5.507E+00
     0.4695             1.005E-13            5.511E+00
     0.4695             1.005E-13            5.511E+00
     0.4715             1.005E-13            5.513E+00
     0.4715             1.005E-13            5.513E+00
     0.4735             1.005E-13            5.514E+00
     0.4735             1.005E-13            5.514E+00
     0.4755             1.005E-13            5.515E+00
     0.4755             1.005E-13            5.515E+00
     0.4775             1.005E-13            5.514E+00
     0.4775             1.005E-13            5.514E+00
     0.4795             1.005E-13            5.512E+00
     0.4795             1.005E-13            5.512E+00
     0.4815             1.004E-13            5.510E+00
     0.4815             1.004E-13            5.510E+00
     0.4835             1.004E-13            5.506E+00
     0.4835             1.004E-13            5.506E+00
     0.4855             1.003E-13            5.501E+00
     0.4855             1.003E-13            5.501E+00
     0.4875             1.002E-13            5.495E+00
     0.4875             1.002E-13            5.495E+00
     0.4895             1.000E-13            5.488E+00
     0.4895             1.000E-13            5.488E+00
     0.4915             9.990E-14            5.480E+00
     0.4915             9.990E-14            5.480E+00
     0.4935             9.974E-14            5.471E+00
     0.4935             9.974E-14            5.471E+00
     0.4955             9.956E-14            5.461E+00
     0.4955             9.956E-14            5.461E+00
     0.4975             9.936E-14            5.450E+00
     0.4975             9.936E-14            5.450E+00
     0.4995             9.914E-14            5.438E+00
     0.4995             9.914E-14            5.438E+00
     0.5015             9.890E-14            5.425E+00
     0.5015             9.890E-14            5.425E+00
     0.5035             9.865E-14            5.411E+00
     0.5035             9.864E-14            5.411E+00
     0.5055             9.837E-14            5.396E+00
     0.5055             9.837E-14            5.396E+00
     0.5075             9.808E-14            5.380E+00
     0.5075             9.808E-14            5.380E+00
     0.5095             9.777E-14            5.363E+00
     0.5095             9.777E-14            5.363E+00
     0.5115             9.745E-14            5.345E+00
     0.5115             9.745E-14            5.345E+00
     0.5135             9.710E-14            5.327E+00
     0.5135             9.710E-14            5.326E+00
     0.5155             9.674E-14            5.307E+00
     0.5155             9.674E-14            5.307E+00
     0.5175             9.637E-14            5.286E+00
     0.5175             9.636E-14            5.286E+00
     0.5195             9.597E-14            5.264E+00
     0.5195             9.597E-14            5.264E+00
     0.5215             9.556E-14            5.242E+00
     0.5215             9.556E-14            5.242E+00
     0.5235             9.513E-14            5.218E+00
     0.5235             9.513E-14            5.218E+00
     0.5255             9.469E-14            5.194E+00
     0.5255             9.468E-14            5.194E+00
     0.5275             9.423E-14            5.169E+00
     0.5275             9.422E-14            5.169E+00
     0.5295             9.375E-14            5.143E+00
     0.5295             9.375E-14            5.142E+00
     0.5315             9.326E-14            5.115E+00
     0.5315             9.325E-14            5.115E+00
     0.5335             9.275E-14            5.088E+00
     0.5335             9.274E-14            5.087E+00
     0.5355             9.222E-14            5.059E+00
     0.5355             9.222E-14            5.059E+00
     0.5375             9.168E-14            5.029E+00
     0.5375             9.168E-14            5.029E+00
     0.5395             9.113E-14            4.999E+00
     0.5395             9.113E-14            4.999E+00
     0.5415             9.057E-14            4.968E+00
     0.5415             9.056E-14            4.968E+00
     0.5435             8.999E-14            4.936E+00
     0.5435             8.998E-14            4.936E+00
     0.5455             8.939E-14            4.904E+00
     0.5455             8.939E-14            4.903E+00
     0.5475             8.879E-14            4.870E+00
     0.5475             8.878E-14            4.870E+00
     0.5495             8.816E-14            4.836E+00
     0.5495             8.816E-14            4.836E+00
     0.5515             8.753E-14            4.801E+00
     0.5515             8.753E-14            4.801E+00
     0.5535             8.688E-14            4.766E+00
     0.5535             8.688E-14            4.766E+00
     0.5555             8.622E-14            4.730E+00
     0.5555             8.622E-14            4.730E+00
     0.5575             8.555E-14            4.693E+00
     0.5575             8.555E-14            4.693E+00
     0.5595             8.487E-14            4.656E+00
     0.5595             8.487E-14            4.655E+00
     0.5615             8.418E-14            4.618E+00
     0.5615             8.417E-14            4.617E+00
     0.5635             8.347E-14            4.579E+00
     0.5635             8.347E-14            4.579E+00
     0.5655             8.276E-14            4.540E+00
     0.5655             8.275E-14            4.539E+00
     0.5675             8.203E-14            4.500E+00
     0.5675             8.203E-14            4.500E+00
     0.5695             8.130E-14            4.460E+00
     0.5695             8.130E-14            4.459E+00
     0.5715             8.056E-14            4.419E+00
     0.5715             8.055E-14            4.419E+00
     0.5735             7.980E-14            4.377E+00
