                 System #      148
     Galactic longitude l    35.89
      Galactic latitude b     0.00
           distance (kpc)     5.13
    orbital period (days)  113.177
    arg. periastron (deg)  254.085
        inclination (deg)  157.701
             eccentricity    0.877
 neutron star mass (Msol)     1.40
         star mass (Msol)    30.00
       star radius (Rsol)    10.00
     star temperature (K) 33000.00
--------------------------------
orbital phase   flux > 1 TeV (ph cm-2 s-1)   (mCrab)
     0.0017             7.282E-17            3.995E-03
     0.0034             7.281E-17            3.994E-03
     0.0037             7.281E-17            3.994E-03
     0.0057             7.280E-17            3.993E-03
     0.0072             7.279E-17            3.993E-03
     0.0077             7.279E-17            3.993E-03
     0.0097             7.278E-17            3.992E-03
     0.0109             7.277E-17            3.992E-03
     0.0117             7.277E-17            3.992E-03
     0.0137             7.276E-17            3.991E-03
     0.0147             7.276E-17            3.991E-03
     0.0157             7.276E-17            3.991E-03
     0.0177             7.275E-17            3.991E-03
     0.0184             7.275E-17            3.991E-03
     0.0197             7.275E-17            3.991E-03
     0.0217             7.275E-17            3.990E-03
     0.0222             7.275E-17            3.990E-03
     0.0237             7.274E-17            3.990E-03
     0.0257             7.274E-17            3.990E-03
     0.0259             7.274E-17            3.990E-03
     0.0277             7.275E-17            3.990E-03
     0.0297             7.275E-17            3.991E-03
     0.0297             7.275E-17            3.991E-03
     0.0317             7.275E-17            3.991E-03
     0.0334             7.276E-17            3.991E-03
     0.0337             7.276E-17            3.991E-03
     0.0357             7.276E-17            3.991E-03
     0.0372             7.277E-17            3.992E-03
     0.0377             7.277E-17            3.992E-03
     0.0397             7.278E-17            3.992E-03
     0.0409             7.279E-17            3.993E-03
     0.0417             7.279E-17            3.993E-03
     0.0437             7.280E-17            3.994E-03
     0.0447             7.281E-17            3.994E-03
     0.0457             7.281E-17            3.994E-03
     0.0477             7.283E-17            3.995E-03
     0.0484             7.283E-17            3.995E-03
     0.0497             7.284E-17            3.996E-03
     0.0517             7.286E-17            3.997E-03
     0.0522             7.286E-17            3.997E-03
     0.0537             7.288E-17            3.998E-03
     0.0557             7.290E-17            3.999E-03
     0.0559             7.290E-17            3.999E-03
     0.0577             7.292E-17            4.000E-03
     0.0597             7.294E-17            4.001E-03
     0.0597             7.294E-17            4.001E-03
     0.0617             7.296E-17            4.002E-03
     0.0634             7.298E-17            4.003E-03
     0.0637             7.298E-17            4.003E-03
     0.0657             7.301E-17            4.005E-03
     0.0672             7.303E-17            4.006E-03
     0.0677             7.303E-17            4.006E-03
     0.0697             7.306E-17            4.008E-03
     0.0709             7.308E-17            4.009E-03
     0.0717             7.309E-17            4.009E-03
     0.0737             7.312E-17            4.011E-03
     0.0746             7.314E-17            4.012E-03
     0.0757             7.315E-17            4.013E-03
     0.0777             7.319E-17            4.015E-03
     0.0784             7.320E-17            4.015E-03
     0.0797             7.322E-17            4.016E-03
     0.0817             7.325E-17            4.018E-03
     0.0821             7.326E-17            4.019E-03
     0.0837             7.329E-17            4.020E-03
     0.0857             7.333E-17            4.022E-03
     0.0858             7.333E-17            4.023E-03
     0.0877             7.337E-17            4.025E-03
     0.0895             7.340E-17            4.027E-03
     0.0897             7.341E-17            4.027E-03
     0.0917             7.345E-17            4.029E-03
     0.0932             7.348E-17            4.031E-03
     0.0937             7.349E-17            4.031E-03
     0.0957             7.354E-17            4.034E-03
     0.0969             7.357E-17            4.035E-03
     0.0977             7.358E-17            4.036E-03
     0.0997             7.363E-17            4.039E-03
     0.1006             7.365E-17            4.040E-03
     0.1017             7.368E-17            4.042E-03
     0.1037             7.373E-17            4.044E-03
     0.1043             7.375E-17            4.045E-03
     0.1057             7.378E-17            4.047E-03
     0.1077             7.383E-17            4.050E-03
     0.1080             7.384E-17            4.051E-03
     0.1097             7.389E-17            4.053E-03
     0.1117             7.394E-17            4.056E-03
     0.1117             7.394E-17            4.056E-03
     0.1137             7.400E-17            4.059E-03
     0.1154             7.405E-17            4.062E-03
     0.1157             7.406E-17            4.062E-03
     0.1177             7.412E-17            4.066E-03
     0.1191             7.416E-17            4.068E-03
     0.1197             7.418E-17            4.069E-03
     0.1217             7.424E-17            4.072E-03
     0.1227             7.427E-17            4.074E-03
     0.1237             7.431E-17            4.076E-03
     0.1257             7.437E-17            4.080E-03
     0.1264             7.439E-17            4.081E-03
     0.1277             7.444E-17            4.083E-03
     0.1297             7.451E-17            4.087E-03
     0.1300             7.452E-17            4.088E-03
     0.1317             7.458E-17            4.091E-03
