                 System #      152
     Galactic longitude l    25.19
      Galactic latitude b     0.00
           distance (kpc)    10.15
    orbital period (days)  149.066
    arg. periastron (deg)  234.858
        inclination (deg)   75.253
             eccentricity    0.647
 neutron star mass (Msol)     1.40
         star mass (Msol)    30.00
       star radius (Rsol)    10.00
     star temperature (K) 33000.00
--------------------------------
orbital phase   flux > 1 TeV (ph cm-2 s-1)   (mCrab)
     0.0000             1.260E-16            6.914E-03
     0.0012             1.258E-16            6.902E-03
     0.0020             1.256E-16            6.892E-03
     0.0039             1.253E-16            6.873E-03
     0.0040             1.253E-16            6.871E-03
     0.0060             1.249E-16            6.850E-03
     0.0066             1.248E-16            6.844E-03
     0.0080             1.245E-16            6.829E-03
     0.0093             1.242E-16            6.815E-03
     0.0100             1.241E-16            6.808E-03
     0.0120             1.237E-16            6.787E-03
     0.0120             1.237E-16            6.787E-03
     0.0140             1.234E-16            6.767E-03
     0.0148             1.232E-16            6.759E-03
     0.0160             1.230E-16            6.747E-03
     0.0176             1.227E-16            6.731E-03
     0.0180             1.226E-16            6.727E-03
     0.0200             1.223E-16            6.707E-03
     0.0203             1.222E-16            6.704E-03
     0.0220             1.219E-16            6.687E-03
     0.0231             1.217E-16            6.677E-03
     0.0240             1.216E-16            6.668E-03
     0.0259             1.212E-16            6.650E-03
     0.0260             1.212E-16            6.649E-03
     0.0280             1.209E-16            6.630E-03
     0.0288             1.207E-16            6.623E-03
     0.0300             1.205E-16            6.611E-03
     0.0316             1.203E-16            6.597E-03
     0.0320             1.202E-16            6.593E-03
     0.0340             1.199E-16            6.574E-03
     0.0344             1.198E-16            6.571E-03
     0.0360             1.195E-16            6.556E-03
     0.0373             1.193E-16            6.545E-03
     0.0380             1.192E-16            6.538E-03
     0.0400             1.189E-16            6.521E-03
     0.0402             1.188E-16            6.519E-03
     0.0420             1.185E-16            6.503E-03
     0.0430             1.184E-16            6.494E-03
     0.0440             1.182E-16            6.486E-03
     0.0459             1.179E-16            6.469E-03
     0.0460             1.179E-16            6.468E-03
     0.0480             1.176E-16            6.451E-03
     0.0488             1.175E-16            6.444E-03
     0.0500             1.173E-16            6.434E-03
     0.0517             1.170E-16            6.420E-03
     0.0520             1.170E-16            6.417E-03
     0.0540             1.167E-16            6.401E-03
     0.0547             1.166E-16            6.395E-03
     0.0560             1.164E-16            6.384E-03
     0.0576             1.161E-16            6.371E-03
     0.0580             1.161E-16            6.368E-03
     0.0600             1.158E-16            6.352E-03
     0.0606             1.157E-16            6.347E-03
     0.0620             1.155E-16            6.336E-03
     0.0635             1.153E-16            6.324E-03
     0.0640             1.152E-16            6.320E-03
     0.0660             1.149E-16            6.304E-03
     0.0665             1.149E-16            6.300E-03
     0.0680             1.146E-16            6.288E-03
     0.0695             1.144E-16            6.277E-03
     0.0700             1.144E-16            6.273E-03
     0.0720             1.141E-16            6.257E-03
     0.0725             1.140E-16            6.254E-03
     0.0740             1.138E-16            6.242E-03
     0.0755             1.136E-16            6.231E-03
     0.0760             1.135E-16            6.227E-03
     0.0780             1.132E-16            6.212E-03
     0.0785             1.132E-16            6.209E-03
     0.0800             1.130E-16            6.197E-03
     0.0815             1.128E-16            6.187E-03
     0.0820             1.127E-16            6.183E-03
     0.0840             1.124E-16            6.168E-03
     0.0845             1.124E-16            6.165E-03
     0.0860             1.122E-16            6.154E-03
     0.0876             1.120E-16            6.143E-03
     0.0880             1.119E-16            6.139E-03
     0.0900             1.117E-16            6.125E-03
     0.0906             1.116E-16            6.121E-03
     0.0920             1.114E-16            6.111E-03
     0.0937             1.112E-16            6.099E-03
     0.0940             1.111E-16            6.097E-03
     0.0960             1.109E-16            6.083E-03
     0.0968             1.108E-16            6.078E-03
     0.0980             1.106E-16            6.069E-03
     0.0998             1.104E-16            6.057E-03
     0.1000             1.104E-16            6.055E-03
     0.1020             1.101E-16            6.042E-03
     0.1029             1.100E-16            6.036E-03
     0.1040             1.099E-16            6.028E-03
     0.1060             1.097E-16            6.015E-03
     0.1060             1.096E-16            6.015E-03
     0.1080             1.094E-16            6.001E-03
     0.1091             1.093E-16            5.994E-03
     0.1100             1.092E-16            5.988E-03
     0.1120             1.089E-16            5.975E-03
     0.1122             1.089E-16            5.974E-03
     0.1140             1.087E-16            5.962E-03
     0.1154             1.085E-16            5.954E-03
     0.1160             1.085E-16            5.949E-03
     0.1180             1.082E-16            5.936E-03
     0.1185             1.082E-16            5.933E-03
     0.1200             1.080E-16            5.923E-03
     0.1216             1.078E-16            5.913E-03
     0.1220             1.078E-16            5.911E-03
     0.1240             1.075E-16            5.898E-03
     0.1248             1.074E-16            5.893E-03
     0.1260             1.073E-16            5.885E-03
     0.1279             1.071E-16            5.874E-03
     0.1280             1.071E-16            5.873E-03
     0.1300             1.068E-16            5.861E-03
     0.1311             1.067E-16            5.854E-03
     0.1320             1.066E-16            5.848E-03
     0.1340             1.064E-16            5.836E-03
     0.1343             1.064E-16            5.835E-03
     0.1360             1.062E-16            5.824E-03
     0.1374             1.060E-16            5.815E-03
     0.1380             1.059E-16            5.812E-03
     0.1400             1.057E-16            5.799E-03
     0.1406             1.057E-16            5.796E-03
     0.1420             1.055E-16            5.787E-03
     0.1438             1.053E-16            5.777E-03
     0.1440             1.053E-16            5.775E-03
     0.1460             1.051E-16            5.764E-03
     0.1470             1.050E-16            5.758E-03
     0.1480             1.049E-16            5.752E-03
     0.1500             1.046E-16            5.740E-03
     0.1502             1.046E-16            5.739E-03
     0.1520             1.044E-16            5.728E-03
     0.1534             1.043E-16            5.720E-03
     0.1540             1.042E-16            5.716E-03
     0.1560             1.040E-16            5.705E-03
     0.1566             1.039E-16            5.701E-03
     0.1580             1.038E-16            5.693E-03
     0.1598             1.036E-16            5.683E-03
     0.1600             1.036E-16            5.682E-03
     0.1620             1.034E-16            5.670E-03
     0.1631             1.033E-16            5.664E-03
     0.1640             1.032E-16            5.659E-03
     0.1660             1.029E-16            5.647E-03
