                 System #      153
     Galactic longitude l   -14.71
      Galactic latitude b     0.00
           distance (kpc)     5.62
    orbital period (days)    3.858
    arg. periastron (deg)  198.267
        inclination (deg)   58.954
             eccentricity    0.102
 neutron star mass (Msol)     1.40
         star mass (Msol)    30.00
       star radius (Rsol)    10.00
     star temperature (K) 33000.00
--------------------------------
orbital phase   flux > 1 TeV (ph cm-2 s-1)   (mCrab)
     0.0004             1.682E-18            9.227E-05
     0.0012             1.721E-18            9.439E-05
     0.0023             1.778E-18            9.753E-05
     0.0032             1.826E-18            1.002E-04
     0.0041             1.878E-18            1.030E-04
     0.0052             1.936E-18            1.062E-04
     0.0060             1.981E-18            1.087E-04
     0.0072             2.051E-18            1.125E-04
     0.0078             2.088E-18            1.146E-04
     0.0092             2.170E-18            1.190E-04
     0.0097             2.200E-18            1.207E-04
     0.0112             2.294E-18            1.258E-04
     0.0115             2.315E-18            1.270E-04
     0.0132             2.422E-18            1.329E-04
     0.0134             2.434E-18            1.335E-04
     0.0152             2.555E-18            1.402E-04
     0.0152             2.557E-18            1.402E-04
     0.0170             2.684E-18            1.472E-04
     0.0172             2.694E-18            1.478E-04
     0.0189             2.815E-18            1.544E-04
     0.0192             2.837E-18            1.556E-04
     0.0207             2.950E-18            1.618E-04
     0.0212             2.985E-18            1.637E-04
     0.0225             3.089E-18            1.694E-04
     0.0232             3.138E-18            1.721E-04
     0.0244             3.232E-18            1.773E-04
     0.0252             3.296E-18            1.808E-04
     0.0262             3.379E-18            1.854E-04
     0.0272             3.459E-18            1.897E-04
     0.0280             3.531E-18            1.937E-04
     0.0292             3.627E-18            1.989E-04
     0.0299             3.686E-18            2.022E-04
     0.0312             3.800E-18            2.084E-04
     0.0317             3.845E-18            2.109E-04
     0.0332             3.977E-18            2.182E-04
     0.0335             4.008E-18            2.199E-04
     0.0352             4.160E-18            2.282E-04
     0.0353             4.176E-18            2.291E-04
     0.0372             4.347E-18            2.384E-04
     0.0372             4.348E-18            2.385E-04
     0.0390             4.522E-18            2.481E-04
     0.0392             4.540E-18            2.491E-04
     0.0408             4.701E-18            2.579E-04
     0.0412             4.738E-18            2.599E-04
     0.0426             4.884E-18            2.679E-04
     0.0432             4.939E-18            2.710E-04
     0.0445             5.070E-18            2.781E-04
     0.0452             5.146E-18            2.823E-04
     0.0463             5.261E-18            2.886E-04
     0.0472             5.357E-18            2.939E-04
     0.0481             5.455E-18            2.992E-04
     0.0492             5.573E-18            3.057E-04
     0.0499             5.652E-18            3.101E-04
     0.0512             5.794E-18            3.178E-04
     0.0517             5.853E-18            3.211E-04
