                 System #      161
     Galactic longitude l   -16.29
      Galactic latitude b     0.00
           distance (kpc)    13.14
    orbital period (days) 1879.163
    arg. periastron (deg)  355.615
        inclination (deg)   75.977
             eccentricity    0.454
 neutron star mass (Msol)     1.40
         star mass (Msol)    30.00
       star radius (Rsol)    10.00
     star temperature (K) 33000.00
--------------------------------
orbital phase   flux > 1 TeV (ph cm-2 s-1)   (mCrab)
     0.0002             5.705E-18            3.129E-04
     0.0014             5.634E-18            3.091E-04
     0.0022             5.590E-18            3.066E-04
     0.0029             5.549E-18            3.044E-04
     0.0042             5.486E-18            3.009E-04
     0.0045             5.470E-18            3.000E-04
     0.0061             5.397E-18            2.961E-04
     0.0062             5.393E-18            2.959E-04
     0.0077             5.333E-18            2.925E-04
     0.0082             5.314E-18            2.915E-04
     0.0093             5.276E-18            2.894E-04
     0.0102             5.248E-18            2.879E-04
     0.0109             5.228E-18            2.868E-04
     0.0122             5.196E-18            2.850E-04
     0.0125             5.189E-18            2.847E-04
     0.0141             5.159E-18            2.830E-04
     0.0142             5.159E-18            2.830E-04
     0.0158             5.139E-18            2.819E-04
     0.0162             5.135E-18            2.817E-04
     0.0174             5.126E-18            2.812E-04
     0.0182             5.123E-18            2.810E-04
     0.0191             5.122E-18            2.810E-04
     0.0202             5.124E-18            2.810E-04
     0.0208             5.125E-18            2.812E-04
     0.0222             5.134E-18            2.816E-04
     0.0224             5.136E-18            2.817E-04
     0.0241             5.152E-18            2.826E-04
     0.0242             5.152E-18            2.826E-04
     0.0258             5.173E-18            2.837E-04
     0.0262             5.177E-18            2.840E-04
     0.0276             5.197E-18            2.851E-04
     0.0282             5.207E-18            2.856E-04
     0.0293             5.226E-18            2.866E-04
     0.0302             5.241E-18            2.875E-04
     0.0310             5.256E-18            2.883E-04
     0.0322             5.277E-18            2.895E-04
     0.0328             5.288E-18            2.900E-04
     0.0342             5.314E-18            2.915E-04
     0.0345             5.320E-18            2.918E-04
     0.0362             5.351E-18            2.935E-04
     0.0363             5.353E-18            2.936E-04
     0.0381             5.385E-18            2.954E-04
     0.0382             5.387E-18            2.955E-04
     0.0399             5.416E-18            2.971E-04
     0.0402             5.422E-18            2.974E-04
     0.0417             5.446E-18            2.988E-04
     0.0422             5.455E-18            2.992E-04
     0.0435             5.475E-18            3.003E-04
     0.0442             5.486E-18            3.009E-04
     0.0453             5.502E-18            3.018E-04
     0.0462             5.514E-18            3.025E-04
     0.0471             5.527E-18            3.032E-04
     0.0482             5.540E-18            3.039E-04
     0.0490             5.550E-18            3.044E-04
     0.0502             5.564E-18            3.052E-04
     0.0508             5.571E-18            3.056E-04
     0.0522             5.585E-18            3.063E-04
     0.0527             5.590E-18            3.066E-04
     0.0542             5.603E-18            3.073E-04
     0.0546             5.606E-18            3.075E-04
     0.0562             5.619E-18            3.082E-04
     0.0565             5.621E-18            3.083E-04
     0.0582             5.632E-18            3.089E-04
     0.0584             5.633E-18            3.090E-04
     0.0602             5.643E-18            3.095E-04
     0.0603             5.644E-18            3.096E-04
     0.0622             5.652E-18            3.100E-04
     0.0622             5.652E-18            3.100E-04
     0.0642             5.658E-18            3.104E-04
     0.0642             5.658E-18            3.104E-04
     0.0661             5.663E-18            3.106E-04
     0.0662             5.663E-18            3.106E-04
