                 System #      163
     Galactic longitude l    42.94
      Galactic latitude b     0.00
           distance (kpc)    11.15
    orbital period (days)  641.586
    arg. periastron (deg)  521.041
        inclination (deg)  109.502
             eccentricity    0.414
 neutron star mass (Msol)     1.40
         star mass (Msol)    30.00
       star radius (Rsol)    10.00
     star temperature (K) 33000.00
--------------------------------
orbital phase   flux > 1 TeV (ph cm-2 s-1)   (mCrab)
     0.0011             2.119E-17            1.162E-03
     0.0018             2.118E-17            1.162E-03
     0.0023             2.118E-17            1.162E-03
     0.0035             2.115E-17            1.160E-03
     0.0038             2.115E-17            1.160E-03
     0.0047             2.112E-17            1.159E-03
     0.0058             2.109E-17            1.157E-03
     0.0058             2.109E-17            1.157E-03
     0.0070             2.104E-17            1.154E-03
     0.0078             2.101E-17            1.152E-03
     0.0082             2.099E-17            1.151E-03
     0.0093             2.093E-17            1.148E-03
     0.0098             2.090E-17            1.147E-03
     0.0105             2.086E-17            1.144E-03
     0.0117             2.079E-17            1.140E-03
     0.0118             2.078E-17            1.140E-03
     0.0129             2.071E-17            1.136E-03
     0.0138             2.064E-17            1.132E-03
     0.0140             2.062E-17            1.131E-03
     0.0152             2.052E-17            1.126E-03
     0.0158             2.047E-17            1.123E-03
     0.0164             2.042E-17            1.120E-03
     0.0176             2.031E-17            1.114E-03
     0.0178             2.029E-17            1.113E-03
     0.0187             2.019E-17            1.108E-03
     0.0198             2.008E-17            1.102E-03
     0.0199             2.007E-17            1.101E-03
     0.0211             1.994E-17            1.094E-03
     0.0218             1.986E-17            1.089E-03
     0.0223             1.980E-17            1.086E-03
     0.0235             1.966E-17            1.078E-03
     0.0238             1.962E-17            1.076E-03
     0.0247             1.951E-17            1.070E-03
     0.0258             1.936E-17            1.062E-03
     0.0259             1.936E-17            1.062E-03
     0.0271             1.920E-17            1.053E-03
     0.0278             1.909E-17            1.047E-03
     0.0282             1.903E-17            1.044E-03
     0.0294             1.886E-17            1.034E-03
     0.0298             1.880E-17            1.032E-03
     0.0306             1.868E-17            1.025E-03
     0.0318             1.850E-17            1.015E-03
     0.0318             1.850E-17            1.015E-03
     0.0331             1.831E-17            1.004E-03
     0.0338             1.819E-17            9.979E-04
     0.0343             1.812E-17            9.940E-04
     0.0355             1.792E-17            9.831E-04
     0.0358             1.787E-17            9.801E-04
     0.0367             1.772E-17            9.721E-04
     0.0378             1.753E-17            9.617E-04
     0.0379             1.752E-17            9.608E-04
     0.0391             1.731E-17            9.493E-04
     0.0398             1.719E-17            9.428E-04
     0.0404             1.709E-17            9.376E-04
     0.0416             1.687E-17            9.257E-04
     0.0418             1.683E-17            9.234E-04
     0.0428             1.665E-17            9.135E-04
     0.0438             1.647E-17            9.035E-04
     0.0440             1.643E-17            9.012E-04
     0.0453             1.620E-17            8.886E-04
     0.0458             1.610E-17            8.833E-04
     0.0465             1.597E-17            8.760E-04
     0.0478             1.574E-17            8.631E-04
     0.0478             1.573E-17            8.628E-04
     0.0490             1.550E-17            8.501E-04
     0.0498             1.535E-17            8.420E-04
     0.0503             1.526E-17            8.370E-04
     0.0516             1.502E-17            8.238E-04
     0.0518             1.497E-17            8.211E-04
     0.0528             1.477E-17            8.104E-04
     0.0538             1.458E-17            7.999E-04
     0.0541             1.453E-17            7.969E-04
     0.0554             1.428E-17            7.833E-04
     0.0558             1.419E-17            7.786E-04
     0.0567             1.403E-17            7.696E-04
     0.0578             1.381E-17            7.573E-04
     0.0579             1.378E-17            7.559E-04
     0.0592             1.353E-17            7.420E-04
