                 System #      164
     Galactic longitude l   -18.59
      Galactic latitude b     0.00
           distance (kpc)    13.05
    orbital period (days)    8.604
    arg. periastron (deg)  311.983
        inclination (deg)   71.845
             eccentricity    0.498
 neutron star mass (Msol)     1.40
         star mass (Msol)    30.00
       star radius (Rsol)    10.00
     star temperature (K) 33000.00
--------------------------------
orbital phase   flux > 1 TeV (ph cm-2 s-1)   (mCrab)
     0.0001             2.539E-20            1.393E-06
     0.0010             2.428E-20            1.332E-06
     0.0021             2.280E-20            1.251E-06
     0.0029             2.186E-20            1.199E-06
     0.0041             2.047E-20            1.123E-06
     0.0049             1.964E-20            1.077E-06
     0.0061             1.829E-20            1.003E-06
     0.0069             1.754E-20            9.620E-07
     0.0081             1.632E-20            8.951E-07
     0.0089             1.565E-20            8.587E-07
     0.0101             1.456E-20            7.989E-07
     0.0109             1.397E-20            7.662E-07
     0.0121             1.301E-20            7.135E-07
     0.0129             1.246E-20            6.837E-07
     0.0141             1.162E-20            6.376E-07
     0.0149             1.112E-20            6.101E-07
     0.0161             1.040E-20            5.703E-07
     0.0170             9.930E-21            5.447E-07
     0.0181             9.311E-21            5.108E-07
     0.0190             8.870E-21            4.866E-07
     0.0201             8.350E-21            4.580E-07
     0.0211             7.930E-21            4.350E-07
     0.0221             7.500E-21            4.114E-07
     0.0232             7.099E-21            3.894E-07
     0.0241             6.750E-21            3.702E-07
     0.0253             6.364E-21            3.491E-07
     0.0261             6.087E-21            3.339E-07
     0.0274             5.717E-21            3.136E-07
     0.0281             5.503E-21            3.019E-07
     0.0295             5.146E-21            2.823E-07
     0.0301             4.988E-21            2.736E-07
     0.0316             4.645E-21            2.548E-07
     0.0321             4.535E-21            2.487E-07
     0.0338             4.206E-21            2.307E-07
     0.0341             4.136E-21            2.269E-07
     0.0359             3.821E-21            2.096E-07
     0.0361             3.786E-21            2.077E-07
     0.0381             3.485E-21            1.912E-07
     0.0381             3.479E-21            1.908E-07
     0.0401             3.210E-21            1.761E-07
     0.0403             3.193E-21            1.751E-07
     0.0421             2.975E-21            1.632E-07
     0.0425             2.939E-21            1.612E-07
     0.0441             2.770E-21            1.519E-07
     0.0447             2.720E-21            1.492E-07
     0.0461             2.592E-21            1.422E-07
     0.0469             2.531E-21            1.388E-07
     0.0481             2.438E-21            1.337E-07
     0.0491             2.370E-21            1.300E-07
     0.0501             2.306E-21            1.265E-07
     0.0514             2.234E-21            1.226E-07
     0.0521             2.193E-21            1.203E-07
     0.0536             2.121E-21            1.163E-07
     0.0541             2.098E-21            1.151E-07
     0.0559             2.028E-21            1.112E-07
     0.0561             2.019E-21            1.107E-07
     0.0581             1.955E-21            1.072E-07
     0.0582             1.954E-21            1.072E-07
     0.0601             1.905E-21            1.045E-07
     0.0604             1.898E-21            1.041E-07
     0.0621             1.868E-21            1.025E-07
     0.0627             1.859E-21            1.020E-07
     0.0641             1.843E-21            1.011E-07
     0.0651             1.836E-21            1.007E-07
     0.0661             1.831E-21            1.004E-07
     0.0674             1.829E-21            1.003E-07
     0.0681             1.830E-21            1.004E-07
     0.0697             1.838E-21            1.008E-07
     0.0701             1.841E-21            1.010E-07
     0.0721             1.862E-21            1.021E-07
     0.0721             1.863E-21            1.022E-07
     0.0741             1.897E-21            1.041E-07
     0.0744             1.903E-21            1.044E-07
     0.0761             1.944E-21            1.066E-07
     0.0768             1.962E-21            1.076E-07
     0.0781             2.003E-21            1.099E-07
     0.0792             2.039E-21            1.119E-07
     0.0801             2.075E-21            1.138E-07
     0.0816             2.137E-21            1.172E-07
     0.0821             2.162E-21            1.186E-07
     0.0840             2.257E-21            1.238E-07
     0.0841             2.264E-21            1.242E-07
     0.0861             2.383E-21            1.307E-07
     0.0864             2.401E-21            1.317E-07
     0.0881             2.519E-21            1.382E-07
     0.0888             2.573E-21            1.411E-07
     0.0901             2.675E-21            1.468E-07
     0.0913             2.775E-21            1.522E-07
     0.0921             2.853E-21            1.565E-07
     0.0937             3.012E-21            1.652E-07
     0.0941             3.053E-21            1.675E-07
     0.0961             3.279E-21            1.799E-07
     0.0962             3.288E-21            1.803E-07
     0.0981             3.533E-21            1.938E-07
     0.0987             3.608E-21            1.979E-07
     0.1001             3.818E-21            2.095E-07
     0.1012             3.978E-21            2.182E-07
     0.1021             4.137E-21            2.270E-07
     0.1037             4.406E-21            2.417E-07
     0.1041             4.493E-21            2.465E-07
     0.1061             4.890E-21            2.682E-07
     0.1062             4.897E-21            2.686E-07
     0.1081             5.332E-21            2.925E-07
     0.1087             5.462E-21            2.996E-07
     0.1101             5.822E-21            3.194E-07
     0.1112             6.109E-21            3.351E-07
     0.1121             6.366E-21            3.492E-07
     0.1138             6.850E-21            3.757E-07
     0.1141             6.969E-21            3.823E-07
     0.1161             7.635E-21            4.188E-07
     0.1163             7.695E-21            4.221E-07
     0.1181             8.370E-21            4.591E-07
     0.1189             8.657E-21            4.749E-07
     0.1201             9.180E-21            5.036E-07
     0.1214             9.751E-21            5.349E-07
     0.1221             1.007E-20            5.525E-07
     0.1240             1.099E-20            6.029E-07
     0.1241             1.105E-20            6.063E-07
     0.1261             1.213E-20            6.652E-07
     0.1266             1.240E-20            6.800E-07
     0.1281             1.330E-20            7.298E-07
     0.1292             1.398E-20            7.669E-07
     0.1301             1.459E-20            8.004E-07
     0.1318             1.577E-20            8.648E-07
     0.1321             1.600E-20            8.774E-07
     0.1341             1.753E-20            9.614E-07
     0.1344             1.777E-20            9.748E-07
     0.1361             1.919E-20            1.053E-06
     0.1371             2.002E-20            1.098E-06
     0.1381             2.100E-20            1.152E-06
     0.1397             2.253E-20            1.236E-06
     0.1401             2.296E-20            1.259E-06
     0.1421             2.508E-20            1.376E-06
     0.1424             2.533E-20            1.389E-06
     0.1441             2.737E-20            1.501E-06
     0.1450             2.844E-20            1.560E-06
     0.1461             2.984E-20            1.637E-06
     0.1477             3.189E-20            1.749E-06
     0.1481             3.250E-20            1.783E-06
     0.1501             3.536E-20            1.940E-06
     0.1504             3.570E-20            1.959E-06
     0.1521             3.843E-20            2.108E-06
     0.1530             3.991E-20            2.189E-06
     0.1541             4.172E-20            2.288E-06
     0.1557             4.454E-20            2.443E-06
     0.1561             4.523E-20            2.481E-06
     0.1581             4.899E-20            2.687E-06
     0.1584             4.961E-20            2.721E-06
     0.1601             5.299E-20            2.907E-06
     0.1612             5.515E-20            3.025E-06
     0.1621             5.725E-20            3.140E-06
     0.1639             6.120E-20            3.357E-06
     0.1641             6.178E-20            3.389E-06
     0.1661             6.658E-20            3.652E-06
     0.1666             6.779E-20            3.718E-06
     0.1681             7.167E-20            3.932E-06
     0.1694             7.493E-20            4.110E-06
     0.1701             7.706E-20            4.227E-06
     0.1721             8.266E-20            4.534E-06
     0.1721             8.274E-20            4.539E-06
     0.1741             8.874E-20            4.868E-06
     0.1749             9.100E-20            4.992E-06
     0.1761             9.506E-20            5.215E-06
     0.1776             9.999E-20            5.485E-06
     0.1781             1.017E-19            5.579E-06
     0.1801             1.087E-19            5.962E-06
     0.1804             1.096E-19            6.014E-06
     0.1821             1.160E-19            6.364E-06
     0.1832             1.200E-19            6.582E-06
     0.1841             1.237E-19            6.786E-06
     0.1860             1.310E-19            7.188E-06
     0.1861             1.317E-19            7.227E-06
     0.1881             1.401E-19            7.687E-06
     0.1888             1.428E-19            7.835E-06
     0.1901             1.489E-19            8.168E-06
     0.1916             1.554E-19            8.524E-06
     0.1921             1.581E-19            8.670E-06
     0.1941             1.676E-19            9.192E-06
     0.1944             1.687E-19            9.255E-06
     0.1961             1.775E-19            9.736E-06
     0.1972             1.829E-19            1.003E-05
     0.1981             1.878E-19            1.030E-05
     0.2000             1.978E-19            1.085E-05
     0.2001             1.985E-19            1.089E-05
     0.2021             2.096E-19            1.150E-05
     0.2028             2.136E-19            1.172E-05
     0.2041             2.210E-19            1.213E-05
     0.2057             2.302E-19            1.263E-05
     0.2061             2.329E-19            1.278E-05
     0.2081             2.452E-19            1.345E-05
     0.2085             2.477E-19            1.359E-05
     0.2101             2.579E-19            1.415E-05
     0.2114             2.660E-19            1.459E-05
     0.2121             2.710E-19            1.487E-05
     0.2141             2.846E-19            1.561E-05
     0.2142             2.852E-19            1.565E-05
     0.2161             2.985E-19            1.637E-05
