                 System #      166
     Galactic longitude l   -17.82
      Galactic latitude b     0.00
           distance (kpc)    19.51
    orbital period (days)  136.517
    arg. periastron (deg)  442.233
        inclination (deg)   70.155
             eccentricity    0.571
 neutron star mass (Msol)     1.40
         star mass (Msol)    30.00
       star radius (Rsol)    10.00
     star temperature (K) 33000.00
--------------------------------
orbital phase   flux > 1 TeV (ph cm-2 s-1)   (mCrab)
     0.0011             7.657E-18            4.200E-04
     0.0021             7.609E-18            4.174E-04
     0.0031             7.565E-18            4.150E-04
     0.0051             7.475E-18            4.100E-04
     0.0052             7.468E-18            4.097E-04
     0.0071             7.386E-18            4.051E-04
     0.0083             7.331E-18            4.022E-04
     0.0091             7.298E-18            4.003E-04
     0.0111             7.212E-18            3.956E-04
     0.0114             7.197E-18            3.948E-04
     0.0131             7.127E-18            3.909E-04
     0.0145             7.067E-18            3.876E-04
     0.0151             7.044E-18            3.864E-04
     0.0171             6.962E-18            3.819E-04
     0.0176             6.939E-18            3.807E-04
     0.0191             6.882E-18            3.775E-04
     0.0207             6.815E-18            3.738E-04
     0.0211             6.802E-18            3.731E-04
     0.0231             6.723E-18            3.688E-04
     0.0239             6.693E-18            3.672E-04
     0.0251             6.647E-18            3.646E-04
     0.0270             6.575E-18            3.607E-04
     0.0271             6.571E-18            3.605E-04
     0.0291             6.498E-18            3.564E-04
     0.0301             6.461E-18            3.544E-04
     0.0311             6.425E-18            3.525E-04
     0.0331             6.354E-18            3.485E-04
     0.0332             6.349E-18            3.483E-04
     0.0351             6.284E-18            3.447E-04
     0.0363             6.240E-18            3.423E-04
     0.0371             6.215E-18            3.409E-04
     0.0391             6.147E-18            3.372E-04
     0.0395             6.134E-18            3.365E-04
     0.0411             6.081E-18            3.336E-04
     0.0426             6.032E-18            3.309E-04
     0.0431             6.017E-18            3.300E-04
     0.0451             5.953E-18            3.266E-04
     0.0457             5.933E-18            3.254E-04
     0.0471             5.891E-18            3.232E-04
     0.0489             5.837E-18            3.202E-04
     0.0491             5.830E-18            3.198E-04
     0.0511             5.771E-18            3.166E-04
     0.0520             5.744E-18            3.151E-04
     0.0531             5.713E-18            3.134E-04
     0.0551             5.656E-18            3.103E-04
     0.0551             5.655E-18            3.102E-04
     0.0571             5.601E-18            3.072E-04
     0.0583             5.568E-18            3.054E-04
     0.0591             5.547E-18            3.043E-04
     0.0611             5.494E-18            3.014E-04
     0.0614             5.486E-18            3.009E-04
     0.0631             5.443E-18            2.986E-04
     0.0646             5.406E-18            2.965E-04
     0.0651             5.393E-18            2.958E-04
     0.0671             5.344E-18            2.931E-04
     0.0677             5.329E-18            2.923E-04
     0.0691             5.296E-18            2.905E-04
     0.0708             5.256E-18            2.883E-04
     0.0711             5.250E-18            2.880E-04
     0.0731             5.205E-18            2.855E-04
     0.0740             5.185E-18            2.844E-04
     0.0751             5.162E-18            2.831E-04
     0.0771             5.119E-18            2.808E-04
     0.0771             5.118E-18            2.808E-04
     0.0791             5.079E-18            2.786E-04
     0.0803             5.055E-18            2.773E-04
     0.0811             5.039E-18            2.764E-04
     0.0831             5.001E-18            2.743E-04
