                 System #      167
     Galactic longitude l   123.13
      Galactic latitude b     0.00
           distance (kpc)     2.53
    orbital period (days) 3475.521
    arg. periastron (deg)  401.722
        inclination (deg)   61.815
             eccentricity    0.671
 neutron star mass (Msol)     1.40
         star mass (Msol)    30.00
       star radius (Rsol)    10.00
     star temperature (K) 33000.00
--------------------------------
orbital phase   flux > 1 TeV (ph cm-2 s-1)   (mCrab)
     0.0011             4.342E-16            2.382E-02
     0.0017             4.334E-16            2.377E-02
     0.0031             4.312E-16            2.365E-02
     0.0044             4.294E-16            2.355E-02
     0.0051             4.283E-16            2.349E-02
     0.0071             4.254E-16            2.334E-02
     0.0071             4.254E-16            2.333E-02
     0.0091             4.225E-16            2.318E-02
     0.0098             4.216E-16            2.313E-02
     0.0111             4.197E-16            2.302E-02
     0.0125             4.178E-16            2.292E-02
     0.0131             4.170E-16            2.287E-02
     0.0151             4.142E-16            2.272E-02
     0.0153             4.140E-16            2.271E-02
     0.0171             4.115E-16            2.257E-02
     0.0181             4.103E-16            2.251E-02
     0.0191             4.089E-16            2.243E-02
     0.0208             4.066E-16            2.231E-02
     0.0211             4.063E-16            2.229E-02
     0.0231             4.037E-16            2.215E-02
     0.0236             4.031E-16            2.211E-02
     0.0251             4.012E-16            2.201E-02
     0.0265             3.995E-16            2.192E-02
     0.0271             3.987E-16            2.187E-02
     0.0291             3.962E-16            2.173E-02
     0.0293             3.960E-16            2.172E-02
     0.0311             3.938E-16            2.160E-02
     0.0321             3.926E-16            2.154E-02
     0.0331             3.914E-16            2.147E-02
     0.0350             3.892E-16            2.135E-02
     0.0351             3.890E-16            2.134E-02
     0.0371             3.867E-16            2.121E-02
     0.0378             3.859E-16            2.117E-02
     0.0391             3.843E-16            2.108E-02
     0.0407             3.826E-16            2.099E-02
     0.0411             3.821E-16            2.096E-02
     0.0431             3.798E-16            2.084E-02
     0.0436             3.793E-16            2.081E-02
     0.0451             3.776E-16            2.071E-02
     0.0465             3.761E-16            2.063E-02
     0.0471             3.754E-16            2.059E-02
     0.0491             3.733E-16            2.048E-02
     0.0494             3.730E-16            2.046E-02
     0.0511             3.711E-16            2.036E-02
