                 System #      168
     Galactic longitude l     3.92
      Galactic latitude b     0.00
           distance (kpc)    12.27
    orbital period (days)    6.644
    arg. periastron (deg)  298.972
        inclination (deg)  106.656
             eccentricity    0.336
 neutron star mass (Msol)     1.40
         star mass (Msol)    30.00
       star radius (Rsol)    10.00
     star temperature (K) 33000.00
--------------------------------
orbital phase   flux > 1 TeV (ph cm-2 s-1)   (mCrab)
     0.0013             2.780E-14            1.525E+00
     0.0013             2.780E-14            1.525E+00
     0.0026             2.834E-14            1.554E+00
     0.0033             2.859E-14            1.568E+00
     0.0040             2.883E-14            1.581E+00
     0.0053             2.928E-14            1.606E+00
     0.0053             2.928E-14            1.606E+00
     0.0066             2.968E-14            1.628E+00
     0.0073             2.988E-14            1.639E+00
     0.0080             3.005E-14            1.648E+00
     0.0093             3.037E-14            1.666E+00
     0.0093             3.038E-14            1.666E+00
     0.0106             3.065E-14            1.681E+00
     0.0113             3.078E-14            1.688E+00
     0.0120             3.089E-14            1.695E+00
     0.0133             3.109E-14            1.706E+00
     0.0133             3.110E-14            1.706E+00
     0.0146             3.126E-14            1.715E+00
     0.0153             3.132E-14            1.718E+00
     0.0160             3.138E-14            1.721E+00
     0.0173             3.147E-14            1.726E+00
     0.0173             3.147E-14            1.726E+00
     0.0187             3.153E-14            1.729E+00
     0.0193             3.154E-14            1.730E+00
     0.0200             3.155E-14            1.731E+00
     0.0213             3.154E-14            1.730E+00
     0.0213             3.154E-14            1.730E+00
     0.0227             3.150E-14            1.728E+00
     0.0233             3.147E-14            1.726E+00
     0.0240             3.143E-14            1.724E+00
     0.0253             3.134E-14            1.719E+00
     0.0254             3.133E-14            1.719E+00
     0.0267             3.121E-14            1.712E+00
     0.0273             3.115E-14            1.709E+00
     0.0281             3.107E-14            1.704E+00
     0.0293             3.092E-14            1.696E+00
     0.0295             3.090E-14            1.695E+00
     0.0308             3.071E-14            1.685E+00
     0.0313             3.064E-14            1.681E+00
     0.0322             3.050E-14            1.673E+00
     0.0333             3.031E-14            1.663E+00
     0.0335             3.027E-14            1.661E+00
     0.0349             3.003E-14            1.647E+00
     0.0353             2.996E-14            1.643E+00
     0.0363             2.977E-14            1.633E+00
     0.0373             2.957E-14            1.622E+00
     0.0377             2.950E-14            1.618E+00
     0.0390             2.921E-14            1.602E+00
     0.0393             2.915E-14            1.599E+00
     0.0404             2.891E-14            1.586E+00
     0.0413             2.871E-14            1.575E+00
     0.0418             2.860E-14            1.569E+00
     0.0432             2.828E-14            1.551E+00
     0.0433             2.825E-14            1.550E+00
     0.0446             2.795E-14            1.533E+00
     0.0453             2.777E-14            1.524E+00
     0.0460             2.761E-14            1.515E+00
     0.0473             2.728E-14            1.496E+00
     0.0474             2.727E-14            1.496E+00
     0.0488             2.692E-14            1.477E+00
     0.0493             2.678E-14            1.469E+00
     0.0502             2.656E-14            1.457E+00
     0.0513             2.626E-14            1.441E+00
     0.0516             2.620E-14            1.437E+00
     0.0530             2.583E-14            1.417E+00
     0.0533             2.574E-14            1.412E+00
     0.0544             2.545E-14            1.396E+00
     0.0553             2.521E-14            1.383E+00
     0.0558             2.508E-14            1.376E+00
     0.0573             2.470E-14            1.355E+00
     0.0573             2.468E-14            1.354E+00
     0.0587             2.431E-14            1.334E+00
     0.0593             2.414E-14            1.324E+00
     0.0601             2.393E-14            1.312E+00
     0.0613             2.360E-14            1.295E+00
     0.0616             2.354E-14            1.291E+00
     0.0630             2.315E-14            1.270E+00
     0.0633             2.306E-14            1.265E+00
     0.0645             2.275E-14            1.248E+00
     0.0653             2.252E-14            1.235E+00
     0.0659             2.236E-14            1.227E+00
     0.0673             2.198E-14            1.206E+00
     0.0674             2.196E-14            1.205E+00
     0.0688             2.157E-14            1.183E+00
     0.0693             2.144E-14            1.176E+00
     0.0703             2.117E-14            1.161E+00
     0.0713             2.090E-14            1.147E+00
     0.0718             2.078E-14            1.140E+00
     0.0733             2.038E-14            1.118E+00
     0.0733             2.037E-14            1.117E+00
     0.0748             1.998E-14            1.096E+00
     0.0753             1.983E-14            1.088E+00
     0.0762             1.959E-14            1.075E+00
     0.0773             1.930E-14            1.059E+00
     0.0777             1.919E-14            1.053E+00
     0.0792             1.880E-14            1.031E+00
     0.0793             1.878E-14            1.030E+00
     0.0807             1.841E-14            1.010E+00
     0.0813             1.826E-14            1.002E+00
     0.0823             1.802E-14            9.883E-01
     0.0833             1.775E-14            9.734E-01
     0.0838             1.763E-14            9.669E-01
     0.0853             1.724E-14            9.458E-01
     0.0853             1.724E-14            9.456E-01
     0.0868             1.686E-14            9.246E-01
     0.0873             1.673E-14            9.180E-01
     0.0884             1.647E-14            9.036E-01
     0.0893             1.624E-14            8.908E-01
     0.0899             1.609E-14            8.827E-01
     0.0913             1.575E-14            8.640E-01
     0.0915             1.571E-14            8.620E-01
     0.0930             1.534E-14            8.415E-01
     0.0933             1.527E-14            8.376E-01
     0.0946             1.497E-14            8.211E-01
     0.0953             1.480E-14            8.116E-01
     0.0962             1.460E-14            8.009E-01
     0.0973             1.433E-14            7.860E-01
     0.0977             1.423E-14            7.808E-01
     0.0993             1.387E-14            7.610E-01
     0.0993             1.387E-14            7.609E-01
     0.1009             1.351E-14            7.413E-01
     0.1013             1.342E-14            7.362E-01
     0.1025             1.316E-14            7.219E-01
     0.1033             1.298E-14            7.120E-01
     0.1041             1.281E-14            7.027E-01
     0.1053             1.255E-14            6.882E-01
     0.1057             1.246E-14            6.837E-01
     0.1073             1.212E-14            6.649E-01
     0.1073             1.212E-14            6.649E-01
     0.1089             1.178E-14            6.463E-01
     0.1093             1.171E-14            6.421E-01
     0.1106             1.145E-14            6.280E-01
     0.1113             1.130E-14            6.197E-01
     0.1122             1.112E-14            6.100E-01
     0.1133             1.090E-14            5.979E-01
     0.1139             1.079E-14            5.921E-01
     0.1153             1.051E-14            5.765E-01
     0.1155             1.047E-14            5.746E-01
     0.1172             1.016E-14            5.573E-01
     0.1173             1.013E-14            5.556E-01
     0.1188             9.848E-15            5.402E-01
     0.1193             9.757E-15            5.352E-01
     0.1205             9.542E-15            5.234E-01
     0.1213             9.394E-15            5.153E-01
     0.1222             9.241E-15            5.069E-01
     0.1233             9.040E-15            4.959E-01
     0.1239             8.944E-15            4.906E-01
     0.1253             8.695E-15            4.769E-01
     0.1256             8.653E-15            4.747E-01
     0.1273             8.367E-15            4.590E-01
     0.1273             8.358E-15            4.585E-01
     0.1290             8.086E-15            4.435E-01
     0.1293             8.030E-15            4.405E-01
     0.1307             7.810E-15            4.284E-01
     0.1313             7.711E-15            4.230E-01
     0.1324             7.539E-15            4.135E-01
     0.1333             7.400E-15            4.059E-01
     0.1342             7.273E-15            3.989E-01
     0.1353             7.098E-15            3.893E-01
     0.1359             7.012E-15            3.846E-01
     0.1373             6.804E-15            3.732E-01
     0.1376             6.757E-15            3.706E-01
     0.1393             6.518E-15            3.575E-01
     0.1394             6.507E-15            3.569E-01
     0.1412             6.262E-15            3.435E-01
     0.1413             6.241E-15            3.423E-01
     0.1429             6.022E-15            3.303E-01
     0.1433             5.971E-15            3.276E-01
     0.1447             5.788E-15            3.175E-01
     0.1453             5.710E-15            3.132E-01
     0.1465             5.559E-15            3.049E-01
     0.1473             5.457E-15            2.993E-01
     0.1483             5.335E-15            2.927E-01
     0.1493             5.211E-15            2.859E-01
     0.1501             5.117E-15            2.807E-01
     0.1513             4.974E-15            2.728E-01
     0.1519             4.904E-15            2.690E-01
     0.1533             4.743E-15            2.602E-01
     0.1537             4.696E-15            2.576E-01
     0.1553             4.521E-15            2.480E-01
     0.1556             4.493E-15            2.465E-01
     0.1573             4.305E-15            2.362E-01
     0.1574             4.296E-15            2.357E-01
     0.1593             4.104E-15            2.251E-01
     0.1593             4.097E-15            2.248E-01
     0.1611             3.917E-15            2.149E-01
     0.1613             3.896E-15            2.137E-01
     0.1630             3.736E-15            2.049E-01
     0.1633             3.702E-15            2.031E-01
     0.1648             3.560E-15            1.953E-01
     0.1653             3.515E-15            1.928E-01
     0.1667             3.389E-15            1.859E-01
     0.1673             3.335E-15            1.829E-01
     0.1686             3.223E-15            1.768E-01
     0.1693             3.161E-15            1.734E-01
     0.1705             3.062E-15            1.680E-01
     0.1713             2.994E-15            1.643E-01
     0.1724             2.907E-15            1.594E-01
     0.1733             2.834E-15            1.554E-01
     0.1743             2.756E-15            1.512E-01
     0.1753             2.679E-15            1.470E-01
     0.1762             2.611E-15            1.432E-01
     0.1773             2.531E-15            1.388E-01
     0.1782             2.470E-15            1.355E-01
     0.1793             2.388E-15            1.310E-01
     0.1801             2.335E-15            1.281E-01
     0.1813             2.252E-15            1.235E-01
     0.1820             2.204E-15            1.209E-01
     0.1833             2.121E-15            1.164E-01
     0.1840             2.078E-15            1.140E-01
     0.1853             1.996E-15            1.095E-01
