                 System #      170
     Galactic longitude l    -7.60
      Galactic latitude b     0.00
           distance (kpc)    13.34
    orbital period (days)  371.803
    arg. periastron (deg)  378.844
        inclination (deg)   26.986
             eccentricity    0.584
 neutron star mass (Msol)     1.40
         star mass (Msol)    30.00
       star radius (Rsol)    10.00
     star temperature (K) 33000.00
--------------------------------
orbital phase   flux > 1 TeV (ph cm-2 s-1)   (mCrab)
     0.0005             4.676E-19            2.565E-05
     0.0024             4.672E-19            2.563E-05
     0.0025             4.672E-19            2.563E-05
     0.0045             4.668E-19            2.561E-05
     0.0055             4.666E-19            2.560E-05
     0.0065             4.664E-19            2.559E-05
     0.0085             4.661E-19            2.557E-05
     0.0087             4.660E-19            2.556E-05
     0.0105             4.657E-19            2.555E-05
     0.0118             4.655E-19            2.554E-05
     0.0125             4.654E-19            2.553E-05
     0.0145             4.651E-19            2.551E-05
     0.0150             4.650E-19            2.551E-05
     0.0165             4.648E-19            2.549E-05
     0.0182             4.645E-19            2.548E-05
     0.0185             4.645E-19            2.548E-05
     0.0205             4.642E-19            2.546E-05
     0.0213             4.640E-19            2.545E-05
     0.0225             4.639E-19            2.545E-05
     0.0245             4.636E-19            2.543E-05
     0.0245             4.636E-19            2.543E-05
     0.0265             4.633E-19            2.542E-05
     0.0276             4.632E-19            2.541E-05
     0.0285             4.631E-19            2.540E-05
     0.0305             4.628E-19            2.539E-05
     0.0308             4.628E-19            2.539E-05
     0.0325             4.626E-19            2.537E-05
     0.0339             4.624E-19            2.537E-05
     0.0345             4.624E-19            2.536E-05
     0.0365             4.621E-19            2.535E-05
     0.0371             4.621E-19            2.535E-05
     0.0385             4.619E-19            2.534E-05
     0.0402             4.618E-19            2.533E-05
     0.0405             4.617E-19            2.533E-05
     0.0425             4.615E-19            2.532E-05
     0.0434             4.615E-19            2.531E-05
     0.0445             4.614E-19            2.531E-05
     0.0465             4.612E-19            2.530E-05
     0.0465             4.612E-19            2.530E-05
     0.0485             4.610E-19            2.529E-05
     0.0496             4.609E-19            2.528E-05
     0.0505             4.609E-19            2.528E-05
     0.0525             4.607E-19            2.527E-05
     0.0528             4.607E-19            2.527E-05
     0.0545             4.606E-19            2.527E-05
     0.0559             4.605E-19            2.526E-05
     0.0565             4.605E-19            2.526E-05
     0.0585             4.604E-19            2.525E-05
     0.0590             4.603E-19            2.525E-05
     0.0605             4.603E-19            2.525E-05
     0.0621             4.602E-19            2.524E-05
     0.0625             4.602E-19            2.524E-05
     0.0645             4.601E-19            2.524E-05
     0.0652             4.600E-19            2.524E-05
     0.0665             4.600E-19            2.523E-05
     0.0683             4.599E-19            2.523E-05
     0.0685             4.599E-19            2.523E-05
     0.0705             4.599E-19            2.523E-05
     0.0714             4.599E-19            2.523E-05
     0.0725             4.598E-19            2.522E-05
     0.0745             4.598E-19            2.522E-05
     0.0745             4.598E-19            2.522E-05
     0.0765             4.598E-19            2.522E-05
     0.0776             4.598E-19            2.522E-05
     0.0785             4.598E-19            2.522E-05
     0.0805             4.598E-19            2.522E-05
     0.0807             4.598E-19            2.522E-05
     0.0825             4.598E-19            2.522E-05
     0.0838             4.598E-19            2.522E-05
     0.0845             4.598E-19            2.522E-05
     0.0865             4.598E-19            2.522E-05
     0.0869             4.598E-19            2.522E-05
     0.0885             4.598E-19            2.522E-05
     0.0900             4.599E-19            2.523E-05
     0.0905             4.599E-19            2.523E-05
     0.0925             4.599E-19            2.523E-05
     0.0930             4.599E-19            2.523E-05
     0.0945             4.600E-19            2.523E-05
     0.0961             4.600E-19            2.523E-05
     0.0965             4.600E-19            2.524E-05
     0.0985             4.601E-19            2.524E-05
     0.0991             4.602E-19            2.524E-05
     0.1005             4.602E-19            2.525E-05
     0.1022             4.603E-19            2.525E-05
     0.1025             4.603E-19            2.525E-05
     0.1045             4.605E-19            2.526E-05
     0.1052             4.605E-19            2.526E-05
     0.1065             4.606E-19            2.527E-05
     0.1083             4.607E-19            2.527E-05
     0.1085             4.608E-19            2.527E-05
     0.1105             4.609E-19            2.528E-05
     0.1113             4.610E-19            2.529E-05
     0.1125             4.610E-19            2.529E-05
     0.1143             4.612E-19            2.530E-05
     0.1145             4.612E-19            2.530E-05
     0.1165             4.614E-19            2.531E-05
     0.1173             4.615E-19            2.531E-05
     0.1185             4.616E-19            2.532E-05
     0.1203             4.618E-19            2.533E-05
     0.1205             4.618E-19            2.533E-05
     0.1225             4.620E-19            2.534E-05
     0.1233             4.621E-19            2.535E-05
     0.1245             4.622E-19            2.536E-05
     0.1263             4.624E-19            2.537E-05
     0.1265             4.625E-19            2.537E-05
     0.1285             4.627E-19            2.538E-05
     0.1293             4.628E-19            2.539E-05
     0.1305             4.630E-19            2.540E-05
     0.1323             4.632E-19            2.541E-05
     0.1325             4.633E-19            2.541E-05
     0.1345             4.635E-19            2.543E-05
     0.1352             4.636E-19            2.543E-05
     0.1365             4.638E-19            2.544E-05
