                 System #      174
     Galactic longitude l     2.56
      Galactic latitude b     0.00
           distance (kpc)    14.81
    orbital period (days)  347.094
    arg. periastron (deg)  214.839
        inclination (deg)   90.844
             eccentricity    0.221
 neutron star mass (Msol)     1.40
         star mass (Msol)    30.00
       star radius (Rsol)    10.00
     star temperature (K) 33000.00
--------------------------------
orbital phase   flux > 1 TeV (ph cm-2 s-1)   (mCrab)
     0.0001             7.305E-18            4.007E-04
     0.0016             7.261E-18            3.983E-04
     0.0025             7.234E-18            3.968E-04
     0.0036             7.200E-18            3.950E-04
     0.0049             7.161E-18            3.928E-04
     0.0056             7.137E-18            3.915E-04
     0.0073             7.084E-18            3.886E-04
     0.0076             7.072E-18            3.879E-04
     0.0096             7.003E-18            3.842E-04
     0.0096             7.003E-18            3.842E-04
     0.0116             6.933E-18            3.803E-04
     0.0120             6.919E-18            3.796E-04
     0.0136             6.859E-18            3.762E-04
     0.0143             6.831E-18            3.747E-04
     0.0156             6.782E-18            3.720E-04
     0.0167             6.740E-18            3.697E-04
     0.0176             6.702E-18            3.677E-04
     0.0191             6.643E-18            3.644E-04
     0.0196             6.619E-18            3.631E-04
     0.0214             6.543E-18            3.589E-04
     0.0216             6.533E-18            3.584E-04
     0.0236             6.443E-18            3.535E-04
     0.0238             6.438E-18            3.531E-04
     0.0256             6.350E-18            3.483E-04
     0.0261             6.328E-18            3.471E-04
     0.0276             6.253E-18            3.430E-04
     0.0284             6.212E-18            3.408E-04
     0.0296             6.152E-18            3.375E-04
     0.0308             6.092E-18            3.342E-04
     0.0316             6.047E-18            3.317E-04
     0.0331             5.966E-18            3.273E-04
     0.0336             5.937E-18            3.257E-04
     0.0354             5.834E-18            3.200E-04
     0.0356             5.823E-18            3.194E-04
     0.0376             5.705E-18            3.129E-04
     0.0378             5.697E-18            3.125E-04
     0.0396             5.581E-18            3.061E-04
     0.0401             5.553E-18            3.046E-04
     0.0416             5.452E-18            2.991E-04
     0.0424             5.402E-18            2.963E-04
     0.0436             5.319E-18            2.918E-04
     0.0447             5.244E-18            2.877E-04
     0.0456             5.179E-18            2.841E-04
     0.0470             5.079E-18            2.786E-04
     0.0476             5.034E-18            2.762E-04
     0.0493             4.907E-18            2.692E-04
     0.0496             4.884E-18            2.679E-04
     0.0516             4.727E-18            2.593E-04
     0.0516             4.727E-18            2.593E-04
     0.0536             4.563E-18            2.503E-04
     0.0539             4.539E-18            2.490E-04
     0.0556             4.394E-18            2.410E-04
     0.0562             4.343E-18            2.382E-04
     0.0576             4.217E-18            2.313E-04
     0.0585             4.138E-18            2.270E-04
     0.0596             4.034E-18            2.213E-04
     0.0608             3.925E-18            2.153E-04
     0.0616             3.844E-18            2.109E-04
     0.0631             3.703E-18            2.031E-04
     0.0636             3.647E-18            2.001E-04
     0.0653             3.473E-18            1.905E-04
     0.0656             3.443E-18            1.889E-04
     0.0676             3.234E-18            1.774E-04
     0.0676             3.233E-18            1.773E-04
     0.0696             3.015E-18            1.654E-04
     0.0699             2.988E-18            1.639E-04
     0.0716             2.792E-18            1.531E-04
     0.0721             2.734E-18            1.499E-04
     0.0736             2.563E-18            1.406E-04
     0.0744             2.473E-18            1.357E-04
     0.0756             2.329E-18            1.277E-04
     0.0767             2.207E-18            1.211E-04
     0.0776             2.091E-18            1.147E-04
     0.0789             1.938E-18            1.063E-04
     0.0796             1.851E-18            1.015E-04
     0.0811             1.669E-18            9.154E-05
     0.0816             1.611E-18            8.837E-05
     0.0834             1.401E-18            7.687E-05
     0.0836             1.373E-18            7.530E-05
     0.0856             1.141E-18            6.258E-05
     0.0856             1.140E-18            6.253E-05
     0.0876             9.161E-19            5.025E-05
     0.0878             8.920E-19            4.893E-05
     0.0896             7.062E-19            3.874E-05
     0.0901             6.617E-19            3.630E-05
     0.0916             5.155E-19            2.828E-05
     0.0923             4.570E-19            2.507E-05
     0.0936             3.497E-19            1.918E-05
     0.0945             2.858E-19            1.568E-05
     0.0956             2.143E-19            1.176E-05
     0.0967             1.547E-19            8.488E-06
     0.0976             1.136E-19            6.229E-06
     0.0989             6.727E-20            3.690E-06
     0.0996             4.836E-20            2.653E-06
     0.1011             2.051E-20            1.125E-06
     0.1016             1.456E-20            7.988E-07
     0.1033             3.373E-21            1.850E-07
     0.1036             2.441E-21            1.339E-07
     0.1055             1.748E-22            9.586E-09
     0.1056             1.432E-22            7.854E-09
     0.1076             1.395E-24            7.655E-11
     0.1077             1.131E-24            6.205E-11
     0.1096             6.136E-27            3.366E-13
     0.1099             4.270E-27            2.342E-13
     0.1116             2.640E-26            1.448E-12
     0.1121             9.029E-26            4.953E-12
     0.1136             7.854E-24            4.308E-10
     0.1142             3.216E-23            1.764E-09
     0.1156             4.218E-22            2.314E-08
     0.1164             1.231E-21            6.750E-08
     0.1176             4.806E-21            2.637E-07
     0.1186             1.075E-20            5.896E-07
     0.1196             2.301E-20            1.262E-06
     0.1207             4.308E-20            2.363E-06
     0.1216             6.741E-20            3.698E-06
     0.1229             1.118E-19            6.134E-06
     0.1236             1.467E-19            8.049E-06
     0.1250             2.234E-19            1.225E-05
     0.1256             2.640E-19            1.448E-05
     0.1271             3.771E-19            2.068E-05
     0.1276             4.173E-19            2.289E-05
     0.1293             5.679E-19            3.115E-05
     0.1296             6.023E-19            3.304E-05
     0.1314             7.890E-19            4.328E-05
     0.1316             8.134E-19            4.462E-05
     0.1335             1.033E-18            5.668E-05
     0.1336             1.045E-18            5.733E-05
     0.1356             1.292E-18            7.086E-05
     0.1356             1.294E-18            7.100E-05
     0.1376             1.549E-18            8.499E-05
     0.1378             1.567E-18            8.595E-05
     0.1396             1.814E-18            9.950E-05
     0.1399             1.846E-18            1.013E-04
     0.1416             2.082E-18            1.142E-04
     0.1420             2.128E-18            1.168E-04
     0.1436             2.352E-18            1.290E-04
     0.1441             2.411E-18            1.323E-04
     0.1456             2.621E-18            1.438E-04
     0.1462             2.692E-18            1.477E-04
     0.1476             2.888E-18            1.584E-04
     0.1482             2.970E-18            1.629E-04
     0.1496             3.152E-18            1.729E-04
     0.1503             3.243E-18            1.779E-04
     0.1516             3.412E-18            1.872E-04
     0.1524             3.511E-18            1.926E-04
     0.1536             3.667E-18            2.012E-04
     0.1545             3.773E-18            2.070E-04
     0.1556             3.917E-18            2.149E-04
     0.1565             4.028E-18            2.210E-04
     0.1576             4.162E-18            2.283E-04
     0.1586             4.277E-18            2.346E-04
     0.1596             4.401E-18            2.414E-04
     0.1606             4.519E-18            2.479E-04
     0.1616             4.634E-18            2.542E-04
     0.1627             4.755E-18            2.608E-04
     0.1636             4.861E-18            2.666E-04
     0.1647             4.983E-18            2.734E-04
     0.1656             5.082E-18            2.788E-04
     0.1668             5.206E-18            2.855E-04
     0.1676             5.298E-18            2.906E-04
     0.1688             5.421E-18            2.974E-04
     0.1696             5.508E-18            3.021E-04
     0.1708             5.630E-18            3.088E-04
     0.1716             5.712E-18            3.133E-04
     0.1728             5.833E-18            3.200E-04
     0.1736             5.911E-18            3.242E-04
     0.1749             6.030E-18            3.308E-04
     0.1756             6.105E-18            3.349E-04
     0.1769             6.221E-18            3.413E-04
     0.1776             6.293E-18            3.452E-04
     0.1789             6.407E-18            3.515E-04
     0.1796             6.476E-18            3.553E-04
     0.1809             6.587E-18            3.613E-04
     0.1816             6.655E-18            3.651E-04
     0.1829             6.762E-18            3.709E-04
     0.1836             6.829E-18            3.746E-04
     0.1848             6.932E-18            3.803E-04
     0.1856             6.998E-18            3.839E-04
     0.1868             7.097E-18            3.893E-04
     0.1876             7.163E-18            3.929E-04
     0.1888             7.257E-18            3.981E-04
     0.1896             7.323E-18            4.017E-04
     0.1908             7.413E-18            4.066E-04
     0.1916             7.480E-18            4.103E-04
     0.1927             7.564E-18            4.149E-04
     0.1936             7.632E-18            4.187E-04
     0.1947             7.712E-18            4.230E-04
     0.1956             7.781E-18            4.268E-04
     0.1966             7.855E-18            4.309E-04
     0.1976             7.926E-18            4.348E-04
     0.1986             7.994E-18            4.385E-04
     0.1996             8.067E-18            4.425E-04
     0.2005             8.129E-18            4.459E-04
     0.2016             8.204E-18            4.500E-04
     0.2025             8.261E-18            4.531E-04
     0.2036             8.338E-18            4.574E-04
     0.2044             8.389E-18            4.602E-04
     0.2056             8.469E-18            4.646E-04
     0.2063             8.513E-18            4.670E-04
     0.2076             8.596E-18            4.716E-04
     0.2082             8.635E-18            4.737E-04
     0.2096             8.721E-18            4.784E-04
     0.2102             8.753E-18            4.801E-04
     0.2116             8.842E-18            4.850E-04
     0.2121             8.868E-18            4.864E-04
     0.2136             8.960E-18            4.915E-04
     0.2140             8.980E-18            4.926E-04
     0.2156             9.075E-18            4.978E-04
     0.2159             9.089E-18            4.986E-04
     0.2176             9.187E-18            5.040E-04
     0.2178             9.195E-18            5.044E-04
     0.2196             9.297E-18            5.100E-04
     0.2196             9.298E-18            5.100E-04
     0.2215             9.398E-18            5.155E-04
     0.2216             9.403E-18            5.158E-04
     0.2234             9.496E-18            5.209E-04
