                 System #      175
     Galactic longitude l   -22.19
      Galactic latitude b     0.00
           distance (kpc)     7.60
    orbital period (days) 1660.681
    arg. periastron (deg)  358.850
        inclination (deg)  153.705
             eccentricity    0.435
 neutron star mass (Msol)     1.40
         star mass (Msol)    30.00
       star radius (Rsol)    10.00
     star temperature (K) 33000.00
--------------------------------
orbital phase   flux > 1 TeV (ph cm-2 s-1)   (mCrab)
     0.0019             6.988E-17            3.833E-03
     0.0025             6.985E-17            3.832E-03
     0.0039             6.980E-17            3.829E-03
     0.0054             6.975E-17            3.826E-03
     0.0059             6.973E-17            3.825E-03
     0.0079             6.966E-17            3.821E-03
     0.0083             6.964E-17            3.820E-03
     0.0099             6.959E-17            3.817E-03
     0.0112             6.955E-17            3.815E-03
     0.0119             6.952E-17            3.814E-03
     0.0139             6.945E-17            3.810E-03
     0.0140             6.945E-17            3.810E-03
     0.0159             6.939E-17            3.806E-03
     0.0169             6.936E-17            3.804E-03
     0.0179             6.932E-17            3.803E-03
     0.0198             6.926E-17            3.799E-03
     0.0199             6.926E-17            3.799E-03
     0.0219             6.920E-17            3.796E-03
     0.0226             6.918E-17            3.795E-03
     0.0239             6.914E-17            3.792E-03
     0.0255             6.909E-17            3.790E-03
     0.0259             6.908E-17            3.789E-03
     0.0279             6.902E-17            3.786E-03
     0.0283             6.901E-17            3.785E-03
     0.0299             6.896E-17            3.783E-03
     0.0312             6.893E-17            3.781E-03
     0.0319             6.891E-17            3.780E-03
     0.0339             6.885E-17            3.777E-03
     0.0341             6.885E-17            3.777E-03
     0.0359             6.880E-17            3.774E-03
     0.0369             6.877E-17            3.772E-03
     0.0379             6.875E-17            3.771E-03
     0.0398             6.870E-17            3.768E-03
     0.0399             6.870E-17            3.768E-03
     0.0419             6.865E-17            3.766E-03
     0.0426             6.863E-17            3.765E-03
     0.0439             6.860E-17            3.763E-03
     0.0455             6.856E-17            3.761E-03
     0.0459             6.855E-17            3.760E-03
     0.0479             6.851E-17            3.758E-03
     0.0483             6.850E-17            3.757E-03
     0.0499             6.846E-17            3.755E-03
     0.0512             6.844E-17            3.754E-03
     0.0519             6.842E-17            3.753E-03
     0.0539             6.838E-17            3.751E-03
     0.0540             6.838E-17            3.751E-03
     0.0559             6.834E-17            3.749E-03
     0.0569             6.832E-17            3.748E-03
     0.0579             6.830E-17            3.747E-03
     0.0597             6.827E-17            3.745E-03
     0.0599             6.826E-17            3.744E-03
     0.0619             6.823E-17            3.743E-03
     0.0625             6.822E-17            3.742E-03
     0.0639             6.819E-17            3.741E-03
     0.0653             6.817E-17            3.739E-03
     0.0659             6.816E-17            3.739E-03
     0.0679             6.812E-17            3.737E-03
     0.0682             6.812E-17            3.737E-03
     0.0699             6.809E-17            3.735E-03
     0.0710             6.808E-17            3.734E-03
     0.0719             6.806E-17            3.734E-03
     0.0738             6.803E-17            3.732E-03
     0.0739             6.803E-17            3.732E-03
     0.0759             6.800E-17            3.730E-03
     0.0766             6.799E-17            3.730E-03
     0.0779             6.798E-17            3.729E-03
     0.0794             6.796E-17            3.728E-03
     0.0799             6.795E-17            3.728E-03
     0.0819             6.793E-17            3.726E-03
     0.0823             6.792E-17            3.726E-03
     0.0839             6.791E-17            3.725E-03
     0.0851             6.789E-17            3.724E-03
     0.0859             6.789E-17            3.724E-03
     0.0879             6.787E-17            3.723E-03
     0.0879             6.787E-17            3.723E-03
     0.0899             6.785E-17            3.722E-03
     0.0907             6.784E-17            3.721E-03
     0.0919             6.783E-17            3.721E-03
     0.0934             6.782E-17            3.720E-03
     0.0939             6.781E-17            3.720E-03
     0.0959             6.780E-17            3.719E-03
     0.0962             6.780E-17            3.719E-03
     0.0979             6.778E-17            3.718E-03
     0.0990             6.778E-17            3.718E-03
     0.0999             6.777E-17            3.718E-03
     0.1018             6.776E-17            3.717E-03
     0.1019             6.776E-17            3.717E-03
