                 System #      178
     Galactic longitude l   -41.66
      Galactic latitude b     0.00
           distance (kpc)     2.62
    orbital period (days)   61.727
    arg. periastron (deg)  318.644
        inclination (deg)  139.030
             eccentricity    0.851
 neutron star mass (Msol)     1.40
         star mass (Msol)    30.00
       star radius (Rsol)    10.00
     star temperature (K) 33000.00
--------------------------------
orbital phase   flux > 1 TeV (ph cm-2 s-1)   (mCrab)
     0.0001             1.974E-16            1.083E-02
     0.0008             1.976E-16            1.084E-02
     0.0021             1.981E-16            1.087E-02
     0.0035             1.987E-16            1.090E-02
     0.0041             1.989E-16            1.091E-02
     0.0061             1.997E-16            1.096E-02
     0.0061             1.997E-16            1.096E-02
     0.0081             2.005E-16            1.100E-02
     0.0087             2.008E-16            1.101E-02
     0.0101             2.014E-16            1.105E-02
     0.0113             2.019E-16            1.107E-02
     0.0121             2.022E-16            1.109E-02
     0.0139             2.030E-16            1.113E-02
     0.0141             2.031E-16            1.114E-02
     0.0161             2.040E-16            1.119E-02
     0.0165             2.041E-16            1.120E-02
     0.0181             2.049E-16            1.124E-02
     0.0190             2.052E-16            1.126E-02
     0.0201             2.058E-16            1.129E-02
     0.0215             2.064E-16            1.132E-02
     0.0221             2.067E-16            1.134E-02
     0.0240             2.076E-16            1.139E-02
     0.0241             2.076E-16            1.139E-02
     0.0261             2.086E-16            1.144E-02
     0.0265             2.088E-16            1.145E-02
     0.0281             2.096E-16            1.150E-02
     0.0289             2.100E-16            1.152E-02
     0.0301             2.106E-16            1.155E-02
     0.0314             2.112E-16            1.159E-02
     0.0321             2.116E-16            1.161E-02
     0.0338             2.125E-16            1.166E-02
     0.0341             2.127E-16            1.167E-02
     0.0361             2.137E-16            1.172E-02
     0.0362             2.138E-16            1.173E-02
     0.0381             2.148E-16            1.178E-02
     0.0385             2.151E-16            1.180E-02
     0.0401             2.159E-16            1.185E-02
     0.0409             2.164E-16            1.187E-02
     0.0421             2.171E-16            1.191E-02
     0.0432             2.177E-16            1.194E-02
     0.0441             2.182E-16            1.197E-02
     0.0455             2.191E-16            1.202E-02
     0.0461             2.194E-16            1.204E-02
     0.0478             2.204E-16            1.209E-02
     0.0481             2.206E-16            1.210E-02
     0.0501             2.218E-16            1.217E-02
     0.0501             2.219E-16            1.217E-02
     0.0521             2.231E-16            1.224E-02
     0.0523             2.233E-16            1.225E-02
     0.0541             2.244E-16            1.231E-02
     0.0545             2.247E-16            1.233E-02
     0.0561             2.258E-16            1.238E-02
     0.0567             2.262E-16            1.241E-02
     0.0581             2.271E-16            1.246E-02
     0.0589             2.277E-16            1.249E-02
     0.0601             2.285E-16            1.253E-02
     0.0611             2.292E-16            1.257E-02
     0.0621             2.299E-16            1.261E-02
     0.0632             2.307E-16            1.266E-02
     0.0641             2.314E-16            1.269E-02
     0.0653             2.323E-16            1.274E-02
     0.0661             2.329E-16            1.277E-02
     0.0674             2.338E-16            1.283E-02
     0.0681             2.344E-16            1.286E-02
     0.0695             2.355E-16            1.292E-02
     0.0701             2.360E-16            1.294E-02
     0.0716             2.371E-16            1.301E-02
     0.0721             2.376E-16            1.303E-02
     0.0736             2.387E-16            1.310E-02
     0.0741             2.392E-16            1.312E-02
     0.0756             2.404E-16            1.319E-02
     0.0761             2.409E-16            1.321E-02
     0.0776             2.421E-16            1.328E-02
     0.0781             2.426E-16            1.331E-02
     0.0795             2.439E-16            1.338E-02
     0.0801             2.444E-16            1.341E-02
     0.0815             2.456E-16            1.347E-02
     0.0821             2.462E-16            1.351E-02
     0.0834             2.474E-16            1.357E-02
     0.0841             2.481E-16            1.361E-02
     0.0853             2.492E-16            1.367E-02
     0.0861             2.500E-16            1.371E-02
     0.0872             2.511E-16            1.377E-02
     0.0881             2.520E-16            1.382E-02
     0.0891             2.529E-16            1.387E-02
     0.0901             2.540E-16            1.393E-02
     0.0909             2.548E-16            1.398E-02
     0.0921             2.561E-16            1.405E-02
     0.0927             2.567E-16            1.408E-02
     0.0941             2.583E-16            1.417E-02
     0.0945             2.587E-16            1.419E-02
     0.0961             2.605E-16            1.429E-02
