                 System #       18
     Galactic longitude l    34.49
      Galactic latitude b     0.00
           distance (kpc)     8.33
    orbital period (days)   25.683
    arg. periastron (deg)  520.807
        inclination (deg)   39.286
             eccentricity    0.789
 neutron star mass (Msol)     1.40
         star mass (Msol)    30.00
       star radius (Rsol)    10.00
     star temperature (K) 33000.00
--------------------------------
orbital phase   flux > 1 TeV (ph cm-2 s-1)   (mCrab)
     0.0005             2.562E-16            1.405E-02
     0.0024             2.567E-16            1.408E-02
     0.0025             2.567E-16            1.408E-02
     0.0045             2.573E-16            1.411E-02
     0.0054             2.575E-16            1.413E-02
     0.0065             2.579E-16            1.414E-02
     0.0083             2.584E-16            1.417E-02
     0.0085             2.584E-16            1.418E-02
     0.0105             2.590E-16            1.421E-02
     0.0113             2.592E-16            1.422E-02
     0.0125             2.596E-16            1.424E-02
     0.0142             2.601E-16            1.427E-02
     0.0145             2.602E-16            1.427E-02
     0.0165             2.608E-16            1.430E-02
     0.0171             2.609E-16            1.431E-02
     0.0185             2.613E-16            1.434E-02
     0.0200             2.618E-16            1.436E-02
     0.0205             2.619E-16            1.437E-02
     0.0225             2.625E-16            1.440E-02
     0.0229             2.626E-16            1.441E-02
     0.0245             2.631E-16            1.443E-02
     0.0258             2.635E-16            1.445E-02
     0.0265             2.637E-16            1.447E-02
     0.0285             2.643E-16            1.450E-02
     0.0286             2.644E-16            1.450E-02
     0.0305             2.650E-16            1.453E-02
     0.0315             2.652E-16            1.455E-02
     0.0325             2.656E-16            1.457E-02
     0.0343             2.661E-16            1.460E-02
     0.0345             2.662E-16            1.460E-02
     0.0365             2.668E-16            1.464E-02
     0.0371             2.670E-16            1.465E-02
     0.0385             2.674E-16            1.467E-02
     0.0399             2.679E-16            1.469E-02
     0.0405             2.681E-16            1.470E-02
     0.0425             2.687E-16            1.474E-02
     0.0427             2.687E-16            1.474E-02
     0.0445             2.693E-16            1.477E-02
     0.0454             2.696E-16            1.479E-02
     0.0465             2.700E-16            1.481E-02
     0.0481             2.705E-16            1.484E-02
     0.0485             2.706E-16            1.484E-02
     0.0505             2.712E-16            1.488E-02
     0.0509             2.713E-16            1.488E-02
     0.0525             2.719E-16            1.491E-02
     0.0536             2.722E-16            1.493E-02
     0.0545             2.725E-16            1.495E-02
     0.0562             2.730E-16            1.498E-02
     0.0565             2.731E-16            1.498E-02
     0.0585             2.738E-16            1.502E-02
     0.0589             2.739E-16            1.502E-02
     0.0605             2.744E-16            1.505E-02
     0.0615             2.747E-16            1.507E-02
     0.0625             2.751E-16            1.509E-02
     0.0642             2.756E-16            1.512E-02
     0.0645             2.757E-16            1.512E-02
     0.0665             2.763E-16            1.516E-02
     0.0668             2.764E-16            1.516E-02
     0.0685             2.770E-16            1.519E-02
     0.0694             2.772E-16            1.521E-02
     0.0705             2.776E-16            1.523E-02
     0.0719             2.781E-16            1.525E-02
     0.0725             2.782E-16            1.526E-02
     0.0745             2.789E-16            1.530E-02
     0.0745             2.789E-16            1.530E-02
     0.0765             2.795E-16            1.533E-02
     0.0770             2.797E-16            1.534E-02
     0.0785             2.801E-16            1.537E-02
     0.0795             2.804E-16            1.538E-02
     0.0805             2.807E-16            1.540E-02
     0.0820             2.812E-16            1.543E-02
     0.0825             2.814E-16            1.543E-02
     0.0845             2.820E-16            1.547E-02
     0.0845             2.820E-16            1.547E-02
     0.0865             2.826E-16            1.550E-02
     0.0870             2.827E-16            1.551E-02
     0.0885             2.832E-16            1.553E-02
     0.0894             2.834E-16            1.555E-02
     0.0905             2.838E-16            1.557E-02
     0.0918             2.841E-16            1.559E-02
     0.0925             2.843E-16            1.560E-02
     0.0942             2.848E-16            1.562E-02
     0.0945             2.849E-16            1.563E-02
     0.0965             2.855E-16            1.566E-02
     0.0966             2.855E-16            1.566E-02
     0.0985             2.860E-16            1.569E-02
     0.0990             2.861E-16            1.570E-02
     0.1005             2.865E-16            1.572E-02
     0.1013             2.868E-16            1.573E-02
     0.1025             2.871E-16            1.575E-02
     0.1036             2.874E-16            1.576E-02
     0.1045             2.876E-16            1.577E-02
     0.1060             2.879E-16            1.579E-02
     0.1065             2.881E-16            1.580E-02
     0.1082             2.885E-16            1.582E-02
     0.1085             2.885E-16            1.583E-02
     0.1105             2.890E-16            1.585E-02
     0.1105             2.890E-16            1.585E-02
     0.1125             2.894E-16            1.588E-02
     0.1127             2.894E-16            1.588E-02
     0.1145             2.898E-16            1.590E-02
     0.1150             2.899E-16            1.590E-02
     0.1165             2.902E-16            1.592E-02
     0.1172             2.903E-16            1.592E-02
     0.1185             2.905E-16            1.594E-02
     0.1194             2.907E-16            1.594E-02
     0.1205             2.909E-16            1.595E-02
     0.1215             2.910E-16            1.596E-02
     0.1225             2.911E-16            1.597E-02
     0.1237             2.913E-16            1.598E-02
     0.1245             2.914E-16            1.598E-02
     0.1258             2.915E-16            1.599E-02
     0.1265             2.916E-16            1.600E-02
     0.1279             2.917E-16            1.600E-02
     0.1285             2.918E-16            1.601E-02
     0.1300             2.919E-16            1.601E-02
     0.1305             2.919E-16            1.601E-02
     0.1321             2.920E-16            1.602E-02
     0.1325             2.920E-16            1.602E-02
     0.1341             2.920E-16            1.602E-02
     0.1345             2.920E-16            1.602E-02
     0.1362             2.920E-16            1.602E-02
     0.1365             2.920E-16            1.602E-02
     0.1382             2.919E-16            1.601E-02
     0.1385             2.919E-16            1.601E-02
     0.1402             2.918E-16            1.601E-02
     0.1405             2.918E-16            1.601E-02
     0.1421             2.916E-16            1.600E-02
     0.1425             2.916E-16            1.599E-02
     0.1441             2.914E-16            1.598E-02
     0.1445             2.913E-16            1.598E-02
     0.1460             2.910E-16            1.596E-02
     0.1465             2.909E-16            1.596E-02
     0.1479             2.906E-16            1.594E-02
     0.1485             2.905E-16            1.593E-02
     0.1498             2.901E-16            1.592E-02
     0.1505             2.899E-16            1.590E-02
     0.1517             2.896E-16            1.588E-02
     0.1525             2.893E-16            1.587E-02
     0.1535             2.889E-16            1.585E-02
     0.1545             2.885E-16            1.583E-02
     0.1554             2.882E-16            1.581E-02
     0.1565             2.877E-16            1.578E-02
     0.1572             2.874E-16            1.576E-02
     0.1585             2.867E-16            1.573E-02
     0.1590             2.865E-16            1.571E-02
     0.1605             2.856E-16            1.567E-02
     0.1607             2.855E-16            1.566E-02
     0.1625             2.844E-16            1.560E-02
     0.1625             2.844E-16            1.560E-02
     0.1642             2.832E-16            1.553E-02
     0.1645             2.829E-16            1.552E-02
     0.1659             2.819E-16            1.546E-02
     0.1665             2.814E-16            1.544E-02
     0.1676             2.805E-16            1.538E-02
     0.1685             2.797E-16            1.534E-02
     0.1693             2.789E-16            1.530E-02
     0.1705             2.777E-16            1.524E-02
     0.1710             2.773E-16            1.521E-02
     0.1725             2.756E-16            1.512E-02
     0.1726             2.756E-16            1.512E-02
     0.1742             2.737E-16            1.501E-02
     0.1745             2.733E-16            1.499E-02
     0.1758             2.717E-16            1.490E-02
     0.1765             2.707E-16            1.485E-02
     0.1774             2.696E-16            1.479E-02
     0.1785             2.679E-16            1.470E-02
     0.1789             2.673E-16            1.466E-02
     0.1805             2.649E-16            1.453E-02
     0.1805             2.649E-16            1.453E-02
     0.1820             2.624E-16            1.440E-02
     0.1825             2.615E-16            1.435E-02
     0.1835             2.598E-16            1.425E-02
     0.1845             2.579E-16            1.415E-02
     0.1850             2.570E-16            1.410E-02
     0.1865             2.541E-16            1.394E-02
     0.1865             2.539E-16            1.393E-02
     0.1879             2.510E-16            1.377E-02
     0.1885             2.496E-16            1.369E-02
     0.1893             2.478E-16            1.359E-02
     0.1905             2.450E-16            1.344E-02
     0.1907             2.445E-16            1.341E-02
     0.1921             2.410E-16            1.322E-02
     0.1925             2.400E-16            1.316E-02
     0.1935             2.374E-16            1.302E-02
     0.1945             2.345E-16            1.287E-02
     0.1949             2.336E-16            1.281E-02
     0.1962             2.297E-16            1.260E-02
     0.1965             2.287E-16            1.254E-02
     0.1975             2.256E-16            1.238E-02
     0.1985             2.224E-16            1.220E-02
     0.1988             2.215E-16            1.215E-02
     0.2001             2.171E-16            1.191E-02
     0.2005             2.156E-16            1.183E-02
     0.2014             2.127E-16            1.167E-02
     0.2025             2.084E-16            1.143E-02
     0.2026             2.081E-16            1.142E-02
     0.2038             2.034E-16            1.116E-02
     0.2045             2.007E-16            1.101E-02
     0.2051             1.986E-16            1.089E-02
     0.2063             1.937E-16            1.062E-02
     0.2065             1.925E-16            1.056E-02
     0.2074             1.886E-16            1.035E-02
     0.2085             1.838E-16            1.008E-02
     0.2086             1.835E-16            1.006E-02
     0.2097             1.782E-16            9.777E-03
     0.2105             1.745E-16            9.574E-03
     0.2109             1.729E-16            9.486E-03
     0.2120             1.675E-16            9.190E-03
