                 System #      181
     Galactic longitude l     0.84
      Galactic latitude b     0.00
           distance (kpc)     6.56
    orbital period (days)   12.143
    arg. periastron (deg)  442.835
        inclination (deg)   39.335
             eccentricity    0.547
 neutron star mass (Msol)     1.40
         star mass (Msol)    30.00
       star radius (Rsol)    10.00
     star temperature (K) 33000.00
--------------------------------
orbital phase   flux > 1 TeV (ph cm-2 s-1)   (mCrab)
     0.0009             2.098E-15            1.151E-01
     0.0023             2.093E-15            1.148E-01
     0.0029             2.091E-15            1.147E-01
     0.0049             2.083E-15            1.143E-01
     0.0049             2.083E-15            1.143E-01
     0.0069             2.076E-15            1.139E-01
     0.0074             2.074E-15            1.138E-01
     0.0089             2.068E-15            1.135E-01
     0.0100             2.064E-15            1.132E-01
     0.0109             2.061E-15            1.130E-01
     0.0126             2.055E-15            1.127E-01
     0.0129             2.054E-15            1.126E-01
     0.0149             2.046E-15            1.123E-01
     0.0152             2.045E-15            1.122E-01
     0.0169             2.039E-15            1.119E-01
     0.0179             2.036E-15            1.117E-01
     0.0189             2.032E-15            1.115E-01
     0.0205             2.026E-15            1.112E-01
     0.0209             2.025E-15            1.111E-01
     0.0229             2.018E-15            1.107E-01
     0.0232             2.017E-15            1.107E-01
     0.0249             2.011E-15            1.103E-01
     0.0258             2.008E-15            1.101E-01
     0.0269             2.004E-15            1.099E-01
     0.0285             1.999E-15            1.096E-01
     0.0289             1.997E-15            1.096E-01
     0.0309             1.990E-15            1.092E-01
     0.0312             1.990E-15            1.091E-01
     0.0329             1.984E-15            1.088E-01
     0.0339             1.981E-15            1.086E-01
     0.0349             1.977E-15            1.085E-01
     0.0366             1.972E-15            1.082E-01
     0.0369             1.970E-15            1.081E-01
     0.0389             1.964E-15            1.077E-01
     0.0393             1.963E-15            1.077E-01
     0.0409             1.957E-15            1.074E-01
     0.0420             1.954E-15            1.072E-01
     0.0429             1.951E-15            1.070E-01
     0.0447             1.945E-15            1.067E-01
     0.0449             1.945E-15            1.067E-01
     0.0469             1.938E-15            1.063E-01
     0.0475             1.937E-15            1.062E-01
     0.0489             1.932E-15            1.060E-01
     0.0502             1.928E-15            1.058E-01
     0.0509             1.926E-15            1.056E-01
     0.0529             1.920E-15            1.053E-01
     0.0530             1.920E-15            1.053E-01
     0.0549             1.914E-15            1.050E-01
     0.0558             1.911E-15            1.048E-01
     0.0569             1.908E-15            1.046E-01
     0.0586             1.903E-15            1.044E-01
     0.0589             1.902E-15            1.043E-01
     0.0609             1.896E-15            1.040E-01
     0.0614             1.895E-15            1.039E-01
     0.0629             1.890E-15            1.037E-01
     0.0642             1.887E-15            1.035E-01
     0.0649             1.884E-15            1.034E-01
     0.0669             1.879E-15            1.031E-01
     0.0670             1.879E-15            1.031E-01
     0.0689             1.873E-15            1.028E-01
     0.0698             1.871E-15            1.026E-01
     0.0709             1.868E-15            1.025E-01
     0.0726             1.863E-15            1.022E-01
     0.0729             1.862E-15            1.022E-01
     0.0749             1.857E-15            1.019E-01
     0.0755             1.855E-15            1.018E-01
     0.0769             1.851E-15            1.016E-01
     0.0783             1.848E-15            1.014E-01
     0.0789             1.846E-15            1.013E-01
     0.0809             1.841E-15            1.010E-01
     0.0812             1.840E-15            1.009E-01
     0.0829             1.836E-15            1.007E-01
     0.0840             1.833E-15            1.005E-01
     0.0849             1.831E-15            1.004E-01
     0.0869             1.826E-15            1.001E-01
     0.0869             1.825E-15            1.001E-01
     0.0889             1.820E-15            9.986E-02
     0.0898             1.818E-15            9.975E-02
     0.0909             1.816E-15            9.959E-02
     0.0927             1.811E-15            9.936E-02
     0.0929             1.811E-15            9.933E-02
     0.0949             1.806E-15            9.907E-02
     0.0956             1.805E-15            9.899E-02
     0.0969             1.801E-15            9.881E-02
     0.0985             1.798E-15            9.861E-02
     0.0989             1.797E-15            9.855E-02
     0.1009             1.792E-15            9.830E-02
     0.1014             1.791E-15            9.824E-02
     0.1029             1.787E-15            9.805E-02
