                 System #      182
     Galactic longitude l    -7.38
      Galactic latitude b     0.00
           distance (kpc)    14.59
    orbital period (days)  214.182
    arg. periastron (deg)  404.742
        inclination (deg)  102.644
             eccentricity    0.796
 neutron star mass (Msol)     1.40
         star mass (Msol)    30.00
       star radius (Rsol)    10.00
     star temperature (K) 33000.00
--------------------------------
orbital phase   flux > 1 TeV (ph cm-2 s-1)   (mCrab)
     0.0004             2.669E-16            1.464E-02
     0.0008             2.667E-16            1.463E-02
     0.0024             2.658E-16            1.458E-02
     0.0042             2.649E-16            1.453E-02
     0.0044             2.648E-16            1.452E-02
     0.0064             2.637E-16            1.446E-02
     0.0076             2.631E-16            1.443E-02
     0.0084             2.626E-16            1.441E-02
     0.0104             2.616E-16            1.435E-02
     0.0110             2.613E-16            1.433E-02
     0.0124             2.605E-16            1.429E-02
     0.0144             2.595E-16            1.423E-02
     0.0144             2.594E-16            1.423E-02
     0.0164             2.584E-16            1.417E-02
     0.0177             2.577E-16            1.414E-02
     0.0184             2.573E-16            1.412E-02
     0.0204             2.562E-16            1.406E-02
     0.0211             2.559E-16            1.404E-02
     0.0224             2.552E-16            1.400E-02
     0.0244             2.541E-16            1.394E-02
     0.0244             2.541E-16            1.394E-02
     0.0264             2.530E-16            1.388E-02
     0.0278             2.522E-16            1.384E-02
     0.0284             2.519E-16            1.382E-02
     0.0304             2.508E-16            1.376E-02
     0.0311             2.505E-16            1.374E-02
     0.0324             2.497E-16            1.370E-02
     0.0344             2.486E-16            1.364E-02
     0.0344             2.486E-16            1.364E-02
     0.0364             2.475E-16            1.358E-02
     0.0377             2.468E-16            1.354E-02
     0.0384             2.464E-16            1.352E-02
     0.0404             2.453E-16            1.346E-02
     0.0410             2.450E-16            1.344E-02
     0.0424             2.442E-16            1.339E-02
     0.0443             2.431E-16            1.334E-02
     0.0444             2.431E-16            1.333E-02
     0.0464             2.419E-16            1.327E-02
     0.0476             2.413E-16            1.324E-02
     0.0484             2.408E-16            1.321E-02
     0.0504             2.397E-16            1.315E-02
     0.0508             2.394E-16            1.313E-02
     0.0524             2.385E-16            1.309E-02
     0.0541             2.376E-16            1.303E-02
     0.0544             2.374E-16            1.302E-02
     0.0564             2.363E-16            1.296E-02
     0.0573             2.357E-16            1.293E-02
     0.0584             2.351E-16            1.290E-02
     0.0604             2.340E-16            1.283E-02
     0.0605             2.339E-16            1.283E-02
     0.0624             2.328E-16            1.277E-02
     0.0637             2.320E-16            1.273E-02
     0.0644             2.316E-16            1.270E-02
     0.0664             2.304E-16            1.264E-02
     0.0669             2.301E-16            1.262E-02
     0.0684             2.292E-16            1.257E-02
     0.0701             2.282E-16            1.252E-02
     0.0704             2.280E-16            1.251E-02
     0.0724             2.268E-16            1.244E-02
     0.0733             2.263E-16            1.241E-02
     0.0744             2.256E-16            1.238E-02
     0.0764             2.244E-16            1.231E-02
     0.0764             2.244E-16            1.231E-02
     0.0784             2.232E-16            1.224E-02
     0.0796             2.225E-16            1.220E-02
     0.0804             2.220E-16            1.218E-02
     0.0824             2.207E-16            1.211E-02
     0.0827             2.205E-16            1.210E-02
     0.0844             2.195E-16            1.204E-02
     0.0858             2.186E-16            1.199E-02
     0.0864             2.182E-16            1.197E-02
     0.0884             2.170E-16            1.190E-02
     0.0889             2.166E-16            1.188E-02
     0.0904             2.157E-16            1.183E-02
     0.0920             2.147E-16            1.177E-02
     0.0924             2.144E-16            1.176E-02
     0.0944             2.131E-16            1.169E-02
