                 System #      185
     Galactic longitude l    -7.49
      Galactic latitude b     0.00
           distance (kpc)     6.26
    orbital period (days)   15.696
    arg. periastron (deg)  302.738
        inclination (deg)   59.791
             eccentricity    0.437
 neutron star mass (Msol)     1.40
         star mass (Msol)    30.00
       star radius (Rsol)    10.00
     star temperature (K) 33000.00
--------------------------------
orbital phase   flux > 1 TeV (ph cm-2 s-1)   (mCrab)
     0.0015             2.619E-16            1.437E-02
     0.0018             2.622E-16            1.438E-02
     0.0038             2.639E-16            1.447E-02
     0.0040             2.640E-16            1.448E-02
     0.0058             2.655E-16            1.457E-02
     0.0066             2.662E-16            1.460E-02
     0.0078             2.672E-16            1.466E-02
     0.0091             2.683E-16            1.472E-02
     0.0098             2.689E-16            1.475E-02
     0.0116             2.705E-16            1.484E-02
     0.0118             2.706E-16            1.484E-02
     0.0138             2.723E-16            1.494E-02
     0.0142             2.726E-16            1.495E-02
     0.0158             2.740E-16            1.503E-02
     0.0167             2.747E-16            1.507E-02
     0.0178             2.757E-16            1.512E-02
     0.0192             2.769E-16            1.519E-02
     0.0198             2.775E-16            1.522E-02
     0.0217             2.790E-16            1.531E-02
     0.0218             2.792E-16            1.531E-02
     0.0238             2.809E-16            1.541E-02
     0.0241             2.812E-16            1.542E-02
     0.0258             2.826E-16            1.550E-02
     0.0266             2.833E-16            1.554E-02
     0.0278             2.844E-16            1.560E-02
     0.0291             2.855E-16            1.566E-02
     0.0298             2.861E-16            1.570E-02
     0.0315             2.876E-16            1.578E-02
     0.0318             2.879E-16            1.579E-02
     0.0338             2.897E-16            1.589E-02
     0.0340             2.898E-16            1.590E-02
     0.0358             2.914E-16            1.599E-02
     0.0364             2.920E-16            1.602E-02
     0.0378             2.932E-16            1.608E-02
     0.0388             2.941E-16            1.613E-02
     0.0398             2.950E-16            1.618E-02
     0.0413             2.963E-16            1.625E-02
     0.0418             2.968E-16            1.628E-02
     0.0437             2.984E-16            1.637E-02
     0.0438             2.986E-16            1.638E-02
     0.0458             3.004E-16            1.648E-02
     0.0461             3.006E-16            1.649E-02
     0.0478             3.022E-16            1.658E-02
     0.0484             3.028E-16            1.661E-02
     0.0498             3.040E-16            1.668E-02
     0.0508             3.049E-16            1.673E-02
     0.0518             3.059E-16            1.678E-02
     0.0532             3.071E-16            1.685E-02
     0.0538             3.077E-16            1.688E-02
     0.0555             3.093E-16            1.697E-02
     0.0558             3.095E-16            1.698E-02
     0.0578             3.114E-16            1.708E-02
     0.0579             3.115E-16            1.709E-02
     0.0598             3.133E-16            1.718E-02
     0.0602             3.136E-16            1.720E-02
     0.0618             3.151E-16            1.729E-02
     0.0626             3.158E-16            1.732E-02
     0.0638             3.170E-16            1.739E-02
     0.0649             3.180E-16            1.744E-02
     0.0658             3.189E-16            1.749E-02
     0.0672             3.202E-16            1.756E-02
     0.0678             3.208E-16            1.760E-02
     0.0695             3.223E-16            1.768E-02
     0.0698             3.227E-16            1.770E-02
     0.0718             3.245E-16            1.780E-02
     0.0718             3.246E-16            1.780E-02
     0.0738             3.265E-16            1.791E-02
     0.0740             3.267E-16            1.792E-02
     0.0758             3.284E-16            1.801E-02
     0.0763             3.289E-16            1.804E-02
     0.0778             3.303E-16            1.812E-02
     0.0786             3.310E-16            1.816E-02
     0.0798             3.323E-16            1.823E-02
     0.0808             3.332E-16            1.828E-02
     0.0818             3.342E-16            1.833E-02
     0.0830             3.354E-16            1.840E-02
     0.0838             3.361E-16            1.844E-02
     0.0853             3.375E-16            1.852E-02
     0.0858             3.381E-16            1.855E-02
     0.0875             3.397E-16            1.863E-02
     0.0878             3.401E-16            1.865E-02
     0.0897             3.419E-16            1.875E-02
     0.0898             3.420E-16            1.876E-02
     0.0918             3.440E-16            1.887E-02
     0.0919             3.440E-16            1.887E-02
     0.0938             3.460E-16            1.898E-02
     0.0940             3.462E-16            1.899E-02
     0.0958             3.480E-16            1.909E-02
     0.0962             3.484E-16            1.911E-02
     0.0978             3.500E-16            1.920E-02
     0.0984             3.505E-16            1.923E-02
     0.0998             3.520E-16            1.931E-02
     0.1005             3.527E-16            1.934E-02
     0.1018             3.540E-16            1.942E-02
     0.1027             3.548E-16            1.946E-02
     0.1038             3.560E-16            1.953E-02
     0.1048             3.569E-16            1.958E-02
     0.1058             3.580E-16            1.964E-02
     0.1069             3.591E-16            1.970E-02
     0.1078             3.600E-16            1.975E-02
     0.1090             3.612E-16            1.981E-02
     0.1098             3.620E-16            1.986E-02
     0.1111             3.633E-16            1.993E-02
     0.1118             3.641E-16            1.997E-02
     0.1132             3.654E-16            2.005E-02
     0.1138             3.661E-16            2.008E-02
     0.1152             3.675E-16            2.016E-02
     0.1158             3.681E-16            2.019E-02
     0.1173             3.697E-16            2.028E-02
     0.1178             3.702E-16            2.031E-02
     0.1194             3.717E-16            2.039E-02
     0.1198             3.722E-16            2.042E-02
     0.1214             3.738E-16            2.051E-02
     0.1218             3.743E-16            2.053E-02
     0.1234             3.759E-16            2.062E-02
