                 System #      187
     Galactic longitude l    29.77
      Galactic latitude b     0.00
           distance (kpc)    18.98
    orbital period (days)    8.050
    arg. periastron (deg)  239.463
        inclination (deg)   68.765
             eccentricity    0.500
 neutron star mass (Msol)     1.40
         star mass (Msol)    30.00
       star radius (Rsol)    10.00
     star temperature (K) 33000.00
--------------------------------
orbital phase   flux > 1 TeV (ph cm-2 s-1)   (mCrab)
     0.0003             3.423E-17            1.877E-03
     0.0004             3.428E-17            1.881E-03
     0.0013             3.462E-17            1.899E-03
     0.0023             3.499E-17            1.919E-03
     0.0024             3.502E-17            1.921E-03
     0.0033             3.532E-17            1.938E-03
     0.0043             3.562E-17            1.954E-03
     0.0044             3.564E-17            1.955E-03
     0.0054             3.588E-17            1.968E-03
     0.0064             3.609E-17            1.980E-03
     0.0064             3.610E-17            1.980E-03
     0.0074             3.626E-17            1.989E-03
     0.0084             3.638E-17            1.995E-03
     0.0084             3.638E-17            1.996E-03
     0.0094             3.644E-17            1.999E-03
     0.0104             3.645E-17            1.999E-03
     0.0104             3.645E-17            1.999E-03
     0.0114             3.640E-17            1.997E-03
     0.0124             3.628E-17            1.990E-03
     0.0124             3.628E-17            1.990E-03
     0.0134             3.610E-17            1.980E-03
     0.0144             3.586E-17            1.967E-03
     0.0144             3.586E-17            1.967E-03
     0.0154             3.554E-17            1.950E-03
     0.0164             3.517E-17            1.929E-03
     0.0164             3.516E-17            1.929E-03
     0.0174             3.471E-17            1.904E-03
     0.0184             3.420E-17            1.876E-03
     0.0184             3.419E-17            1.875E-03
     0.0194             3.360E-17            1.843E-03
     0.0204             3.295E-17            1.808E-03
     0.0204             3.294E-17            1.807E-03
     0.0214             3.222E-17            1.768E-03
     0.0224             3.146E-17            1.726E-03
     0.0224             3.145E-17            1.725E-03
     0.0234             3.062E-17            1.680E-03
     0.0244             2.976E-17            1.633E-03
     0.0244             2.974E-17            1.632E-03
     0.0254             2.883E-17            1.581E-03
     0.0264             2.791E-17            1.531E-03
     0.0264             2.789E-17            1.530E-03
     0.0274             2.692E-17            1.477E-03
     0.0284             2.599E-17            1.426E-03
     0.0284             2.595E-17            1.423E-03
     0.0295             2.498E-17            1.370E-03
     0.0304             2.407E-17            1.321E-03
     0.0305             2.402E-17            1.317E-03
     0.0315             2.308E-17            1.266E-03
     0.0324             2.225E-17            1.221E-03
     0.0325             2.218E-17            1.217E-03
     0.0335             2.132E-17            1.169E-03
     0.0344             2.061E-17            1.131E-03
     0.0345             2.052E-17            1.126E-03
     0.0355             1.978E-17            1.085E-03
     0.0364             1.921E-17            1.054E-03
     0.0366             1.911E-17            1.048E-03
     0.0376             1.852E-17            1.016E-03
     0.0384             1.812E-17            9.939E-04
     0.0386             1.802E-17            9.882E-04
     0.0397             1.760E-17            9.655E-04
     0.0404             1.736E-17            9.523E-04
     0.0407             1.728E-17            9.477E-04
     0.0417             1.705E-17            9.352E-04
     0.0424             1.695E-17            9.300E-04
     0.0428             1.692E-17            9.280E-04
     0.0438             1.688E-17            9.261E-04
     0.0444             1.690E-17            9.273E-04
     0.0449             1.694E-17            9.295E-04
     0.0459             1.710E-17            9.381E-04
     0.0464             1.720E-17            9.435E-04
     0.0470             1.735E-17            9.518E-04
     0.0481             1.769E-17            9.703E-04
     0.0484             1.782E-17            9.773E-04
     0.0491             1.811E-17            9.935E-04
     0.0502             1.861E-17            1.021E-03
     0.0504             1.872E-17            1.027E-03
     0.0513             1.919E-17            1.053E-03
     0.0524             1.984E-17            1.088E-03
     0.0524             1.986E-17            1.090E-03
     0.0534             2.055E-17            1.127E-03
     0.0544             2.121E-17            1.163E-03
     0.0545             2.131E-17            1.169E-03
     0.0556             2.212E-17            1.213E-03
     0.0564             2.270E-17            1.245E-03
     0.0567             2.297E-17            1.260E-03
     0.0579             2.385E-17            1.308E-03
     0.0584             2.429E-17            1.332E-03
     0.0590             2.475E-17            1.358E-03
     0.0601             2.568E-17            1.408E-03
     0.0604             2.593E-17            1.423E-03
     0.0612             2.660E-17            1.459E-03
     0.0623             2.753E-17            1.510E-03
     0.0624             2.758E-17            1.513E-03
     0.0635             2.846E-17            1.561E-03
     0.0644             2.919E-17            1.601E-03
     0.0646             2.938E-17            1.611E-03
     0.0658             3.028E-17            1.661E-03
     0.0664             3.075E-17            1.687E-03
     0.0669             3.116E-17            1.709E-03
     0.0681             3.202E-17            1.756E-03
     0.0684             3.222E-17            1.767E-03
     0.0693             3.285E-17            1.802E-03
     0.0704             3.360E-17            1.843E-03
     0.0705             3.364E-17            1.846E-03
     0.0717             3.441E-17            1.888E-03
     0.0724             3.488E-17            1.913E-03
     0.0728             3.515E-17            1.928E-03
     0.0741             3.585E-17            1.966E-03
     0.0744             3.604E-17            1.977E-03
     0.0753             3.651E-17            2.003E-03
