                 System #      188
     Galactic longitude l    36.58
      Galactic latitude b     0.00
           distance (kpc)     2.48
    orbital period (days)   36.721
    arg. periastron (deg)  434.076
        inclination (deg)  116.948
             eccentricity    0.729
 neutron star mass (Msol)     1.40
         star mass (Msol)    30.00
       star radius (Rsol)    10.00
     star temperature (K) 33000.00
--------------------------------
orbital phase   flux > 1 TeV (ph cm-2 s-1)   (mCrab)
     0.0000             1.054E-15            5.779E-02
     0.0008             1.143E-15            6.267E-02
     0.0009             1.159E-15            6.360E-02
     0.0016             1.233E-15            6.762E-02
     0.0024             1.324E-15            7.262E-02
     0.0029             1.391E-15            7.632E-02
     0.0032             1.415E-15            7.762E-02
     0.0040             1.506E-15            8.262E-02
     0.0048             1.597E-15            8.760E-02
     0.0049             1.616E-15            8.863E-02
     0.0056             1.687E-15            9.251E-02
     0.0064             1.775E-15            9.736E-02
     0.0069             1.827E-15            1.002E-01
     0.0073             1.862E-15            1.021E-01
     0.0081             1.946E-15            1.068E-01
     0.0089             2.022E-15            1.109E-01
     0.0090             2.029E-15            1.113E-01
     0.0099             2.109E-15            1.157E-01
     0.0108             2.186E-15            1.199E-01
     0.0109             2.198E-15            1.206E-01
     0.0117             2.260E-15            1.240E-01
     0.0126             2.331E-15            1.279E-01
     0.0129             2.355E-15            1.292E-01
     0.0136             2.399E-15            1.316E-01
     0.0145             2.463E-15            1.351E-01
     0.0149             2.493E-15            1.367E-01
     0.0155             2.525E-15            1.385E-01
     0.0164             2.582E-15            1.416E-01
     0.0169             2.612E-15            1.433E-01
     0.0174             2.636E-15            1.446E-01
     0.0184             2.687E-15            1.474E-01
     0.0189             2.713E-15            1.488E-01
     0.0194             2.734E-15            1.500E-01
     0.0204             2.777E-15            1.523E-01
     0.0209             2.798E-15            1.535E-01
     0.0215             2.817E-15            1.545E-01
     0.0225             2.854E-15            1.566E-01
     0.0229             2.868E-15            1.573E-01
     0.0236             2.887E-15            1.584E-01
     0.0247             2.917E-15            1.600E-01
     0.0249             2.924E-15            1.604E-01
     0.0258             2.944E-15            1.615E-01
     0.0269             2.968E-15            1.628E-01
     0.0269             2.969E-15            1.629E-01
     0.0280             2.988E-15            1.639E-01
     0.0289             3.003E-15            1.647E-01
     0.0291             3.006E-15            1.649E-01
     0.0303             3.021E-15            1.657E-01
     0.0309             3.028E-15            1.661E-01
     0.0314             3.033E-15            1.664E-01
     0.0326             3.042E-15            1.669E-01
     0.0329             3.045E-15            1.670E-01
     0.0338             3.049E-15            1.673E-01
     0.0349             3.054E-15            1.675E-01
