                 System #      194
     Galactic longitude l    14.41
      Galactic latitude b     0.00
           distance (kpc)     4.18
    orbital period (days)  200.281
    arg. periastron (deg)  220.021
        inclination (deg)   57.620
             eccentricity    0.879
 neutron star mass (Msol)     1.40
         star mass (Msol)    30.00
       star radius (Rsol)    10.00
     star temperature (K) 33000.00
--------------------------------
orbital phase   flux > 1 TeV (ph cm-2 s-1)   (mCrab)
     0.0002             1.067E-18            5.854E-05
     0.0012             1.060E-18            5.813E-05
     0.0022             1.053E-18            5.774E-05
     0.0027             1.049E-18            5.756E-05
     0.0042             1.039E-18            5.699E-05
     0.0042             1.039E-18            5.698E-05
     0.0057             1.029E-18            5.643E-05
     0.0062             1.025E-18            5.624E-05
     0.0072             1.019E-18            5.588E-05
     0.0082             1.012E-18            5.554E-05
     0.0088             1.009E-18            5.534E-05
     0.0102             1.000E-18            5.486E-05
     0.0103             9.992E-19            5.481E-05
     0.0119             9.897E-19            5.429E-05
     0.0122             9.881E-19            5.420E-05
     0.0136             9.804E-19            5.378E-05
     0.0142             9.767E-19            5.358E-05
     0.0152             9.712E-19            5.327E-05
     0.0162             9.656E-19            5.297E-05
     0.0169             9.621E-19            5.278E-05
     0.0182             9.550E-19            5.238E-05
     0.0185             9.532E-19            5.229E-05
     0.0202             9.447E-19            5.182E-05
     0.0202             9.445E-19            5.181E-05
     0.0220             9.359E-19            5.134E-05
     0.0222             9.347E-19            5.127E-05
     0.0237             9.274E-19            5.087E-05
     0.0242             9.251E-19            5.075E-05
     0.0255             9.191E-19            5.042E-05
     0.0262             9.158E-19            5.024E-05
     0.0273             9.110E-19            4.997E-05
     0.0282             9.068E-19            4.974E-05
     0.0291             9.029E-19            4.953E-05
     0.0302             8.981E-19            4.927E-05
     0.0309             8.950E-19            4.910E-05
     0.0322             8.897E-19            4.880E-05
     0.0328             8.873E-19            4.867E-05
     0.0342             8.815E-19            4.835E-05
     0.0347             8.796E-19            4.825E-05
     0.0362             8.735E-19            4.792E-05
     0.0366             8.721E-19            4.784E-05
