                 System #      195
     Galactic longitude l     8.80
      Galactic latitude b     0.00
           distance (kpc)    12.24
    orbital period (days) 4843.026
    arg. periastron (deg)  529.731
        inclination (deg)   70.801
             eccentricity    0.845
 neutron star mass (Msol)     1.40
         star mass (Msol)    30.00
       star radius (Rsol)    10.00
     star temperature (K) 33000.00
--------------------------------
orbital phase   flux > 1 TeV (ph cm-2 s-1)   (mCrab)
     0.0012             3.993E-18            2.191E-04
     0.0018             4.012E-18            2.201E-04
     0.0024             4.029E-18            2.210E-04
     0.0036             4.063E-18            2.229E-04
     0.0038             4.067E-18            2.231E-04
     0.0049             4.094E-18            2.246E-04
     0.0058             4.116E-18            2.258E-04
     0.0062             4.124E-18            2.262E-04
     0.0074             4.151E-18            2.277E-04
     0.0078             4.158E-18            2.281E-04
     0.0088             4.176E-18            2.291E-04
     0.0098             4.194E-18            2.301E-04
     0.0101             4.199E-18            2.303E-04
     0.0114             4.221E-18            2.315E-04
     0.0118             4.226E-18            2.318E-04
     0.0128             4.240E-18            2.326E-04
     0.0138             4.254E-18            2.333E-04
     0.0142             4.258E-18            2.336E-04
     0.0156             4.275E-18            2.345E-04
     0.0158             4.277E-18            2.346E-04
     0.0170             4.290E-18            2.353E-04
     0.0178             4.297E-18            2.357E-04
     0.0185             4.303E-18            2.360E-04
     0.0198             4.313E-18            2.366E-04
     0.0199             4.314E-18            2.367E-04
     0.0214             4.325E-18            2.372E-04
     0.0218             4.327E-18            2.374E-04
     0.0229             4.334E-18            2.377E-04
     0.0238             4.338E-18            2.380E-04
     0.0245             4.342E-18            2.382E-04
     0.0258             4.347E-18            2.385E-04
     0.0260             4.348E-18            2.385E-04
     0.0276             4.354E-18            2.388E-04
     0.0278             4.354E-18            2.389E-04
     0.0292             4.358E-18            2.391E-04
     0.0298             4.360E-18            2.391E-04
     0.0308             4.362E-18            2.393E-04
     0.0318             4.363E-18            2.393E-04
     0.0324             4.364E-18            2.394E-04
     0.0338             4.365E-18            2.394E-04
     0.0341             4.365E-18            2.395E-04
     0.0358             4.366E-18            2.395E-04
     0.0358             4.366E-18            2.395E-04
     0.0375             4.366E-18            2.395E-04
     0.0378             4.365E-18            2.395E-04
     0.0392             4.365E-18            2.394E-04
     0.0398             4.364E-18            2.394E-04
     0.0409             4.363E-18            2.393E-04
     0.0418             4.362E-18            2.393E-04
     0.0427             4.361E-18            2.392E-04
     0.0438             4.359E-18            2.391E-04
     0.0444             4.358E-18            2.390E-04
     0.0458             4.355E-18            2.389E-04
     0.0462             4.354E-18            2.388E-04
     0.0478             4.350E-18            2.386E-04
     0.0481             4.350E-18            2.386E-04
     0.0498             4.345E-18            2.384E-04
     0.0499             4.345E-18            2.384E-04
     0.0518             4.340E-18            2.381E-04
     0.0518             4.340E-18            2.380E-04
     0.0536             4.334E-18            2.377E-04
     0.0538             4.333E-18            2.377E-04
     0.0556             4.328E-18            2.374E-04
     0.0558             4.327E-18            2.374E-04
     0.0575             4.321E-18            2.370E-04
     0.0578             4.320E-18            2.370E-04
     0.0594             4.314E-18            2.367E-04
     0.0598             4.313E-18            2.366E-04
     0.0614             4.307E-18            2.363E-04
     0.0618             4.306E-18            2.362E-04
     0.0634             4.299E-18            2.358E-04
     0.0638             4.298E-18            2.358E-04
