                 System #      197
     Galactic longitude l   -72.77
      Galactic latitude b     0.00
           distance (kpc)     5.06
    orbital period (days)   68.008
    arg. periastron (deg)  257.723
        inclination (deg)   38.990
             eccentricity    0.241
 neutron star mass (Msol)     1.40
         star mass (Msol)    30.00
       star radius (Rsol)    10.00
     star temperature (K) 33000.00
--------------------------------
orbital phase   flux > 1 TeV (ph cm-2 s-1)   (mCrab)
     0.0013             1.415E-16            7.762E-03
     0.0016             1.416E-16            7.766E-03
     0.0033             1.420E-16            7.790E-03
     0.0036             1.421E-16            7.794E-03
     0.0053             1.425E-16            7.817E-03
     0.0056             1.426E-16            7.822E-03
     0.0073             1.430E-16            7.845E-03
     0.0077             1.431E-16            7.850E-03
     0.0093             1.435E-16            7.872E-03
     0.0097             1.436E-16            7.877E-03
     0.0113             1.440E-16            7.900E-03
     0.0117             1.441E-16            7.905E-03
     0.0133             1.445E-16            7.927E-03
     0.0137             1.446E-16            7.932E-03
     0.0153             1.450E-16            7.954E-03
     0.0157             1.451E-16            7.959E-03
     0.0173             1.455E-16            7.981E-03
     0.0177             1.456E-16            7.986E-03
     0.0193             1.460E-16            8.008E-03
     0.0197             1.461E-16            8.013E-03
     0.0213             1.465E-16            8.035E-03
     0.0216             1.466E-16            8.040E-03
     0.0233             1.470E-16            8.062E-03
     0.0236             1.470E-16            8.066E-03
     0.0253             1.475E-16            8.089E-03
     0.0256             1.475E-16            8.092E-03
     0.0273             1.479E-16            8.115E-03
     0.0275             1.480E-16            8.118E-03
     0.0293             1.484E-16            8.142E-03
     0.0295             1.485E-16            8.144E-03
     0.0313             1.489E-16            8.167E-03
     0.0314             1.489E-16            8.169E-03
     0.0333             1.494E-16            8.193E-03
     0.0334             1.494E-16            8.195E-03
     0.0353             1.498E-16            8.219E-03
     0.0353             1.498E-16            8.220E-03
     0.0373             1.503E-16            8.244E-03
     0.0373             1.503E-16            8.245E-03
     0.0392             1.507E-16            8.269E-03
     0.0393             1.508E-16            8.270E-03
     0.0411             1.512E-16            8.292E-03
     0.0413             1.512E-16            8.295E-03
     0.0430             1.516E-16            8.316E-03
     0.0433             1.517E-16            8.320E-03
     0.0449             1.520E-16            8.339E-03
     0.0453             1.521E-16            8.344E-03
     0.0468             1.524E-16            8.362E-03
     0.0473             1.525E-16            8.368E-03
     0.0487             1.529E-16            8.385E-03
     0.0493             1.530E-16            8.392E-03
     0.0506             1.533E-16            8.407E-03
     0.0513             1.534E-16            8.415E-03
     0.0525             1.537E-16            8.429E-03
     0.0533             1.538E-16            8.438E-03
     0.0544             1.540E-16            8.450E-03
     0.0553             1.542E-16            8.461E-03
     0.0562             1.544E-16            8.471E-03
     0.0573             1.546E-16            8.483E-03
     0.0581             1.548E-16            8.492E-03
     0.0593             1.550E-16            8.504E-03
     0.0600             1.552E-16            8.511E-03
     0.0613             1.554E-16            8.526E-03
     0.0618             1.555E-16            8.531E-03
     0.0633             1.558E-16            8.546E-03
     0.0637             1.559E-16            8.550E-03
     0.0653             1.562E-16            8.566E-03
     0.0655             1.562E-16            8.568E-03
     0.0673             1.565E-16            8.586E-03
     0.0673             1.565E-16            8.587E-03
     0.0692             1.569E-16            8.604E-03
     0.0693             1.569E-16            8.605E-03
     0.0710             1.572E-16            8.621E-03
     0.0713             1.572E-16            8.624E-03
     0.0728             1.575E-16            8.637E-03
     0.0733             1.575E-16            8.642E-03
     0.0746             1.577E-16            8.653E-03
     0.0753             1.578E-16            8.659E-03
     0.0764             1.580E-16            8.668E-03
     0.0773             1.582E-16            8.675E-03
     0.0782             1.583E-16            8.683E-03
     0.0793             1.584E-16            8.691E-03
     0.0800             1.585E-16            8.697E-03
     0.0813             1.587E-16            8.706E-03
     0.0818             1.588E-16            8.710E-03
     0.0833             1.590E-16            8.720E-03
     0.0836             1.590E-16            8.723E-03
     0.0853             1.592E-16            8.734E-03
     0.0854             1.592E-16            8.735E-03
     0.0872             1.594E-16            8.746E-03
     0.0873             1.595E-16            8.747E-03
     0.0889             1.596E-16            8.757E-03
     0.0893             1.597E-16            8.759E-03
     0.0907             1.598E-16            8.767E-03
     0.0913             1.599E-16            8.770E-03
     0.0925             1.600E-16            8.776E-03
     0.0933             1.601E-16            8.780E-03
     0.0942             1.601E-16            8.785E-03
     0.0953             1.602E-16            8.790E-03
     0.0960             1.603E-16            8.793E-03
     0.0973             1.604E-16            8.798E-03
     0.0977             1.604E-16            8.800E-03
     0.0993             1.605E-16            8.805E-03
     0.0994             1.605E-16            8.806E-03
     0.1012             1.606E-16            8.811E-03
     0.1013             1.606E-16            8.812E-03
     0.1029             1.607E-16            8.816E-03
     0.1033             1.607E-16            8.817E-03
     0.1046             1.608E-16            8.820E-03
     0.1053             1.608E-16            8.822E-03
     0.1064             1.608E-16            8.823E-03
     0.1073             1.609E-16            8.824E-03
     0.1081             1.609E-16            8.825E-03
     0.1093             1.609E-16            8.827E-03
     0.1098             1.609E-16            8.827E-03
     0.1113             1.609E-16            8.828E-03
     0.1115             1.609E-16            8.828E-03
     0.1132             1.609E-16            8.828E-03
     0.1133             1.609E-16            8.828E-03
     0.1149             1.609E-16            8.827E-03
     0.1153             1.609E-16            8.826E-03
     0.1166             1.609E-16            8.824E-03
     0.1173             1.608E-16            8.823E-03
     0.1183             1.608E-16            8.822E-03
     0.1193             1.608E-16            8.820E-03
     0.1199             1.608E-16            8.818E-03
     0.1213             1.607E-16            8.815E-03
     0.1216             1.607E-16            8.814E-03
     0.1233             1.606E-16            8.808E-03
     0.1233             1.606E-16            8.808E-03
     0.1250             1.605E-16            8.802E-03
     0.1253             1.604E-16            8.800E-03
     0.1266             1.603E-16            8.795E-03
     0.1273             1.603E-16            8.791E-03
     0.1283             1.602E-16            8.786E-03
     0.1293             1.601E-16            8.781E-03
     0.1299             1.600E-16            8.778E-03
     0.1313             1.599E-16            8.769E-03
     0.1316             1.598E-16            8.768E-03
     0.1332             1.596E-16            8.757E-03
     0.1333             1.596E-16            8.756E-03
     0.1349             1.594E-16            8.745E-03
     0.1353             1.594E-16            8.742E-03
     0.1365             1.592E-16            8.733E-03
     0.1373             1.591E-16            8.726E-03
     0.1381             1.589E-16            8.719E-03
     0.1393             1.588E-16            8.709E-03
     0.1398             1.587E-16            8.705E-03
     0.1413             1.584E-16            8.691E-03
     0.1414             1.584E-16            8.690E-03
     0.1430             1.581E-16            8.674E-03
     0.1433             1.581E-16            8.671E-03
     0.1446             1.578E-16            8.657E-03
     0.1453             1.577E-16            8.649E-03
     0.1463             1.575E-16            8.638E-03
     0.1473             1.573E-16            8.626E-03
     0.1479             1.571E-16            8.620E-03
     0.1493             1.568E-16            8.603E-03
     0.1495             1.568E-16            8.600E-03
     0.1511             1.564E-16            8.580E-03
     0.1513             1.564E-16            8.578E-03
     0.1527             1.560E-16            8.559E-03
     0.1533             1.559E-16            8.551E-03
     0.1543             1.556E-16            8.537E-03
     0.1553             1.554E-16            8.523E-03
     0.1559             1.552E-16            8.514E-03
     0.1573             1.548E-16            8.493E-03
     0.1575             1.548E-16            8.490E-03
     0.1590             1.543E-16            8.466E-03
     0.1593             1.543E-16            8.462E-03
     0.1606             1.539E-16            8.441E-03
     0.1613             1.537E-16            8.430E-03
     0.1622             1.534E-16            8.415E-03
     0.1633             1.531E-16            8.397E-03
     0.1638             1.529E-16            8.389E-03
     0.1653             1.525E-16            8.363E-03
     0.1654             1.524E-16            8.362E-03
     0.1669             1.519E-16            8.334E-03
     0.1673             1.518E-16            8.328E-03
     0.1685             1.514E-16            8.306E-03
     0.1693             1.511E-16            8.291E-03
     0.1701             1.509E-16            8.276E-03
     0.1713             1.505E-16            8.254E-03
     0.1716             1.503E-16            8.247E-03
     0.1732             1.498E-16            8.217E-03
     0.1733             1.498E-16            8.215E-03
     0.1748             1.492E-16            8.186E-03
     0.1753             1.490E-16            8.175E-03
     0.1763             1.487E-16            8.155E-03
     0.1773             1.483E-16            8.135E-03
     0.1779             1.481E-16            8.123E-03
     0.1793             1.476E-16            8.094E-03
     0.1794             1.475E-16            8.092E-03
     0.1810             1.469E-16            8.059E-03
     0.1813             1.468E-16            8.053E-03
     0.1825             1.463E-16            8.027E-03
     0.1833             1.460E-16            8.011E-03
