                 System #        2
     Galactic longitude l    30.16
      Galactic latitude b     0.00
           distance (kpc)     6.47
    orbital period (days)  223.573
    arg. periastron (deg)  282.986
        inclination (deg)  152.798
             eccentricity    0.568
 neutron star mass (Msol)     1.40
         star mass (Msol)    30.00
       star radius (Rsol)    10.00
     star temperature (K) 33000.00
--------------------------------
orbital phase   flux > 1 TeV (ph cm-2 s-1)   (mCrab)
     0.0007             8.355E-17            4.583E-03
     0.0013             8.364E-17            4.588E-03
     0.0016             8.370E-17            4.592E-03
     0.0025             8.386E-17            4.600E-03
     0.0033             8.400E-17            4.608E-03
     0.0033             8.401E-17            4.608E-03
     0.0042             8.416E-17            4.617E-03
     0.0051             8.431E-17            4.625E-03
     0.0053             8.434E-17            4.626E-03
     0.0060             8.445E-17            4.633E-03
     0.0068             8.459E-17            4.640E-03
     0.0073             8.465E-17            4.644E-03
     0.0077             8.472E-17            4.647E-03
     0.0086             8.484E-17            4.654E-03
     0.0093             8.494E-17            4.659E-03
     0.0095             8.496E-17            4.661E-03
     0.0104             8.507E-17            4.667E-03
     0.0112             8.518E-17            4.672E-03
     0.0113             8.518E-17            4.673E-03
     0.0121             8.527E-17            4.677E-03
     0.0130             8.536E-17            4.682E-03
     0.0133             8.538E-17            4.683E-03
     0.0139             8.543E-17            4.686E-03
     0.0148             8.549E-17            4.690E-03
     0.0153             8.552E-17            4.691E-03
     0.0157             8.554E-17            4.693E-03
     0.0166             8.559E-17            4.695E-03
     0.0173             8.561E-17            4.696E-03
     0.0175             8.562E-17            4.696E-03
     0.0185             8.564E-17            4.698E-03
     0.0193             8.565E-17            4.698E-03
     0.0194             8.565E-17            4.698E-03
     0.0203             8.564E-17            4.698E-03
     0.0212             8.562E-17            4.697E-03
     0.0213             8.562E-17            4.697E-03
     0.0222             8.559E-17            4.695E-03
     0.0231             8.554E-17            4.692E-03
     0.0233             8.553E-17            4.692E-03
     0.0240             8.549E-17            4.689E-03
     0.0250             8.542E-17            4.686E-03
     0.0253             8.539E-17            4.684E-03
     0.0259             8.533E-17            4.681E-03
     0.0269             8.524E-17            4.676E-03
     0.0273             8.520E-17            4.673E-03
     0.0279             8.512E-17            4.669E-03
     0.0288             8.500E-17            4.663E-03
     0.0293             8.495E-17            4.660E-03
     0.0298             8.487E-17            4.655E-03
     0.0308             8.472E-17            4.647E-03
     0.0313             8.464E-17            4.643E-03
     0.0318             8.456E-17            4.638E-03
     0.0328             8.439E-17            4.629E-03
     0.0333             8.429E-17            4.624E-03
     0.0338             8.420E-17            4.619E-03
     0.0348             8.400E-17            4.608E-03
     0.0353             8.390E-17            4.602E-03
     0.0358             8.379E-17            4.596E-03
     0.0368             8.357E-17            4.584E-03
     0.0373             8.347E-17            4.579E-03
     0.0378             8.334E-17            4.571E-03
     0.0389             8.309E-17            4.558E-03
     0.0393             8.300E-17            4.553E-03
     0.0399             8.284E-17            4.544E-03
     0.0410             8.257E-17            4.529E-03
     0.0413             8.250E-17            4.525E-03
     0.0420             8.230E-17            4.515E-03
     0.0431             8.202E-17            4.499E-03
     0.0433             8.197E-17            4.497E-03
     0.0442             8.172E-17            4.483E-03
     0.0453             8.142E-17            4.466E-03
     0.0453             8.142E-17            4.466E-03
     0.0464             8.111E-17            4.449E-03
     0.0473             8.085E-17            4.435E-03
     0.0475             8.079E-17            4.432E-03
     0.0486             8.046E-17            4.414E-03
     0.0493             8.026E-17            4.402E-03
     0.0497             8.013E-17            4.395E-03
     0.0508             7.978E-17            4.377E-03
     0.0513             7.965E-17            4.369E-03
     0.0520             7.944E-17            4.357E-03
     0.0531             7.908E-17            4.338E-03
     0.0533             7.904E-17            4.336E-03
     0.0543             7.872E-17            4.318E-03
     0.0553             7.841E-17            4.301E-03
     0.0555             7.836E-17            4.298E-03
     0.0566             7.798E-17            4.278E-03
     0.0573             7.778E-17            4.267E-03
     0.0578             7.761E-17            4.257E-03
     0.0590             7.723E-17            4.236E-03
     0.0593             7.715E-17            4.232E-03
     0.0602             7.684E-17            4.215E-03
     0.0613             7.651E-17            4.197E-03
     0.0614             7.646E-17            4.194E-03
     0.0627             7.606E-17            4.172E-03
     0.0633             7.587E-17            4.162E-03
     0.0639             7.567E-17            4.151E-03
     0.0652             7.527E-17            4.129E-03
     0.0653             7.523E-17            4.127E-03
     0.0664             7.487E-17            4.107E-03
     0.0673             7.460E-17            4.092E-03
     0.0677             7.446E-17            4.085E-03
     0.0690             7.406E-17            4.062E-03
     0.0693             7.396E-17            4.057E-03
     0.0703             7.365E-17            4.040E-03
     0.0713             7.334E-17            4.023E-03
     0.0716             7.324E-17            4.018E-03
     0.0729             7.283E-17            3.995E-03
     0.0733             7.271E-17            3.989E-03
     0.0742             7.242E-17            3.973E-03
     0.0753             7.210E-17            3.955E-03
     0.0756             7.201E-17            3.950E-03
     0.0769             7.160E-17            3.928E-03
     0.0773             7.149E-17            3.921E-03
     0.0783             7.119E-17            3.905E-03
     0.0793             7.088E-17            3.888E-03
     0.0796             7.077E-17            3.882E-03
     0.0810             7.036E-17            3.860E-03
     0.0813             7.029E-17            3.856E-03
     0.0824             6.995E-17            3.837E-03
     0.0833             6.970E-17            3.823E-03
     0.0838             6.954E-17            3.815E-03
     0.0853             6.913E-17            3.792E-03
     0.0853             6.912E-17            3.792E-03
     0.0867             6.872E-17            3.769E-03
     0.0873             6.855E-17            3.760E-03
     0.0881             6.831E-17            3.747E-03
     0.0893             6.799E-17            3.730E-03
     0.0896             6.790E-17            3.725E-03
     0.0911             6.749E-17            3.702E-03
     0.0913             6.744E-17            3.699E-03
     0.0926             6.709E-17            3.680E-03
     0.0933             6.689E-17            3.669E-03
     0.0941             6.669E-17            3.658E-03
     0.0953             6.636E-17            3.640E-03
     0.0956             6.628E-17            3.636E-03
     0.0971             6.588E-17            3.614E-03
     0.0973             6.584E-17            3.611E-03
     0.0986             6.549E-17            3.592E-03
     0.0993             6.532E-17            3.583E-03
     0.1002             6.509E-17            3.571E-03
     0.1013             6.481E-17            3.555E-03
     0.1017             6.470E-17            3.549E-03
     0.1033             6.432E-17            3.528E-03
     0.1033             6.431E-17            3.527E-03
     0.1049             6.392E-17            3.506E-03
     0.1053             6.383E-17            3.501E-03
     0.1065             6.353E-17            3.485E-03
     0.1073             6.335E-17            3.475E-03
     0.1081             6.315E-17            3.464E-03
     0.1093             6.288E-17            3.449E-03
     0.1097             6.277E-17            3.443E-03
     0.1113             6.242E-17            3.424E-03
     0.1114             6.239E-17            3.422E-03
     0.1130             6.201E-17            3.402E-03
     0.1133             6.196E-17            3.399E-03
     0.1147             6.164E-17            3.381E-03
     0.1153             6.152E-17            3.375E-03
     0.1164             6.127E-17            3.361E-03
     0.1173             6.108E-17            3.351E-03
     0.1181             6.090E-17            3.341E-03
     0.1193             6.065E-17            3.327E-03
     0.1198             6.054E-17            3.321E-03
     0.1213             6.023E-17            3.304E-03
     0.1215             6.018E-17            3.301E-03
     0.1233             5.982E-17            3.281E-03
     0.1233             5.982E-17            3.281E-03
     0.1250             5.947E-17            3.262E-03
     0.1253             5.942E-17            3.259E-03
     0.1268             5.911E-17            3.243E-03
     0.1273             5.902E-17            3.237E-03
     0.1286             5.877E-17            3.224E-03
     0.1293             5.863E-17            3.216E-03
     0.1304             5.842E-17            3.205E-03
     0.1313             5.825E-17            3.195E-03
     0.1322             5.808E-17            3.186E-03
     0.1333             5.787E-17            3.175E-03
     0.1340             5.774E-17            3.167E-03
     0.1353             5.751E-17            3.155E-03
     0.1358             5.741E-17            3.149E-03
     0.1373             5.715E-17            3.135E-03
     0.1377             5.707E-17            3.131E-03
     0.1393             5.679E-17            3.115E-03
     0.1395             5.674E-17            3.113E-03
     0.1413             5.645E-17            3.096E-03
     0.1414             5.642E-17            3.095E-03
     0.1433             5.610E-17            3.078E-03
     0.1433             5.610E-17            3.077E-03
     0.1452             5.578E-17            3.060E-03
     0.1453             5.577E-17            3.059E-03
     0.1471             5.546E-17            3.042E-03
     0.1473             5.544E-17            3.041E-03
     0.1491             5.515E-17            3.025E-03
     0.1493             5.512E-17            3.024E-03
     0.1510             5.484E-17            3.008E-03
     0.1513             5.480E-17            3.006E-03
     0.1530             5.454E-17            2.992E-03
     0.1533             5.449E-17            2.989E-03
     0.1550             5.423E-17            2.975E-03
     0.1553             5.419E-17            2.973E-03
     0.1570             5.394E-17            2.959E-03
     0.1573             5.389E-17            2.956E-03
     0.1590             5.364E-17            2.942E-03
     0.1593             5.360E-17            2.940E-03
     0.1610             5.335E-17            2.926E-03
     0.1613             5.331E-17            2.924E-03
     0.1630             5.306E-17            2.910E-03
     0.1633             5.303E-17            2.909E-03
     0.1651             5.277E-17            2.895E-03
     0.1653             5.275E-17            2.893E-03
     0.1671             5.249E-17            2.879E-03
     0.1673             5.247E-17            2.878E-03
     0.1692             5.221E-17            2.864E-03
     0.1693             5.221E-17            2.864E-03
     0.1713             5.194E-17            2.849E-03
     0.1713             5.194E-17            2.849E-03
     0.1733             5.168E-17            2.835E-03
     0.1734             5.166E-17            2.834E-03
     0.1753             5.143E-17            2.821E-03
     0.1755             5.139E-17            2.819E-03
     0.1773             5.118E-17            2.807E-03
     0.1777             5.113E-17            2.805E-03
     0.1793             5.093E-17            2.794E-03
     0.1798             5.087E-17            2.790E-03
     0.1813             5.069E-17            2.781E-03
     0.1820             5.061E-17            2.776E-03
     0.1833             5.046E-17            2.768E-03
     0.1842             5.035E-17            2.762E-03
     0.1853             5.022E-17            2.755E-03
     0.1864             5.010E-17            2.748E-03
     0.1873             4.999E-17            2.742E-03
     0.1886             4.985E-17            2.734E-03
     0.1893             4.977E-17            2.730E-03
     0.1908             4.960E-17            2.721E-03
     0.1913             4.955E-17            2.718E-03
     0.1930             4.936E-17            2.707E-03
     0.1933             4.933E-17            2.706E-03
     0.1953             4.912E-17            2.694E-03
     0.1953             4.912E-17            2.694E-03
     0.1973             4.891E-17            2.683E-03
     0.1975             4.888E-17            2.681E-03
     0.1993             4.870E-17            2.671E-03
     0.1998             4.864E-17            2.668E-03
     0.2013             4.850E-17            2.660E-03
     0.2021             4.841E-17            2.656E-03
