                 System #      200
     Galactic longitude l   -13.99
      Galactic latitude b     0.00
           distance (kpc)    11.50
    orbital period (days)  404.312
    arg. periastron (deg)  293.867
        inclination (deg)  163.885
             eccentricity    0.532
 neutron star mass (Msol)     1.40
         star mass (Msol)    30.00
       star radius (Rsol)    10.00
     star temperature (K) 33000.00
--------------------------------
orbital phase   flux > 1 TeV (ph cm-2 s-1)   (mCrab)
     0.0009             2.560E-18            1.405E-04
     0.0015             2.558E-18            1.403E-04
     0.0029             2.551E-18            1.400E-04
     0.0039             2.547E-18            1.397E-04
     0.0049             2.542E-18            1.395E-04
     0.0063             2.536E-18            1.391E-04
     0.0069             2.533E-18            1.390E-04
     0.0088             2.525E-18            1.385E-04
     0.0089             2.525E-18            1.385E-04
     0.0109             2.516E-18            1.380E-04
     0.0113             2.515E-18            1.379E-04
     0.0129             2.508E-18            1.376E-04
     0.0138             2.504E-18            1.374E-04
     0.0149             2.499E-18            1.371E-04
     0.0163             2.494E-18            1.368E-04
     0.0169             2.491E-18            1.366E-04
     0.0188             2.484E-18            1.362E-04
     0.0189             2.483E-18            1.362E-04
     0.0209             2.475E-18            1.358E-04
     0.0213             2.474E-18            1.357E-04
     0.0229             2.467E-18            1.353E-04
     0.0238             2.464E-18            1.351E-04
     0.0249             2.459E-18            1.349E-04
     0.0264             2.454E-18            1.346E-04
     0.0269             2.452E-18            1.345E-04
     0.0289             2.444E-18            1.341E-04
     0.0289             2.444E-18            1.341E-04
     0.0309             2.437E-18            1.337E-04
     0.0315             2.435E-18            1.336E-04
     0.0329             2.430E-18            1.333E-04
     0.0340             2.426E-18            1.331E-04
     0.0349             2.422E-18            1.329E-04
     0.0366             2.416E-18            1.325E-04
     0.0369             2.415E-18            1.325E-04
     0.0389             2.408E-18            1.321E-04
     0.0392             2.407E-18            1.321E-04
     0.0409             2.402E-18            1.317E-04
     0.0418             2.398E-18            1.316E-04
     0.0429             2.395E-18            1.314E-04
     0.0445             2.390E-18            1.311E-04
     0.0449             2.388E-18            1.310E-04
     0.0469             2.382E-18            1.306E-04
     0.0471             2.381E-18            1.306E-04
     0.0489             2.375E-18            1.303E-04
     0.0497             2.372E-18            1.301E-04
     0.0509             2.369E-18            1.299E-04
     0.0524             2.364E-18            1.297E-04
     0.0529             2.362E-18            1.296E-04
     0.0549             2.356E-18            1.293E-04
     0.0550             2.356E-18            1.292E-04
     0.0569             2.350E-18            1.289E-04
     0.0577             2.348E-18            1.288E-04
     0.0589             2.344E-18            1.286E-04
     0.0604             2.340E-18            1.283E-04
     0.0609             2.338E-18            1.283E-04
     0.0629             2.333E-18            1.279E-04
     0.0631             2.332E-18            1.279E-04
     0.0649             2.327E-18            1.276E-04
     0.0658             2.324E-18            1.275E-04
     0.0669             2.321E-18            1.273E-04
     0.0685             2.317E-18            1.271E-04
     0.0689             2.316E-18            1.270E-04
     0.0709             2.310E-18            1.267E-04
     0.0712             2.309E-18            1.267E-04
     0.0729             2.305E-18            1.264E-04
     0.0740             2.302E-18            1.263E-04
     0.0749             2.299E-18            1.261E-04
     0.0767             2.295E-18            1.259E-04
     0.0769             2.294E-18            1.258E-04
     0.0789             2.289E-18            1.256E-04
     0.0795             2.288E-18            1.255E-04
     0.0809             2.284E-18            1.253E-04
     0.0822             2.281E-18            1.251E-04
     0.0829             2.279E-18            1.250E-04
     0.0849             2.274E-18            1.247E-04
     0.0850             2.274E-18            1.247E-04
     0.0869             2.269E-18            1.245E-04
     0.0878             2.267E-18            1.244E-04
     0.0889             2.264E-18            1.242E-04
     0.0906             2.261E-18            1.240E-04
     0.0909             2.260E-18            1.240E-04
     0.0929             2.255E-18            1.237E-04
     0.0934             2.254E-18            1.236E-04
     0.0949             2.251E-18            1.235E-04
     0.0962             2.248E-18            1.233E-04
     0.0969             2.246E-18            1.232E-04
     0.0989             2.242E-18            1.230E-04
     0.0990             2.241E-18            1.230E-04
     0.1009             2.237E-18            1.227E-04
     0.1018             2.235E-18            1.226E-04
     0.1029             2.233E-18            1.225E-04
     0.1046             2.229E-18            1.223E-04
     0.1049             2.229E-18            1.223E-04
     0.1069             2.225E-18            1.220E-04
     0.1075             2.223E-18            1.220E-04
     0.1089             2.221E-18            1.218E-04
     0.1103             2.218E-18            1.217E-04
     0.1109             2.217E-18            1.216E-04
     0.1129             2.213E-18            1.214E-04
     0.1132             2.212E-18            1.213E-04
     0.1149             2.209E-18            1.212E-04
     0.1161             2.207E-18            1.210E-04
     0.1169             2.205E-18            1.209E-04
     0.1189             2.201E-18            1.207E-04
     0.1189             2.201E-18            1.207E-04
     0.1209             2.197E-18            1.205E-04
     0.1218             2.196E-18            1.205E-04
     0.1229             2.194E-18            1.203E-04
     0.1247             2.191E-18            1.202E-04
     0.1249             2.190E-18            1.201E-04
     0.1269             2.187E-18            1.200E-04
     0.1276             2.186E-18            1.199E-04
     0.1289             2.183E-18            1.198E-04
     0.1305             2.181E-18            1.196E-04
     0.1309             2.180E-18            1.196E-04
     0.1329             2.177E-18            1.194E-04
     0.1334             2.176E-18            1.193E-04
     0.1349             2.173E-18            1.192E-04
     0.1363             2.171E-18            1.191E-04
     0.1369             2.170E-18            1.190E-04
     0.1389             2.167E-18            1.189E-04
     0.1392             2.166E-18            1.188E-04
     0.1409             2.164E-18            1.187E-04
     0.1422             2.162E-18            1.186E-04
     0.1429             2.161E-18            1.185E-04
     0.1449             2.158E-18            1.184E-04
     0.1451             2.157E-18            1.183E-04
     0.1469             2.155E-18            1.182E-04
     0.1480             2.153E-18            1.181E-04
     0.1489             2.152E-18            1.180E-04
     0.1509             2.149E-18            1.179E-04
     0.1510             2.149E-18            1.179E-04
     0.1529             2.146E-18            1.177E-04
     0.1539             2.145E-18            1.177E-04
     0.1549             2.144E-18            1.176E-04
     0.1569             2.141E-18            1.174E-04
     0.1569             2.141E-18            1.174E-04
     0.1589             2.138E-18            1.173E-04
     0.1599             2.137E-18            1.172E-04
     0.1609             2.136E-18            1.172E-04
     0.1628             2.133E-18            1.170E-04
     0.1629             2.133E-18            1.170E-04
     0.1649             2.131E-18            1.169E-04
     0.1658             2.130E-18            1.168E-04
     0.1669             2.128E-18            1.167E-04
     0.1688             2.126E-18            1.166E-04
     0.1689             2.126E-18            1.166E-04
     0.1709             2.124E-18            1.165E-04
     0.1718             2.123E-18            1.164E-04
     0.1729             2.121E-18            1.164E-04
     0.1748             2.119E-18            1.162E-04
     0.1749             2.119E-18            1.162E-04
     0.1769             2.117E-18            1.161E-04
     0.1778             2.116E-18            1.161E-04
     0.1789             2.115E-18            1.160E-04
     0.1808             2.113E-18            1.159E-04
     0.1809             2.113E-18            1.159E-04
     0.1829             2.111E-18            1.158E-04
     0.1838             2.110E-18            1.157E-04
     0.1849             2.109E-18            1.157E-04
     0.1868             2.107E-18            1.156E-04
     0.1869             2.107E-18            1.156E-04
     0.1889             2.105E-18            1.155E-04
     0.1898             2.104E-18            1.154E-04
     0.1909             2.103E-18            1.154E-04
     0.1928             2.101E-18            1.153E-04
     0.1929             2.101E-18            1.153E-04
     0.1949             2.099E-18            1.152E-04
     0.1958             2.099E-18            1.151E-04
     0.1969             2.098E-18            1.151E-04
     0.1989             2.096E-18            1.150E-04
     0.1989             2.096E-18            1.150E-04
     0.2009             2.094E-18            1.149E-04
     0.2019             2.094E-18            1.148E-04
     0.2029             2.093E-18            1.148E-04
     0.2049             2.091E-18            1.147E-04
     0.2049             2.091E-18            1.147E-04
     0.2069             2.090E-18            1.146E-04
     0.2080             2.089E-18            1.146E-04
     0.2089             2.088E-18            1.146E-04
     0.2109             2.087E-18            1.145E-04
     0.2110             2.087E-18            1.145E-04
     0.2129             2.086E-18            1.144E-04
     0.2140             2.085E-18            1.144E-04
     0.2149             2.084E-18            1.143E-04
     0.2169             2.083E-18            1.143E-04
     0.2171             2.083E-18            1.143E-04
     0.2189             2.082E-18            1.142E-04
     0.2201             2.081E-18            1.142E-04
     0.2209             2.081E-18            1.141E-04
     0.2229             2.080E-18            1.141E-04
     0.2232             2.079E-18            1.141E-04
     0.2249             2.078E-18            1.140E-04
     0.2262             2.078E-18            1.140E-04
     0.2269             2.077E-18            1.140E-04
     0.2289             2.076E-18            1.139E-04
     0.2293             2.076E-18            1.139E-04
     0.2309             2.075E-18            1.138E-04
     0.2323             2.075E-18            1.138E-04
     0.2329             2.075E-18            1.138E-04
     0.2349             2.074E-18            1.137E-04
     0.2354             2.073E-18            1.137E-04
     0.2369             2.073E-18            1.137E-04
     0.2385             2.072E-18            1.137E-04
     0.2389             2.072E-18            1.137E-04
     0.2409             2.071E-18            1.136E-04
     0.2415             2.071E-18            1.136E-04
     0.2429             2.071E-18            1.136E-04
     0.2446             2.070E-18            1.135E-04
     0.2449             2.070E-18            1.135E-04
     0.2469             2.069E-18            1.135E-04
     0.2476             2.069E-18            1.135E-04
     0.2489             2.069E-18            1.135E-04
     0.2507             2.068E-18            1.134E-04
     0.2509             2.068E-18            1.134E-04
     0.2529             2.068E-18            1.134E-04
     0.2538             2.067E-18            1.134E-04
     0.2549             2.067E-18            1.134E-04
