                 System #       24
     Galactic longitude l    -0.96
      Galactic latitude b     0.00
           distance (kpc)    11.86
    orbital period (days)    2.913
    arg. periastron (deg)  486.312
        inclination (deg)  138.501
             eccentricity    0.075
 neutron star mass (Msol)     1.40
         star mass (Msol)    30.00
       star radius (Rsol)    10.00
     star temperature (K) 33000.00
--------------------------------
orbital phase   flux > 1 TeV (ph cm-2 s-1)   (mCrab)
     0.0000             6.755E-17            3.705E-03
     0.0002             6.760E-17            3.708E-03
     0.0020             6.805E-17            3.733E-03
     0.0022             6.810E-17            3.736E-03
     0.0040             6.853E-17            3.759E-03
     0.0043             6.859E-17            3.763E-03
     0.0060             6.901E-17            3.785E-03
     0.0063             6.907E-17            3.789E-03
     0.0080             6.947E-17            3.811E-03
     0.0083             6.954E-17            3.814E-03
     0.0100             6.992E-17            3.836E-03
     0.0103             6.999E-17            3.839E-03
     0.0120             7.036E-17            3.860E-03
     0.0124             7.043E-17            3.864E-03
     0.0140             7.078E-17            3.883E-03
     0.0144             7.086E-17            3.887E-03
     0.0160             7.120E-17            3.906E-03
     0.0164             7.129E-17            3.910E-03
     0.0180             7.161E-17            3.928E-03
     0.0185             7.170E-17            3.933E-03
     0.0200             7.200E-17            3.949E-03
     0.0205             7.209E-17            3.955E-03
     0.0220             7.238E-17            3.970E-03
     0.0225             7.248E-17            3.976E-03
     0.0240             7.275E-17            3.991E-03
     0.0246             7.285E-17            3.996E-03
     0.0260             7.311E-17            4.010E-03
     0.0266             7.321E-17            4.016E-03
     0.0280             7.345E-17            4.029E-03
     0.0287             7.356E-17            4.035E-03
     0.0300             7.378E-17            4.047E-03
     0.0307             7.390E-17            4.054E-03
     0.0320             7.411E-17            4.065E-03
     0.0327             7.423E-17            4.072E-03
     0.0340             7.442E-17            4.082E-03
     0.0348             7.454E-17            4.089E-03
     0.0360             7.472E-17            4.099E-03
     0.0368             7.485E-17            4.106E-03
     0.0380             7.501E-17            4.115E-03
     0.0389             7.514E-17            4.122E-03
     0.0400             7.529E-17            4.130E-03
     0.0410             7.542E-17            4.137E-03
     0.0420             7.556E-17            4.145E-03
     0.0430             7.569E-17            4.152E-03
     0.0440             7.582E-17            4.159E-03
     0.0451             7.595E-17            4.166E-03
     0.0460             7.607E-17            4.173E-03
     0.0471             7.621E-17            4.180E-03
     0.0480             7.631E-17            4.186E-03
     0.0492             7.644E-17            4.193E-03
     0.0500             7.654E-17            4.198E-03
     0.0513             7.667E-17            4.206E-03
     0.0520             7.675E-17            4.210E-03
     0.0533             7.689E-17            4.218E-03
     0.0540             7.696E-17            4.222E-03
     0.0554             7.710E-17            4.229E-03
     0.0560             7.716E-17            4.233E-03
     0.0575             7.730E-17            4.240E-03
     0.0580             7.736E-17            4.243E-03
     0.0595             7.749E-17            4.251E-03
     0.0600             7.754E-17            4.253E-03
     0.0616             7.767E-17            4.261E-03
     0.0620             7.771E-17            4.263E-03
     0.0637             7.785E-17            4.270E-03
     0.0640             7.788E-17            4.272E-03
     0.0657             7.801E-17            4.279E-03
     0.0660             7.803E-17            4.280E-03
     0.0678             7.817E-17            4.288E-03
     0.0680             7.819E-17            4.289E-03
     0.0699             7.832E-17            4.296E-03
     0.0700             7.833E-17            4.297E-03
     0.0720             7.846E-17            4.304E-03
     0.0720             7.846E-17            4.304E-03
     0.0740             7.859E-17            4.311E-03
     0.0741             7.860E-17            4.311E-03
     0.0760             7.871E-17            4.318E-03
     0.0761             7.872E-17            4.318E-03
     0.0780             7.883E-17            4.324E-03
     0.0782             7.884E-17            4.325E-03
     0.0800             7.894E-17            4.330E-03
     0.0803             7.895E-17            4.331E-03
     0.0820             7.904E-17            4.336E-03
     0.0824             7.906E-17            4.337E-03
     0.0840             7.914E-17            4.341E-03
     0.0845             7.917E-17            4.343E-03
     0.0860             7.924E-17            4.346E-03
     0.0866             7.926E-17            4.348E-03
     0.0880             7.932E-17            4.351E-03
