                 System #       25
     Galactic longitude l   112.13
      Galactic latitude b     0.00
           distance (kpc)     2.29
    orbital period (days)    1.350
    arg. periastron (deg)  506.113
        inclination (deg)   74.817
             eccentricity    0.000
 neutron star mass (Msol)     1.40
         star mass (Msol)    30.00
       star radius (Rsol)    10.00
     star temperature (K) 33000.00
--------------------------------
orbital phase   flux > 1 TeV (ph cm-2 s-1)   (mCrab)
     0.0008             5.310E-12            2.913E+02
     0.0008             5.310E-12            2.913E+02
     0.0028             5.304E-12            2.909E+02
     0.0028             5.304E-12            2.909E+02
     0.0048             5.292E-12            2.903E+02
     0.0048             5.292E-12            2.903E+02
     0.0068             5.273E-12            2.893E+02
     0.0068             5.273E-12            2.893E+02
     0.0088             5.249E-12            2.879E+02
     0.0088             5.249E-12            2.879E+02
     0.0108             5.219E-12            2.863E+02
     0.0108             5.219E-12            2.863E+02
     0.0128             5.183E-12            2.843E+02
     0.0128             5.183E-12            2.843E+02
     0.0148             5.143E-12            2.821E+02
     0.0148             5.142E-12            2.821E+02
     0.0168             5.097E-12            2.796E+02
     0.0168             5.097E-12            2.796E+02
     0.0188             5.047E-12            2.768E+02
     0.0188             5.046E-12            2.768E+02
     0.0208             4.993E-12            2.739E+02
     0.0208             4.992E-12            2.738E+02
     0.0228             4.934E-12            2.706E+02
     0.0228             4.933E-12            2.706E+02
     0.0248             4.872E-12            2.672E+02
     0.0248             4.871E-12            2.672E+02
     0.0268             4.806E-12            2.636E+02
     0.0268             4.805E-12            2.636E+02
     0.0288             4.737E-12            2.599E+02
     0.0288             4.737E-12            2.598E+02
     0.0308             4.666E-12            2.559E+02
     0.0308             4.665E-12            2.559E+02
     0.0328             4.591E-12            2.518E+02
     0.0328             4.591E-12            2.518E+02
     0.0348             4.514E-12            2.476E+02
     0.0348             4.514E-12            2.476E+02
     0.0368             4.435E-12            2.433E+02
     0.0368             4.435E-12            2.433E+02
     0.0388             4.355E-12            2.389E+02
     0.0388             4.354E-12            2.388E+02
     0.0408             4.272E-12            2.343E+02
     0.0408             4.271E-12            2.343E+02
     0.0428             4.188E-12            2.297E+02
     0.0428             4.187E-12            2.297E+02
     0.0448             4.102E-12            2.250E+02
     0.0448             4.102E-12            2.250E+02
     0.0468             4.016E-12            2.203E+02
     0.0468             4.015E-12            2.203E+02
