                 System #       27
     Galactic longitude l   -10.79
      Galactic latitude b     0.00
           distance (kpc)    17.79
    orbital period (days)   90.130
    arg. periastron (deg)  351.224
        inclination (deg)  130.799
             eccentricity    0.371
 neutron star mass (Msol)     1.40
         star mass (Msol)    30.00
       star radius (Rsol)    10.00
     star temperature (K) 33000.00
--------------------------------
orbital phase   flux > 1 TeV (ph cm-2 s-1)   (mCrab)
     0.0012             1.738E-16            9.534E-03
     0.0020             1.729E-16            9.485E-03
     0.0027             1.720E-16            9.437E-03
     0.0040             1.704E-16            9.347E-03
     0.0041             1.703E-16            9.340E-03
     0.0055             1.685E-16            9.243E-03
     0.0060             1.679E-16            9.210E-03
     0.0069             1.667E-16            9.146E-03
     0.0080             1.654E-16            9.074E-03
     0.0083             1.650E-16            9.049E-03
     0.0097             1.632E-16            8.953E-03
     0.0100             1.630E-16            8.940E-03
     0.0112             1.615E-16            8.858E-03
     0.0120             1.606E-16            8.807E-03
     0.0126             1.597E-16            8.763E-03
     0.0140             1.582E-16            8.677E-03
     0.0141             1.580E-16            8.669E-03
     0.0155             1.563E-16            8.576E-03
     0.0160             1.558E-16            8.549E-03
     0.0170             1.546E-16            8.483E-03
     0.0180             1.536E-16            8.424E-03
     0.0185             1.530E-16            8.392E-03
     0.0199             1.513E-16            8.301E-03
     0.0200             1.513E-16            8.301E-03
     0.0214             1.497E-16            8.212E-03
     0.0220             1.491E-16            8.181E-03
     0.0229             1.481E-16            8.124E-03
     0.0240             1.470E-16            8.064E-03
     0.0244             1.465E-16            8.037E-03
     0.0259             1.450E-16            7.952E-03
     0.0260             1.449E-16            7.950E-03
     0.0274             1.434E-16            7.868E-03
     0.0280             1.429E-16            7.839E-03
     0.0289             1.419E-16            7.786E-03
     0.0300             1.410E-16            7.732E-03
     0.0305             1.405E-16            7.706E-03
     0.0320             1.391E-16            7.629E-03
     0.0320             1.390E-16            7.627E-03
     0.0335             1.376E-16            7.550E-03
     0.0340             1.373E-16            7.529E-03
     0.0351             1.363E-16            7.475E-03
     0.0360             1.355E-16            7.433E-03
     0.0366             1.349E-16            7.401E-03
     0.0380             1.338E-16            7.340E-03
     0.0382             1.336E-16            7.330E-03
     0.0398             1.324E-16            7.260E-03
     0.0400             1.322E-16            7.252E-03
     0.0413             1.311E-16            7.193E-03
     0.0420             1.307E-16            7.167E-03
     0.0429             1.299E-16            7.127E-03
     0.0440             1.292E-16            7.086E-03
     0.0445             1.288E-16            7.064E-03
     0.0460             1.278E-16            7.009E-03
     0.0461             1.277E-16            7.003E-03
     0.0477             1.266E-16            6.944E-03
     0.0480             1.264E-16            6.936E-03
     0.0493             1.256E-16            6.888E-03
     0.0500             1.252E-16            6.867E-03
     0.0509             1.246E-16            6.834E-03
     0.0520             1.240E-16            6.801E-03
     0.0526             1.236E-16            6.782E-03
     0.0540             1.229E-16            6.740E-03
     0.0542             1.227E-16            6.732E-03
     0.0559             1.219E-16            6.685E-03
     0.0560             1.218E-16            6.682E-03
     0.0575             1.210E-16            6.640E-03
     0.0580             1.208E-16            6.628E-03
     0.0592             1.203E-16            6.597E-03
     0.0600             1.199E-16            6.578E-03
     0.0608             1.195E-16            6.557E-03
     0.0620             1.191E-16            6.532E-03
     0.0625             1.188E-16            6.519E-03
     0.0640             1.183E-16            6.489E-03
     0.0642             1.182E-16            6.484E-03
     0.0659             1.176E-16            6.451E-03
     0.0660             1.176E-16            6.450E-03
     0.0676             1.170E-16            6.420E-03
     0.0680             1.169E-16            6.414E-03
     0.0693             1.165E-16            6.392E-03
     0.0700             1.163E-16            6.382E-03
     0.0711             1.160E-16            6.366E-03
     0.0720             1.158E-16            6.353E-03
     0.0728             1.156E-16            6.342E-03
     0.0740             1.153E-16            6.327E-03
     0.0745             1.152E-16            6.320E-03
     0.0760             1.149E-16            6.304E-03
     0.0763             1.149E-16            6.301E-03
     0.0780             1.146E-16            6.285E-03
     0.0780             1.146E-16            6.284E-03
     0.0798             1.143E-16            6.269E-03
     0.0800             1.143E-16            6.268E-03
     0.0816             1.141E-16            6.256E-03
     0.0820             1.140E-16            6.254E-03
     0.0834             1.139E-16            6.245E-03
     0.0840             1.138E-16            6.242E-03
     0.0852             1.137E-16            6.237E-03
     0.0860             1.136E-16            6.234E-03
     0.0870             1.136E-16            6.230E-03
     0.0880             1.135E-16            6.227E-03
     0.0888             1.135E-16            6.225E-03
     0.0900             1.135E-16            6.223E-03
     0.0906             1.134E-16            6.223E-03
     0.0920             1.134E-16            6.222E-03
     0.0924             1.134E-16            6.221E-03
     0.0940             1.134E-16            6.222E-03
     0.0943             1.134E-16            6.222E-03
     0.0960             1.135E-16            6.224E-03
     0.0961             1.135E-16            6.225E-03
     0.0980             1.135E-16            6.229E-03
     0.0980             1.135E-16            6.229E-03
     0.0998             1.136E-16            6.234E-03
     0.1000             1.137E-16            6.235E-03
