                 System #        3
     Galactic longitude l   -14.78
      Galactic latitude b     0.00
           distance (kpc)    10.91
    orbital period (days)  202.127
    arg. periastron (deg)  378.054
        inclination (deg)  108.347
             eccentricity    0.866
 neutron star mass (Msol)     1.40
         star mass (Msol)    30.00
       star radius (Rsol)    10.00
     star temperature (K) 33000.00
--------------------------------
orbital phase   flux > 1 TeV (ph cm-2 s-1)   (mCrab)
     0.0005             1.273E-15            6.982E-02
     0.0019             1.266E-15            6.947E-02
     0.0029             1.262E-15            6.920E-02
     0.0039             1.257E-15            6.897E-02
     0.0054             1.250E-15            6.859E-02
     0.0059             1.248E-15            6.848E-02
     0.0079             1.240E-15            6.800E-02
     0.0079             1.240E-15            6.800E-02
     0.0099             1.231E-15            6.753E-02
     0.0104             1.229E-15            6.741E-02
     0.0119             1.223E-15            6.707E-02
     0.0129             1.218E-15            6.683E-02
     0.0139             1.214E-15            6.661E-02
     0.0154             1.208E-15            6.626E-02
     0.0159             1.206E-15            6.617E-02
     0.0179             1.198E-15            6.573E-02
     0.0180             1.198E-15            6.570E-02
     0.0199             1.191E-15            6.531E-02
     0.0206             1.188E-15            6.515E-02
     0.0219             1.183E-15            6.488E-02
     0.0232             1.178E-15            6.461E-02
     0.0239             1.175E-15            6.447E-02
     0.0258             1.168E-15            6.407E-02
     0.0259             1.168E-15            6.407E-02
     0.0279             1.161E-15            6.367E-02
     0.0285             1.158E-15            6.354E-02
     0.0299             1.154E-15            6.328E-02
     0.0312             1.149E-15            6.303E-02
     0.0319             1.147E-15            6.289E-02
     0.0338             1.140E-15            6.252E-02
     0.0339             1.140E-15            6.251E-02
     0.0359             1.133E-15            6.214E-02
     0.0366             1.131E-15            6.202E-02
     0.0379             1.126E-15            6.178E-02
     0.0393             1.122E-15            6.152E-02
     0.0399             1.120E-15            6.142E-02
     0.0419             1.113E-15            6.107E-02
     0.0420             1.113E-15            6.104E-02
     0.0439             1.107E-15            6.072E-02
     0.0448             1.104E-15            6.056E-02
     0.0459             1.101E-15            6.038E-02
     0.0476             1.095E-15            6.009E-02
     0.0479             1.095E-15            6.004E-02
     0.0499             1.089E-15            5.971E-02
     0.0504             1.087E-15            5.963E-02
     0.0519             1.083E-15            5.939E-02
     0.0532             1.079E-15            5.917E-02
     0.0539             1.077E-15            5.907E-02
     0.0559             1.071E-15            5.875E-02
     0.0561             1.070E-15            5.872E-02
     0.0579             1.065E-15            5.844E-02
     0.0589             1.062E-15            5.828E-02
     0.0599             1.060E-15            5.814E-02
     0.0618             1.055E-15            5.785E-02
     0.0619             1.054E-15            5.784E-02
     0.0639             1.049E-15            5.755E-02
     0.0647             1.047E-15            5.742E-02
     0.0659             1.044E-15            5.726E-02
     0.0676             1.039E-15            5.700E-02
     0.0679             1.039E-15            5.697E-02
     0.0699             1.033E-15            5.669E-02
     0.0706             1.032E-15            5.659E-02
     0.0719             1.028E-15            5.641E-02
     0.0735             1.024E-15            5.619E-02
     0.0739             1.023E-15            5.614E-02
     0.0759             1.019E-15            5.587E-02
     0.0765             1.017E-15            5.579E-02
     0.0779             1.014E-15            5.561E-02
     0.0795             1.010E-15            5.539E-02
     0.0799             1.009E-15            5.535E-02
     0.0819             1.004E-15            5.509E-02
     0.0825             1.003E-15            5.501E-02
     0.0839             9.996E-16            5.483E-02
     0.0855             9.959E-16            5.463E-02
     0.0859             9.951E-16            5.459E-02
     0.0879             9.906E-16            5.434E-02
     0.0886             9.891E-16            5.425E-02
     0.0899             9.862E-16            5.410E-02
     0.0916             9.824E-16            5.389E-02
     0.0919             9.819E-16            5.386E-02
     0.0939             9.776E-16            5.363E-02
     0.0947             9.758E-16            5.353E-02
     0.0959             9.734E-16            5.339E-02
     0.0978             9.693E-16            5.317E-02
     0.0979             9.692E-16            5.316E-02
     0.0999             9.651E-16            5.294E-02
     0.1009             9.629E-16            5.282E-02
     0.1019             9.610E-16            5.272E-02
     0.1039             9.571E-16            5.250E-02
     0.1041             9.567E-16            5.248E-02
     0.1059             9.531E-16            5.228E-02
     0.1072             9.505E-16            5.214E-02
     0.1079             9.493E-16            5.207E-02
     0.1099             9.455E-16            5.186E-02
     0.1104             9.445E-16            5.181E-02
     0.1119             9.417E-16            5.166E-02
     0.1135             9.385E-16            5.148E-02
     0.1139             9.379E-16            5.145E-02
     0.1159             9.343E-16            5.125E-02
     0.1167             9.327E-16            5.116E-02
