                 System #       30
     Galactic longitude l    47.26
      Galactic latitude b     0.00
           distance (kpc)     3.71
    orbital period (days)    2.690
    arg. periastron (deg)  197.755
        inclination (deg)   78.347
             eccentricity    0.158
 neutron star mass (Msol)     1.40
         star mass (Msol)    30.00
       star radius (Rsol)    10.00
     star temperature (K) 33000.00
--------------------------------
orbital phase   flux > 1 TeV (ph cm-2 s-1)   (mCrab)
     0.0009             1.035E-16            5.675E-03
     0.0019             1.056E-16            5.792E-03
     0.0029             1.078E-16            5.915E-03
     0.0039             1.099E-16            6.027E-03
     0.0049             1.121E-16            6.151E-03
     0.0058             1.141E-16            6.258E-03
     0.0069             1.163E-16            6.381E-03
     0.0078             1.182E-16            6.483E-03
     0.0089             1.204E-16            6.606E-03
     0.0098             1.222E-16            6.704E-03
     0.0109             1.244E-16            6.825E-03
     0.0118             1.261E-16            6.918E-03
     0.0129             1.283E-16            7.036E-03
     0.0138             1.299E-16            7.126E-03
     0.0149             1.320E-16            7.239E-03
     0.0158             1.336E-16            7.326E-03
     0.0169             1.356E-16            7.436E-03
     0.0178             1.371E-16            7.519E-03
     0.0189             1.390E-16            7.624E-03
     0.0198             1.404E-16            7.703E-03
     0.0209             1.423E-16            7.803E-03
     0.0218             1.437E-16            7.881E-03
     0.0229             1.454E-16            7.975E-03
     0.0238             1.467E-16            8.049E-03
     0.0249             1.483E-16            8.138E-03
     0.0258             1.497E-16            8.209E-03
     0.0269             1.511E-16            8.291E-03
     0.0279             1.524E-16            8.361E-03
     0.0289             1.538E-16            8.437E-03
     0.0299             1.550E-16            8.504E-03
     0.0309             1.563E-16            8.573E-03
     0.0319             1.574E-16            8.637E-03
     0.0329             1.586E-16            8.701E-03
     0.0339             1.597E-16            8.763E-03
     0.0349             1.608E-16            8.820E-03
     0.0360             1.619E-16            8.881E-03
     0.0369             1.628E-16            8.930E-03
     0.0380             1.639E-16            8.988E-03
     0.0389             1.647E-16            9.033E-03
     0.0401             1.657E-16            9.088E-03
     0.0409             1.664E-16            9.126E-03
     0.0421             1.674E-16            9.180E-03
     0.0429             1.680E-16            9.214E-03
     0.0442             1.689E-16            9.263E-03
     0.0449             1.694E-16            9.291E-03
     0.0462             1.703E-16            9.339E-03
     0.0469             1.707E-16            9.362E-03
     0.0483             1.715E-16            9.407E-03
     0.0489             1.718E-16            9.426E-03
     0.0504             1.726E-16            9.468E-03
     0.0509             1.729E-16            9.483E-03
