                 System #       31
     Galactic longitude l     0.40
      Galactic latitude b     0.00
           distance (kpc)     5.26
    orbital period (days)   31.022
    arg. periastron (deg)  307.742
        inclination (deg)   87.021
             eccentricity    0.436
 neutron star mass (Msol)     1.40
         star mass (Msol)    30.00
       star radius (Rsol)    10.00
     star temperature (K) 33000.00
--------------------------------
orbital phase   flux > 1 TeV (ph cm-2 s-1)   (mCrab)
     0.0010             3.624E-16            1.988E-02
     0.0010             3.625E-16            1.988E-02
     0.0030             3.641E-16            1.997E-02
     0.0036             3.646E-16            2.000E-02
     0.0050             3.658E-16            2.006E-02
     0.0061             3.667E-16            2.011E-02
     0.0070             3.674E-16            2.015E-02
     0.0086             3.688E-16            2.023E-02
     0.0090             3.691E-16            2.025E-02
     0.0110             3.707E-16            2.034E-02
     0.0112             3.709E-16            2.034E-02
     0.0130             3.724E-16            2.043E-02
     0.0137             3.730E-16            2.046E-02
     0.0150             3.741E-16            2.052E-02
     0.0162             3.750E-16            2.057E-02
     0.0170             3.757E-16            2.061E-02
     0.0186             3.771E-16            2.068E-02
     0.0190             3.774E-16            2.070E-02
     0.0210             3.790E-16            2.079E-02
     0.0211             3.791E-16            2.080E-02
     0.0230             3.806E-16            2.088E-02
     0.0236             3.812E-16            2.091E-02
     0.0250             3.823E-16            2.097E-02
     0.0261             3.832E-16            2.102E-02
     0.0270             3.839E-16            2.106E-02
     0.0285             3.852E-16            2.113E-02
     0.0290             3.856E-16            2.115E-02
     0.0310             3.872E-16            2.124E-02
     0.0310             3.872E-16            2.124E-02
     0.0330             3.888E-16            2.133E-02
     0.0334             3.892E-16            2.135E-02
     0.0350             3.904E-16            2.142E-02
     0.0358             3.911E-16            2.145E-02
     0.0370             3.921E-16            2.151E-02
     0.0382             3.931E-16            2.156E-02
     0.0390             3.937E-16            2.160E-02
     0.0406             3.950E-16            2.167E-02
     0.0410             3.953E-16            2.168E-02
     0.0430             3.969E-16            2.177E-02
     0.0430             3.970E-16            2.177E-02
     0.0450             3.985E-16            2.186E-02
     0.0454             3.989E-16            2.188E-02
     0.0470             4.001E-16            2.195E-02
     0.0478             4.008E-16            2.198E-02
     0.0490             4.017E-16            2.204E-02
     0.0502             4.027E-16            2.209E-02
     0.0510             4.033E-16            2.212E-02
     0.0525             4.045E-16            2.219E-02
     0.0530             4.049E-16            2.221E-02
     0.0549             4.064E-16            2.229E-02
     0.0550             4.065E-16            2.230E-02
     0.0570             4.081E-16            2.238E-02
     0.0572             4.082E-16            2.239E-02
     0.0590             4.096E-16            2.247E-02
     0.0595             4.101E-16            2.249E-02
     0.0610             4.112E-16            2.256E-02
     0.0618             4.119E-16            2.259E-02
     0.0630             4.128E-16            2.264E-02
     0.0642             4.137E-16            2.269E-02
     0.0650             4.143E-16            2.273E-02
     0.0664             4.154E-16            2.279E-02
     0.0670             4.158E-16            2.281E-02
     0.0687             4.172E-16            2.288E-02
     0.0690             4.174E-16            2.289E-02
     0.0710             4.189E-16            2.298E-02
     0.0710             4.189E-16            2.298E-02
     0.0730             4.204E-16            2.306E-02
     0.0733             4.206E-16            2.307E-02
     0.0750             4.219E-16            2.314E-02
     0.0755             4.223E-16            2.317E-02
     0.0770             4.234E-16            2.323E-02
     0.0778             4.240E-16            2.326E-02
     0.0790             4.249E-16            2.331E-02
     0.0800             4.256E-16            2.335E-02
     0.0810             4.264E-16            2.339E-02
     0.0822             4.273E-16            2.344E-02
     0.0830             4.278E-16            2.347E-02
     0.0844             4.289E-16            2.353E-02
     0.0850             4.293E-16            2.355E-02
     0.0866             4.305E-16            2.361E-02
     0.0870             4.307E-16            2.363E-02
     0.0888             4.320E-16            2.370E-02
     0.0890             4.321E-16            2.370E-02
     0.0910             4.335E-16            2.378E-02
