                 System #       32
     Galactic longitude l    25.03
      Galactic latitude b     0.00
           distance (kpc)    15.58
    orbital period (days)    1.736
    arg. periastron (deg)  307.035
        inclination (deg)   53.477
             eccentricity    0.000
 neutron star mass (Msol)     1.40
         star mass (Msol)    30.00
       star radius (Rsol)    10.00
     star temperature (K) 33000.00
--------------------------------
orbital phase   flux > 1 TeV (ph cm-2 s-1)   (mCrab)
     0.0008             3.683E-18            2.020E-04
     0.0008             3.684E-18            2.021E-04
     0.0028             3.798E-18            2.083E-04
     0.0028             3.799E-18            2.084E-04
     0.0048             3.914E-18            2.147E-04
     0.0048             3.915E-18            2.147E-04
     0.0068             4.032E-18            2.212E-04
     0.0068             4.032E-18            2.212E-04
     0.0088             4.151E-18            2.277E-04
     0.0088             4.152E-18            2.277E-04
     0.0108             4.272E-18            2.343E-04
     0.0108             4.273E-18            2.344E-04
     0.0128             4.395E-18            2.411E-04
     0.0128             4.396E-18            2.411E-04
     0.0148             4.519E-18            2.479E-04
     0.0148             4.520E-18            2.479E-04
     0.0168             4.644E-18            2.548E-04
     0.0168             4.645E-18            2.548E-04
     0.0188             4.771E-18            2.617E-04
     0.0188             4.772E-18            2.618E-04
     0.0208             4.900E-18            2.688E-04
     0.0208             4.901E-18            2.688E-04
     0.0228             5.030E-18            2.759E-04
     0.0228             5.030E-18            2.759E-04
     0.0248             5.161E-18            2.831E-04
     0.0248             5.162E-18            2.831E-04
     0.0268             5.293E-18            2.903E-04
     0.0268             5.294E-18            2.904E-04
     0.0288             5.426E-18            2.977E-04
     0.0288             5.427E-18            2.977E-04
     0.0308             5.561E-18            3.050E-04
     0.0308             5.562E-18            3.051E-04
     0.0328             5.697E-18            3.125E-04
     0.0328             5.698E-18            3.125E-04
     0.0348             5.834E-18            3.200E-04
     0.0348             5.835E-18            3.201E-04
     0.0368             5.972E-18            3.276E-04
     0.0368             5.972E-18            3.276E-04
     0.0388             6.110E-18            3.352E-04
     0.0388             6.111E-18            3.352E-04
     0.0408             6.249E-18            3.428E-04
     0.0408             6.250E-18            3.429E-04
     0.0428             6.389E-18            3.505E-04
     0.0428             6.390E-18            3.505E-04
     0.0448             6.530E-18            3.582E-04
     0.0448             6.531E-18            3.583E-04
     0.0468             6.672E-18            3.660E-04
     0.0468             6.673E-18            3.660E-04
     0.0488             6.813E-18            3.737E-04
     0.0488             6.814E-18            3.738E-04
     0.0508             6.956E-18            3.816E-04
     0.0508             6.957E-18            3.816E-04
     0.0528             7.099E-18            3.894E-04
     0.0528             7.099E-18            3.894E-04
     0.0548             7.241E-18            3.972E-04
     0.0548             7.242E-18            3.973E-04
     0.0568             7.384E-18            4.050E-04
     0.0568             7.385E-18            4.051E-04
     0.0588             7.527E-18            4.129E-04
     0.0588             7.528E-18            4.129E-04
     0.0608             7.670E-18            4.207E-04
     0.0608             7.670E-18            4.208E-04
     0.0628             7.812E-18            4.285E-04
     0.0628             7.813E-18            4.286E-04
     0.0648             7.955E-18            4.364E-04
     0.0648             7.956E-18            4.364E-04
     0.0668             8.096E-18            4.441E-04
     0.0668             8.097E-18            4.442E-04
     0.0688             8.238E-18            4.519E-04
     0.0688             8.239E-18            4.519E-04
     0.0708             8.379E-18            4.596E-04
     0.0708             8.380E-18            4.597E-04
     0.0728             8.519E-18            4.673E-04
     0.0728             8.519E-18            4.673E-04
     0.0748             8.657E-18            4.749E-04
     0.0748             8.658E-18            4.749E-04
     0.0768             8.795E-18            4.825E-04
     0.0768             8.796E-18            4.825E-04
     0.0788             8.932E-18            4.899E-04
     0.0788             8.933E-18            4.900E-04
     0.0808             9.067E-18            4.974E-04
     0.0808             9.068E-18            4.974E-04
     0.0828             9.201E-18            5.047E-04
     0.0828             9.202E-18            5.048E-04
     0.0848             9.333E-18            5.120E-04
     0.0848             9.334E-18            5.120E-04
     0.0868             9.464E-18            5.191E-04
     0.0868             9.465E-18            5.192E-04
