                 System #        4
     Galactic longitude l   -20.45
      Galactic latitude b     0.00
           distance (kpc)     9.29
    orbital period (days)    9.710
    arg. periastron (deg)  482.285
        inclination (deg)   59.138
             eccentricity    0.496
 neutron star mass (Msol)     1.40
         star mass (Msol)    30.00
       star radius (Rsol)    10.00
     star temperature (K) 33000.00
--------------------------------
orbital phase   flux > 1 TeV (ph cm-2 s-1)   (mCrab)
     0.0001             1.237E-21            6.783E-08
     0.0013             1.033E-21            5.664E-08
     0.0019             9.366E-22            5.138E-08
     0.0024             8.679E-22            4.761E-08
     0.0035             7.351E-22            4.032E-08
     0.0039             6.934E-22            3.804E-08
     0.0046             6.283E-22            3.446E-08
     0.0057             5.426E-22            2.977E-08
     0.0059             5.285E-22            2.899E-08
     0.0068             4.743E-22            2.602E-08
     0.0079             4.200E-22            2.304E-08
     0.0079             4.186E-22            2.296E-08
     0.0089             3.773E-22            2.070E-08
     0.0099             3.477E-22            1.907E-08
     0.0100             3.442E-22            1.888E-08
     0.0111             3.193E-22            1.752E-08
     0.0119             3.053E-22            1.675E-08
     0.0121             3.014E-22            1.653E-08
     0.0132             2.897E-22            1.589E-08
     0.0139             2.852E-22            1.564E-08
     0.0143             2.836E-22            1.555E-08
     0.0153             2.828E-22            1.551E-08
     0.0159             2.845E-22            1.561E-08
     0.0164             2.873E-22            1.576E-08
     0.0174             2.973E-22            1.631E-08
     0.0179             3.035E-22            1.665E-08
     0.0185             3.132E-22            1.718E-08
     0.0195             3.357E-22            1.841E-08
     0.0199             3.454E-22            1.895E-08
     0.0205             3.656E-22            2.006E-08
     0.0216             4.044E-22            2.218E-08
     0.0219             4.174E-22            2.290E-08
     0.0226             4.537E-22            2.489E-08
     0.0236             5.156E-22            2.828E-08
     0.0239             5.318E-22            2.917E-08
     0.0247             5.928E-22            3.252E-08
     0.0257             6.886E-22            3.778E-08
     0.0259             7.079E-22            3.883E-08
     0.0267             8.072E-22            4.428E-08
     0.0277             9.535E-22            5.231E-08
     0.0279             9.758E-22            5.353E-08
     0.0288             1.134E-21            6.219E-08
     0.0298             1.355E-21            7.432E-08
     0.0299             1.380E-21            7.568E-08
     0.0308             1.626E-21            8.920E-08
     0.0318             1.957E-21            1.074E-07
     0.0319             1.983E-21            1.088E-07
     0.0328             2.361E-21            1.295E-07
     0.0338             2.852E-21            1.564E-07
     0.0339             2.877E-21            1.578E-07
     0.0348             3.446E-21            1.890E-07
     0.0359             4.163E-21            2.284E-07
     0.0359             4.182E-21            2.294E-07
     0.0369             5.024E-21            2.756E-07
     0.0379             6.055E-21            3.322E-07
     0.0379             6.061E-21            3.325E-07
     0.0389             7.284E-21            3.996E-07
     0.0399             8.721E-21            4.784E-07
     0.0399             8.741E-21            4.795E-07
     0.0409             1.046E-20            5.739E-07
     0.0419             1.242E-20            6.812E-07
     0.0419             1.248E-20            6.848E-07
     0.0429             1.485E-20            8.146E-07
     0.0439             1.746E-20            9.578E-07
     0.0439             1.761E-20            9.657E-07
     0.0449             2.080E-20            1.141E-06
     0.0459             2.420E-20            1.328E-06
     0.0460             2.448E-20            1.343E-06
     0.0470             2.870E-20            1.574E-06
     0.0479             3.304E-20            1.812E-06
     0.0480             3.353E-20            1.839E-06
     0.0490             3.901E-20            2.140E-06
     0.0499             4.441E-20            2.436E-06
     0.0500             4.522E-20            2.481E-06
     0.0510             5.222E-20            2.865E-06
     0.0519             5.875E-20            3.223E-06
     0.0520             6.007E-20            3.295E-06
     0.0531             6.884E-20            3.776E-06
     0.0539             7.653E-20            4.198E-06
     0.0541             7.859E-20            4.311E-06
     0.0551             8.938E-20            4.903E-06
     0.0559             9.817E-20            5.385E-06
     0.0561             1.013E-19            5.556E-06
     0.0572             1.144E-19            6.274E-06
     0.0579             1.241E-19            6.807E-06
     0.0582             1.287E-19            7.060E-06
     0.0592             1.443E-19            7.916E-06
     0.0599             1.546E-19            8.482E-06
     0.0603             1.613E-19            8.847E-06
     0.0613             1.796E-19            9.854E-06
     0.0619             1.901E-19            1.043E-05
     0.0624             1.994E-19            1.094E-05
     0.0634             2.207E-19            1.211E-05
     0.0639             2.307E-19            1.265E-05
     0.0645             2.435E-19            1.336E-05
     0.0655             2.679E-19            1.469E-05
     0.0659             2.765E-19            1.517E-05
     0.0666             2.938E-19            1.612E-05
     0.0676             3.213E-19            1.762E-05
     0.0679             3.277E-19            1.797E-05
     0.0687             3.504E-19            1.922E-05
     0.0698             3.811E-19            2.091E-05
     0.0699             3.840E-19            2.107E-05
     0.0709             4.134E-19            2.268E-05
     0.0719             4.455E-19            2.444E-05
     0.0719             4.473E-19            2.454E-05
     0.0730             4.828E-19            2.648E-05
     0.0739             5.117E-19            2.807E-05
     0.0741             5.198E-19            2.851E-05
     0.0752             5.583E-19            3.062E-05
     0.0759             5.825E-19            3.195E-05
     0.0763             5.982E-19            3.282E-05
     0.0774             6.396E-19            3.509E-05
     0.0779             6.574E-19            3.606E-05
     0.0785             6.824E-19            3.743E-05
     0.0796             7.265E-19            3.985E-05
     0.0799             7.360E-19            4.037E-05
     0.0808             7.719E-19            4.234E-05
     0.0819             8.178E-19            4.486E-05
     0.0819             8.184E-19            4.489E-05
     0.0830             8.661E-19            4.751E-05
     0.0839             9.023E-19            4.950E-05
     0.0842             9.148E-19            5.018E-05
     0.0853             9.644E-19            5.290E-05
     0.0859             9.890E-19            5.425E-05
     0.0865             1.015E-18            5.567E-05
     0.0876             1.066E-18            5.849E-05
     0.0879             1.077E-18            5.910E-05
     0.0888             1.118E-18            6.134E-05
     0.0899             1.167E-18            6.400E-05
     0.0900             1.171E-18            6.422E-05
     0.0912             1.224E-18            6.713E-05
     0.0919             1.257E-18            6.894E-05
     0.0923             1.277E-18            7.007E-05
     0.0935             1.331E-18            7.302E-05
     0.0939             1.347E-18            7.388E-05
     0.0947             1.385E-18            7.599E-05
     0.0959             1.437E-18            7.881E-05
     0.0959             1.439E-18            7.896E-05
     0.0972             1.494E-18            8.194E-05
     0.0979             1.526E-18            8.369E-05
     0.0984             1.548E-18            8.491E-05
     0.0996             1.602E-18            8.787E-05
     0.0999             1.613E-18            8.850E-05
     0.1009             1.656E-18            9.083E-05
     0.1019             1.700E-18            9.323E-05
     0.1021             1.709E-18            9.376E-05
     0.1034             1.762E-18            9.667E-05
     0.1039             1.784E-18            9.786E-05
     0.1046             1.815E-18            9.956E-05
     0.1059             1.866E-18            1.024E-04
     0.1059             1.867E-18            1.024E-04
     0.1072             1.918E-18            1.052E-04
     0.1079             1.946E-18            1.067E-04
     0.1085             1.969E-18            1.080E-04
     0.1098             2.019E-18            1.108E-04
     0.1099             2.023E-18            1.110E-04
     0.1111             2.068E-18            1.134E-04
     0.1119             2.098E-18            1.151E-04
     0.1124             2.116E-18            1.161E-04
     0.1137             2.164E-18            1.187E-04
     0.1139             2.169E-18            1.190E-04
     0.1151             2.210E-18            1.212E-04
     0.1159             2.237E-18            1.227E-04
     0.1164             2.255E-18            1.237E-04
     0.1178             2.299E-18            1.261E-04
     0.1179             2.303E-18            1.263E-04
     0.1191             2.342E-18            1.284E-04
     0.1199             2.365E-18            1.297E-04
     0.1205             2.383E-18            1.307E-04
     0.1219             2.424E-18            1.329E-04
     0.1219             2.424E-18            1.329E-04
     0.1233             2.463E-18            1.351E-04
     0.1239             2.479E-18            1.360E-04
     0.1247             2.500E-18            1.372E-04
     0.1259             2.532E-18            1.389E-04
     0.1261             2.537E-18            1.392E-04
     0.1275             2.572E-18            1.411E-04
     0.1279             2.581E-18            1.416E-04
     0.1289             2.605E-18            1.429E-04
     0.1299             2.626E-18            1.441E-04
     0.1304             2.637E-18            1.447E-04
     0.1318             2.668E-18            1.463E-04
     0.1319             2.669E-18            1.464E-04
     0.1333             2.697E-18            1.479E-04
     0.1339             2.708E-18            1.486E-04
     0.1348             2.725E-18            1.495E-04
     0.1359             2.744E-18            1.505E-04
     0.1363             2.751E-18            1.509E-04
     0.1378             2.775E-18            1.522E-04
     0.1379             2.777E-18            1.524E-04
     0.1393             2.798E-18            1.535E-04
     0.1399             2.807E-18            1.540E-04
     0.1408             2.820E-18            1.547E-04
     0.1419             2.835E-18            1.555E-04
     0.1423             2.840E-18            1.558E-04
     0.1438             2.858E-18            1.568E-04
     0.1439             2.859E-18            1.568E-04
     0.1454             2.875E-18            1.577E-04
     0.1459             2.880E-18            1.580E-04
     0.1470             2.891E-18            1.586E-04
     0.1479             2.899E-18            1.590E-04
     0.1485             2.905E-18            1.593E-04
     0.1499             2.915E-18            1.599E-04
     0.1501             2.917E-18            1.600E-04
     0.1517             2.928E-18            1.606E-04
     0.1519             2.929E-18            1.607E-04
     0.1533             2.938E-18            1.611E-04
     0.1539             2.940E-18            1.613E-04
     0.1549             2.945E-18            1.616E-04
     0.1559             2.949E-18            1.618E-04
     0.1566             2.952E-18            1.619E-04
     0.1579             2.956E-18            1.622E-04
     0.1582             2.957E-18            1.622E-04
     0.1599             2.961E-18            1.624E-04
     0.1599             2.961E-18            1.624E-04
     0.1615             2.963E-18            1.625E-04
     0.1619             2.963E-18            1.625E-04
     0.1632             2.964E-18            1.626E-04
     0.1639             2.964E-18            1.626E-04
     0.1649             2.963E-18            1.626E-04
     0.1659             2.963E-18            1.625E-04
     0.1666             2.962E-18            1.625E-04
     0.1679             2.960E-18            1.623E-04
     0.1683             2.959E-18            1.623E-04
     0.1699             2.955E-18            1.621E-04
     0.1700             2.955E-18            1.621E-04
     0.1718             2.949E-18            1.618E-04
     0.1719             2.949E-18            1.618E-04
     0.1735             2.943E-18            1.614E-04
     0.1739             2.941E-18            1.613E-04
     0.1753             2.935E-18            1.610E-04
     0.1759             2.932E-18            1.609E-04
     0.1770             2.927E-18            1.605E-04
     0.1779             2.922E-18            1.603E-04
     0.1788             2.917E-18            1.600E-04
     0.1799             2.911E-18            1.597E-04
     0.1806             2.906E-18            1.594E-04
     0.1819             2.898E-18            1.590E-04
     0.1824             2.895E-18            1.588E-04
     0.1839             2.880E-18            1.580E-04
     0.1842             2.873E-18            1.576E-04
     0.1859             2.844E-18            1.560E-04
     0.1861             2.841E-18            1.558E-04
     0.1879             2.808E-18            1.541E-04
     0.1879             2.808E-18            1.540E-04
     0.1898             2.774E-18            1.522E-04
     0.1899             2.773E-18            1.521E-04
     0.1917             2.741E-18            1.504E-04
     0.1919             2.737E-18            1.501E-04
     0.1935             2.707E-18            1.485E-04
     0.1939             2.701E-18            1.482E-04
     0.1954             2.673E-18            1.467E-04
     0.1959             2.665E-18            1.462E-04
     0.1973             2.640E-18            1.448E-04
     0.1979             2.630E-18            1.443E-04
     0.1993             2.605E-18            1.429E-04
     0.1999             2.594E-18            1.423E-04
     0.2012             2.571E-18            1.410E-04
     0.2019             2.559E-18            1.404E-04
     0.2031             2.537E-18            1.392E-04
     0.2039             2.524E-18            1.384E-04
     0.2051             2.503E-18            1.373E-04
     0.2059             2.489E-18            1.365E-04
     0.2071             2.469E-18            1.354E-04
     0.2079             2.455E-18            1.346E-04
     0.2090             2.435E-18            1.336E-04
     0.2099             2.420E-18            1.328E-04
     0.2110             2.401E-18            1.317E-04
     0.2119             2.387E-18            1.309E-04
     0.2130             2.367E-18            1.299E-04
     0.2139             2.353E-18            1.291E-04
     0.2151             2.334E-18            1.280E-04
     0.2159             2.320E-18            1.273E-04
     0.2171             2.301E-18            1.262E-04
     0.2179             2.288E-18            1.255E-04
     0.2191             2.268E-18            1.244E-04
     0.2199             2.256E-18            1.237E-04
     0.2212             2.235E-18            1.226E-04
     0.2219             2.225E-18            1.220E-04
     0.2233             2.203E-18            1.209E-04
     0.2239             2.194E-18            1.203E-04
     0.2253             2.172E-18            1.191E-04
     0.2259             2.163E-18            1.187E-04
     0.2274             2.140E-18            1.174E-04
     0.2279             2.134E-18            1.170E-04
     0.2295             2.109E-18            1.157E-04
     0.2299             2.104E-18            1.154E-04
     0.2317             2.079E-18            1.140E-04
     0.2319             2.076E-18            1.139E-04
     0.2338             2.049E-18            1.124E-04
     0.2339             2.048E-18            1.123E-04
     0.2359             2.020E-18            1.108E-04
     0.2359             2.020E-18            1.108E-04
     0.2379             1.993E-18            1.093E-04
     0.2381             1.991E-18            1.092E-04
     0.2399             1.967E-18            1.079E-04
     0.2402             1.962E-18            1.076E-04
     0.2419             1.941E-18            1.065E-04
     0.2424             1.935E-18            1.061E-04
     0.2439             1.917E-18            1.051E-04
     0.2446             1.907E-18            1.046E-04
     0.2459             1.892E-18            1.038E-04
     0.2468             1.881E-18            1.032E-04
     0.2479             1.868E-18            1.025E-04
     0.2490             1.855E-18            1.017E-04
     0.2499             1.845E-18            1.012E-04
     0.2513             1.829E-18            1.003E-04
     0.2519             1.822E-18            9.996E-05
     0.2535             1.804E-18            9.897E-05
     0.2539             1.800E-18            9.875E-05
     0.2558             1.780E-18            9.764E-05
     0.2559             1.779E-18            9.757E-05
     0.2579             1.758E-18            9.643E-05
     0.2580             1.757E-18            9.635E-05
     0.2599             1.738E-18            9.533E-05
     0.2603             1.734E-18            9.510E-05
     0.2619             1.718E-18            9.425E-05
     0.2626             1.711E-18            9.388E-05
     0.2639             1.699E-18            9.321E-05
     0.2649             1.690E-18            9.270E-05
     0.2659             1.681E-18            9.220E-05
     0.2672             1.669E-18            9.155E-05
     0.2679             1.663E-18            9.122E-05
     0.2695             1.649E-18            9.043E-05
     0.2699             1.646E-18            9.027E-05
     0.2719             1.629E-18            8.935E-05
     0.2719             1.629E-18            8.934E-05
     0.2739             1.613E-18            8.845E-05
     0.2742             1.610E-18            8.831E-05
     0.2759             1.597E-18            8.760E-05
     0.2766             1.592E-18            8.731E-05
     0.2779             1.582E-18            8.677E-05
     0.2789             1.574E-18            8.635E-05
     0.2799             1.567E-18            8.598E-05
     0.2813             1.557E-18            8.542E-05
     0.2819             1.553E-18            8.521E-05
     0.2837             1.541E-18            8.452E-05
     0.2839             1.540E-18            8.446E-05
     0.2859             1.527E-18            8.375E-05
     0.2861             1.525E-18            8.366E-05
     0.2879             1.514E-18            8.306E-05
     0.2885             1.510E-18            8.284E-05
     0.2899             1.502E-18            8.240E-05
     0.2910             1.496E-18            8.205E-05
     0.2919             1.491E-18            8.177E-05
     0.2934             1.482E-18            8.130E-05
     0.2939             1.480E-18            8.116E-05
     0.2959             1.469E-18            8.059E-05
     0.2959             1.469E-18            8.058E-05
     0.2979             1.459E-18            8.003E-05
     0.2983             1.457E-18            7.991E-05
     0.2999             1.449E-18            7.950E-05
     0.3008             1.445E-18            7.926E-05
     0.3019             1.440E-18            7.899E-05
     0.3033             1.434E-18            7.865E-05
     0.3039             1.431E-18            7.851E-05
     0.3058             1.423E-18            7.808E-05
     0.3059             1.423E-18            7.805E-05
     0.3079             1.415E-18            7.762E-05
     0.3083             1.413E-18            7.753E-05
     0.3099             1.407E-18            7.720E-05
     0.3108             1.404E-18            7.702E-05
     0.3119             1.400E-18            7.681E-05
     0.3133             1.395E-18            7.654E-05
     0.3139             1.393E-18            7.644E-05
     0.3159             1.387E-18            7.609E-05
     0.3159             1.387E-18            7.609E-05
     0.3179             1.381E-18            7.576E-05
     0.3184             1.380E-18            7.568E-05
     0.3199             1.375E-18            7.545E-05
     0.3210             1.373E-18            7.529E-05
     0.3219             1.370E-18            7.516E-05
     0.3235             1.366E-18            7.494E-05
     0.3239             1.365E-18            7.489E-05
     0.3259             1.361E-18            7.464E-05
     0.3261             1.360E-18            7.461E-05
     0.3279             1.356E-18            7.441E-05
     0.3287             1.355E-18            7.432E-05
     0.3299             1.353E-18            7.419E-05
     0.3313             1.350E-18            7.405E-05
     0.3319             1.349E-18            7.400E-05
     0.3339             1.346E-18            7.382E-05
     0.3339             1.346E-18            7.382E-05
     0.3359             1.343E-18            7.366E-05
     0.3365             1.342E-18            7.361E-05
     0.3379             1.340E-18            7.351E-05
     0.3391             1.339E-18            7.343E-05
     0.3399             1.338E-18            7.338E-05
     0.3418             1.336E-18            7.327E-05
     0.3419             1.336E-18            7.327E-05
     0.3439             1.334E-18            7.317E-05
     0.3444             1.333E-18            7.314E-05
     0.3459             1.332E-18            7.308E-05
     0.3471             1.332E-18            7.304E-05
     0.3479             1.331E-18            7.301E-05
     0.3497             1.330E-18            7.296E-05
     0.3499             1.330E-18            7.296E-05
     0.3519             1.329E-18            7.292E-05
     0.3524             1.329E-18            7.291E-05
     0.3539             1.329E-18            7.289E-05
     0.3551             1.329E-18            7.288E-05
     0.3559             1.329E-18            7.288E-05
     0.3578             1.329E-18            7.288E-05
     0.3579             1.329E-18            7.288E-05
     0.3599             1.329E-18            7.289E-05
     0.3605             1.329E-18            7.289E-05
     0.3619             1.329E-18            7.291E-05
     0.3632             1.330E-18            7.293E-05
     0.3639             1.330E-18            7.294E-05
     0.3659             1.331E-18            7.299E-05
     0.3659             1.331E-18            7.299E-05
     0.3679             1.332E-18            7.305E-05
     0.3686             1.332E-18            7.307E-05
