                 System #       41
     Galactic longitude l    -7.57
      Galactic latitude b     0.00
           distance (kpc)    16.81
    orbital period (days) 1524.061
    arg. periastron (deg)  294.437
        inclination (deg)   74.052
             eccentricity    0.433
 neutron star mass (Msol)     1.40
         star mass (Msol)    30.00
       star radius (Rsol)    10.00
     star temperature (K) 33000.00
--------------------------------
orbital phase   flux > 1 TeV (ph cm-2 s-1)   (mCrab)
     0.0007             5.259E-20            2.885E-06
     0.0010             5.257E-20            2.883E-06
     0.0027             5.245E-20            2.877E-06
     0.0028             5.244E-20            2.877E-06
     0.0045             5.231E-20            2.869E-06
     0.0047             5.230E-20            2.869E-06
     0.0063             5.216E-20            2.861E-06
     0.0067             5.213E-20            2.859E-06
     0.0080             5.201E-20            2.853E-06
     0.0087             5.194E-20            2.849E-06
     0.0097             5.184E-20            2.844E-06
     0.0107             5.175E-20            2.839E-06
     0.0114             5.167E-20            2.834E-06
     0.0127             5.153E-20            2.827E-06
     0.0131             5.148E-20            2.824E-06
     0.0147             5.130E-20            2.814E-06
     0.0148             5.128E-20            2.813E-06
     0.0165             5.107E-20            2.802E-06
     0.0167             5.105E-20            2.800E-06
     0.0182             5.085E-20            2.790E-06
     0.0187             5.078E-20            2.786E-06
     0.0198             5.062E-20            2.777E-06
     0.0207             5.049E-20            2.770E-06
     0.0215             5.037E-20            2.763E-06
     0.0227             5.018E-20            2.753E-06
     0.0231             5.011E-20            2.749E-06
     0.0247             4.985E-20            2.734E-06
     0.0247             4.984E-20            2.734E-06
     0.0263             4.955E-20            2.718E-06
     0.0267             4.949E-20            2.715E-06
     0.0279             4.925E-20            2.702E-06
     0.0287             4.911E-20            2.694E-06
     0.0295             4.893E-20            2.684E-06
     0.0307             4.870E-20            2.671E-06
     0.0311             4.860E-20            2.666E-06
     0.0327             4.826E-20            2.647E-06
     0.0327             4.825E-20            2.647E-06
     0.0343             4.789E-20            2.627E-06
     0.0347             4.780E-20            2.622E-06
     0.0358             4.751E-20            2.606E-06
     0.0367             4.730E-20            2.595E-06
     0.0374             4.712E-20            2.585E-06
     0.0387             4.678E-20            2.566E-06
     0.0389             4.671E-20            2.562E-06
     0.0404             4.628E-20            2.539E-06
     0.0407             4.622E-20            2.535E-06
     0.0420             4.584E-20            2.514E-06
     0.0427             4.562E-20            2.503E-06
     0.0435             4.538E-20            2.489E-06
     0.0447             4.500E-20            2.468E-06
     0.0450             4.489E-20            2.463E-06
     0.0465             4.440E-20            2.435E-06
     0.0467             4.433E-20            2.432E-06
     0.0480             4.388E-20            2.407E-06
     0.0487             4.363E-20            2.393E-06
     0.0494             4.334E-20            2.378E-06
     0.0507             4.288E-20            2.352E-06
     0.0509             4.279E-20            2.347E-06
     0.0524             4.221E-20            2.315E-06
     0.0527             4.209E-20            2.309E-06
     0.0538             4.162E-20            2.283E-06
     0.0547             4.126E-20            2.263E-06
     0.0553             4.100E-20            2.249E-06
     0.0567             4.039E-20            2.215E-06
     0.0567             4.037E-20            2.215E-06
     0.0581             3.972E-20            2.179E-06
     0.0587             3.947E-20            2.165E-06
     0.0596             3.905E-20            2.142E-06
     0.0607             3.850E-20            2.112E-06
     0.0610             3.836E-20            2.104E-06
     0.0624             3.764E-20            2.065E-06
     0.0627             3.748E-20            2.056E-06
     0.0638             3.691E-20            2.025E-06
     0.0647             3.642E-20            1.998E-06
     0.0651             3.616E-20            1.984E-06
     0.0665             3.539E-20            1.942E-06
     0.0667             3.531E-20            1.937E-06
     0.0679             3.460E-20            1.898E-06
     0.0687             3.415E-20            1.873E-06
     0.0693             3.380E-20            1.854E-06
     0.0706             3.297E-20            1.809E-06
     0.0707             3.294E-20            1.807E-06
     0.0720             3.213E-20            1.763E-06
     0.0727             3.169E-20            1.738E-06
     0.0733             3.127E-20            1.715E-06
     0.0746             3.040E-20            1.667E-06
     0.0747             3.038E-20            1.667E-06
     0.0760             2.951E-20            1.619E-06
     0.0767             2.904E-20            1.593E-06
     0.0773             2.861E-20            1.569E-06
     0.0786             2.769E-20            1.519E-06
     0.0787             2.765E-20            1.517E-06
     0.0799             2.676E-20            1.468E-06
     0.0807             2.622E-20            1.438E-06
     0.0812             2.583E-20            1.417E-06
     0.0825             2.488E-20            1.365E-06
     0.0827             2.477E-20            1.359E-06
     0.0838             2.393E-20            1.313E-06
     0.0847             2.329E-20            1.277E-06
     0.0851             2.297E-20            1.260E-06
     0.0864             2.201E-20            1.208E-06
     0.0867             2.179E-20            1.195E-06
     0.0876             2.106E-20            1.155E-06
     0.0887             2.028E-20            1.112E-06
     0.0889             2.010E-20            1.103E-06
     0.0902             1.915E-20            1.051E-06
     0.0907             1.877E-20            1.030E-06
     0.0914             1.821E-20            9.989E-07
     0.0927             1.728E-20            9.478E-07
     0.0927             1.727E-20            9.476E-07
     0.0939             1.636E-20            8.976E-07
     0.0947             1.581E-20            8.672E-07
     0.0951             1.547E-20            8.485E-07
     0.0964             1.459E-20            8.004E-07
     0.0967             1.439E-20            7.892E-07
     0.0976             1.374E-20            7.537E-07
     0.0987             1.302E-20            7.145E-07
     0.0988             1.292E-20            7.087E-07
     0.1000             1.213E-20            6.656E-07
     0.1007             1.174E-20            6.442E-07
     0.1013             1.138E-20            6.244E-07
     0.1025             1.067E-20            5.856E-07
     0.1027             1.056E-20            5.793E-07
     0.1037             1.001E-20            5.491E-07
     0.1047             9.496E-21            5.209E-07
     0.1049             9.395E-21            5.153E-07
     0.1061             8.832E-21            4.845E-07
     0.1067             8.570E-21            4.701E-07
     0.1073             8.324E-21            4.566E-07
     0.1085             7.874E-21            4.319E-07
     0.1087             7.798E-21            4.278E-07
     0.1096             7.487E-21            4.107E-07
     0.1107             7.199E-21            3.949E-07
     0.1108             7.162E-21            3.929E-07
     0.1120             6.904E-21            3.787E-07
     0.1127             6.785E-21            3.722E-07
     0.1132             6.712E-21            3.682E-07
     0.1143             6.589E-21            3.614E-07
     0.1147             6.567E-21            3.602E-07
     0.1155             6.537E-21            3.586E-07
     0.1167             6.557E-21            3.597E-07
     0.1167             6.557E-21            3.597E-07
     0.1178             6.650E-21            3.648E-07
     0.1187             6.762E-21            3.709E-07
     0.1190             6.816E-21            3.739E-07
     0.1202             7.058E-21            3.871E-07
     0.1207             7.190E-21            3.944E-07
     0.1213             7.373E-21            4.044E-07
     0.1225             7.764E-21            4.259E-07
     0.1227             7.844E-21            4.303E-07
     0.1236             8.228E-21            4.514E-07
     0.1247             8.728E-21            4.787E-07
     0.1248             8.769E-21            4.810E-07
     0.1259             9.382E-21            5.147E-07
     0.1267             9.834E-21            5.395E-07
     0.1270             1.007E-20            5.522E-07
     0.1282             1.082E-20            5.936E-07
     0.1287             1.116E-20            6.122E-07
     0.1293             1.164E-20            6.385E-07
     0.1305             1.252E-20            6.870E-07
     0.1307             1.269E-20            6.961E-07
     0.1316             1.347E-20            7.389E-07
     0.1327             1.441E-20            7.902E-07
     0.1327             1.447E-20            7.938E-07
     0.1339             1.553E-20            8.518E-07
     0.1347             1.629E-20            8.937E-07
     0.1350             1.663E-20            9.124E-07
     0.1361             1.778E-20            9.754E-07
     0.1367             1.833E-20            1.005E-06
     0.1373             1.897E-20            1.041E-06
     0.1384             2.020E-20            1.108E-06
     0.1387             2.048E-20            1.124E-06
     0.1396             2.146E-20            1.177E-06
     0.1407             2.274E-20            1.247E-06
     0.1407             2.275E-20            1.248E-06
     0.1418             2.406E-20            1.320E-06
     0.1427             2.507E-20            1.375E-06
     0.1430             2.540E-20            1.393E-06
     0.1441             2.675E-20            1.467E-06
     0.1447             2.745E-20            1.506E-06
     0.1452             2.811E-20            1.542E-06
     0.1464             2.949E-20            1.617E-06
     0.1467             2.987E-20            1.639E-06
     0.1475             3.086E-20            1.693E-06
     0.1486             3.225E-20            1.769E-06
     0.1487             3.230E-20            1.772E-06
     0.1498             3.363E-20            1.845E-06
     0.1507             3.473E-20            1.905E-06
     0.1509             3.501E-20            1.920E-06
     0.1520             3.638E-20            1.996E-06
     0.1527             3.714E-20            2.037E-06
     0.1532             3.775E-20            2.071E-06
     0.1543             3.910E-20            2.145E-06
     0.1547             3.952E-20            2.168E-06
     0.1555             4.045E-20            2.219E-06
     0.1566             4.178E-20            2.292E-06
     0.1567             4.185E-20            2.295E-06
     0.1578             4.309E-20            2.364E-06
     0.1587             4.412E-20            2.420E-06
