                 System #       42
     Galactic longitude l    36.06
      Galactic latitude b     0.00
           distance (kpc)     5.66
    orbital period (days)   14.502
    arg. periastron (deg)  441.068
        inclination (deg)  127.089
             eccentricity    0.532
 neutron star mass (Msol)     1.40
         star mass (Msol)    30.00
       star radius (Rsol)    10.00
     star temperature (K) 33000.00
--------------------------------
orbital phase   flux > 1 TeV (ph cm-2 s-1)   (mCrab)
     0.0008             1.018E-18            5.585E-05
     0.0012             1.018E-18            5.584E-05
     0.0028             1.017E-18            5.579E-05
     0.0043             1.016E-18            5.575E-05
     0.0048             1.016E-18            5.573E-05
     0.0068             1.015E-18            5.568E-05
     0.0073             1.015E-18            5.566E-05
     0.0088             1.014E-18            5.562E-05
     0.0104             1.013E-18            5.559E-05
     0.0108             1.013E-18            5.558E-05
     0.0128             1.012E-18            5.553E-05
     0.0134             1.012E-18            5.552E-05
     0.0148             1.012E-18            5.549E-05
     0.0165             1.011E-18            5.547E-05
     0.0168             1.011E-18            5.546E-05
     0.0188             1.010E-18            5.543E-05
     0.0195             1.010E-18            5.542E-05
     0.0208             1.010E-18            5.540E-05
     0.0226             1.010E-18            5.538E-05
     0.0228             1.010E-18            5.538E-05
     0.0248             1.009E-18            5.536E-05
     0.0256             1.009E-18            5.536E-05
     0.0268             1.009E-18            5.535E-05
     0.0287             1.009E-18            5.534E-05
     0.0288             1.009E-18            5.534E-05
     0.0308             1.009E-18            5.534E-05
     0.0317             1.009E-18            5.534E-05
     0.0328             1.009E-18            5.534E-05
     0.0348             1.009E-18            5.534E-05
     0.0348             1.009E-18            5.534E-05
     0.0368             1.009E-18            5.535E-05
     0.0378             1.009E-18            5.535E-05
     0.0388             1.009E-18            5.536E-05
     0.0408             1.010E-18            5.538E-05
     0.0408             1.010E-18            5.538E-05
     0.0428             1.010E-18            5.540E-05
     0.0439             1.010E-18            5.541E-05
     0.0448             1.010E-18            5.542E-05
     0.0468             1.011E-18            5.545E-05
     0.0469             1.011E-18            5.546E-05
     0.0488             1.012E-18            5.549E-05
     0.0499             1.012E-18            5.551E-05
     0.0508             1.012E-18            5.553E-05
