                 System #       43
     Galactic longitude l   -58.20
      Galactic latitude b     0.00
           distance (kpc)    16.88
    orbital period (days) 3891.187
    arg. periastron (deg)  221.758
        inclination (deg)   57.702
             eccentricity    0.522
 neutron star mass (Msol)     1.40
         star mass (Msol)    30.00
       star radius (Rsol)    10.00
     star temperature (K) 33000.00
--------------------------------
orbital phase   flux > 1 TeV (ph cm-2 s-1)   (mCrab)
     0.0015             6.459E-15            3.543E-01
     0.0017             6.465E-15            3.546E-01
     0.0035             6.506E-15            3.569E-01
     0.0035             6.508E-15            3.570E-01
     0.0054             6.551E-15            3.594E-01
     0.0055             6.554E-15            3.595E-01
     0.0072             6.595E-15            3.618E-01
     0.0075             6.602E-15            3.622E-01
     0.0090             6.639E-15            3.642E-01
     0.0095             6.652E-15            3.649E-01
     0.0108             6.684E-15            3.667E-01
     0.0115             6.702E-15            3.677E-01
     0.0125             6.730E-15            3.691E-01
     0.0135             6.754E-15            3.705E-01
     0.0143             6.775E-15            3.716E-01
     0.0155             6.806E-15            3.734E-01
     0.0160             6.821E-15            3.742E-01
     0.0175             6.860E-15            3.763E-01
     0.0178             6.868E-15            3.767E-01
     0.0195             6.914E-15            3.793E-01
     0.0195             6.914E-15            3.793E-01
     0.0212             6.961E-15            3.819E-01
     0.0215             6.969E-15            3.823E-01
     0.0229             7.009E-15            3.845E-01
     0.0235             7.025E-15            3.854E-01
     0.0246             7.056E-15            3.871E-01
     0.0255             7.082E-15            3.885E-01
     0.0262             7.105E-15            3.897E-01
     0.0275             7.140E-15            3.917E-01
     0.0279             7.153E-15            3.924E-01
     0.0295             7.199E-15            3.949E-01
     0.0295             7.201E-15            3.950E-01
     0.0312             7.250E-15            3.977E-01
     0.0315             7.259E-15            3.982E-01
     0.0328             7.299E-15            4.004E-01
     0.0335             7.319E-15            4.015E-01
     0.0344             7.348E-15            4.031E-01
     0.0355             7.381E-15            4.049E-01
     0.0360             7.397E-15            4.058E-01
     0.0375             7.443E-15            4.083E-01
     0.0376             7.447E-15            4.085E-01
     0.0392             7.496E-15            4.112E-01
     0.0395             7.506E-15            4.117E-01
     0.0407             7.546E-15            4.139E-01
     0.0415             7.570E-15            4.152E-01
     0.0423             7.596E-15            4.167E-01
     0.0435             7.635E-15            4.188E-01
     0.0438             7.646E-15            4.194E-01
     0.0453             7.695E-15            4.221E-01
     0.0455             7.700E-15            4.224E-01
     0.0469             7.745E-15            4.248E-01
     0.0475             7.765E-15            4.260E-01
     0.0484             7.795E-15            4.276E-01
     0.0495             7.832E-15            4.296E-01
     0.0498             7.844E-15            4.303E-01
     0.0513             7.894E-15            4.330E-01
