                 System #       47
     Galactic longitude l    -2.49
      Galactic latitude b     0.00
           distance (kpc)     4.76
    orbital period (days)  126.058
    arg. periastron (deg)  487.556
        inclination (deg)  128.083
             eccentricity    0.529
 neutron star mass (Msol)     1.40
         star mass (Msol)    30.00
       star radius (Rsol)    10.00
     star temperature (K) 33000.00
--------------------------------
orbital phase   flux > 1 TeV (ph cm-2 s-1)   (mCrab)
     0.0009             3.021E-16            1.657E-02
     0.0016             3.072E-16            1.685E-02
     0.0018             3.090E-16            1.695E-02
     0.0028             3.161E-16            1.734E-02
     0.0036             3.222E-16            1.767E-02
     0.0037             3.232E-16            1.773E-02
     0.0047             3.304E-16            1.812E-02
     0.0056             3.375E-16            1.851E-02
     0.0056             3.376E-16            1.852E-02
     0.0065             3.448E-16            1.891E-02
     0.0075             3.520E-16            1.931E-02
     0.0076             3.528E-16            1.935E-02
     0.0084             3.592E-16            1.970E-02
     0.0094             3.663E-16            2.009E-02
     0.0096             3.680E-16            2.018E-02
     0.0103             3.734E-16            2.048E-02
     0.0113             3.803E-16            2.086E-02
     0.0116             3.828E-16            2.100E-02
     0.0122             3.872E-16            2.124E-02
     0.0132             3.939E-16            2.161E-02
     0.0136             3.970E-16            2.178E-02
     0.0141             4.005E-16            2.197E-02
     0.0151             4.069E-16            2.232E-02
     0.0156             4.105E-16            2.252E-02
     0.0160             4.132E-16            2.266E-02
     0.0170             4.192E-16            2.300E-02
     0.0176             4.232E-16            2.321E-02
     0.0179             4.251E-16            2.332E-02
     0.0189             4.307E-16            2.363E-02
     0.0196             4.348E-16            2.385E-02
     0.0198             4.361E-16            2.392E-02
     0.0208             4.413E-16            2.421E-02
     0.0216             4.454E-16            2.443E-02
     0.0218             4.462E-16            2.447E-02
     0.0227             4.508E-16            2.473E-02
     0.0236             4.548E-16            2.495E-02
     0.0237             4.552E-16            2.497E-02
     0.0247             4.593E-16            2.520E-02
     0.0256             4.630E-16            2.540E-02
     0.0256             4.632E-16            2.541E-02
     0.0266             4.668E-16            2.560E-02
     0.0276             4.700E-16            2.578E-02
     0.0276             4.700E-16            2.578E-02
     0.0286             4.730E-16            2.595E-02
     0.0296             4.757E-16            2.610E-02
     0.0296             4.758E-16            2.610E-02
     0.0306             4.781E-16            2.623E-02
     0.0316             4.802E-16            2.634E-02
     0.0316             4.803E-16            2.635E-02
     0.0326             4.821E-16            2.644E-02
     0.0336             4.836E-16            2.653E-02
     0.0336             4.836E-16            2.653E-02
     0.0346             4.849E-16            2.660E-02
     0.0356             4.858E-16            2.665E-02
     0.0356             4.858E-16            2.665E-02
     0.0366             4.865E-16            2.669E-02
     0.0376             4.869E-16            2.671E-02
     0.0377             4.869E-16            2.671E-02
     0.0387             4.870E-16            2.672E-02
     0.0396             4.869E-16            2.671E-02
     0.0397             4.869E-16            2.671E-02
     0.0408             4.865E-16            2.668E-02
     0.0416             4.860E-16            2.666E-02
     0.0418             4.858E-16            2.665E-02
     0.0429             4.849E-16            2.660E-02
     0.0436             4.841E-16            2.656E-02
     0.0440             4.837E-16            2.653E-02
     0.0450             4.823E-16            2.646E-02
     0.0456             4.815E-16            2.641E-02
     0.0461             4.807E-16            2.637E-02
     0.0472             4.788E-16            2.627E-02
     0.0476             4.781E-16            2.622E-02
     0.0483             4.767E-16            2.615E-02
     0.0494             4.744E-16            2.603E-02
     0.0496             4.740E-16            2.600E-02
     0.0505             4.719E-16            2.589E-02
     0.0516             4.693E-16            2.574E-02
     0.0516             4.693E-16            2.574E-02
     0.0527             4.664E-16            2.558E-02
     0.0536             4.640E-16            2.545E-02
     0.0538             4.634E-16            2.542E-02
     0.0550             4.602E-16            2.524E-02
