                 System #       48
     Galactic longitude l     6.57
      Galactic latitude b     0.00
           distance (kpc)    14.04
    orbital period (days)  303.531
    arg. periastron (deg)  530.910
        inclination (deg)   78.290
             eccentricity    0.263
 neutron star mass (Msol)     1.40
         star mass (Msol)    30.00
       star radius (Rsol)    10.00
     star temperature (K) 33000.00
--------------------------------
orbital phase   flux > 1 TeV (ph cm-2 s-1)   (mCrab)
     0.0005             3.200E-18            1.755E-04
     0.0006             3.201E-18            1.756E-04
     0.0025             3.216E-18            1.764E-04
     0.0031             3.222E-18            1.767E-04
     0.0045             3.233E-18            1.773E-04
     0.0056             3.242E-18            1.778E-04
     0.0065             3.249E-18            1.782E-04
     0.0081             3.263E-18            1.790E-04
     0.0085             3.266E-18            1.791E-04
     0.0105             3.282E-18            1.800E-04
     0.0106             3.283E-18            1.801E-04
     0.0125             3.298E-18            1.809E-04
     0.0131             3.303E-18            1.812E-04
     0.0145             3.314E-18            1.818E-04
     0.0157             3.324E-18            1.823E-04
     0.0165             3.330E-18            1.827E-04
     0.0182             3.344E-18            1.834E-04
     0.0185             3.346E-18            1.836E-04
     0.0205             3.362E-18            1.844E-04
     0.0207             3.363E-18            1.845E-04
     0.0225             3.378E-18            1.853E-04
     0.0232             3.383E-18            1.856E-04
     0.0245             3.393E-18            1.861E-04
     0.0257             3.403E-18            1.867E-04
     0.0265             3.409E-18            1.870E-04
     0.0282             3.422E-18            1.877E-04
     0.0285             3.424E-18            1.878E-04
     0.0305             3.440E-18            1.887E-04
     0.0308             3.442E-18            1.888E-04
     0.0325             3.455E-18            1.895E-04
     0.0333             3.461E-18            1.899E-04
     0.0345             3.470E-18            1.904E-04
     0.0358             3.480E-18            1.909E-04
     0.0365             3.485E-18            1.912E-04
     0.0383             3.499E-18            1.919E-04
     0.0385             3.500E-18            1.920E-04
     0.0405             3.515E-18            1.928E-04
     0.0408             3.518E-18            1.930E-04
     0.0425             3.530E-18            1.937E-04
     0.0434             3.537E-18            1.940E-04
     0.0445             3.545E-18            1.945E-04
     0.0459             3.556E-18            1.950E-04
     0.0465             3.560E-18            1.953E-04
     0.0484             3.574E-18            1.961E-04
     0.0485             3.575E-18            1.961E-04
     0.0505             3.589E-18            1.969E-04
     0.0509             3.592E-18            1.971E-04
     0.0525             3.604E-18            1.977E-04
     0.0535             3.611E-18            1.981E-04
     0.0545             3.618E-18            1.985E-04
     0.0560             3.629E-18            1.991E-04
     0.0565             3.633E-18            1.993E-04
     0.0585             3.647E-18            2.001E-04
     0.0585             3.647E-18            2.001E-04
     0.0605             3.661E-18            2.008E-04
     0.0610             3.665E-18            2.011E-04
     0.0625             3.676E-18            2.016E-04
     0.0636             3.683E-18            2.020E-04
     0.0645             3.690E-18            2.024E-04
     0.0661             3.701E-18            2.030E-04
     0.0665             3.704E-18            2.032E-04
     0.0685             3.718E-18            2.039E-04
     0.0686             3.719E-18            2.040E-04
     0.0705             3.732E-18            2.047E-04
     0.0711             3.736E-18            2.050E-04
     0.0725             3.746E-18            2.055E-04
     0.0737             3.754E-18            2.059E-04
     0.0745             3.760E-18            2.062E-04
     0.0762             3.771E-18            2.069E-04
     0.0765             3.773E-18            2.070E-04
     0.0785             3.787E-18            2.077E-04
     0.0787             3.789E-18            2.078E-04
     0.0805             3.801E-18            2.085E-04
     0.0812             3.806E-18            2.088E-04
     0.0825             3.814E-18            2.092E-04
     0.0838             3.823E-18            2.097E-04
     0.0845             3.828E-18            2.100E-04
     0.0863             3.840E-18            2.106E-04
     0.0865             3.842E-18            2.107E-04
     0.0885             3.855E-18            2.115E-04
     0.0888             3.857E-18            2.116E-04
     0.0905             3.868E-18            2.122E-04
     0.0913             3.874E-18            2.125E-04
     0.0925             3.882E-18            2.129E-04
     0.0938             3.891E-18            2.134E-04
     0.0945             3.895E-18            2.137E-04
     0.0963             3.907E-18            2.143E-04
     0.0965             3.908E-18            2.144E-04
     0.0985             3.922E-18            2.151E-04
     0.0989             3.924E-18            2.152E-04
     0.1005             3.935E-18            2.158E-04
     0.1014             3.941E-18            2.162E-04
     0.1025             3.948E-18            2.166E-04
     0.1039             3.957E-18            2.171E-04
     0.1045             3.961E-18            2.173E-04
     0.1064             3.973E-18            2.180E-04
     0.1065             3.974E-18            2.180E-04
     0.1085             3.987E-18            2.187E-04
     0.1089             3.990E-18            2.188E-04
     0.1105             4.000E-18            2.194E-04
     0.1114             4.006E-18            2.197E-04
     0.1125             4.013E-18            2.201E-04
     0.1139             4.022E-18            2.206E-04
     0.1145             4.025E-18            2.208E-04
     0.1164             4.038E-18            2.215E-04
     0.1165             4.038E-18            2.215E-04
     0.1185             4.051E-18            2.222E-04
     0.1189             4.053E-18            2.224E-04
     0.1205             4.063E-18            2.229E-04
     0.1214             4.069E-18            2.232E-04
     0.1225             4.076E-18            2.236E-04
     0.1239             4.085E-18            2.241E-04
     0.1245             4.088E-18            2.243E-04
     0.1264             4.100E-18            2.249E-04
     0.1265             4.101E-18            2.250E-04
     0.1285             4.113E-18            2.256E-04
     0.1289             4.116E-18            2.258E-04
     0.1305             4.126E-18            2.263E-04
     0.1314             4.131E-18            2.266E-04
     0.1325             4.138E-18            2.270E-04
     0.1339             4.147E-18            2.275E-04
     0.1345             4.150E-18            2.277E-04
     0.1364             4.162E-18            2.283E-04
     0.1365             4.162E-18            2.283E-04
     0.1385             4.174E-18            2.290E-04
     0.1389             4.177E-18            2.291E-04
     0.1405             4.187E-18            2.297E-04
     0.1414             4.192E-18            2.299E-04
     0.1425             4.198E-18            2.303E-04
     0.1438             4.206E-18            2.307E-04
     0.1445             4.210E-18            2.310E-04
     0.1463             4.221E-18            2.316E-04
     0.1465             4.222E-18            2.316E-04
     0.1485             4.234E-18            2.323E-04
     0.1488             4.236E-18            2.324E-04
     0.1505             4.246E-18            2.329E-04
     0.1513             4.250E-18            2.331E-04
     0.1525             4.257E-18            2.335E-04
     0.1537             4.265E-18            2.339E-04
     0.1545             4.269E-18            2.342E-04
     0.1562             4.279E-18            2.347E-04
     0.1565             4.281E-18            2.348E-04
     0.1585             4.292E-18            2.354E-04
